category,cardNumber,parallel,isAuto,printRun,player
auto-aspiring-patch-autographs,1,,true,99,Travon Walker
auto-aspiring-patch-autographs,2,,true,99,"Ahmad ""Sauce"" Gardner"
auto-aspiring-patch-autographs,3,,true,99,Kenny Pickett
auto-aspiring-patch-autographs,4,,true,99,Malik Willis
auto-aspiring-patch-autographs,5,,true,99,Bailey Zappe
auto-aspiring-patch-autographs,6,,true,99,Carson Strong
auto-aspiring-patch-autographs,7,,true,99,Kenneth Walker III
auto-aspiring-patch-autographs,8,,true,99,Tyrion Davis-Price
auto-aspiring-patch-autographs,10,,true,99,Zamir White
auto-aspiring-patch-autographs,12,,true,99,Drake London
auto-aspiring-patch-autographs,13,,true,99,Jahan Dotson
auto-aspiring-patch-autographs,16,,true,99,Christian Watson
auto-aspiring-patch-autographs,17,,true,99,Tyquan Thornton
auto-aspiring-patch-autographs,18,,true,99,Velus Jones Jr.
auto-aspiring-patch-autographs,19,,true,99,David Bell
auto-aspiring-patch-autographs,21,,true,99,Calvin Austin III
