category,cardNumber,parallel,isAuto,printRun,player
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,1,Laundry Tags NFL Player's Logo,true,1,Dameon PierceJohn Metchie III
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,2,Laundry Tags NFL Player's Logo,true,1,Pierre Strong Jr.Tyquan Thornton
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,3,Laundry Tags NFL Player's Logo,true,1,Breece HallGarrett Wilson
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,4,Laundry Tags NFL Player's Logo,true,1,Calvin Austin IIIGeorge Pickens
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,5,Laundry Tags NFL Player's Logo,true,1,Hassan HaskinsTreylon Burks
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,6,Laundry Tags NFL Player's Logo,true,1,Desmond RidderDrake London
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,7,Laundry Tags NFL Player's Logo,true,1,Christian WatsonRomeo Doubs
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,8,Laundry Tags NFL Player's Logo,true,1,Danny GrayTyrion Davis-Price
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,9,Laundry Tags NFL Player's Logo,true,1,Brian Robinson Jr.Jahan Dotson
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,10,Laundry Tags NFL Player's Logo,true,1,Kenny PickettMalik Willis
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,11,Laundry Tags NFL Player's Logo,true,1,Matt CorralSam Howell
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,12,Laundry Tags NFL Player's Logo,true,1,Chris OlaveJameson Williams
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,14,Laundry Tags NFL Player's Logo,true,1,Alec PierceSkyy Moore
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,15,Laundry Tags NFL Player's Logo,true,1,Aidan HutchinsonTravon Walker
auto-dual-patch-autographs-gold-laundry-tags-nfl-players-logo,16,Laundry Tags NFL Player's Logo,true,1,"Ahmad ""Sauce"" GardnerKyle Hamilton"
