category,cardNumber,parallel,isAuto,printRun,player
auto-dual-patch-autographs-neon-marble,1,,true,4,Dameon PierceJohn Metchie III
auto-dual-patch-autographs-neon-marble,2,,true,4,Pierre Strong Jr.Tyquan Thornton
auto-dual-patch-autographs-neon-marble,3,,true,4,Breece HallGarrett Wilson
auto-dual-patch-autographs-neon-marble,4,,true,4,Calvin Austin IIIGeorge Pickens
auto-dual-patch-autographs-neon-marble,5,,true,4,Hassan HaskinsTreylon Burks
auto-dual-patch-autographs-neon-marble,6,,true,4,Desmond RidderDrake London
auto-dual-patch-autographs-neon-marble,7,,true,4,Christian WatsonRomeo Doubs
auto-dual-patch-autographs-neon-marble,8,,true,4,Danny GrayTyrion Davis-Price
auto-dual-patch-autographs-neon-marble,9,,true,4,Brian Robinson Jr.Jahan Dotson
auto-dual-patch-autographs-neon-marble,10,,true,4,Kenny PickettMalik Willis
auto-dual-patch-autographs-neon-marble,11,,true,4,Matt CorralSam Howell
auto-dual-patch-autographs-neon-marble,12,,true,4,Chris OlaveJameson Williams
auto-dual-patch-autographs-neon-marble,14,,true,4,Alec PierceSkyy Moore
auto-dual-patch-autographs-neon-marble,15,,true,4,Aidan HutchinsonTravon Walker
auto-dual-patch-autographs-neon-marble,16,,true,4,"Ahmad ""Sauce"" GardnerKyle Hamilton"
