category,cardNumber,parallel,isAuto,printRun,player
auto-dual-patch-autographs-neon-splatter,1,,true,8,Dameon PierceJohn Metchie III
auto-dual-patch-autographs-neon-splatter,2,,true,8,Pierre Strong Jr.Tyquan Thornton
auto-dual-patch-autographs-neon-splatter,3,,true,8,Breece HallGarrett Wilson
auto-dual-patch-autographs-neon-splatter,4,,true,8,Calvin Austin IIIGeorge Pickens
auto-dual-patch-autographs-neon-splatter,5,,true,8,Hassan HaskinsTreylon Burks
auto-dual-patch-autographs-neon-splatter,6,,true,8,Desmond RidderDrake London
auto-dual-patch-autographs-neon-splatter,7,,true,8,Christian WatsonRomeo Doubs
auto-dual-patch-autographs-neon-splatter,8,,true,8,Danny GrayTyrion Davis-Price
auto-dual-patch-autographs-neon-splatter,9,,true,8,Brian Robinson Jr.Jahan Dotson
auto-dual-patch-autographs-neon-splatter,10,,true,8,Kenny PickettMalik Willis
auto-dual-patch-autographs-neon-splatter,11,,true,8,Matt CorralSam Howell
auto-dual-patch-autographs-neon-splatter,12,,true,8,Chris OlaveJameson Williams
auto-dual-patch-autographs-neon-splatter,14,,true,8,Alec PierceSkyy Moore
auto-dual-patch-autographs-neon-splatter,15,,true,8,Aidan HutchinsonTravon Walker
auto-dual-patch-autographs-neon-splatter,16,,true,8,"Ahmad ""Sauce"" GardnerKyle Hamilton"
