category,cardNumber,parallel,isAuto,printRun,player
auto-dual-patch-autographs-wave,1,,true,16,Dameon PierceJohn Metchie III
auto-dual-patch-autographs-wave,2,,true,16,Pierre Strong Jr.Tyquan Thornton
auto-dual-patch-autographs-wave,3,,true,16,Breece HallGarrett Wilson
auto-dual-patch-autographs-wave,4,,true,16,Calvin Austin IIIGeorge Pickens
auto-dual-patch-autographs-wave,5,,true,16,Hassan HaskinsTreylon Burks
auto-dual-patch-autographs-wave,6,,true,16,Desmond RidderDrake London
auto-dual-patch-autographs-wave,7,,true,16,Christian WatsonRomeo Doubs
auto-dual-patch-autographs-wave,8,,true,16,Danny GrayTyrion Davis-Price
auto-dual-patch-autographs-wave,9,,true,16,Brian Robinson Jr.Jahan Dotson
auto-dual-patch-autographs-wave,10,,true,16,Kenny PickettMalik Willis
auto-dual-patch-autographs-wave,11,,true,16,Matt CorralSam Howell
auto-dual-patch-autographs-wave,12,,true,16,Chris OlaveJameson Williams
auto-dual-patch-autographs-wave,13,,true,16,James CookKenneth Walker III
auto-dual-patch-autographs-wave,14,,true,16,Alec PierceSkyy Moore
auto-dual-patch-autographs-wave,15,,true,16,Aidan HutchinsonTravon Walker
auto-dual-patch-autographs-wave,16,,true,16,"Ahmad ""Sauce"" GardnerKyle Hamilton"
