category,cardNumber,parallel,isAuto,printRun,player
auto-rookie-autographs-gold,1,,true,1,Derek Stingley Jr.
auto-rookie-autographs-gold,2,,true,1,Kayvon Thibodeaux
auto-rookie-autographs-gold,4,,true,1,Evan Neal
auto-rookie-autographs-gold,6,,true,1,Jordan Davis
auto-rookie-autographs-gold,7,,true,1,Trent McDuffie
auto-rookie-autographs-gold,8,,true,1,Quay Walker
auto-rookie-autographs-gold,11,,true,1,Devonte Wyatt
auto-rookie-autographs-gold,14,,true,1,Lewis Cine
auto-rookie-autographs-gold,15,,true,1,Logan Hall
auto-rookie-autographs-gold,16,,true,1,Roger McCreary
auto-rookie-autographs-gold,17,,true,1,Jalen Pitre
auto-rookie-autographs-gold,18,,true,1,Kyler Gordon
auto-rookie-autographs-gold,20,,true,1,David Ojabo
auto-rookie-autographs-gold,21,,true,1,Phidarian Mathis
auto-rookie-autographs-gold,22,,true,1,Jaquan Brisker
auto-rookie-autographs-gold,23,,true,1,Alontae Taylor
auto-rookie-autographs-gold,24,,true,1,Sam Williams
auto-rookie-autographs-gold,25,,true,1,Cam Taylor-Britt
auto-rookie-autographs-gold,26,,true,1,Kyren Williams
auto-rookie-autographs-gold,28,,true,1,Jelani Woods
auto-rookie-autographs-gold,29,,true,1,Greg Dulcich
auto-rookie-autographs-gold,30,,true,1,Nakobe Dean
auto-rookie-autographs-gold,31,,true,1,DeMarvin Leal
auto-rookie-autographs-gold,32,,true,1,Rachaad White
auto-rookie-autographs-gold,33,,true,1,Cade Otton
auto-rookie-autographs-gold,34,,true,1,Jake Ferguson
auto-rookie-autographs-gold,35,,true,1,Isaiah Likely
auto-rookie-autographs-gold,36,,true,1,Tyler Allgeier
auto-rookie-autographs-gold,37,,true,1,Jerome Ford
auto-rookie-autographs-gold,38,,true,1,Kyle Philips
auto-rookie-autographs-gold,39,,true,1,Skylar Thompson
auto-rookie-autographs-gold,40,,true,1,Brock Purdy
