category,cardNumber,parallel,isAuto,printRun,player
auto-rookie-autographs-nebula,1,,true,2,Derek Stingley Jr.
auto-rookie-autographs-nebula,2,,true,2,Kayvon Thibodeaux
auto-rookie-autographs-nebula,4,,true,2,Evan Neal
auto-rookie-autographs-nebula,6,,true,2,Jordan Davis
auto-rookie-autographs-nebula,7,,true,2,Trent McDuffie
auto-rookie-autographs-nebula,11,,true,2,Devonte Wyatt
auto-rookie-autographs-nebula,14,,true,2,Lewis Cine
auto-rookie-autographs-nebula,15,,true,2,Logan Hall
auto-rookie-autographs-nebula,16,,true,2,Roger McCreary
auto-rookie-autographs-nebula,17,,true,2,Jalen Pitre
auto-rookie-autographs-nebula,18,,true,2,Kyler Gordon
auto-rookie-autographs-nebula,20,,true,2,David Ojabo
auto-rookie-autographs-nebula,21,,true,2,Phidarian Mathis
auto-rookie-autographs-nebula,22,,true,2,Jaquan Brisker
auto-rookie-autographs-nebula,24,,true,2,Sam Williams
auto-rookie-autographs-nebula,25,,true,2,Cam Taylor-Britt
auto-rookie-autographs-nebula,26,,true,2,Kyren Williams
auto-rookie-autographs-nebula,28,,true,2,Jelani Woods
auto-rookie-autographs-nebula,29,,true,2,Greg Dulcich
auto-rookie-autographs-nebula,30,,true,2,Nakobe Dean
auto-rookie-autographs-nebula,31,,true,2,DeMarvin Leal
auto-rookie-autographs-nebula,33,,true,2,Cade Otton
auto-rookie-autographs-nebula,34,,true,2,Jake Ferguson
auto-rookie-autographs-nebula,35,,true,2,Isaiah Likely
auto-rookie-autographs-nebula,36,,true,2,Tyler Allgeier
auto-rookie-autographs-nebula,37,,true,2,Jerome Ford
auto-rookie-autographs-nebula,38,,true,2,Kyle Philips
auto-rookie-autographs-nebula,39,,true,2,Skylar Thompson
auto-rookie-autographs-nebula,40,,true,2,Brock Purdy
