category,cardNumber,parallel,isAuto,printRun,player
auto-rookie-autographs,1,,true,99,Derek Stingley Jr.
auto-rookie-autographs,2,,true,99,Kayvon Thibodeaux
auto-rookie-autographs,7,,true,99,Trent McDuffie
auto-rookie-autographs,11,,true,99,Devonte Wyatt
auto-rookie-autographs,14,,true,99,Lewis Cine
auto-rookie-autographs,15,,true,99,Logan Hall
auto-rookie-autographs,16,,true,99,Roger McCreary
auto-rookie-autographs,20,,true,99,David Ojabo
auto-rookie-autographs,21,,true,99,Phidarian Mathis
auto-rookie-autographs,24,,true,99,Sam Williams
auto-rookie-autographs,25,,true,99,Cam Taylor-Britt
auto-rookie-autographs,26,,true,99,Kyren Williams
auto-rookie-autographs,28,,true,99,Jelani Woods
auto-rookie-autographs,29,,true,99,Greg Dulcich
auto-rookie-autographs,30,,true,99,Nakobe Dean
auto-rookie-autographs,31,,true,99,DeMarvin Leal
auto-rookie-autographs,33,,true,99,Cade Otton
auto-rookie-autographs,34,,true,99,Jake Ferguson
auto-rookie-autographs,35,,true,99,Isaiah Likely
auto-rookie-autographs,36,,true,99,Tyler Allgeier
auto-rookie-autographs,37,,true,99,Jerome Ford
auto-rookie-autographs,38,,true,99,Kyle Philips
auto-rookie-autographs,39,,true,99,Skylar Thompson
auto-rookie-autographs,40,,true,99,Brock Purdy
auto-rookie-autographs-celestial,1,Celestial,true,75,Derek Stingley Jr.
auto-rookie-autographs-celestial,2,Celestial,true,75,Kayvon Thibodeaux
auto-rookie-autographs-celestial,7,Celestial,true,75,Trent McDuffie
auto-rookie-autographs-celestial,11,Celestial,true,75,Devonte Wyatt
auto-rookie-autographs-celestial,14,Celestial,true,75,Lewis Cine
auto-rookie-autographs-celestial,15,Celestial,true,75,Logan Hall
auto-rookie-autographs-celestial,16,Celestial,true,75,Roger McCreary
auto-rookie-autographs-celestial,20,Celestial,true,75,David Ojabo
auto-rookie-autographs-celestial,21,Celestial,true,75,Phidarian Mathis
auto-rookie-autographs-celestial,24,Celestial,true,75,Sam Williams
auto-rookie-autographs-celestial,25,Celestial,true,75,Cam Taylor-Britt
auto-rookie-autographs-celestial,26,Celestial,true,75,Kyren Williams
auto-rookie-autographs-celestial,28,Celestial,true,75,Jelani Woods
auto-rookie-autographs-celestial,29,Celestial,true,75,Greg Dulcich
auto-rookie-autographs-celestial,30,Celestial,true,75,Nakobe Dean
auto-rookie-autographs-celestial,31,Celestial,true,75,DeMarvin Leal
auto-rookie-autographs-celestial,33,Celestial,true,75,Cade Otton
auto-rookie-autographs-celestial,34,Celestial,true,75,Jake Ferguson
auto-rookie-autographs-celestial,35,Celestial,true,75,Isaiah Likely
auto-rookie-autographs-celestial,36,Celestial,true,75,Tyler Allgeier
auto-rookie-autographs-celestial,37,Celestial,true,75,Jerome Ford
auto-rookie-autographs-celestial,38,Celestial,true,75,Kyle Philips
auto-rookie-autographs-celestial,39,Celestial,true,75,Skylar Thompson
auto-rookie-autographs-celestial,40,Celestial,true,75,Brock Purdy
auto-rookie-autographs-hyper,1,Hyper,true,60,Derek Stingley Jr.
auto-rookie-autographs-hyper,2,Hyper,true,60,Kayvon Thibodeaux
auto-rookie-autographs-hyper,7,Hyper,true,60,Trent McDuffie
auto-rookie-autographs-hyper,11,Hyper,true,60,Devonte Wyatt
auto-rookie-autographs-hyper,14,Hyper,true,60,Lewis Cine
auto-rookie-autographs-hyper,15,Hyper,true,60,Logan Hall
auto-rookie-autographs-hyper,16,Hyper,true,60,Roger McCreary
auto-rookie-autographs-hyper,20,Hyper,true,60,David Ojabo
auto-rookie-autographs-hyper,21,Hyper,true,60,Phidarian Mathis
auto-rookie-autographs-hyper,24,Hyper,true,60,Sam Williams
auto-rookie-autographs-hyper,25,Hyper,true,60,Cam Taylor-Britt
auto-rookie-autographs-hyper,26,Hyper,true,60,Kyren Williams
auto-rookie-autographs-hyper,28,Hyper,true,60,Jelani Woods
auto-rookie-autographs-hyper,29,Hyper,true,60,Greg Dulcich
auto-rookie-autographs-hyper,30,Hyper,true,60,Nakobe Dean
auto-rookie-autographs-hyper,31,Hyper,true,60,DeMarvin Leal
auto-rookie-autographs-hyper,33,Hyper,true,60,Cade Otton
auto-rookie-autographs-hyper,34,Hyper,true,60,Jake Ferguson
auto-rookie-autographs-hyper,35,Hyper,true,60,Isaiah Likely
auto-rookie-autographs-hyper,36,Hyper,true,60,Tyler Allgeier
auto-rookie-autographs-hyper,37,Hyper,true,60,Jerome Ford
auto-rookie-autographs-hyper,38,Hyper,true,60,Kyle Philips
auto-rookie-autographs-hyper,39,Hyper,true,60,Skylar Thompson
auto-rookie-autographs-hyper,40,Hyper,true,60,Brock Purdy
