category,cardNumber,parallel,isAuto,printRun,player
auto-hoops-ink,1,,true,,Dale Ellis
auto-hoops-ink,2,,true,,Kevin Garnett
auto-hoops-ink,3,,true,,Anthony Edwards
auto-hoops-ink,4,,true,,Steve Kerr
auto-hoops-ink,5,,true,,Kevin Huerter
auto-hoops-ink,6,,true,,Bradley Beal
auto-hoops-ink,7,,true,,Nikola Jokic
auto-hoops-ink,8,,true,,Bob McAdoo
auto-hoops-ink,9,,true,,Dennis Rodman
auto-hoops-ink,10,,true,,Jaylin Williams
auto-hoops-ink,11,,true,,Joakim Noah
auto-hoops-ink,12,,true,,Cole Anthony
auto-hoops-ink,13,,true,,Jalen Duren
auto-hoops-ink,14,,true,,Chris Mullin
auto-hoops-ink,15,,true,,Jason Williams
auto-hoops-ink,16,,true,,Saddiq Bey
auto-hoops-ink,17,,true,,Christian Braun
auto-hoops-ink,18,,true,,Johnny Davis
auto-hoops-ink,19,,true,,Marcus Smart
auto-hoops-ink,20,,true,,Steve Francis
auto-hoops-ink,21,,true,,Tari Eason
auto-hoops-ink,22,,true,,Dyson Daniels
auto-hoops-ink,23,,true,,Lauri Markkanen
auto-hoops-ink,24,,true,,Markelle Fultz
auto-hoops-ink,25,,true,,Jalen Williams
auto-hoops-ink,26,,true,,Ben Wallace
auto-hoops-ink,27,,true,,Ochai Agbaji
auto-hoops-ink,28,,true,,Zach Randolph
auto-hoops-ink,29,,true,,Ja Morant
auto-hoops-ink,30,,true,,Bobby Portis
auto-hoops-ink,31,,true,,Shaedon Sharpe
auto-hoops-ink,32,,true,,Ralph Sampson
auto-hoops-ink,33,,true,,Austin Reaves
auto-hoops-ink,34,,true,,AJ Griffin
auto-hoops-ink,35,,true,,Tyrese Haliburton
auto-hoops-ink,36,,true,,Nikola Vucevic
auto-hoops-ink,37,,true,,Nick Van Exel
auto-hoops-ink,38,,true,,Shawn Kemp
auto-hoops-ink,39,,true,,Ivica Zubac
auto-hoops-ink,40,,true,,Larry Johnson
auto-hoops-ink,41,,true,,Keldon Johnson
auto-hoops-ink,42,,true,,Jaden Ivey
auto-hoops-ink,44,,true,,Tim Hardaway Jr.
auto-hoops-ink,45,,true,,Chet Holmgren
auto-hoops-ink,46,,true,,Jonathan Kuminga
auto-hoops-ink,47,,true,,Max Strus
auto-hoops-ink,48,,true,,Seth Curry
auto-hoops-ink,49,,true,,Bennedict Mathurin
auto-hoops-ink,50,,true,,Josh Giddey
auto-hoops-ink-hyper-gold,1,Hyper Gold,true,,Dale Ellis
auto-hoops-ink-hyper-gold,2,Hyper Gold,true,,Kevin Garnett
auto-hoops-ink-hyper-gold,3,Hyper Gold,true,,Anthony Edwards
auto-hoops-ink-hyper-gold,4,Hyper Gold,true,,Steve Kerr
auto-hoops-ink-hyper-gold,5,Hyper Gold,true,,Kevin Huerter
auto-hoops-ink-hyper-gold,6,Hyper Gold,true,,Bradley Beal
auto-hoops-ink-hyper-gold,7,Hyper Gold,true,,Nikola Jokic
auto-hoops-ink-hyper-gold,8,Hyper Gold,true,,Bob McAdoo
auto-hoops-ink-hyper-gold,9,Hyper Gold,true,,Dennis Rodman
auto-hoops-ink-hyper-gold,10,Hyper Gold,true,,Jaylin Williams
auto-hoops-ink-hyper-gold,11,Hyper Gold,true,,Joakim Noah
auto-hoops-ink-hyper-gold,12,Hyper Gold,true,,Cole Anthony
auto-hoops-ink-hyper-gold,13,Hyper Gold,true,,Jalen Duren
auto-hoops-ink-hyper-gold,14,Hyper Gold,true,,Chris Mullin
auto-hoops-ink-hyper-gold,15,Hyper Gold,true,,Jason Williams
auto-hoops-ink-hyper-gold,16,Hyper Gold,true,,Saddiq Bey
auto-hoops-ink-hyper-gold,17,Hyper Gold,true,,Christian Braun
auto-hoops-ink-hyper-gold,18,Hyper Gold,true,,Johnny Davis
auto-hoops-ink-hyper-gold,19,Hyper Gold,true,,Marcus Smart
auto-hoops-ink-hyper-gold,20,Hyper Gold,true,,Steve Francis
auto-hoops-ink-hyper-gold,21,Hyper Gold,true,,Tari Eason
auto-hoops-ink-hyper-gold,22,Hyper Gold,true,,Dyson Daniels
auto-hoops-ink-hyper-gold,23,Hyper Gold,true,,Lauri Markkanen
auto-hoops-ink-hyper-gold,24,Hyper Gold,true,,Markelle Fultz
auto-hoops-ink-hyper-gold,25,Hyper Gold,true,,Jalen Williams
auto-hoops-ink-hyper-gold,26,Hyper Gold,true,,Ben Wallace
