category,cardNumber,parallel,isAuto,printRun,player
insert-anti-gravity,1,Anti Gravity,false,,Ja Morant
insert-anti-gravity,2,Anti Gravity,false,,Anthony Edwards
insert-anti-gravity,3,Anti Gravity,false,,Zach LaVine
insert-anti-gravity,4,Anti Gravity,false,,Zion Williamson
insert-anti-gravity,5,Anti Gravity,false,,LeBron James
insert-anti-gravity,6,Anti Gravity,false,,Cade Cunningham
insert-anti-gravity,7,Anti Gravity,false,,Jaylen Brown
insert-anti-gravity,8,Anti Gravity,false,,Giannis Antetokounmpo
insert-anti-gravity,9,Anti Gravity,false,,Donovan Mitchell
insert-anti-gravity,10,Anti Gravity,false,,De'Aaron Fox
insert-anti-gravity,11,Anti Gravity,false,,Scoot Henderson
insert-anti-gravity,12,Anti Gravity,false,,Jordan Hawkins
insert-anti-gravity,13,Anti Gravity,false,,Keyonte George
insert-anti-gravity,14,Anti Gravity,false,,Brandon Miller
insert-anti-gravity,15,Anti Gravity,false,,Victor Wembanyama
insert-anti-gravity,16,Anti Gravity,false,,Anthony Black
insert-anti-gravity,17,Anti Gravity,false,,Amen Thompson
insert-anti-gravity,18,Anti Gravity,false,,Ausar Thompson
insert-anti-gravity,19,Anti Gravity,false,,Jett Howard
insert-anti-gravity,20,Anti Gravity,false,,Taylor Hendricks
insert-anti-gravity-holo,1,Anti Gravity Holo,false,,Ja Morant
insert-anti-gravity-holo,2,Anti Gravity Holo,false,,Anthony Edwards
insert-anti-gravity-holo,3,Anti Gravity Holo,false,,Zach LaVine
insert-anti-gravity-holo,4,Anti Gravity Holo,false,,Zion Williamson
insert-anti-gravity-holo,5,Anti Gravity Holo,false,,LeBron James
insert-anti-gravity-holo,6,Anti Gravity Holo,false,,Cade Cunningham
insert-anti-gravity-holo,7,Anti Gravity Holo,false,,Jaylen Brown
insert-anti-gravity-holo,8,Anti Gravity Holo,false,,Giannis Antetokounmpo
insert-anti-gravity-holo,9,Anti Gravity Holo,false,,Donovan Mitchell
insert-anti-gravity-holo,10,Anti Gravity Holo,false,,De'Aaron Fox
insert-anti-gravity-holo,11,Anti Gravity Holo,false,,Scoot Henderson
insert-anti-gravity-holo,12,Anti Gravity Holo,false,,Jordan Hawkins
insert-anti-gravity-holo,13,Anti Gravity Holo,false,,Keyonte George
insert-anti-gravity-holo,14,Anti Gravity Holo,false,,Brandon Miller
insert-anti-gravity-holo,15,Anti Gravity Holo,false,,Victor Wembanyama
insert-anti-gravity-holo,16,Anti Gravity Holo,false,,Anthony Black
insert-anti-gravity-holo,17,Anti Gravity Holo,false,,Amen Thompson
