category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Troy Terry
base,2,,false,,Jackson LaCombe
base,3,,false,,Tristan Luneau
base,4,,false,,Pavel Mintyukov
base,5,,false,,Frank Vatrano
base,6,,false,,Alex Killorn
base,7,,false,,Lukas Dostal
base,8,,false,,Clayton Keller
base,9,,false,,Alex Kerfoot
base,10,,false,,Nick Schmaltz
base,11,,false,,Sean Durzi
base,12,,false,,Lawson Crouse
base,13,,false,,Jack McBain
base,14,,false,,Connor Ingram
base,15,,false,,Brad Marchand
base,16,,false,,Morgan Geekie
base,17,,false,,Brandon Carlo
base,18,,false,,Linus Ullmark
base,19,,false,,Matthew Poitras
base,20,,false,,Charlie Coyle
base,21,,false,,Pavel Zacha
base,22,,false,,Jeff Skinner
base,23,,false,,Alex Tuch
base,24,,false,,Zach Benson
base,25,,false,,Connor Clifton
base,26,,false,,Bowen Byram
base,27,,false,,Jack Quinn
base,28,,false,,Matt Savoie
base,29,,false,,Andrew Mangiapane
base,30,,false,,Dustin Wolf
base,31,,false,,Blake Coleman
base,32,,false,,Connor Zary
base,33,,false,,Yegor Sharangovich
base,34,,false,,Jonathan Huberdeau
base,35,,false,,Andrei Kuzmenko
base,36,,false,,Brent Burns
base,37,,false,,Andrei Svechnikov
base,38,,false,,Pyotr Kochetkov
base,39,,false,,Dmitry Orlov
base,40,,false,,Jesper Fast
base,41,,false,,Martin Necas
base,42,,false,,Connor Bedard
base,43,,false,,Nick Foligno
base,44,,false,,Kevin Korchinski
base,45,,false,,Jason Dickinson
base,46,,false,,Alex Vlasic
base,47,,false,,Philipp Kurashev
base,48,,false,,Cale Makar
base,49,,false,,Samuel Girard
base,50,,false,,Ross Colton
base,51,,false,,Alexandar Georgiev
base,52,,false,,Artturi Lehkonen
base,53,,false,,Miles Wood
base,54,,false,,Adam Fantilli
base,55,,false,,Boone Jenner
base,56,,false,,Dmitri Voronkov
base,57,,false,,Yegor Chinakhov
base,58,,false,,Cole Sillinger
base,59,,false,,Zach Werenski
base,60,,false,,Erik Gudbranson
base,61,,false,,Jake Oettinger
base,62,,false,,Jason Robertson
base,63,,false,,Wyatt Johnston
base,64,,false,,Jamie Benn
base,65,,false,,Mason Marchment
base,66,,false,,Ryan Suter
base,67,,false,,Alex DeBrincat
base,68,,false,,Lucas Raymond
base,69,,false,,J.T. Compher
base,70,,false,,Joe Veleno
base,71,,false,,Alex Lyon
base,72,,false,,Andrew Copp
base,73,,false,,Jake Walman
base,74,,false,,Connor McDavid
base,75,,false,,Stuart Skinner
base,76,,false,,Darnell Nurse
base,77,,false,,Evander Kane
base,78,,false,,Mattias Ekholm
base,79,,false,,Raphael Lavoie
base,80,,false,,Aleksander Barkov
base,81,,false,,Carter Verhaeghe
base,82,,false,,Anton Lundell
base,83,,false,,Niko Mikkola
base,84,,false,,Sam Bennett
base,85,,false,,Mackie Samoskevich
base,86,,false,,Trevor Moore
base,87,,false,,Adrian Kempe
base,88,,false,,Drew Doughty
base,89,,false,,Brandt Clarke
base,90,,false,,Alex Laferriere
base,91,,false,,Pierre-Luc Dubois
base,92,,false,,Brock Faber
base,93,,false,,Joel Eriksson Ek
base,94,,false,,Filip Gustavsson
base,95,,false,,Ryan Hartman
base,96,,false,,Matt Boldy
base,97,,false,,Marco Rossi
base,98,,false,,Cole Caufield
base,99,,false,,Jake Evans
base,100,,false,,Brendan Gallagher
base,101,,false,,Juraj Slafkovsky
base,102,,false,,Alex Newhook
base,103,,false,,Samuel Montembeault
base,104,,false,,Ryan O'Reilly
base,105,,false,,Thomas Novak
base,106,,false,,Luke Evangelista
base,107,,false,,Ryan McDonagh
base,108,,false,,Roman Josi
base,109,,false,,Colton Sissons
base,110,,false,,Jesper Bratt
base,111,,false,,Simon Nemec
base,112,,false,,Luke Hughes
base,113,,false,,Timo Meier
base,114,,false,,Ondrej Palat
base,115,,false,,John Marino
base,116,,false,,Ilya Sorokin
base,117,,false,,Brock Nelson
base,118,,false,,Anders Lee
base,119,,false,,Kyle Palmieri
base,120,,false,,Pierre Engvall
base,121,,false,,Ryan Pulock
base,122,,false,,Jacob Trouba
base,123,,false,,Jimmy Vesey
base,124,,false,,Will Cuylle
base,125,,false,,Vincent Trocheck
base,126,,false,,Alexis Lafreniere
base,127,,false,,Chris Kreider
base,128,,false,,Tim Stutzle
base,129,,false,,Jake Sanderson
base,130,,false,,Joonas Korpisalo
base,131,,false,,Ridly Greig
base,132,,false,,Josh Norris
base,133,,false,,Drake Batherson
base,134,,false,,Jamie Drysdale
base,135,,false,,Samuel Ersson
base,136,,false,,Joel Farabee
base,137,,false,,Tyson Foerster
base,138,,false,,Owen Tippett
base,139,,false,,Travis Sanheim
base,140,,false,,Evgeni Malkin
base,141,,false,,Bryan Rust
base,142,,false,,Rickard Rakell
base,143,,false,,Kris Letang
base,144,,false,,Marcus Pettersson
base,145,,false,,Tristan Jarry
base,146,,false,,Mackenzie Blackwood
base,147,,false,,Mikael Granlund
base,148,,false,,Fabian Zetterlund
base,149,,false,,Marc-Edouard Vlasic
base,150,,false,,Logan Couture
base,151,,false,,Mario Ferraro
base,152,,false,,Jared McCann
base,153,,false,,Jaden Schwartz
base,154,,false,,Yanni Gourde
base,155,,false,,Tye Kartye
base,156,,false,,Philipp Grubauer
base,157,,false,,Vince Dunn
base,158,,false,,Pavel Buchnevich
base,159,,false,,Jordan Kyrou
base,160,,false,,Jake Neighbours
base,161,,false,,Kevin Hayes
base,162,,false,,Colton Parayko
base,163,,false,,Jordan Binnington
base,164,,false,,Jonas Johansson
base,165,,false,,Mikhail Sergachev
base,166,,false,,Tanner Jeannot
base,167,,false,,Nikita Kucherov
base,168,,false,,Brandon Hagel
base,169,,false,,Erik Cernak
base,170,,false,,William Nylander
base,171,,false,,Matthew Knies
base,172,,false,,Mitch Marner
base,173,,false,,Calle Jarnkrok
base,174,,false,,Jake McCabe
base,175,,false,,Joseph Woll
base,176,,false,,Quinn Hughes
base,177,,false,,Thatcher Demko
base,178,,false,,J.T. Miller
base,179,,false,,Ilya Mikheyev
base,180,,false,,Pius Suter
base,181,,false,,Jack Eichel
base,182,,false,,Adin Hill
base,183,,false,,Nicolas Roy
base,184,,false,,Ivan Barbashev
