category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Cooper Flagg
base,1,Fuchsia Mojo,false,299,Cooper Flagg
base,1,Burgundy Mojo,false,275,Cooper Flagg
base,1,Purple Mojo,false,250,Cooper Flagg
base,1,Pink Mojo,false,199,Cooper Flagg
base,1,Navy Mojo,false,175,Cooper Flagg
base,1,Blue Mojo,false,150,Cooper Flagg
base,1,Aqua Mojo,false,125,Cooper Flagg
base,1,Green Mojo,false,99,Cooper Flagg
base,1,Yellow Mojo,false,75,Cooper Flagg
base,1,Gold Mojo,false,50,Cooper Flagg
base,1,Orange Mojo,false,25,Cooper Flagg
base,1,Black Mojo,false,10,Cooper Flagg
base,1,Red Mojo,false,5,Cooper Flagg
base,1,Rose Gold Mojo,false,1,Cooper Flagg
base,2,,false,,Dylan Harper
base,2,Fuchsia Mojo,false,299,Dylan Harper
base,2,Burgundy Mojo,false,275,Dylan Harper
base,2,Purple Mojo,false,250,Dylan Harper
base,2,Pink Mojo,false,199,Dylan Harper
base,2,Navy Mojo,false,175,Dylan Harper
base,2,Blue Mojo,false,150,Dylan Harper
base,2,Aqua Mojo,false,125,Dylan Harper
base,2,Green Mojo,false,99,Dylan Harper
base,2,Yellow Mojo,false,75,Dylan Harper
base,2,Gold Mojo,false,50,Dylan Harper
base,2,Orange Mojo,false,25,Dylan Harper
base,2,Black Mojo,false,10,Dylan Harper
base,2,Red Mojo,false,5,Dylan Harper
base,2,Rose Gold Mojo,false,1,Dylan Harper
base,3,,false,,VJ Edgecombe
base,3,Fuchsia Mojo,false,299,VJ Edgecombe
base,3,Burgundy Mojo,false,275,VJ Edgecombe
base,3,Purple Mojo,false,250,VJ Edgecombe
base,3,Pink Mojo,false,199,VJ Edgecombe
base,3,Navy Mojo,false,175,VJ Edgecombe
base,3,Blue Mojo,false,150,VJ Edgecombe
base,3,Aqua Mojo,false,125,VJ Edgecombe
base,3,Green Mojo,false,99,VJ Edgecombe
base,3,Yellow Mojo,false,75,VJ Edgecombe
base,3,Gold Mojo,false,50,VJ Edgecombe
base,3,Orange Mojo,false,25,VJ Edgecombe
base,3,Black Mojo,false,10,VJ Edgecombe
base,3,Red Mojo,false,5,VJ Edgecombe
base,3,Rose Gold Mojo,false,1,VJ Edgecombe
base,4,,false,,Kon Knueppel
base,4,Fuchsia Mojo,false,299,Kon Knueppel
base,4,Burgundy Mojo,false,275,Kon Knueppel
base,4,Purple Mojo,false,250,Kon Knueppel
base,4,Pink Mojo,false,199,Kon Knueppel
base,4,Navy Mojo,false,175,Kon Knueppel
base,4,Blue Mojo,false,150,Kon Knueppel
base,4,Aqua Mojo,false,125,Kon Knueppel
base,4,Green Mojo,false,99,Kon Knueppel
base,4,Yellow Mojo,false,75,Kon Knueppel
base,4,Gold Mojo,false,50,Kon Knueppel
base,4,Orange Mojo,false,25,Kon Knueppel
base,4,Black Mojo,false,10,Kon Knueppel
base,4,Red Mojo,false,5,Kon Knueppel
base,4,Rose Gold Mojo,false,1,Kon Knueppel
base,5,,false,,Ace Bailey
base,5,Fuchsia Mojo,false,299,Ace Bailey
base,5,Burgundy Mojo,false,275,Ace Bailey
base,5,Purple Mojo,false,250,Ace Bailey
base,5,Pink Mojo,false,199,Ace Bailey
base,5,Navy Mojo,false,175,Ace Bailey
base,5,Blue Mojo,false,150,Ace Bailey
base,5,Aqua Mojo,false,125,Ace Bailey
base,5,Green Mojo,false,99,Ace Bailey
base,5,Yellow Mojo,false,75,Ace Bailey
base,5,Gold Mojo,false,50,Ace Bailey
base,5,Orange Mojo,false,25,Ace Bailey
base,5,Black Mojo,false,10,Ace Bailey
base,5,Red Mojo,false,5,Ace Bailey
base,5,Rose Gold Mojo,false,1,Ace Bailey
base,6,,false,,Tre Johnson III
base,6,Fuchsia Mojo,false,299,Tre Johnson III
base,6,Burgundy Mojo,false,275,Tre Johnson III
base,6,Purple Mojo,false,250,Tre Johnson III
base,6,Pink Mojo,false,199,Tre Johnson III
base,6,Navy Mojo,false,175,Tre Johnson III
base,6,Blue Mojo,false,150,Tre Johnson III
base,6,Aqua Mojo,false,125,Tre Johnson III
base,6,Green Mojo,false,99,Tre Johnson III
base,6,Yellow Mojo,false,75,Tre Johnson III
base,6,Gold Mojo,false,50,Tre Johnson III
base,6,Orange Mojo,false,25,Tre Johnson III
base,6,Black Mojo,false,10,Tre Johnson III
base,6,Red Mojo,false,5,Tre Johnson III
base,6,Rose Gold Mojo,false,1,Tre Johnson III
base,7,,false,,Jeremiah Fears
base,7,Fuchsia Mojo,false,299,Jeremiah Fears
base,7,Burgundy Mojo,false,275,Jeremiah Fears
base,7,Purple Mojo,false,250,Jeremiah Fears
base,7,Pink Mojo,false,199,Jeremiah Fears
base,7,Navy Mojo,false,175,Jeremiah Fears
base,7,Blue Mojo,false,150,Jeremiah Fears
base,7,Aqua Mojo,false,125,Jeremiah Fears
base,7,Green Mojo,false,99,Jeremiah Fears
base,7,Yellow Mojo,false,75,Jeremiah Fears
base,7,Gold Mojo,false,50,Jeremiah Fears
base,7,Orange Mojo,false,25,Jeremiah Fears
base,7,Black Mojo,false,10,Jeremiah Fears
base,7,Red Mojo,false,5,Jeremiah Fears
base,7,Rose Gold Mojo,false,1,Jeremiah Fears
base,8,,false,,Egor Dëmin
base,8,Fuchsia Mojo,false,299,Egor Dëmin
base,8,Burgundy Mojo,false,275,Egor Dëmin
base,8,Purple Mojo,false,250,Egor Dëmin
