category,cardNumber,parallel,isAuto,printRun,player
insert-base-cards-i-chrome-variation,BCV-1,,false,,Cooper Flagg
insert-base-cards-i-chrome-variation,BCV-2,,false,,Dylan Harper
insert-base-cards-i-chrome-variation,BCV-3,,false,,VJ Edgecombe
insert-base-cards-i-chrome-variation,BCV-4,,false,,Kon Knueppel
insert-base-cards-i-chrome-variation,BCV-5,,false,,Ace Bailey
insert-base-cards-i-chrome-variation,BCV-6,,false,,Tre Johnson III
insert-base-cards-i-chrome-variation,BCV-7,,false,,Jeremiah Fears
insert-base-cards-i-chrome-variation,BCV-8,,false,,Egor Dëmin
insert-base-cards-i-chrome-variation,BCV-9,,false,,Collin Murray-Boyles
insert-base-cards-i-chrome-variation,BCV-10,,false,,Khaman Maluach
insert-base-cards-i-chrome-variation,BCV-11,,false,,Cedric Coward
insert-base-cards-i-chrome-variation,BCV-12,,false,,Noa Essengue
insert-base-cards-i-chrome-variation,BCV-13,,false,,Derik Queen
insert-base-cards-i-chrome-variation,BCV-14,,false,,Carter Bryant
insert-base-cards-i-chrome-variation,BCV-15,,false,,Thomas Sorber
insert-base-cards-i-chrome-variation,BCV-16,,false,,Yang Hansen
insert-base-cards-i-chrome-variation,BCV-17,,false,,Joan Beringer
insert-base-cards-i-chrome-variation,BCV-18,,false,,Walter Clayton Jr.
insert-base-cards-i-chrome-variation,BCV-19,,false,,Nolan Traore
insert-base-cards-i-chrome-variation,BCV-21,,false,,Will Riley
insert-base-cards-i-chrome-variation,BCV-22,,false,,Drake Powell
insert-base-cards-i-chrome-variation,BCV-23,,false,,Asa Newell
insert-base-cards-i-chrome-variation,BCV-24,,false,,Nique Clifford
insert-base-cards-i-chrome-variation,BCV-25,,false,,Jase Richardson
insert-base-cards-i-chrome-variation,BCV-26,,false,,Ben Saraf
insert-base-cards-i-chrome-variation,BCV-27,,false,,Danny Wolf
insert-base-cards-i-chrome-variation,BCV-29,,false,,Liam McNeeley
