category,cardNumber,parallel,isAuto,printRun,player
base,1,,true,25,Patrick Mahomes II
base,2,,true,99,Shedeur Sanders
base,3,,true,25,Jalen Hurts
base,4,,true,99,Russell Wilson
base,5,,true,25,Justin Herbert
base,6,,true,99,Trevor Lawrence
base,7,,true,99,Ben Roethlisberger
base,8,,true,99,Dak Prescott
base,9,,true,99,J.J. McCarthy
base,10,,true,99,Eli Manning
base,11,,true,99,Quinn Ewers
base,12,,true,99,Joe Montana
base,13,,true,99,Troy Aikman
base,14,,true,99,Jared Goff
base,15,,true,99,Kurt Warner
base,16,,true,99,Derek Carr
base,17,,true,99,Steve Young
base,18,,true,99,Baker Mayfield
base,19,,true,99,Sam Darnold
base,20,,true,99,Tyler Shough
base,21,,true,99,Brock Purdy
base,22,,true,99,Will Howard
base,23,,true,99,Jalen Milroe
base,24,,true,99,Phil Simms
base,25,,true,99,Randall Cunningham
base,26,,true,99,Dillon Gabriel
base,27,,true,99,Riley Leonard
base,28,,true,99,Jake Plummer
