category,cardNumber,parallel,isAuto,printRun,player
base,101,,true,,Abdul Carter
base,102,,true,,Alfred Collins
base,104,,true,,Arian Smith
base,106,,true,,Ashton Jeanty
base,107,,true,,Azareye'h Thomas
base,108,,true,,Benjamin Morrison
base,109,,true,,Bhayshul Tuten
base,110,,true,,Cam Skattebo
base,113,,true,,Chimere Dike
base,114,,true,,Colston Loveland
base,116,,true,,Derrick Harmon
base,117,,true,,Dillon Gabriel
base,118,,true,,DJ Giddens
base,120,,true,,Donovan Jackson
base,121,,true,,Dylan Sampson
base,122,,true,,Elic Ayomanor
base,123,,true,,Elijah Arroyo
base,125,,true,,Grey Zabel
base,126,,true,,Harold Fannin Jr.
base,127,,true,,Isaac TeSlaa
base,128,,true,,Jack Bech
base,129,,true,,Jack Kiser
base,130,,true,,Jack Sawyer
base,131,,true,,Jahdae Barron
base,132,,true,,Jalen Milroe
base,133,,true,,Jalen Royals
base,134,,true,,Jalon Walker
base,136,,true,,Jarquez Hunter
base,138,,true,,Jayden Higgins
base,139,,true,,Jaydon Blue
base,140,,true,,Jaylin Lane
base,141,,true,,Jaylin Noel
base,142,,true,,Jihaad Campbell
base,143,,true,,Jordan Burch
base,144,,true,,Jordan James
base,145,,true,,Josh Conerly Jr.
base,146,,true,,Josh Simmons
base,147,,true,,JT Tuimoloau
base,148,,true,,Kaleb Johnson
base,150,,true,,Kenneth Grant
base,151,,true,,Kyle McCord
base,152,,true,,Kyle Williams
base,153,,true,,Landon Jackson
base,155,,true,,Malaki Starks
base,156,,true,,Mason Graham
base,157,,true,,Mason Taylor
base,158,,true,,Matthew Golden
base,159,,true,,Maxwell Hairston
base,162,,true,,Nic Scourton
base,166,,true,,Omarion Hampton
base,168,,true,,Pat Bryant
base,170,,true,,Quinn Ewers
base,171,,true,,Quinshon Judkins
base,172,,true,,Riley Leonard
base,173,,true,,RJ Harvey
base,174,,true,,Savion Williams
base,176,,true,,Shavon Revel Jr.
base,177,,true,,Shedeur Sanders
base,178,,true,,Shemar James
base,179,,true,,Shemar Stewart
base,181,,true,,Tai Felton
base,182,,true,,Terrance Ferguson
base,183,,true,,Tetairoa McMillan
base,184,,true,,Tez Johnson
base,185,,true,,Tory Horton
base,186,,true,,Travis Hunter
base,187,,true,,Tre Harris
base,188,,true,,TreVeyon Henderson
base,189,,true,,Trevor Etienne
base,191,,true,,Ty Robinson
base,194,,true,,Tyler Shough
base,197,,true,,Will Howard
insert-gold,101,Gold,true,10,Abdul Carter
insert-gold,102,Gold,true,10,Alfred Collins
insert-gold,104,Gold,true,10,Arian Smith
insert-gold,106,Gold,true,10,Ashton Jeanty
insert-gold,107,Gold,true,10,Azareye'h Thomas
insert-gold,108,Gold,true,10,Benjamin Morrison
insert-gold,109,Gold,true,10,Bhayshul Tuten
insert-gold,110,Gold,true,10,Cam Skattebo
insert-gold,113,Gold,true,10,Chimere Dike
insert-gold,114,Gold,true,10,Colston Loveland
insert-gold,116,Gold,true,10,Derrick Harmon
insert-gold,117,Gold,true,10,Dillon Gabriel
insert-gold,118,Gold,true,10,DJ Giddens
insert-gold,119,Gold,true,10,Donovan Ezeiruaku
insert-gold,120,Gold,true,10,Donovan Jackson
insert-gold,121,Gold,true,10,Dylan Sampson
insert-gold,122,Gold,true,10,Elic Ayomanor
insert-gold,123,Gold,true,10,Elijah Arroyo
insert-gold,125,Gold,true,10,Grey Zabel
insert-gold,126,Gold,true,10,Harold Fannin Jr.
insert-gold,127,Gold,true,10,Isaac TeSlaa
insert-gold,128,Gold,true,10,Jack Bech
insert-gold,129,Gold,true,10,Jack Kiser
insert-gold,130,Gold,true,10,Jack Sawyer
insert-gold,131,Gold,true,10,Jahdae Barron
insert-gold,132,Gold,true,10,Jalen Milroe
insert-gold,133,Gold,true,10,Jalen Royals
insert-gold,134,Gold,true,10,Jalon Walker
insert-gold,136,Gold,true,10,Jarquez Hunter
insert-gold,138,Gold,true,10,Jayden Higgins
insert-gold,139,Gold,true,10,Jaydon Blue
insert-gold,140,Gold,true,10,Jaylin Lane
insert-gold,141,Gold,true,10,Jaylin Noel
insert-gold,142,Gold,true,10,Jihaad Campbell
insert-gold,143,Gold,true,10,Jordan Burch
insert-gold,144,Gold,true,10,Jordan James
insert-gold,145,Gold,true,10,Josh Conerly Jr.
insert-gold,146,Gold,true,10,Josh Simmons
insert-gold,147,Gold,true,10,JT Tuimoloau
insert-gold,148,Gold,true,10,Kaleb Johnson
insert-gold,150,Gold,true,10,Kenneth Grant
insert-gold,151,Gold,true,10,Kyle McCord
insert-gold,152,Gold,true,10,Kyle Williams
insert-gold,153,Gold,true,10,Landon Jackson
insert-gold,155,Gold,true,10,Malaki Starks
insert-gold,156,Gold,true,10,Mason Graham
insert-gold,157,Gold,true,10,Mason Taylor
insert-gold,158,Gold,true,10,Matthew Golden
insert-gold,159,Gold,true,10,Maxwell Hairston
insert-gold,161,Gold,true,10,Mykel Williams
insert-gold,162,Gold,true,10,Nic Scourton
insert-gold,163,Gold,true,10,Nick Emmanwori
insert-gold,164,Gold,true,10,Nick Martin
insert-gold,166,Gold,true,10,Omarion Hampton
insert-gold,168,Gold,true,10,Pat Bryant
insert-gold,170,Gold,true,10,Quinn Ewers
insert-gold,171,Gold,true,10,Quinshon Judkins
insert-gold,172,Gold,true,10,Riley Leonard
insert-gold,173,Gold,true,10,RJ Harvey
insert-gold,174,Gold,true,10,Savion Williams
insert-gold,176,Gold,true,10,Shavon Revel Jr.
insert-gold,177,Gold,true,10,Shedeur Sanders
insert-gold,178,Gold,true,10,Shemar James
insert-gold,179,Gold,true,10,Shemar Stewart
insert-gold,180,Gold,true,10,T.J. Sanders
insert-gold,181,Gold,true,10,Tai Felton
insert-gold,182,Gold,true,10,Terrance Ferguson
insert-gold,183,Gold,true,10,Tetairoa McMillan
insert-gold,184,Gold,true,10,Tez Johnson
insert-gold,185,Gold,true,10,Tory Horton
insert-gold,186,Gold,true,10,Travis Hunter
insert-gold,187,Gold,true,10,Tre Harris
insert-gold,188,Gold,true,10,TreVeyon Henderson
insert-gold,189,Gold,true,10,Trevor Etienne
insert-gold,191,Gold,true,10,Ty Robinson
insert-gold,192,Gold,true,10,Tyleik Williams
insert-gold,194,Gold,true,10,Tyler Shough
insert-gold,195,Gold,true,10,Tyler Warren
insert-gold,197,Gold,true,10,Will Howard
insert-gold,198,Gold,true,10,Will Johnson
insert-gold,200,Gold,true,10,Xavier Watts
insert-green,101,Green,true,5,Abdul Carter
insert-green,102,Green,true,5,Alfred Collins
insert-green,104,Green,true,5,Arian Smith
insert-green,106,Green,true,5,Ashton Jeanty
insert-green,107,Green,true,5,Azareye'h Thomas
insert-green,108,Green,true,5,Benjamin Morrison
insert-green,109,Green,true,5,Bhayshul Tuten
insert-green,110,Green,true,5,Cam Skattebo
insert-green,113,Green,true,5,Chimere Dike
insert-green,114,Green,true,5,Colston Loveland
insert-green,116,Green,true,5,Derrick Harmon
insert-green,117,Green,true,5,Dillon Gabriel
insert-green,118,Green,true,5,DJ Giddens
insert-green,119,Green,true,5,Donovan Ezeiruaku
insert-green,120,Green,true,5,Donovan Jackson
insert-green,121,Green,true,5,Dylan Sampson
insert-green,122,Green,true,5,Elic Ayomanor
insert-green,123,Green,true,5,Elijah Arroyo
insert-green,125,Green,true,5,Grey Zabel
insert-green,126,Green,true,5,Harold Fannin Jr.
insert-green,127,Green,true,5,Isaac TeSlaa
insert-green,128,Green,true,5,Jack Bech
insert-green,129,Green,true,5,Jack Kiser
insert-green,130,Green,true,5,Jack Sawyer
insert-green,131,Green,true,5,Jahdae Barron
insert-green,132,Green,true,5,Jalen Milroe
insert-green,133,Green,true,5,Jalen Royals
insert-green,134,Green,true,5,Jalon Walker
insert-green,136,Green,true,5,Jarquez Hunter
insert-green,138,Green,true,5,Jayden Higgins
insert-green,139,Green,true,5,Jaydon Blue
insert-green,140,Green,true,5,Jaylin Lane
insert-green,141,Green,true,5,Jaylin Noel
insert-green,142,Green,true,5,Jihaad Campbell
insert-green,143,Green,true,5,Jordan Burch
insert-green,144,Green,true,5,Jordan James
insert-green,145,Green,true,5,Josh Conerly Jr.
insert-green,146,Green,true,5,Josh Simmons
insert-green,147,Green,true,5,JT Tuimoloau
insert-green,148,Green,true,5,Kaleb Johnson
insert-green,150,Green,true,5,Kenneth Grant
insert-green,151,Green,true,5,Kyle McCord
insert-green,152,Green,true,5,Kyle Williams
insert-green,153,Green,true,5,Landon Jackson
insert-green,155,Green,true,5,Malaki Starks
insert-green,156,Green,true,5,Mason Graham
insert-green,157,Green,true,5,Mason Taylor
insert-green,158,Green,true,5,Matthew Golden
insert-green,159,Green,true,5,Maxwell Hairston
insert-green,161,Green,true,5,Mykel Williams
insert-green,162,Green,true,5,Nic Scourton
insert-green,163,Green,true,5,Nick Emmanwori
insert-green,164,Green,true,5,Nick Martin
insert-green,166,Green,true,5,Omarion Hampton
insert-green,168,Green,true,5,Pat Bryant
insert-green,169,Green,true,5,Princely Umanmielen
insert-green,170,Green,true,5,Quinn Ewers
insert-green,171,Green,true,5,Quinshon Judkins
insert-green,172,Green,true,5,Riley Leonard
insert-green,173,Green,true,5,RJ Harvey
insert-green,174,Green,true,5,Savion Williams
insert-green,176,Green,true,5,Shavon Revel Jr.
insert-green,177,Green,true,5,Shedeur Sanders
insert-green,178,Green,true,5,Shemar James
insert-green,179,Green,true,5,Shemar Stewart
insert-green,180,Green,true,5,T.J. Sanders
insert-green,181,Green,true,5,Tai Felton
insert-green,182,Green,true,5,Terrance Ferguson
insert-green,183,Green,true,5,Tetairoa McMillan
insert-green,184,Green,true,5,Tez Johnson
insert-green,185,Green,true,5,Tory Horton
insert-green,186,Green,true,5,Travis Hunter
insert-green,187,Green,true,5,Tre Harris
insert-green,188,Green,true,5,TreVeyon Henderson
insert-green,189,Green,true,5,Trevor Etienne
insert-green,191,Green,true,5,Ty Robinson
insert-green,192,Green,true,5,Tyleik Williams
insert-green,194,Green,true,5,Tyler Shough
insert-green,195,Green,true,5,Tyler Warren
insert-green,197,Green,true,5,Will Howard
insert-green,198,Green,true,5,Will Johnson
insert-green,200,Green,true,5,Xavier Watts
insert-orange,102,Orange,true,199,Alfred Collins
insert-orange,104,Orange,true,199,Arian Smith
insert-orange,106,Orange,true,199,Ashton Jeanty
insert-orange,107,Orange,true,199,Azareye'h Thomas
insert-orange,108,Orange,true,199,Benjamin Morrison
insert-orange,109,Orange,true,199,Bhayshul Tuten
insert-orange,110,Orange,true,199,Cam Skattebo
insert-orange,113,Orange,true,199,Chimere Dike
insert-orange,114,Orange,true,199,Colston Loveland
insert-orange,116,Orange,true,199,Derrick Harmon
insert-orange,117,Orange,true,199,Dillon Gabriel
insert-orange,118,Orange,true,199,DJ Giddens
insert-orange,120,Orange,true,199,Donovan Jackson
insert-orange,121,Orange,true,199,Dylan Sampson
insert-orange,122,Orange,true,199,Elic Ayomanor
insert-orange,123,Orange,true,199,Elijah Arroyo
insert-orange,125,Orange,true,199,Grey Zabel
insert-orange,126,Orange,true,199,Harold Fannin Jr.
insert-orange,127,Orange,true,199,Isaac TeSlaa
insert-orange,128,Orange,true,199,Jack Bech
insert-orange,129,Orange,true,199,Jack Kiser
insert-orange,130,Orange,true,199,Jack Sawyer
insert-orange,131,Orange,true,199,Jahdae Barron
insert-orange,132,Orange,true,199,Jalen Milroe
insert-orange,133,Orange,true,199,Jalen Royals
insert-orange,134,Orange,true,199,Jalon Walker
insert-orange,136,Orange,true,199,Jarquez Hunter
insert-orange,138,Orange,true,199,Jayden Higgins
insert-orange,139,Orange,true,199,Jaydon Blue
insert-orange,140,Orange,true,199,Jaylin Lane
insert-orange,141,Orange,true,199,Jaylin Noel
insert-orange,142,Orange,true,199,Jihaad Campbell
insert-orange,143,Orange,true,199,Jordan Burch
insert-orange,144,Orange,true,199,Jordan James
insert-orange,145,Orange,true,199,Josh Conerly Jr.
insert-orange,146,Orange,true,199,Josh Simmons
insert-orange,147,Orange,true,199,JT Tuimoloau
insert-orange,148,Orange,true,199,Kaleb Johnson
insert-orange,150,Orange,true,199,Kenneth Grant
insert-orange,151,Orange,true,199,Kyle McCord
insert-orange,152,Orange,true,199,Kyle Williams
insert-orange,153,Orange,true,199,Landon Jackson
insert-orange,155,Orange,true,199,Malaki Starks
insert-orange,156,Orange,true,199,Mason Graham
insert-orange,157,Orange,true,199,Mason Taylor
insert-orange,158,Orange,true,199,Matthew Golden
insert-orange,159,Orange,true,199,Maxwell Hairston
insert-orange,161,Orange,true,199,Mykel Williams
insert-orange,162,Orange,true,199,Nic Scourton
insert-orange,163,Orange,true,199,Nick Emmanwori
insert-orange,166,Orange,true,199,Omarion Hampton
insert-orange,168,Orange,true,199,Pat Bryant
insert-orange,170,Orange,true,199,Quinn Ewers
insert-orange,171,Orange,true,199,Quinshon Judkins
insert-orange,172,Orange,true,199,Riley Leonard
insert-orange,173,Orange,true,199,RJ Harvey
insert-orange,174,Orange,true,199,Savion Williams
insert-orange,176,Orange,true,199,Shavon Revel Jr.
insert-orange,177,Orange,true,199,Shedeur Sanders
insert-orange,178,Orange,true,199,Shemar James
insert-orange,179,Orange,true,199,Shemar Stewart
insert-orange,180,Orange,true,199,T.J. Sanders
insert-orange,181,Orange,true,199,Tai Felton
insert-orange,182,Orange,true,199,Terrance Ferguson
insert-orange,183,Orange,true,199,Tetairoa McMillan
insert-orange,184,Orange,true,199,Tez Johnson
insert-orange,185,Orange,true,199,Tory Horton
insert-orange,186,Orange,true,199,Travis Hunter
insert-orange,187,Orange,true,199,Tre Harris
insert-orange,188,Orange,true,199,TreVeyon Henderson
insert-orange,189,Orange,true,199,Trevor Etienne
insert-orange,191,Orange,true,199,Ty Robinson
insert-orange,192,Orange,true,199,Tyleik Williams
insert-orange,194,Orange,true,199,Tyler Shough
insert-orange,197,Orange,true,199,Will Howard
insert-orange,198,Orange,true,199,Will Johnson
insert-orange,200,Orange,true,199,Xavier Watts
insert-platinum,101,Platinum,true,1,Abdul Carter
insert-platinum,102,Platinum,true,1,Alfred Collins
insert-platinum,104,Platinum,true,1,Arian Smith
insert-platinum,106,Platinum,true,1,Ashton Jeanty
insert-platinum,107,Platinum,true,1,Azareye'h Thomas
insert-platinum,108,Platinum,true,1,Benjamin Morrison
insert-platinum,109,Platinum,true,1,Bhayshul Tuten
insert-platinum,110,Platinum,true,1,Cam Skattebo
insert-platinum,113,Platinum,true,1,Chimere Dike
insert-platinum,114,Platinum,true,1,Colston Loveland
insert-platinum,116,Platinum,true,1,Derrick Harmon
insert-platinum,117,Platinum,true,1,Dillon Gabriel
insert-platinum,118,Platinum,true,1,DJ Giddens
insert-platinum,119,Platinum,true,1,Donovan Ezeiruaku
insert-platinum,120,Platinum,true,1,Donovan Jackson
insert-platinum,121,Platinum,true,1,Dylan Sampson
insert-platinum,122,Platinum,true,1,Elic Ayomanor
insert-platinum,123,Platinum,true,1,Elijah Arroyo
insert-platinum,125,Platinum,true,1,Grey Zabel
insert-platinum,126,Platinum,true,1,Harold Fannin Jr.
insert-platinum,127,Platinum,true,1,Isaac TeSlaa
