category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Ed Brown,,
base,2,,false,,Rick Casares,,
base,3,,false,,Willie Galimore,,
base,4,,false,,Jim Dooley,,
base,5,,false,,Harlon Hill,,
base,6,,false,,Stan Jones,,
base,7,,false,,J.C. Caroline,,
base,8,,false,,Joe Fortunato,,
base,9,,false,,Doug Atkins,,
base,10,,false,,Milt Plum,,
base,11,,false,,Jim Brown,,
base,12,,false,,Bobby Mitchell,,
base,13,,false,,Ray Renfro,,
base,14,,false,,Gern Nagler,,
base,15,,false,,Jim Shofner,,
base,16,,false,,Vince Costello,,
base,17,,false,,Galen Fiss,,
base,18,,false,,Walt Michaels,,
base,19,,false,,Bob Gain,,
base,20,,false,,Mal Hammack,,
base,21,,false,,Frank Mestnik,,
base,22,,false,,Bobby Joe Conrad,,
base,23,,false,,John David Crow,,
base,24,,false,,Sonny Randle,,
base,25,,false,,Don Gillis,,
base,26,,false,,Jerry Norton,,
base,27,,false,,Bill Stacy,,
base,28,,false,,Leo Sugar,,
base,29,,false,,Frank Fuller,,
base,30,,false,,Johnny Unitas,,
base,31,,false,,Alan Ameche,,
base,32,,false,,Lenny Moore,,
base,33,,false,,Raymond Berry,,
base,34,,false,,Jim Mutscheller,,
base,35,,false,,Jim Parker,,
base,36,,false,,Bill Pellington,,
base,37,,false,,Gino Marchetti,,
base,38,,false,,Gene Lipscomb,,
base,39,,false,,Art Donovan,,
base,40,,false,,Eddie LeBaron,,
base,41,,false,,Don Meredith,,
base,42,,false,,Don McIlhenny,,
base,43,,false,,L.G. Dupre,,
base,44,,false,,Fred Dugan,,
base,45,,false,,Bill Howton,,
base,46,,false,,Duane Putnam,,
base,47,,false,,Gene Cronin,,
base,48,,false,,Jerry Tubbs,,
base,49,,false,,Clarence Peaks,,
base,50,,false,,Ted Dean,,
base,51,,false,,Tommy McDonald,,
base,52,,false,,Billy Barnes,,
base,53,,false,,Pete Retzlaff,,
base,54,,false,,Bobby Walston,,
base,55,,false,,Chuck Bednarik,,
base,56,,false,,Maxie Baughan,,
base,57,,false,,Bob Pellegrini,,
base,58,,false,,Jesse Richardson,,
base,59,,false,,John Brodie,,
base,60,,false,,J.D. Smith,,
base,61,,false,,Ray Norton,,
base,62,,false,,Monty Stickles,,
base,63,,false,,Bob St. Clair,,
base,64,,false,,Dave Baker,,
base,65,,false,,Abe Woodson,,
base,66,,false,,Matt Hazeltine,,
base,67,,false,,Leo Nomellini,,
base,68,,false,,Charley Conerly,,
base,69,,false,,Kyle Rote,,
base,70,,false,,Jack Stroud,,
base,71,,false,,Roosevelt Brown,,
base,72,,false,,Jim Patton,,
base,73,,false,,Erich Barnes,,
base,74,,false,,Sam Huff,,
base,75,,false,,Andy Robustelli,,
base,76,,false,,Dick Modzelewski,,
base,77,,false,,Roosevelt Grier,,
base,78,,false,,Earl Morrall,,
base,79,,false,,Jim Ninowski,,
base,80,,false,,Nick Pietrosante,,
base,81,,false,,Howard Cassady,,
base,82,,false,,Jim Gibbons,,
base,83,,false,,Gail Cogdill,,
base,84,,false,,Dick Lane,,
base,85,,false,,Yale Lary,,
base,86,,false,,Joe Schmidt,,
base,87,,false,,Darris McCord,,
base,88,,false,,Bart Starr,,
base,89,,false,,Jim Taylor,,
base,90,,false,,Paul Hornung,,
base,91,,false,,Tom Moore,,
base,92,,false,,Boyd Dowler,,
base,93,,false,,Max McGee,,
base,94,,false,,Forrest Gregg,,
base,95,,false,,Jerry Kramer,,
base,96,,false,,Jim Ringo,,
base,97,,false,,Bill Forester,,
base,98,,false,,Frank Ryan,,
base,99,,false,,Ollie Matson,,
base,100,,false,,Jon Arnett,,
base,101,,false,,Dick Bass,,
base,102,,false,,Jim Phillips,,
base,103,,false,,Del Shofner,,
base,104,,false,,Art Hunter,,
base,105,,false,,Lindon Crow,,
base,106,,false,,Les Richter,,
base,107,,false,,Lou Michaels,,
base,108,,false,,Ralph Guglielmi,,
base,109,,false,,Don Bosseler,,
base,110,,false,,John Olszewski,,
base,111,,false,,Bill Anderson,,
base,112,,false,,Joe Walton,,
base,113,,false,,Jim Schrader,,
base,114,,false,,Gary Glick,,
base,115,,false,,Ralph Felton,,
base,116,,false,,Bob Toneff,,
base,117,,false,,Bobby Layne,,
base,118,,false,,John Henry Johnson,,
base,119,,false,,Tom Tracy,,
base,120,,false,,Jimmy Orr,,
base,121,,false,,John Nisby,,
base,122,,false,,Dean Derby,,
base,123,,false,,John Reger,,
base,124,,false,,George Tarasovic,,
base,125,,false,,Ernie Stautner,,
base,126,,false,,George Shaw,,
base,127,,false,,Hugh McElhenny,,
base,128,,false,,Dick Haley,,
base,129,,false,,Dave Middleton,,
base,130,,false,,Perry Richards,,
base,131,,false,,Gene Johnson,,
base,132,,false,,Don Joyce,,
base,133,,false,,Chuck Green,,
base,134,,false,,Wray Carlton,,
base,135,,false,,Richie Lucas,,
base,136,,false,,Elbert Dubenion,,
base,137,,false,,Tom Rychlec,,
base,138,,false,,Mack Yoho,,
base,139,,false,,Phil Blazer,,
base,140,,false,,Dan McGrew,,
base,141,,false,,Bill Atkins,,
base,142,,false,,Archie Matsos,,
base,143,,false,,Gene Grabosky,,
base,144,,false,,Frank Tripucka,,
base,145,,false,,Al Carmichael,,
base,146,,false,,Bob McNamara,,
base,147,,false,,Lionel Taylor,,
base,148,,false,,Eldon Danenhauer,,
base,149,,false,,Willie Smith,,
base,150,,false,,Carl Larpenter,,
base,151,,false,,Ken Adamson,,
base,152,,false,,Goose Gonsoulin,,
base,153,,false,,Joe Young,,
base,154,,false,,Gordy Holz,,
base,155,,false,,Jack Kemp,,
