category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Raymond Berry,,
base,2,,false,,Tom Gilburg,,
base,3,,false,,John Mackey,,
base,4,,false,,Gino Marchetti,,
base,5,,false,,Jim Martin,,
base,6,,false,,Tom Matte,,
base,7,,false,,Jimmy Orr,,
base,8,,false,,Jim Parker,,
base,9,,false,,Bill Pellington,,
base,10,,false,,Alex Sandusky,,
base,11,,false,,Dick Szymanski,,
base,12,,false,,Johnny Unitas,,
base,13,,false,,Colts Team,,
base,14,,false,,Don Shula Colts Play of the Year,,
base,15,,false,,Doug Atkins,,
base,16,,false,,Ron Bull,,
base,17,,false,,Mike Ditka,,
base,18,,false,,Joe Fortunato,,
base,19,,false,,Willie Galimore,,
base,20,,false,,Joe Marconi,,
base,21,,false,,Bennie McRae,,
base,22,,false,,Johnny Morris,,
base,23,,false,,Richie Petitbon,,
base,24,,false,,Mike Pyle,,
base,25,,false,,Roosevelt Taylor,,
base,26,,false,,Bill Wade,,
base,27,,false,,Bears Team,,
base,28,,false,,George Halas Bears Play of the Year,,
base,29,,false,,John Brewer,,
base,30,,false,,Jim Brown,,
base,31,,false,,Gary Collins,,
base,32,,false,,Vince Costello,,
base,33,,false,,Galen Fiss,,
base,34,,false,,Bill Glass,,
base,35,,false,,Ernie Green,,
base,36,,false,,Rich Kreitling,,
base,37,,false,,John Morrow,,
base,38,,false,,Frank Ryan,,
base,39,,false,,Charley Scales,,
base,40,,false,,Dick Schafrath,,
base,41,,false,,Browns Team,,
base,42,,false,,Blanton Collier Browns Play of the Year,,
base,43,,false,,Don Bishop,,
base,44,,false,,Frank Clarke,,
base,45,,false,,Mike Connelly,,
base,46,,false,,Lee Folkins,,
base,47,,false,,Cornell Green,,
base,48,,false,,Bob Lilly,,
base,49,,false,,Amos Marsh,,
base,50,,false,,Tommy McDonald,,
base,51,,false,,Don Meredith,,
base,52,,false,,Pettis Norman,,
base,53,,false,,Don Perkins,,
base,54,,false,,Guy Reese,,
base,55,,false,,Cowboys Team,,
base,56,,false,,Tom Landry Cowboys Play of the Year,,
base,57,,false,,Terry Barr,,
base,58,,false,,Roger Brown,,
base,59,,false,,Gail Cogdill,,
base,60,,false,,John Gordy,,
base,61,,false,,Dick Lane,,
base,62,,false,,Yale Lary,,
base,63,,false,,Dan Lewis,,
base,64,,false,,Darris McCord,,
base,65,,false,,Earl Morrall,,
base,66,,false,,Joe Schmidt,,
base,67,,false,,Pat Studstill,,
base,68,,false,,Wayne Walker,,
base,69,,false,,Lions Team,,
base,70,,false,,George Wilson Lions Play of the Year,,
base,71,,false,,Herb Adderley,,
base,72,,false,,Willie Davis,,
base,73,,false,,Forrest Gregg,,
base,74,,false,,Paul Hornung,,
base,75,,false,,Henry Jordan,,
base,76,,false,,Jerry Kramer,,
base,77,,false,,Tom Moore,,
base,78,,false,,Jim Ringo,,
base,79,,false,,Bart Starr,,
base,80,,false,,Jim Taylor,,
base,81,,false,,Jesse Whittenton,,
base,82,,false,,Willie Wood,,
base,83,,false,,Packers Team,,
base,84,,false,,Vince Lombardi Packers Play of the Year,,
base,85,,false,,Jon Arnett,,
base,86,,false,,Pervis Atkins,,
base,87,,false,,Dick Bass,,
base,88,,false,,Carroll Dale,,
base,89,,false,,Roman Gabriel,,
base,90,,false,,Ed Meador,,
base,91,,false,,Merlin Olsen,,
base,92,,false,,Jack Pardee,,
base,93,,false,,Jim Phillips,,
base,94,,false,,Carver Shannon,,
base,95,,false,,Frank Varrichione,,
base,96,,false,,Danny Villanueva,,
base,97,,false,,Rams Team,,
base,98,,false,,Harland Svare Rams Play of the Year,,
base,99,,false,,Grady Alderman,,
base,100,,false,,Larry Bowie,,
base,101,,false,,Bill Brown,,
base,102,,false,,Paul Flatley,,
