category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Stacey Bailey,,
base,2,,false,,Aundray Bruce,,
base,3,,false,,Rick Bryan,,
base,4,,false,,Bobby Butler,,
base,5,,false,,Scott Case,,
base,6,,false,,Tony Casillas,,
base,7,,false,,Floyd Dixon,,
base,8,,false,,Rick Donnelly,,
base,9,,false,,Bill Fralic,,
base,10,,false,,Mike Gann,,
base,11,,false,,Mike Kenn,,
base,12,,false,,Chris Miller,,
base,13,,false,,John Rade,,
base,14,,false,,Gerald Riggs,,
base,15,,false,,John Settle,,
base,16,,false,,Marion Campbell CO,,
base,17,,false,,Cornelius Bennett,,
base,18,,false,,Derrick Burroughs,,
base,19,,false,,Shane Conlan,,
base,20,,false,,Ronnie Harmon,,
base,21,,false,,Kent Hull,,
base,22,,false,,Jim Kelly,,
base,23,,false,,Mark Kelso,,
base,24,,false,,Pete Metzelaars,,
base,25,,false,,Scott Norwood,,
base,26,,false,,Andre Reed,,
base,27,,false,,Fred Smerlas,,
base,28,,false,,Bruce Smith,,
base,29,,false,,Leonard Smith,,
base,30,,false,,Art Still,,
base,31,,false,,Darryl Talley,,
base,32,,false,,Thurman Thomas,,
base,33,,false,,Will Wolford,,
base,34,,false,,Marv Levy CO,,
base,35,,false,,Neal Anderson,,
base,36,,false,,Kevin Butler,,
base,37,,false,,Jim Covert,,
base,38,,false,,Richard Dent,,
base,39,,false,,Dave Duerson,,
base,40,,false,,Dennis Gentry,,
base,41,,false,,Dan Hampton,,
base,42,,false,,Jay Hilgenberg,,
base,43,,false,,Dennis McKinnon,,
base,44,,false,,Jim McMahon,,
base,45,,false,,Steve McMichael,,
base,46,,false,,Brad Muster,,
base,47,SP,false,,William Perry/,,
base,47,,false,,Ron Morris,,
base,48,,false,,Ron Rivera,,
base,49,,false,,Vestee Jackson,,
base,50,,false,,Mike Singletary,,
base,51,,false,,Mike Tomczak,,
base,52,,false,,Keith Van Horne,,
base,53,CO,false,,Mike Ditka CO,,
base,53,HOF,false,,Mike Ditka/HOF,,
base,54,,false,,Lewis Billups,,
base,55,,false,,James Brooks,,
base,56,,false,,Eddie Brown,,
base,57,,false,,Jason Buck,,
base,58,,false,,Boomer Esiason,,
base,59,,false,,David Fulcher,,
base,60,,false,,Rodney Holman,,
base,61,,false,,Reggie Williams,,
base,62,,false,,Joe Kelly,,
base,63,,false,,Tim Krumrie,,
base,64,,false,,Tim McGee,,
base,65,,false,,Max Montoya,,
base,66,,false,,Anthony Munoz,,
base,67,,false,,Jim Skow,,
base,68,,false,,Eric Thomas,,
base,69,,false,,Leon White,,
base,70,,false,,Ickey Woods,,
base,71,,false,,Carl Zander,,
base,72,,false,,Sam Wyche CO,,
base,73,,false,,Brian Brennan,,
base,74,,false,,Earnest Byner,,
base,75,,false,,Hanford Dixon,,
base,76,,false,,Mike Pagel,,
base,77,,false,,Bernie Kosar,,
base,78,,false,,Reggie Langhorne,,
base,79,,false,,Kevin Mack,,
base,80,,false,,Clay Matthews,,
base,81,,false,,Gerald McNeil,,
base,82,,false,,Frank Minnifield,,
base,83,,false,,Cody Risien,,
base,84,,false,,Webster Slaughter,,
base,85,,false,,Felix Wright,,
base,86,,false,,Bud Carson,,
base,87,,false,,Bill Bates,,
base,88,,false,,Kevin Brooks,,
base,89,,false,,Michael Irvin,,
base,90,,false,,Jim Jeffcoat,,
base,91,,false,,Ed Too Tall Jones,,
base,92,,false,,Eugene Lockhart,,
base,93,,false,,Nate Newton,,
base,94,,false,,Danny Noonan,,
base,95,,false,,Steve Pelluer,,
base,96,,false,,Herschel Walker,,
base,97,,false,,Everson Walls,,
base,98,,false,,Jimmy Johnson CO,,
base,99,,false,,Keith Bishop,,
base,100,,false,,John Elway,,
base,101,,false,,Simon Fletcher,,
base,102,,false,,Mike Harden,,
base,103,,false,,Mike Horan,,
base,104,,false,,Mark Jackson,,
base,105,,false,,Vance Johnson,,
base,106,,false,,Rulon Jones,,
base,107,,false,,Clarence Kay,,
base,108,,false,,Karl Mecklenburg,,
base,109,,false,,Ricky Nattiel,,
base,110,,false,,Steve Sewell,,
base,111,,false,,Dennis Smith,,
base,112,,false,,Gerald Willhite,,
base,113,,false,,Sammy Winder,,
base,114,,false,,Dan Reeves CO,,
base,115,,false,,Jim Arnold,,
base,116,,false,,Jerry Ball,,
base,117,,false,,Bennie Blades,,
base,118,,false,,Lomas Brown,,
base,119,,false,,Michael Cofer,,
base,120,,false,,Garry James,,
base,121,,false,,James Jones,,
base,122,,false,,Chuck Long,,
base,123,,false,,Pete Mandley,,
base,124,,false,,Eddie Murray,,
base,125,,false,,Chris Spielman,,
base,126,,false,,Dennis Gibson,,
base,127,,false,,Wayne Fontes CO,,
base,128,,false,,John Anderson,,
base,129,,false,,Brent Fullwood,,
base,130,,false,,Mark Cannon,,
base,131,,false,,Tim Harris,,
base,132,,false,,Mark Lee,,
base,133,,false,,Don Majkowski,,
base,134,,false,,Mark Murphy,,
base,135,,false,,Brian Noble,,
base,136,,false,,Ken Ruettgers,,
base,137,,false,,Johnny Holland,,
base,138,,false,,Randy Wright,,
base,139,,false,,Lindy Infante CO,,
base,140,,false,,Steve Brown,,
base,141,,false,,Ray Childress,,
base,142,,false,,Jeff Donaldson,,
base,143,,false,,Ernest Givins,,
base,144,,false,,John Grimsley,,
base,145,,false,,Alonzo Highsmith,,
base,146,,false,,Drew Hill,,
base,147,,false,,Robert Lyles,,
base,148,,false,,Bruce Matthews,,
base,149,,false,,Warren Moon,,
base,150,,false,,Mike Munchak,,
base,151,,false,,Allen Pinkett,,
base,152,,false,,Mike Rozier,,
base,153,,false,,Tony Zendejas,,
base,154,,false,,Jerry Glanville CO,,
base,155,,false,,Albert Bentley,,
base,156,,false,,Dean Biasucci,,
base,157,,false,,Duane Bickett,,
base,158,,false,,Bill Brooks,,
base,159,,false,,Chris Chandler,,
base,160,,false,,Pat Beach,,
base,161,,false,,Ray Donaldson,,
base,162,,false,,Jon Hand,,
base,163,,false,,Chris Hinton,,
base,164,,false,,Rohn Stark,,
base,165,,false,,Fredd Young,,
base,166,,false,,Ron Meyer CO,,
base,167,,false,,Lloyd Burruss,,
base,168,,false,,Carlos Carson,,
base,169,,false,,Deron Cherry,,
base,170,,false,,Irv Eatman,,
base,171,,false,,Dino Hackett,,
base,172,,false,,Steve DeBerg,,
base,173,,false,,Albert Lewis,,
base,174,,false,,Nick Lowery,,
base,175,,false,,Bill Maas,,
base,176,,false,,Christian Okoye,,
base,177,,false,,Stephone Paige,,
base,178,,false,,Mark Adickes,,
base,179,,false,,Kevin Ross,,
base,180,,false,,Neil Smith,,
base,181,,false,,Marty Schottenheimer CO,,
base,182,,false,,Marcus Allen,,
base,183,,false,,Tim Brown,,
base,184,,false,,Willie Gault,,
base,185,,false,,Bo Jackson,,
base,186,,false,,Howie Long,,
base,187,,false,,Vann McElroy,,
base,188,,false,,Matt Millen,,
base,189,,false,,Don Mosebar,,
base,190,,false,,Bill Pickel,,
base,191,,false,,Jerry Robinson,,
base,192,,false,,Jay Schroeder,,
base,193,,false,,Stacey Toran,,
base,194,,false,,Mike Shanahan/,,
base,195,,false,,Greg Bell,,
base,196,,false,,Ron Brown,,
base,197,,false,,Aaron Cox,,
base,198,,false,,Henry Ellard,,
base,199,,false,,Jim Everett,,
base,200,,false,,Jerry Gray,,
base,201,,false,,Kevin Greene,,
base,202,,false,,Pete Holohan,,
base,203,,false,,LeRoy Irvin,,
base,204,,false,,Mike Lansford,,
base,205,,false,,Tom Newberry,,
base,206,,false,,Mel Owens,,
base,207,,false,,Jackie Slater,,
base,208,,false,,Doug Smith,,
base,209,,false,,Mike Wilcher,,
base,210,,false,,John Robinson CO,,
base,211,,false,,John Bosa,,
base,212,,false,,Mark Brown,,
base,213,,false,,Mark Clayton,,
base,214,,false,,Ferrell Edmunds,,
base,215,,false,,Roy Foster,,
base,216,,false,,Lorenzo Hampton,,
base,217,,false,,Jim Jensen,,
base,218,,false,,William Judson,,
base,219,,false,,Eric Kumerow,,
base,220,,false,,Dan Marino,,
base,221,,false,,John Offerdahl,,
base,222,,false,,Fuad Reveiz,,
base,223,,false,,Reggie Roby,,
base,224,,false,,Brian Sochia,,
base,225,,false,,Don Shula/,,
base,226,,false,,Alfred Anderson,,
base,227,,false,,Joey Browner,,
base,228,,false,,Anthony Carter,,
base,229,,false,,Chris Doleman,,
base,230,,false,,Hassan Jones,,
base,231,,false,,Steve Jordan,,
base,232,,false,,Tommy Kramer,,
base,233,,false,,Carl Lee,,
base,234,,false,,Kirk Lowdermilk,,
base,235,,false,,Randall McDaniel,,
base,236,,false,,Doug Martin,,
base,237,,false,,Keith Millard,,
base,238,,false,,Darrin Nelson,,
base,239,,false,,Jesse Solomon,,
base,240,,false,,Scott Studwell,,
base,241,,false,,Wade Wilson,,
base,242,,false,,Gary Zimmerman,,
base,243,,false,,Jerry Burns CO,,
base,244,,false,,Bruce Armstrong,,
base,245,,false,,Raymond Clayborn,,
base,246,,false,,Reggie Dupard,,
base,247,,false,,Tony Eason,,
base,248,,false,,Sean Farrell,,
base,249,,false,,Doug Flutie,,
base,250,,false,,Brent Williams,,
base,251,,false,,Roland James,,
base,252,,false,,Ronnie Lippett,,
base,253,,false,,Fred Marion,,
base,254,,false,,Larry McGrew,,
base,255,,false,,Stanley Morgan,,
base,256,,false,,Johnny Rembert,,
base,257,,false,,John Stephens,,
base,258,,false,,Andre Tippett,,
base,259,,false,,Garin Veris,,
base,260,CO,false,,Raymond Berry CO,,
base,260,HOF,false,,Raymond Berry/HOF,,
base,261,,false,,Morten Andersen,,
base,262,,false,,Hoby Brenner,,
base,263,,false,,Stan Brock,,
base,264,,false,,Brad Edelman,,
base,265,,false,,Jumpy Geathers,,
base,266,,false,,Bobby Hebert,,
base,267,,false,,Craig Heyward,,
base,268,,false,,Lonzell Hill,,
base,269,,false,,Dalton Hilliard,,
base,270,,false,,Rickey Jackson,,
base,271,,false,,Steve Korte,,
base,272,,false,,Eric Martin,,
base,273,,false,,Rueben Mayes,,
base,274,,false,,Sam Mills,,
base,275,,false,,Brett Perriman,,
base,276,,false,,Pat Swilling,,
base,277,,false,,John Tice,,
base,278,,false,,Jim Mora CO,,
base,279,,false,,Eric Moore,,
base,280,,false,,Carl Banks,,
base,281,,false,,Mark Bavaro,,
base,282,,false,,Maurice Carthon,,
base,283,,false,,Mark Collins,,
base,284,,false,,Erik Howard,,
base,285,,false,,Terry Kinard,,
base,286,,false,,Sean Landeta,,
base,287,,false,,Lionel Manuel,,
base,288,,false,,Leonard Marshall,,
base,289,,false,,Joe Morris,,
base,290,,false,,Bart Oates,,
base,291,,false,,Phil Simms,,
base,292,,false,,Lawrence Taylor,,
base,293,,false,,Bill Parcells/,,
base,294,,false,,Dave Cadigan,,
base,295,,false,,Kyle Clifton,,
base,296,,false,,Alex Gordon,,
base,297,,false,,James Hasty,,
base,298,,false,,Johnny Hector,,
base,299,,false,,Bobby Humphery,,
base,300,,false,,Pat Leahy,,
base,301,,false,,Marty Lyons,,
base,302,,false,,Reggie McElroy,,
base,303,,false,,Erik McMillan,,
base,304,,false,,Freeman McNeil,,
base,305,,false,,Ken O'Brien,,
base,306,,false,,Pat Ryan,,
base,307,,false,,Mickey Shuler,,
base,308,,false,,Al Toon,,
base,309,,false,,Jo Jo Townsell,,
base,310,,false,,Roger Vick,,
base,311,,false,,Joe Walton CO,,
base,312,,false,,Jerome Brown,,
base,313,,false,,Keith Byars,,
base,314,,false,,Cris Carter,,
base,315,,false,,Randall Cunningham,,
base,316,,false,,Terry Hoage,,
base,317,,false,,Wes Hopkins,,
base,318,,false,,Keith Jackson,,
base,319,,false,,Mike Quick,,
base,320,,false,,Mike Reichenbach,,
base,321,,false,,Dave Rimington,,
base,322,,false,,John Teltschik,,
base,323,,false,,Anthony Toney,,
base,324,,false,,Andre Waters,,
base,325,,false,,Reggie White,,
base,326,,false,,Luis Zendejas,,
base,327,,false,,Buddy Ryan CO,,
base,328,,false,,Robert Awalt,,
base,329,,false,,Tim McDonald,,
base,330,,false,,Roy Green,,
base,331,,false,,Neil Lomax,,
base,332,,false,,Cedric Mack,,
base,333,,false,,Stump Mitchell,,
base,334,,false,,Niko Noga,,
base,335,,false,,Jay Novacek,,
base,336,,false,,Freddie Joe Nunn,,
base,337,,false,,Luis Sharpe,,
base,338,,false,,Vai Sikahema,,
base,339,,false,,J.T. Smith,,
base,340,,false,,Ron Wolfley,,
base,341,,false,,Gene Stallings/,,
base,342,,false,,Gary Anderson,,
base,343,,false,,Bubby Brister,,
base,344,,false,,Dermontti Dawson,,
base,345,,false,,Thomas Everett,,
base,346,,false,,Delton Hall,,
base,347,,false,,Bryan Hinkle,,
base,348,,false,,Merril Hoge,,
base,349,,false,,Tunch Ilkin,,
base,350,,false,,Aaron Jones,,
base,351,,false,,Louis Lipps,,
base,352,,false,,David Little,,
base,353,,false,,Hardy Nickerson,,
base,354,,false,,Rod Woodson,,
base,355,,false,,Chuck Noll CO,,
base,356,,false,,Gary Anderson,,
base,357,,false,,Rod Bernstine,,
