category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Joe Montana,,
base,2,,false,,Christian Okoye,,
base,3,,false,,Mike Singletary,,
base,4,,false,,Jim Everett,,
base,5,,false,,Phil Simms,,
base,6,,false,,Brent Fullwood,,
base,7,,false,,Bill Fralic,,
base,8,,false,,Leslie O'Neal,,
base,9,,false,,John Taylor,,
base,10,,false,,Bo Jackson,,
base,11,,false,,John Stephens,,
base,12,,false,,Art Monk,,
base,13,,false,,Dan Marino,,
base,14,,false,,John Settle,,
base,15,,false,,Don Majkowski,,
base,16,,false,,Bruce Smith,,
base,17,,false,,Brad Muster,,
base,18,,false,,Jason Buck,,
base,19,,false,,James Brooks,,
base,20,,false,,Barry Sanders,,
base,21,,false,,Troy Aikman,,
base,22,,false,,Allen Pinkett,,
base,23,,false,,Duane Bickett,,
base,24,,false,,Kevin Ross,,
base,25,,false,,John Elway,,
base,26,,false,,Jeff Query,,
base,27,,false,,Eddie Murray,,
base,28,,false,,Richard Dent,,
base,29,,false,,Lorenzo White,,
base,30,,false,,Eric Metcalf,,
base,31,,false,,Jeff Dellenbach,,
base,32,,false,,Leon White,,
base,33,,false,,Jim Jeffcoat,,
base,34,,false,,Herschel Walker,,
base,35,,false,,Mike Johnson,,
base,36,,false,,Joe Phillips,,
base,37,,false,,Willie Gault,,
base,38,,false,,Keith Millard,,
base,39,,false,,Fred Marion,,
base,40,,false,,Boomer Esiason,,
base,41,,false,,Dermontti Dawson,,
base,42,,false,,Dino Hackett,,
base,43,,false,,Reggie Roby,,
base,44,,false,,Roger Vick,,
base,45,,false,,Bobby Hebert,,
base,46,,false,,Don Beebe,,
base,47,,false,,Neal Anderson,,
base,48,,false,,Johnny Holland,,
base,49,,false,,Bobby Humphery,,
base,50,,false,,Lawrence Taylor,,
base,51,,false,,Billy Ray Smith,,
base,52,,false,,Robert Perryman,,
base,53,,false,,Gary Anderson,,
base,54,,false,,Raul Allegre,,
base,55,,false,,Pat Swilling,,
base,56,,false,,Chris Doleman,,
base,57,,false,,Andre Reed,,
base,58,,false,,Seth Joyner,,
base,59,,false,,Bart Oates,,
base,60,,false,,Bernie Kosar,,
base,61,,false,,Dave Krieg,,
base,62,,false,,Lars Tate,,
base,63,,false,,Scott Norwood,,
base,64,,false,,Kyle Clifton,,
base,65,,false,,Alan Veingrad,,
base,66,,false,,Gerald Riggs,,
base,67,,false,,Tim Worley,,
base,68,,false,,Rodney Holman,,
base,69,,false,,Tony Zendejas,,
base,70,,false,,Chris Miller,,
base,71,,false,,Wilber Marshall,,
base,72,,false,,Skip McClendon,,
base,73,,false,,Jim Covert,,
base,74,,false,,Sam Mills,,
base,75,,false,,Chris Hinton,,
base,76,,false,,Irv Eatman,,
base,77,,false,,Bubba Paris,,
base,78,,false,,John Elliott,,
base,79,,false,,Thomas Everett,,
base,80,,false,,Steve Smith,,
base,81,,false,,Jackie Slater,,
base,82,,false,,Kelvin Martin,,
base,83,,false,,Jo Jo Townsell,,
base,84,,false,,Jim Jensen,,
base,85,,false,,Bobby Humphrey,,
base,86,,false,,Mike Dyal,,
base,87,,false,,Andre Rison,,
base,88,,false,,Brian Sochia,,
base,89,,false,,Greg Bell,,
base,90,,false,,Dalton Hilliard,,
base,91,,false,,Carl Banks,,
base,92,,false,,Dennis Smith,,
base,93,,false,,Bruce Matthews,,
base,94,,false,,Charles Haley,,
base,95,,false,,Deion Sanders,,
base,96,,false,,Stephone Paige,,
base,97,,false,,Marion Butts,,
base,98,,false,,Howie Long,,
base,99,,false,,Donald Igwebuike,,
base,100,,false,,Roger Craig,,
base,101,,false,,Charles Mann,,
base,102,,false,,Fredd Young,,
base,103,,false,,Chris Jacke,,
base,104,,false,,Scott Case,,
base,105,,false,,Warren Moon,,
base,106,,false,,Clyde Simmons,,
base,107,,false,,Steve Atwater,,
base,108,,false,,Morten Andersen,,
base,109,,false,,Eugene Marve,,
base,110,,false,,Thurman Thomas,,
base,111,,false,,Carnell Lake,,
base,112,,false,,Jim Kelly,,
base,113,,false,,Stanford Jennings,,
base,114,,false,,Jacob Green,,
base,115,,false,,Karl Mecklenburg,,
base,116,,false,,Ray Childress,,
base,117,,false,,Erik McMillan,,
base,118,,false,,Harry Newsome,,
base,119,,false,,James Dixon,,
base,120,,false,,Hassan Jones,,
base,121,,false,,Eric Allen,,
base,122,,false,,Felix Wright,,
base,123,,false,,Merril Hoge,,
base,124,,false,,Eric Ball,,
base,125,,false,,Willie Anderson,,
base,126,,false,,James Jefferson,,
base,127,,false,,Tim McDonald,,
base,128,,false,,Larry Kinnebrew,,
base,129,,false,,Mark Collins,,
base,130,,false,,Ickey Woods,,
base,131,,false,,Jeff Donaldson,,
base,132,,false,,Rich Camarillo,,
base,133,,false,,Melvin Bratton,,
base,134,,false,,Kevin Butler,,
base,135,,false,,Albert Bentley,,
base,136,,false,,Vai Sikahema,,
base,137,,false,,Todd McNair,,
base,138,,false,,Alonzo Highsmith,,
base,139,,false,,Brian Blades,,
base,140,,false,,Jeff Lageman,,
base,141,,false,,Eric Thomas,,
base,142,,false,,Derek Hill,,
base,143,,false,,Rick Fenney,,
base,144,,false,,Herman Heard,,
base,145,,false,,Steve Young,,
base,146,,false,,Kent Hull,,
base,147,,false,,Joey Browner,,
base,148,,false,,Frank Minnifield,,
base,149,,false,,Robert Massey,,
base,150,,false,,Dave Meggett,,
base,151,,false,,Bubba McDowell,,
base,152,,false,,Rickey Dixon,,
base,153,,false,,Ray Donaldson,,
base,154,,false,,Alvin Walton,,
base,155,,false,,Mike Cofer,,
base,156,,false,,Darryl Talley,,
base,157,,false,,A.J. Johnson,,
base,158,,false,,Jerry Gray,,
base,159,,false,,Keith Byars,,
base,160,,false,,Andy Heck,,
base,161,,false,,Mike Munchak,,
base,162,,false,,Dennis Gentry,,
base,163,,false,,Timm Rosenbach,,
base,164,,false,,Randall McDaniel,,
base,165,,false,,Pat Leahy,,
base,166,,false,,Bubby Brister,,
base,167,,false,,Aundray Bruce,,
base,168,,false,,Bill Brooks,,
base,169,,false,,Eddie Anderson,,
base,170,,false,,Ronnie Lott,,
base,171,,false,,Jay Hilgenberg,,
base,172,,false,,Joe Nash,,
base,173,,false,,Simon Fletcher,,
base,174,,false,,Shane Conlan,,
base,175,,false,,Sean Landeta,,
base,176,,false,,John Alt,,
base,177,,false,,Clay Matthews,,
base,178,,false,,Anthony Munoz,,
base,179,,false,,Pete Holohan,,
base,180,,false,,Robert Awalt,,
base,181,,false,,Rohn Stark,,
base,182,,false,,Vance Johnson,,
base,183,,false,,David Fulcher,,
base,184,,false,,Robert Delpino,,
base,185,,false,,Drew Hill,,
base,186,,false,,Reggie Langhorne,,
base,187,,false,,Lonzell Hill,,
base,188,,false,,Tom Rathman,,
base,189,,false,,Greg Montgomery,,
base,190,,false,,Leonard Smith,,
base,191,,false,,Chris Spielman,,
base,192,,false,,Tom Newberry,,
base,193,,false,,Cris Carter,,
base,194,,false,,Kevin Porter,,
base,195,,false,,Donnell Thompson,,
base,196,,false,,Vaughan Johnson,,
