category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Checklist,,
base,2,,false,,Checklist,,
base,3,,false,,Checklist,,
base,4,,false,,Larry Johnson PO,,
base,5,,false,,Alonzo Mourning PO,,
base,6,,false,,Hakeem Olajuwon PO,,
base,7,,false,,Brad Daugherty PO,,
base,8,,false,,Oliver Miller PO,,
base,9,,false,,David Robinson PO,,
base,10,,false,,Patrick Ewing PO,,
base,11,,false,,Ricky Pierce PO,,
base,12,,false,,Sam Perkins PO,,
base,13,,false,,John Starks PO,,
base,14,,false,,Michael Jordan PO,,
base,15,,false,,Dan Majerle,,
base,16,,false,,Scottie Pippen PO,,
base,17,,false,,Shawn Kemp PO,,
base,18,,false,,Charles Barkley PO,,
base,19,,false,,Horace Grant PO,,
base,20,,false,,Kevin Johnson PO,,
base,21,,false,,John Paxson PO,,
base,22,,false,,Inside Stuff,,
base,23,,false,,NBA on NBC,,
base,24,,false,,Stacey Augmon,,
base,25,,false,,Mookie Blaylock,,
base,26,,false,,Craig Ehlo,,
base,27,,false,,Adam Keefe,,
base,28,,false,,Dominique Wilkins,,
base,29,,false,,Kevin Willis,,
base,30,,false,,Dee Brown,,
base,31,,false,,Sherman Douglas,,
base,32,,false,,Rick Fox,,
base,33,,false,,Kevin Gamble,,
base,34,,false,,Xavier McDaniel,,
base,35,,false,,Robert Parish,,
base,36,,false,,Muggsy Bogues,,
base,37,,false,,Dell Curry,,
base,38,,false,,Kendall Gill,,
base,39,,false,,Larry Johnson,,
base,40,,false,,Alonzo Mourning,,
base,41,,false,,Johnny Newman,,
base,42,,false,,B.J. Armstrong,,
base,43,,false,,Bill Cartwright,,
base,44,,false,,Horace Grant,,
base,45,,false,,Michael Jordan,,
base,46,,false,,John Paxson,,
base,47,,false,,Scottie Pippen,,
base,48,,false,,Scott Williams,,
base,49,,false,,Terrell Brandon,,
base,50,,false,,Brad Daugherty,,
base,51,,false,,Larry Nance,,
base,52,,false,,Mark Price,,
base,53,,false,,Gerald Wilkins,,
base,54,,false,,John Williams,,
base,55,,false,,Terry Davis,,
base,56,,false,,Derek Harper,,
base,57,,false,,Jim Jackson,,
base,58,,false,,Sean Rooks,,
base,59,,false,,Doug Smith,,
base,60,,false,,Mahmoud Abdul-Rauf,,
base,61,,false,,LaPhonso Ellis,,
base,62,,false,,Mark Macon,,
base,63,,false,,Dikembe Mutombo,,
base,64,,false,,Bryant Stith,,
base,65,,false,,Reggie Williams,,
base,66,,false,,Joe Dumars,,
base,67,,false,,Bill Laimbeer,,
base,68,,false,,Terry Mills,,
base,69,,false,,Alvin Robertson,,
base,70,,false,,Dennis Rodman,,
base,71,,false,,Isiah Thomas,,
base,72,,false,,Victor Alexander,,
base,73,,false,,Tim Hardaway,,
base,74,,false,,Tyrone Hill,,
base,75,,false,,Sarunas Marciulionis,,
base,76,,false,,Chris Mullin,,
base,77,,false,,Billy Owens,,
base,78,,false,,Latrell Sprewell,,
base,79,,false,,Robert Horry,,
base,80,,false,,Vernon Maxwell,,
base,81,,false,,Hakeem Olajuwon,,
base,82,,false,,Kenny Smith,,
base,83,,false,,Otis Thorpe,,
base,84,,false,,Dale Davis,,
base,85,,false,,Reggie Miller,,
base,86,,false,,Pooh Richardson,,
base,87,,false,,Detlef Schrempf,,
base,88,,false,,Malik Sealy,,
base,89,,false,,Rik Smits,,
base,90,,false,,Ron Harper,,
base,91,,false,,Mark Jackson,,
base,92,,false,,Danny Manning,,
base,93,,false,,Stanley Roberts,,
base,94,,false,,Loy Vaught,,
base,95,,false,,Randy Woods,,
base,96,,false,,Sam Bowie,,
base,97,,false,,Doug Christie,,
base,98,,false,,Vlade Divac,,
base,99,,false,,Anthony Peeler,,
base,100,,false,,Sedale Threatt,,
base,101,,false,,James Worthy,,
base,102,,false,,Grant Long,,
base,103,,false,,Harold Miner,,
base,104,,false,,Glen Rice,,
base,105,,false,,John Salley,,
base,106,,false,,Rony Seikaly,,
base,107,,false,,Steve Smith,,
base,108,,false,,Anthony Avent,,
base,109,,false,,Jon Barry,,
base,110,,false,,Frank Brickowski,,
base,111,,false,,Blue Edwards,,
base,112,,false,,Todd Day,,
base,113,,false,,Lee Mayberry,,
base,114,,false,,Eric Murdock,,
base,115,,false,,Thurl Bailey,,
base,116,,false,,Christian Laettner,,
base,117,,false,,Chuck Person,,
base,118,,false,,Doug West,,
base,119,,false,,Micheal Williams,,
base,120,,false,,Kenny Anderson,,
base,121,,false,,Benoit Benjamin,,
base,122,,false,,Derrick Coleman,,
base,123,,false,,Chris Morris,,
base,124,,false,,Rumeal Robinson,,
base,125,,false,,Rolando Blackman,,
base,126,,false,,Patrick Ewing,,
base,127,,false,,Anthony Mason,,
base,128,,false,,Charles Oakley,,
base,129,,false,,Doc Rivers,,
base,130,,false,,Charles Smith,,
base,131,,false,,John Starks,,
base,132,,false,,Nick Anderson,,
base,133,,false,,Shaquille O'Neal,,
base,134,,false,,Donald Royal,,
base,135,,false,,Dennis Scott,,
base,136,,false,,Scott Skiles,,
base,137,,false,,Brian Williams,,
base,138,,false,,Johnny Dawkins,,
base,139,,false,,Hersey Hawkins,,
base,140,,false,,Jeff Hornacek,,
base,141,,false,,Andrew Lang,,
base,142,,false,,Tim Perry,,
base,143,,false,,Clarence Weatherspoon,,
base,144,,false,,Danny Ainge,,
base,145,,false,,Charles Barkley,,
base,146,,false,,Cedric Ceballos,,
base,147,,false,,Kevin Johnson,,
base,148,,false,,Oliver Miller,,
base,149,,false,,Dan Majerle,,
base,150,,false,,Clyde Drexler,,
base,151,,false,,Harvey Grant,,
base,152,,false,,Jerome Kersey,,
base,153,,false,,Terry Porter,,
base,154,,false,,Cliff Robinson,,
base,155,,false,,Rod Strickland,,
base,156,,false,,Buck Williams,,
base,157,,false,,Mitch Richmond,,
base,158,,false,,Lionel Simmons,,
base,159,,false,,Wayman Tisdale,,
base,160,,false,,Spud Webb,,
base,161,,false,,Walt Williams,,
base,162,,false,,Antoine Carr,,
base,163,,false,,Lloyd Daniels,,
base,164,,false,,Sean Elliott,,
base,165,,false,,Dale Ellis,,
base,166,,false,,Avery Johnson,,
base,167,,false,,J.R. Reid,,
base,168,,false,,David Robinson,,
base,169,,false,,Shawn Kemp,,
base,170,,false,,Derrick McKey,,
base,171,,false,,Nate McMillan,,
base,172,,false,,Gary Payton,,
base,173,,false,,Sam Perkins,,
base,174,,false,,Ricky Pierce,,
base,175,,false,,Tyrone Corbin,,
base,176,,false,,Jay Humphries,,
base,177,,false,,Jeff Malone,,
base,178,,false,,Karl Malone,,
base,179,,false,,John Stockton,,
base,180,,false,,Michael Adams,,
base,181,,false,,Kevin Duckworth,,
base,182,,false,,Pervis Ellison,,
base,183,,false,,Tom Gugliotta,,
base,184,,false,,Don MacLean,,
base,185,,false,,Brent Price,,
base,186,,false,,George Lynch,,
base,187,,false,,Rex Walters,,
base,188,,false,,Shawn Bradley,,
base,189,,false,,Ervin Johnson,,
base,190,,false,,Luther Wright,,
base,191,,false,,Calbert Cheaney,,
base,192,,false,,Craig Ehlo,,
base,193,,false,,Duane Ferrell,,
base,194,,false,,Paul Graham,,
base,195,,false,,Andrew Lang,,
base,196,,false,,Chris Corchiani,,
base,197,,false,,Acie Earl,,
base,198,,false,,Dino Radja,,
base,199,,false,,Ed Pinckney,,
base,200,,false,,Tony Bennett,,
base,201,,false,,Scott Burrell,,
base,202,,false,,Kenny Gattison,,
base,203,,false,,Hersey Hawkins,,
base,204,,false,,Eddie Johnson,,
base,205,,false,,Corie Blount,,
base,206,,false,,Steve Kerr,,
base,207,,false,,Toni Kukoc,,
base,208,,false,,Pete Myers,,
base,209,,false,,Danny Ferry,,
base,210,,false,,Tyrone Hill,,
base,211,,false,,Gerald Madkins,,
