category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Raul Mondesi,,
base,2,,false,,Kurt Abbott,,
base,3,,false,,Chris Gomez,,
base,4,,false,,Manny Ramirez,,
base,5,,false,,Rondell White,,
base,6,,false,,William Van Landingham,,
base,7,,false,,Jon Lieber,,
base,8,,false,,Ryan Klesko,,
base,9,,false,,John Hudek,,
base,10,,false,,Joey Hamilton,,
base,11,,false,,Bob Hamelin,,
base,12,,false,,Brian Anderson,,
base,13,,false,,Mike Lieberthal,,
base,14,,false,,Rico Brogna,,
base,15,,false,,Rusty Greer,,
base,16,,false,,Carlos Delgado,,
base,17,,false,,Jim Edmonds,,
base,18,,false,,Steve Trachsel,,
base,19,,false,,Matt Walbeck,,
base,20,,false,,Armando Benitez,,
base,21,,false,,Steve Karsay,,
base,22,,false,,Jose Oliva,,
base,23,,false,,Cliff Floyd,,
base,24,,false,,Kevin Foster,,
base,25,,false,,Javy Lopez,,
base,26,,false,,Jose Valentin,,
base,27,,false,,James Mouton,,
base,28,,false,,Hector Carrasco,,
base,29,,false,,Orlando Miller,,
base,30,,false,,Garret Anderson,,
base,31,,false,,Marvin Freeman,,
base,32,,false,,Brett Butler,,
base,33,,false,,Roberto Kelly,,
base,34,,false,,Rod Beck,,
base,35,,false,,Jose Rijo,,
base,36,,false,,Edgar Martinez,,
base,37,,false,,Jim Thome,,
base,38,,false,,Rick Wilkins,,
base,39,,false,,Wally Joyner,,
base,40,,false,,Wil Cordero,,
base,41,,false,,Tommy Greene,,
base,42,,false,,Travis Fryman,,
base,43,,false,,Don Slaught,,
base,44,,false,,Brady Anderson,,
base,45,,false,,Matt Williams,,
base,46,,false,,Rene Arocha,,
base,47,,false,,Rickey Henderson,,
base,48,,false,,Mike Mussina,,
base,49,,false,,Greg McMichael,,
base,50,,false,,Jody Reed,,
base,51,,false,,Tino Martinez,,
base,52,,false,,Dave Clark,,
base,53,,false,,John Valentin,,
base,54,,false,,Bret Boone,,
base,55,,false,,Walt Weiss,,
base,56,,false,,Kenny Lofton,,
base,57,,false,,Scott Leius,,
base,58,,false,,Eric Karros,,
base,59,,false,,John Olerud,,
base,60,,false,,Chris Hoiles,,
base,61,,false,,Sandy Alomar Jr.,,
base,62,,false,,Tim Wallach,,
base,63,,false,,Cal Eldred,,
base,64,,false,,Tom Glavine,,
base,65,,false,,Mark Grace,,
base,66,,false,,Rey Sanchez,,
base,67,,false,,Bobby Ayala,,
base,68,,false,,Dante Bichette,,
base,69,,false,,Andres Galarraga,,
base,70,,false,,Chuck Carr,,
base,71,,false,,Bobby Witt,,
base,72,,false,,Steve Avery,,
base,73,,false,,Bobby Jones,,
base,74,,false,,Delino DeShields,,
base,75,,false,,Kevin Tapani,,
base,76,,false,,Randy Johnson,,
base,77,,false,,David Nied,,
base,78,,false,,Pat Hentgen,,
base,79,,false,,Tim Salmon,,
base,80,,false,,Todd Zeile,,
base,81,,false,,John Wetteland,,
base,82,,false,,Albert Belle,,
base,83,,false,,Ben McDonald,,
base,84,,false,,Bobby Munoz,,
base,85,,false,,Bip Roberts,,
base,86,,false,,Mo Vaughn,,
base,87,,false,,Chuck Finley,,
base,88,,false,,Chuck Knoblauch,,
base,89,,false,,Frank Thomas,,
base,90,,false,,Danny Tartabull,,
base,91,,false,,Dean Palmer,,
base,92,,false,,Lenny Dykstra,,
base,93,,false,,J.R. Phillips,,
base,94,,false,,Tom Candiotti,,
base,95,,false,,Marquis Grissom,,
base,96,,false,,Barry Larkin,,
base,97,,false,,Bryan Harvey,,
base,98,,false,,David Justice,,
base,99,,false,,David Cone,,
base,100,,false,,Wade Boggs,,
base,101,,false,,Jason Bere,,
base,102,,false,,Hal Morris,,
base,103,,false,,Fred McGriff,,
base,104,,false,,Bobby Bonilla,,
base,105,,false,,Jay Buhner,,
base,106,,false,,Allen Watson,,
base,107,,false,,Mickey Tettleton,,
base,108,,false,,Kevin Appier,,
base,109,,false,,Ivan Rodriguez,,
base,110,,false,,Carlos Garcia,,
base,111,,false,,Andy Benes,,
base,112,,false,,Eddie Murray,,
base,113,,false,,Mike Piazza,,
base,114,,false,,Greg Vaughn,,
base,115,,false,,Paul Molitor,,
base,116,,false,,Terry Steinbach,,
base,117,,false,,Jeff Bagwell,,
base,118,,false,,Ken Griffey Jr.,,
base,119,,false,,Gary Sheffield,,
base,120,,false,,Cal Ripken Jr.,,
base,121,,false,,Jeff Kent,,
base,122,,false,,Jay Bell,,
base,123,,false,,Will Clark,,
base,124,,false,,Cecil Fielder,,
base,125,,false,,Alex Fernandez,,
base,126,,false,,Don Mattingly,,
base,127,,false,,Reggie Sanders,,
base,128,,false,,Moises Alou,,
base,129,,false,,Craig Biggio,,
base,130,,false,,Eddie Williams,,
