category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Dikembe Mutombo,,
base,2,,false,,Alan Henderson,,
base,3,,false,,Mookie Blaylock,,
base,4,,false,,Ed Gray,,
base,5,,false,,Eldridge Recasner,,
base,6,,false,,Kenny Anderson,,
base,7,,false,,Ron Mercer,,
base,8,,false,,Dana Barros,,
base,9,,false,,Walter McCarty,,
base,10,,false,,Travis Knight,,
base,11,,false,,Andrew DeClercq,,
base,12,,false,,David Wesley,,
base,13,,false,,Anthony Mason,,
base,14,,false,,Glen Rice,,
base,15,,false,,J.R. Reid,,
base,16,,false,,Bobby Phills,,
base,17,,false,,Dell Curry,,
base,18,,false,,Toni Kukoc,,
base,19,,false,,Randy Brown,,
base,20,,false,,Ron Harper,,
base,21,,false,,Keith Booth,,
base,22,,false,,Scott Burrell,,
base,23,,false,,Michael Jordan,,
base,24,,false,,Derek Anderson,,
base,25,,false,,Brevin Knight,,
base,26,,false,,Zydrunas Ilgauskas,,
base,27,,false,,Cedric Henderson,,
base,28,,false,,Vitaly Potapenko,,
base,29,,false,,Michael Finley,,
base,30,,false,,Erick Strickland,,
base,31,,false,,Shawn Bradley,,
base,32,,false,,Hubert Davis,,
base,33,,false,,Khalid Reeves,,
base,34,,false,,Bobby Jackson,,
base,35,,false,,Tony Battie,,
base,36,,false,,Bryant Stith,,
base,37,,false,,Danny Fortson,,
base,38,,false,,Dean Garrett,,
base,39,,false,,Eric Williams,,
base,40,,false,,Brian Williams,,
base,41,,false,,Grant Hill,,
base,42,,false,,Lindsey Hunter,,
base,43,,false,,Jerome Williams,,
base,44,,false,,Eric Montross,,
base,45,,false,,Erick Dampier,,
base,46,,false,,Muggsy Bogues,,
base,47,,false,,Tony Delk,,
base,48,,false,,Donyell Marshall,,
base,49,,false,,Bimbo Coles,,
base,50,,false,,Charles Barkley,,
base,51,,false,,Hakeem Olajuwon,,
base,52,,false,,Brent Price,,
base,53,,false,,Mario Elie,,
base,54,,false,,Rodrick Rhodes,,
base,55,,false,,Kevin Willis,,
base,56,,false,,Reggie Miller,,
base,57,,false,,Jalen Rose,,
base,58,,false,,Mark Jackson,,
base,59,,false,,Dale Davis,,
base,60,,false,,Chris Mullin,,
base,61,,false,,Derrick McKey,,
base,62,,false,,Lorenzen Wright,,
base,63,,false,,Rodney Rogers,,
base,64,,false,,Eric Piatkowski,,
base,65,,false,,Maurice Taylor,,
base,66,,false,,Isaac Austin,,
base,67,,false,,Corie Blount,,
base,68,,false,,Shaquille O'Neal,,
base,69,,false,,Kobe Bryant,,
base,70,,false,,Robert Horry,,
base,71,,false,,Sean Rooks,,
base,72,,false,,Derek Fisher,,
base,73,,false,,P.J. Brown,,
base,74,,false,,Alonzo Mourning,,
base,75,,false,,Tim Hardaway,,
base,76,,false,,Voshon Lenard,,
base,77,,false,,Dan Majerle,,
base,78,,false,,Ervin Johnson,,
base,79,,false,,Ray Allen,,
base,80,,false,,Terrell Brandon,,
base,81,,false,,Tyrone Hill,,
base,82,,false,,Elliot Perry,,
base,83,,false,,Anthony Peeler,,
base,84,,false,,Stephon Marbury,,
base,85,,false,,Kevin Garnett,,
base,86,,false,,Paul Grant,,
base,87,,false,,Chris Carr,,
base,88,,false,,Micheal Williams,,
base,89,,false,,Keith Van Horn,,
base,90,,false,,Sam Cassell,,
base,91,,false,,Kendall Gill,,
base,92,,false,,Chris Gatling,,
base,93,,false,,Kerry Kittles,,
base,94,,false,,Allan Houston,,
base,95,,false,,Patrick Ewing,,
base,96,,false,,Charles Oakley,,
base,97,,false,,John Starks,,
base,98,,false,,Charlie Ward,,
base,99,,false,,Chris Mills,,
base,100,,false,,Anfernee Hardaway,,
base,101,,false,,Nick Anderson,,
base,102,,false,,Mark Price,,
base,103,,false,,Horace Grant,,
