category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,true,,Yao Ming,,
base,2,,true,,Glenn Robinson,,
base,3,,true,,Antoine Walker,,
base,4,,true,,Jalen Rose,,
base,5,,true,,Ricky Davis,,
base,6,,true,,Juwan Howard,,
base,7,,true,,Kwame Brown,,
base,8,,true,,Mike Bibby,,
base,9,,true,,Wally Szczerbiak,,
base,10,,true,,Allen Iverson,,
base,11,,true,,Shareef Abdur-Rahim,,
base,12,,true,,Jamal Mashburn,,
base,13,,true,,Stephon Marbury,,
base,14,,true,,Desmond Mason,,
base,15,,true,,Gordan Giricek,,
base,16,,true,,Caron Butler,,
base,17,,true,,Jermaine O'Neal,,
base,18,,true,,Kenyon Martin,,
base,19,,true,,Andrei Kirilenko,,
base,20,,true,,Dirk Nowitzki,,
base,21,,true,,Richard Hamilton,,
base,22,,true,,Troy Murphy,,
base,23,,true,,Shawn Marion,,
base,24,,true,,Allan Houston,,
base,25,,true,,Keith Van Horn,,
base,26,,true,,Brian Grant,,
base,27,,true,,Mike Miller,,
base,28,,true,,Chris Webber,,
base,29,,true,,Brent Barry,,
base,30,,true,,Elton Brand,,
base,31,,true,,Juan Dixon,,
base,32,,true,,Karl Malone,,
base,33,,true,,Darrell Armstrong,,
base,34,,true,,Rasheed Wallace,,
base,35,,true,,Michael Redd,,
base,36,,true,,Rashard Lewis,,
base,37,,true,,Ron Artest,,
base,38,,true,,P.J. Brown,,
base,39,,true,,Eddie Griffin,,
base,40,,true,,Tim Duncan,,
base,41,,true,,Kurt Thomas,,
base,42,,true,,Raef Lafrentz,,
base,43,,true,,Ben Wallace,,
base,44,,true,,Lamar Odom,,
base,45,,true,,Vince Carter,,
base,46,,true,,Derek Anderson,,
base,47,,true,,Stromile Swift,,
base,48,,true,,Bobby Jackson,,
base,49,,true,,Richard Jefferson,,
base,50,,true,,Shaquille O'Neal,,
base,51,,true,,Calbert Cheaney,,
base,52,,true,,Troy Hudson,,
base,53,,true,,Ray Allen,,
base,54,,true,,Howard Eisley,,
base,55,,true,,Alonzo Mourning,,
base,56,,true,,Sam Cassell,,
base,57,,true,,Derrick Coleman,,
base,58,,true,,Andre Miller,,
base,59,,true,,Antawn Jamison,,
base,60,,true,,Kevin Garnett,,
base,61,,true,,Steve Francis,,
base,62,,true,,Tyson Chandler,,
base,63,,true,,Drew Gooden,,
base,64,,true,,Scottie Pippen,,
base,65,,true,,Pau Gasol,,
base,66,,true,,Steve Nash,,
base,67,,true,,DaJuan Wagner,,
base,68,,true,,Jason Terry,,
base,69,,true,,Reggie Miller,,
base,70,,true,,Tracy McGrady,,
base,71,,true,,Nene Hilario,,
base,72,,true,,Morris Peterson,,
base,73,,true,,Peja Stojakovic,,
base,74,,true,,Eddie Jones,,
base,75,,true,,Tony Parker,,
base,76,,true,,Corliss Williamson,,
base,77,,true,,Vladimir Radmanovic,,
base,78,,true,,Amare Stoudemire,,
base,79,,true,,Tony Delk,,
base,80,,true,,Jason Kidd,,
base,81,,true,,Gary Payton,,
base,82,,true,,Corey Maggette,,
base,83,,true,,Darius Miles,,
base,84,,true,,Cuttino Mobley,,
base,85,,true,,Eric Snow,,
base,86,,true,,Matt Harpring,,
base,87,,true,,Manu Ginobili,,
base,88,,true,,Latrell Sprewell,,
base,89,,true,,Alvin Williams,,
base,90,,true,,Paul Pierce,,
base,91,,true,,Anfernee Hardaway,,
base,92,,true,,Gilbert Arenas,,
base,93,,true,,Jerry Stackhouse,,
base,94,,true,,Tim Thomas,,
base,95,,true,,Nikoloz Tskitishvili,,
base,96,,true,,Doug Christie,,
base,97,,true,,Zydrunas Ilgauskas,,
base,98,,true,,Jamaal Tinsley,,
base,99,,true,,Theo Ratliff,,
base,100,,true,,Kobe Bryant,,
base,101,,true,,Chauncey Billups,,
base,102,,true,,Michael Finley,,
base,103,,true,,Jason Williams,,
base,104,,true,,Bonzi Wells,,
base,105,,true,,Voshon Lenard,,
base,106,,true,,Jason Richardson,,
base,107,,true,,Baron Davis,,
base,108,,true,,Rasho Nesterovic,,
base,109,,true,,Eddy Curry,,
base,110,,true,,Michael Olowokandi,,
base,111,,true,,Josh Howard,,
base,112,,true,,Mario Austin,,
base,113,,true,,Rick Rickert,,
base,114,,true,,Tommy Smith,,
base,115,,true,,Dahntay Jones,,
base,116,,true,,Ndudi Ebi,,
base,117,,true,,Maurice Williams,,
base,118,,true,,Kendrick Perkins,,
base,119,,true,,Steve Blake,,
base,120,,true,,David West,,
base,121,,true,,Chris Kaman,,
base,122,,true,,Keith Bogans,,
base,123,,true,,LeBron James,,
base,124,,true,,Devin Brown,,
base,125,,true,,Jason Kapono,,
base,126,,true,,Zoran Planinic,,
base,127,,true,,Zaza Pachulia,,
base,128,,true,,Malick Badiane,,
base,129,,true,,Kyle Korver,,
base,130,,true,,Darko Milicic,,
base,131,,true,,Troy Bell,,
base,132,,true,,Luke Walton,,
base,133,,true,,Mike Sweetney,,
base,134,,true,,Jarvis Hayes,,
base,135,,true,,Leandro Barbosa,,
base,136,,true,,Carlos Delfino,,
base,137,,true,,Sofoklis Schortsanitis,,
base,138,,true,,Slavko Vranes,,
base,139,,true,,Travis Hansen,,
base,140,,true,,Carmelo Anthony,,
base,141,,true,,Reece Gaines,,
base,142,,true,,Maciej Lampe,,
base,143,,true,,Travis Outlaw,,
base,144,,true,,Jerome Beasley,,
base,145,,true,,Mickael Pietrus,,
base,146,,true,,Brian Cook,,
base,148,,true,,Kirk Hinrich,,
base,149,,true,,Dwyane Wade,,
base,150,,true,,Marcus Banks,,
base,151,,true,,Nick Collison,,
base,152,,true,,Boris Diaw,,
base,153,,true,,Chris Bosh,,
base,154,,true,,T.J. Ford,,
base,155,,true,,Luke Ridnour,,
base,156,,true,,Aleksandar Pavlovic,,
base,157,,true,,Zarko Cabarkapa,,
