category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Carson Palmer,,
base,2,,false,,Larry Fitzgerald,,
base,3,,false,,David Johnson,,
base,4,,false,,Chris Johnson,,
base,5,,false,,John Brown,,
base,6,,false,,Michael Floyd,,
base,7,,false,,Tyrann Mathieu,,
base,8,,false,,Patrick Peterson,,
base,9,,false,,Kurt Warner,,
base,10,,false,,Chandler Jones,,
base,11,,false,,Matt Ryan,,
base,12,,false,,Devonta Freeman,,
base,13,,false,,Tevin Coleman,,
base,14,,false,,Julio Jones,,
base,15,,false,,Jacob Tamme,,
base,16,,false,,Mohamed Sanu,,
base,17,,false,,Paul Worrilow,,
base,18,,false,,Desmond Trufant,,
base,19,,false,,Warrick Dunn,,
base,20,,false,,Joe Flacco,,
base,21,,false,,Eric Weddle,,
base,22,,false,,Justin Forsett,,
base,23,,false,,Steve Smith Sr.,,
base,24,,false,,Kamar Aiken,,
base,25,,false,,Jimmy Smith,,
base,26,,false,,Terrell Suggs,,
base,27,,false,,Elvis Dumervil,,
base,28,,false,,Ray Lewis,,
base,29,,false,,Buck Allen,,
base,30,,false,,Tyrod Taylor,,
base,31,,false,,LeSean McCoy,,
base,32,,false,,Karlos Williams,,
base,33,,false,,Sammy Watkins,,
base,34,,false,,Robert Woods,,
base,35,,false,,Charles Clay,,
base,36,,false,,Stephon Gilmore,,
base,37,,false,,Corey Graham,,
base,38,,false,,Jim Kelly,,
base,39,,false,,Cam Newton,,
base,40,,false,,Jonathan Stewart,,
base,41,,false,,Ted Ginn Jr.,,
base,42,,false,,Kelvin Benjamin,,
base,43,,false,,Greg Olsen,,
base,44,,false,,Devin Funchess,,
base,45,,false,,Luke Kuechly,,
base,46,,false,,Thomas Davis,,
base,47,,false,,Josh Norman,,
base,48,,false,,Kevin Greene,,
base,49,,false,,Jay Cutler,,
base,50,,false,,Jeremy Langford,,
base,51,,false,,Alshon Jeffery,,
base,52,,false,,Kevin White,,
base,53,,false,,Marquess Wilson,,
base,54,,false,,Lamarr Houston,,
base,55,,false,,Gale Sayers,,
base,56,,false,,Zach Miller,,
base,57,,false,,Eddie Royal,,
base,58,,false,,Andy Dalton,,
base,59,,false,,Adam Jones,,
base,60,,false,,Jeremy Hill,,
base,61,,false,,Giovani Bernard,,
base,62,,false,,A.J. Green,,
base,63,,false,,Tyler Eifert,,
base,64,,false,,Carlos Dunlap,,
base,65,,false,,Geno Atkins,,
base,66,,false,,Ickey Woods,,
base,67,,false,,Josh McCown,,
base,68,,false,,Robert Griffin III,,
base,69,,false,,Duke Johnson,,
base,70,,false,,Gary Barnidge,,
base,71,,false,,Joe Thomas,,
base,72,,false,,Isaiah Crowell,,
base,73,,false,,Joe Haden,,
base,74,,false,,Ozzie Newsome,,
base,75,,false,,Brian Hartline,,
base,76,,false,,Tony Romo,,
base,77,,false,,Darren McFadden,,
base,78,,false,,Terrance Williams,,
base,79,,false,,Jason Witten,,
base,80,,false,,Dez Bryant,,
base,81,,false,,Cole Beasley,,
base,82,,false,,Sean Lee,,
base,83,,false,,Alfred Morris,,
base,84,,false,,Dan Bailey,,
base,85,,false,,Emmitt Smith,,
base,86,,false,,C.J. Anderson,,
base,87,,false,,Demaryius Thomas,,
base,88,,false,,Emmanuel Sanders,,
base,89,,false,,Von Miller,,
base,90,,false,,DeMarcus Ware,,
base,91,,false,,Brandon Marshall,,
base,92,,false,,John Elway,,
base,93,,false,,Chris Harris,,
base,94,,false,,Aqib Talib,,
base,95,,false,,Marvin Jones,,
base,96,,false,,Matthew Stafford,,
base,97,,false,,Ameer Abdullah,,
base,98,,false,,Golden Tate,,
base,99,,false,,Eric Ebron,,
base,100,,false,,Theo Riddick,,
base,101,,false,,Ezekiel Ansah,,
base,102,,false,,Haloti Ngata,,
base,103,,false,,Barry Sanders,,
base,104,,false,,Aaron Rodgers,,
base,105,,false,,Eddie Lacy,,
base,106,,false,,James Starks,,
base,107,,false,,Randall Cobb,,
base,108,,false,,Jordy Nelson,,
base,109,,false,,John Kuhn,,
base,110,,false,,Richard Rodgers,,
base,111,,false,,Clay Matthews,,
base,112,,false,,Julius Peppers,,
base,113,,false,,Brett Favre,,
base,114,,false,,Earl Campbell,,
base,115,,false,,Brock Osweiler,,
base,116,,false,,Cecil Shorts III,,
base,117,,false,,Vince Wilfork,,
base,118,,false,,DeAndre Hopkins,,
base,119,,false,,Jadeveon Clowney,,
base,120,,false,,Brian Cushing,,
base,121,,false,,J.J. Watt,,
base,122,,false,,Whitney Mercilus,,
base,123,,false,,Lamar Miller,,
base,124,,false,,Andrew Luck,,
base,125,,false,,Frank Gore,,
base,126,,false,,Donte Moncrief,,
base,127,,false,,T.Y. Hilton,,
base,128,,false,,D'Qwell Jackson,,
base,129,,false,,Phillip Dorsett,,
base,130,,false,,Robert Mathis,,
base,131,,false,,Pat McAfee,,
base,132,,false,,Peyton Manning,,
base,133,,false,,Blake Bortles,,
base,134,,false,,T.J. Yeldon,,
base,135,,false,,Denard Robinson,,
base,136,,false,,Allen Robinson,,
base,137,,false,,Julius Thomas,,
base,138,,false,,Allen Hurns,,
base,139,,false,,Paul Posluszny,,
base,140,,false,,Johnathan Cyprien,,
base,141,,false,,Fred Taylor,,
base,142,,false,,Chris Ivory,,
base,143,,false,,Alex Smith,,
base,144,,false,,Jamaal Charles,,
base,145,,false,,Charcandrick West,,
base,146,,false,,Jeremy Maclin,,
base,147,,false,,Travis Kelce,,
base,148,,false,,Derrick Johnson,,
