category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Damian Lillard,,
base,2,,false,,Stephen Curry,,
base,3,,false,,Kyle Lowry,,
base,4,,false,,Patrick Beverley,,
base,5,,false,,Goran Dragic,,
base,6,,false,,Dennis Schroder,,
base,7,,false,,Elfrid Payton,,
base,8,,false,,Kemba Walker,,
base,9,,false,,D.J. Augustin,,
base,10,,false,,Dennis Smith Jr.,,
base,11,,false,,CJ McCollum,,
base,12,,false,,Klay Thompson,,
base,13,,false,,DeMar DeRozan,,
base,14,,false,,Lou Williams,,
base,15,,false,,Dwyane Wade,,
base,16,,false,,Jeremy Lin,,
base,17,,false,,Jrue Holiday,,
base,18,,false,,Nicolas Batum,,
base,19,,false,,Evan Fournier,,
base,20,,false,,Wesley Matthews,,
base,21,,false,,Evan Turner,,
base,22,,false,,Kevin Durant,,
base,23,,false,,OG Anunoby,,
base,24,,false,,Avery Bradley,,
base,25,,false,,James Johnson,,
base,26,,false,,Taurean Prince,,
base,27,,false,,Nikola Mirotic,,
base,28,,false,,Malik Monk,,
base,29,,false,,Terrence Ross,,
base,30,,false,,Harrison Barnes,,
base,31,,false,,Zach Collins,,
base,32,,false,,Draymond Green,,
base,33,,false,,Serge Ibaka,,
base,34,,false,,Tobias Harris,,
base,35,,false,,Dion Waiters,,
base,36,,false,,John Collins,,
base,37,,false,,Julius Randle,,
base,38,,false,,Michael Kidd-Gilchrist,,
base,39,,false,,Aaron Gordon,,
base,40,,false,,Dirk Nowitzki,,
base,41,,false,,Jusuf Nurkic,,
base,42,,false,,DeMarcus Cousins,,
base,43,,false,,Jonas Valanciunas,,
base,44,,false,,Marcin Gortat,,
base,45,,false,,Hassan Whiteside,,
base,46,,false,,Dewayne Dedmon,,
base,47,,false,,Anthony Davis,,
base,48,,false,,Tony Parker,,
base,49,,false,,Nikola Vucevic,,
base,50,,false,,DeAndre Jordan,,
base,51,,false,,De'Aaron Fox,,
base,52,,false,,Chris Paul,,
base,53,,false,,Ricky Rubio,,
base,54,,false,,Lonzo Ball,,
base,55,,false,,Eric Bledsoe,,
base,56,,false,,Kyrie Irving,,
base,57,,false,,Frank Ntilikina,,
base,58,,false,,Kris Dunn,,
base,59,,false,,Ben Simmons,,
base,60,,false,,Jamal Murray,,
base,61,,false,,Bogdan Bogdanovic,,
base,62,,false,,Clint Capela,,
base,63,,false,,Donovan Mitchell,,
base,64,,false,,Brandon Ingram,,
base,65,,false,,Malcolm Brogdon,,
base,66,,false,,Jaylen Brown,,
base,67,,false,,Tim Hardaway Jr.,,
base,68,,false,,Zach LaVine,,
base,69,,false,,Markelle Fultz,,
base,70,,false,,Gary Harris,,
base,71,,false,,Buddy Hield,,
base,72,,false,,James Harden,,
base,73,,false,,Joe Ingles,,
base,74,,false,,Rajon Rondo,,
base,75,,false,,Khris Middleton,,
base,76,,false,,Jayson Tatum,,
base,77,,false,,Mario Hezonja,,
base,78,,false,,Denzel Valentine,,
base,79,,false,,JJ Redick,,
base,80,,false,,Will Barton,,
base,81,,false,,Zach Randolph,,
base,82,,false,,Ryan Anderson,,
base,83,,false,,Derrick Favors,,
base,84,,false,,Kyle Kuzma,,
base,85,,false,,Giannis Antetokounmpo,,
base,86,,false,,Gordon Hayward,,
base,87,,false,,Kristaps Porzingis,,
base,88,,false,,Lauri Markkanen,,
base,89,,false,,Dario Saric,,
base,90,,false,,Paul Millsap,,
base,91,,false,,Willie Cauley-Stein,,
base,92,,false,,Eric Gordon,,
base,93,,false,,Rudy Gobert,,
base,94,,false,,LeBron James,,
base,95,,false,,Matthew Dellavedova,,
base,96,,false,,Al Horford,,
base,97,,false,,Enes Kanter,,
base,98,,false,,Robin Lopez,,
base,99,,false,,Joel Embiid,,
base,100,,false,,Nikola Jokic,,
base,101,,false,,Dejounte Murray,,
base,102,,false,,Tyreke Evans,,
base,103,,false,,John Wall,,
base,104,,false,,Mike Conley,,
base,105,,false,,Jeff Teague,,
base,106,,false,,Spencer Dinwiddie,,
base,107,,false,,Russell Westbrook,,
base,108,,false,,George Hill,,
base,109,,false,,Brandon Knight,,
base,110,,false,,Reggie Jackson,,
base,111,,false,,Danny Green,,
base,112,,false,,Victor Oladipo,,
base,113,,false,,Bradley Beal,,
base,114,,false,,MarShon Brooks,,
base,115,,false,,Jimmy Butler,,
base,116,,false,,D'Angelo Russell,,
base,117,,false,,Paul George,,
base,118,,false,,JR Smith,,
base,119,,false,,Devin Booker,,
base,120,,false,,Luke Kennard,,
base,121,,false,,Kawhi Leonard,,
base,122,,false,,Bojan Bogdanovic,,
base,123,,false,,Otto Porter Jr.,,
base,124,,false,,Dillon Brooks,,
base,125,,false,,Derrick Rose,,
base,126,,false,,DeMarre Carroll,,
base,127,,false,,Carmelo Anthony,,
base,128,,false,,Kyle Korver,,
base,129,,false,,TJ Warren,,
base,130,,false,,Stanley Johnson,,
base,131,,false,,LaMarcus Aldridge,,
base,132,,false,,Thaddeus Young,,
base,133,,false,,Jeff Green,,
base,134,,false,,JaMychal Green,,
base,135,,false,,Andrew Wiggins,,
base,136,,false,,Rondae Hollis-Jefferson,,
base,137,,false,,Steven Adams,,
base,138,,false,,Kevin Love,,
base,139,,false,,Josh Jackson,,
base,140,,false,,Blake Griffin,,
base,141,,false,,Pau Gasol,,
base,142,,false,,Myles Turner,,
base,143,,false,,Dwight Howard,,
base,144,,false,,Marc Gasol,,
base,145,,false,,Karl-Anthony Towns,,
base,146,,false,,Jarrett Allen,,
base,147,,false,,Nerlens Noel,,
base,148,,false,,Tristan Thompson,,
base,149,,false,,Trevor Ariza,,
base,150,,false,,Andre Drummond,,
base,151,,false,,Jarred Vanderbilt Rated Rookie,,
base,152,,false,,Jerome Robinson Rated Rookie,,
base,153,,false,,Melvin Frazier Jr. Rated Rookie,,
base,154,,false,,Zhaire Smith Rated Rookie,,
base,155,,false,,Rodions Kurucs Rated Rookie,,
base,156,,false,,Grayson Allen Rated Rookie,,
base,157,,false,,Deandre Ayton Rated Rookie,,
base,158,,false,,Landry Shamet Rated Rookie,,
base,159,,false,,Elie Okobo Rated Rookie,,
base,160,,false,,Mo Bamba Rated Rookie,,
base,161,,false,,Bruce Brown Rated Rookie,,
base,162,,false,,Shai Gilgeous-Alexander Rated Rookie,,
base,163,,false,,Mitchell Robinson Rated Rookie,,
base,164,,false,,Donte DiVincenzo Rated Rookie,,
base,165,,false,,Vincent Edwards Rated Rookie,,
base,166,,false,,Chandler Hutchison Rated Rookie,,
base,167,,false,,Robert Williams III Rated Rookie,,
base,168,,false,,Marvin Bagley III Rated Rookie,,
base,169,,false,,Jevon Carter Rated Rookie,,
base,170,,false,,Wendell Carter Jr. Rated Rookie,,
base,171,,false,,Hamidou Diallo Rated Rookie,,
base,172,,false,,Miles Bridges Rated Rookie,,
base,173,,false,,Khyri Thomas Rated Rookie,,
base,174,,false,,Lonnie Walker IV Rated Rookie,,
base,175,,false,,Allonzo Trier Rated Rookie,,
base,176,,false,,Aaron Holiday Rated Rookie,,
base,177,,false,,Luka Doncic Rated Rookie,,
base,178,,false,,Jacob Evans III Rated Rookie,,
base,179,,false,,Jalen Brunson Rated Rookie,,
base,180,,false,,Collin Sexton Rated Rookie,,
