category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Adam Henrique,,
base,2,,false,,Ryan Getzlaf,,
base,2b,,false,,Ryan Getzlaf,,
base,3,,false,,John Gibson,,
base,4,,false,,Cam Fowler,,
base,5,,false,,Brandon Montour,,
base,6,,false,,Rickard Rakell,,
base,7,,false,,Clayton Keller,,
base,8,,false,,Jakob Chychrun,,
base,9,,false,,Oliver Ekman-Larsson,,
base,10,,false,,Antti Raanta,,
base,11,,false,,Christian Dvorak,,
base,12,,false,,Jason Demers,,
base,13,,false,,Charlie McAvoy,,
base,14,,false,,David Backes,,
base,15,,false,,Jake DeBrusk,,
base,16,,false,,Torey Krug,,
base,17,,false,,Brandon Carlo,,
base,18,,false,,Danton Heinen,,
base,19,,false,,Patrice Bergeron,,
base,20,,false,,Kyle Okposo,,
base,21,,false,,Sam Reinhart,,
base,22,,false,,Zemgus Girgensons,,
base,23,,false,,Rasmus Ristolainen,,
base,24,,false,,Jason Pominville,,
base,25,,false,,Jack Eichel,,
base,26,,false,,Travis Hamonic,,
base,27,,false,,Mike Smith,,
base,28,,false,,Sam Bennett,,
base,29,,false,,Mikael Backlund,,
base,30,,false,,T.J. Brodie,,
base,31,,false,,Johnny Gaudreau,,
base,32,,false,,Jaccob Slavin,,
base,33,,false,,Justin Williams,,
base,34,,false,,Haydn Fleury,,
base,35,,false,,Sebastian Aho,,
base,36,,false,,Victor Rask,,
base,37,,false,,Jordan Staal,,
base,38,,false,,Brandon Saad,,
base,39,,false,,Corey Crawford,,
base,40,,false,,Alex DeBrincat,,
base,41,,false,,Nick Schmaltz,,
base,42,,false,,Patrick Kane,,
base,43,,false,,Artem Anisimov,,
base,44,,false,,Colin Wilson,,
base,45,,false,,Erik Johnson,,
base,46,,false,,Alex Kerfoot,,
base,47,,false,,Semyon Varlamov,,
base,48,,false,,Carl Soderberg,,
base,49,,false,,Samuel Girard,,
base,50,,false,,Nathan MacKinnon,,
base,51,,false,,Pierre-Luc Dubois,,
base,52,,false,,Sergei Bobrovsky,,
base,53,,false,,Seth Jones,,
base,54,,false,,Cam Atkinson,,
base,55,,false,,David Savard,,
base,56,,false,,Sonny Milano,,
base,57,,false,,Nick Foligno,,
base,58,,false,,Jason Spezza,,
base,59,,false,,John Klingberg,,
base,60,,false,,Ben Bishop,,
base,61,,false,,Radek Faksa,,
base,62,,false,,Stephen Johns,,
base,63,,false,,Jamie Benn,,
base,64,,false,,Henrik Zetterberg,,
base,65,,false,,Danny DeKeyser,,
base,66,,false,,Justin Abdelkader,,
base,67,,false,,Anthony Mantha,,
base,68,,false,,Trevor Daley,,
base,69,,false,,Jimmy Howard,,
base,70,,false,,Ryan Nugent-Hopkins,,
base,71,,false,,Oscar Klefbom,,
base,72,,false,,Jesse Puljujarvi,,
base,73,,false,,Pontus Aberg,,
base,74,,false,,Cam Talbot,,
base,75,,false,,Connor McDavid,,
base,76,,false,,Leon Draisaitl,,
base,77,,false,,Jonathan Huberdeau,,
base,78,,false,,Evgenii Dadonov,,
base,79,,false,,Nick Bjugstad,,
base,80,,false,,James Reimer,,
base,81,,false,,Aaron Ekblad,,
base,82,,false,,Michael Matheson,,
base,83,,false,,Dustin Brown,,
base,84,,false,,Alec Martinez,,
base,85,,false,,Adrian Kempe,,
base,86,,false,,Tanner Pearson,,
base,87,,false,,Anze Kopitar,,
base,88,,false,,Dion Phaneuf,,
base,89,,false,,Jonas Brodin,,
base,90,,false,,Eric Staal,,
base,91,,false,,Mikko Koivu,,
base,92,,false,,Devan Dubnyk,,
base,93,,false,,Zach Parise,,
base,94,,false,,Jared Spurgeon,,
base,95,,false,,Jeff Petry,,
base,96,,false,,Karl Alzner,,
base,97,,false,,Andrew Shaw,,
base,98,,false,,Jonathan Drouin,,
base,99,,false,,Carey Price,,
base,100,,false,,Brendan Gallagher,,
base,101,,false,,Kyle Turris,,
base,102,,false,,Calle Jarnkrok,,
base,103,,false,,Pekka Rinne,,
base,104,,false,,Roman Josi,,
base,105,,false,,Kevin Fiala,,
base,106,,false,,Mattias Ekholm,,
base,107,,false,,Ryan Johansen,,
base,108,,false,,Brian Boyle,,
base,109,,false,,Sami Vatanen,,
base,110,,false,,Nico Hischier,,
base,111,,false,,Miles Wood,,
base,112,,false,,Will Butcher,,
base,113,,false,,Pavel Zacha,,
base,114,,false,,Andrew Ladd,,
base,115,,false,,Anthony Beauvillier,,
base,116,,false,,Nick Leddy,,
base,117,,false,,Jordan Eberle,,
base,118,,false,,Mathew Barzal,,
base,119,,false,,Anders Lee,,
base,120,,false,,Brady Skjei,,
base,121,,false,,Pavel Buchnevich,,
base,122,,false,,Vladislav Namestnikov,,
base,123,,false,,Mats Zuccarello,,
base,124,,false,,Mika Zibanejad,,
base,125,,false,,Kevin Shattenkirk,,
base,126,,false,,Thomas Chabot,,
base,127,,false,,Mark Stone,,
base,128,,false,,Jean-Gabriel Pageau,,
base,129,,false,,Craig Anderson,,
base,130,,false,,Zack Smith,,
base,131,,false,,Mark Borowiecki,,
base,132,,false,,Shayne Gostisbehere,,
base,133,,false,,Travis Konecny,,
base,134,,false,,Nolan Patrick,,
base,135,,false,,Sean Couturier,,
base,136,,false,,Ivan Provorov,,
base,137,,false,,Jori Lehtera,,
base,138,,false,,Claude Giroux,,
base,139,,false,,Derick Brassard,,
base,140,,false,,Riley Sheahan,,
base,141,,false,,Evgeni Malkin,,
base,142,,false,,Patric Hornqvist,,
base,143,,false,,Justin Schultz,,
base,144,,false,,Kris Letang,,
base,145,,false,,Matt Murray,,
base,146,,false,,Kevin Labanc,,
base,147,,false,,Logan Couture,,
base,148,,false,,Evander Kane,,
base,149,,false,,Timo Meier,,
base,150,,false,,Marc-Edouard Vlasic,,
base,151,,false,,Martin Jones,,
base,152,,false,,Jaden Schwartz,,
base,153,,false,,Colton Parayko,,
base,154,,false,,Vladimir Tarasenko,,
base,155,,false,,Alexander Steen,,
base,156,,false,,Joel Edmundson,,
base,157,,false,,Brayden Schenn,,
base,158,,false,,Dmitrij Jaskin,,
base,159,,false,,Steven Stamkos,,
base,160,,false,,Andrei Vasilevskiy,,
base,161,,false,,Ryan McDonagh,,
base,162,,false,,Ondrej Palat,,
base,163,,false,,Brayden Point,,
base,164,,false,,Mikhail Sergachev,,
base,165,,false,,Anton Stralman,,
base,166,,false,,Morgan Rielly,,
base,167,,false,,Frederik Andersen,,
base,168,,false,,Patrick Marleau,,
base,169,,false,,Nikita Zaitsev,,
base,170,,false,,Connor Brown,,
base,171,,false,,Mitch Marner,,
base,172,,false,,Jacob Markstrom,,
base,173,,false,,Alexander Edler,,
base,174,,false,,Erik Gudbranson,,
base,175,,false,,Sven Baertschi,,
base,176,,false,,Michael Del Zotto,,
base,177,,false,,Brock Boeser,,
base,178,,false,,Alex Tuch,,
base,179,,false,,Jonathan Marchessault,,
base,180,,false,,Tomas Tatar,,
base,181,,false,,Reilly Smith,,
base,182,,false,,Colin Miller,,
base,183,,false,,Erik Haula,,
base,184,,false,,Marc-Andre Fleury,,
base,185,,false,,Nicklas Backstrom,,
base,186,,false,,Matt Niskanen,,
base,187,,false,,Braden Holtby,,
base,188,,false,,Lars Eller,,
base,189,,false,,Dmitry Orlov,,
base,190,,false,,Andre Burakovsky,,
base,191,,false,,Alexander Ovechkin,,
base,192,,false,,Dustin Byfuglien,,
base,193,,false,,Connor Hellebuyck,,
base,194,,false,,Kyle Connor,,
base,195,,false,,Jack Roslovic,,
base,196,,false,,Tyler Myers,,
base,197,,false,,Mathieu Perreault,,
base,198,,false,,Blake Wheeler,,
base,199,,false,,Marc-Andre Fleury/Connor Hellebuyck,,
base,200,,false,,Steven Stamkos/Alexander Ovechkin,,
base,201,,false,,Rasmus Dahlin,,
base,202,,false,,Roope Hintz,,
base,203,,false,,Mikhail Vorobyev,,
base,204,,false,,Morgan Klimchuk,,
base,205,,false,,Adam Gaudette,,
base,206,,false,,Maxim Mamin,,
base,207,,false,,Dillon Dube,,
base,208,,false,,Michael Dal Colle,,
base,209,,false,,Shane Gersich,,
base,210,,false,,Mackenzie Blackwood,,
base,211,,false,,Louie Belpedio,,
base,212,,false,,Neal Pionk,,
base,213,,false,,Jordan Greenway,,
base,214,,false,,Filip Hronek,,
base,215,,false,,Brett Howden,,
base,216,,false,,Max Comtois,,
base,217,,false,,Eeli Tolvanen,,
base,218,,false,,Oskar Lindblom,,
base,219,,false,,Anthony Cirelli,,
base,220,,false,,Kiefer Sherwood,,
base,221,,false,,Evan Bouchard,,
base,222,,false,,Austin Wagner,,
base,223,,false,,Max Lajoie,,
base,224,,false,,Tomas Hyka,,
base,225,,false,,Ryan Donato,,
base,226,,false,,Michael Rasmussen,,
base,227,,false,,Libor Sulak,,
base,228,,false,,Travis Dermott,,
base,229,,false,,Marcus Pettersson,,
base,230,,false,,Henri Jokiharju,,
base,231,,false,,Dennis Cholowski,,
base,232,,false,,Dominik Kahun,,
base,233,,false,,Nick Seeler,,
base,234,,false,,Christoffer Ehn,,
base,235,,false,,Trevor Murphy,,
base,236,,false,,Warren Foegele,,
base,237,,false,,Zach Whitecloud,,
base,238,,false,,Antti Suomela,,
base,239,,false,,Troy Terry,,
base,240,,false,,Sheldon Dries,,
base,241,,false,,Jordan Kyrou,,
base,242,,false,,Samuel Montembeault,,
base,243,,false,,Par Lindholm,,
base,244,,false,,Kristian Vesalainen,,
base,245,,false,,Luke Johnson,,
base,246,,false,,Miro Heiskanen,,
base,247,,false,,Igor Ozhiganov,,
base,248,,false,,Elias Pettersson,,
base,249,,false,,Jesperi Kotkaniemi,,
base,250,,false,,Rasmus Dahlin/Elias Pettersson,,
base,251,,false,,Corey Perry,,
base,252,,false,,Jakob Silfverberg,,
base,253,,false,,Hampus Lindholm,,
base,254,,false,,Josh Manson,,
base,255,,false,,Ryan Miller,,
base,256,,false,,Andrew Cogliano,,
base,257,,false,,Derek Stepan,,
base,258,,false,,Brad Richardson,,
base,259,,false,,Niklas Hjalmarsson,,
base,260,,false,,Alex Galchenyuk,,
base,261,,false,,Christian Fischer,,
base,262,,false,,Vincent Hinostroza,,
base,263,,false,,Michael Grabner,,
base,264,,false,,Richard Panik,,
base,265,,false,,Brad Marchand,,
base,266,,false,,David Pastrnak,,
base,267,,false,,Tuukka Rask,,
base,268,,false,,David Krejci,,
base,269,,false,,Zdeno Chara,,
base,270,,false,,Zach Bogosian,,
base,271,,false,,Carter Hutton,,
base,272,,false,,Jeff Skinner,,
base,273,,false,,Patrik Berglund,,
base,274,,false,,Conor Sheary,,
base,275,,false,,Vladimir Sobotka,,
base,276,,false,,Michael Frolik,,
base,277,,false,,Sean Monahan,,
base,278,,false,,Matthew Tkachuk,,
base,279,,false,,James Neal,,
base,280,,false,,Noah Hanifin,,
base,281,,false,,Mark Giordano,,
base,282,,false,,Elias Lindholm,,
base,283,,false,,Petr Mrazek,,
base,284,,false,,Curtis McElhinney,,
base,285,,false,,Justin Faulk,,
base,286,,false,,Dougie Hamilton,,
base,287,,false,,Teuvo Teravainen,,
base,288,,false,,Calvin de Haan,,
base,289,,false,,Brett Pesce,,
base,290,,false,,Micheal Ferland,,
base,291,,false,,Marcus Kruger,,
base,292,,false,,Brent Seabrook,,
base,293,,false,,Jonathan Toews,,
base,294,,false,,Duncan Keith,,
base,295,,false,,Chris Kunitz,,
base,296,,false,,Cam Ward,,
base,297,,false,,Tyson Jost,,
base,298,,false,,Gabriel Landeskog,,
base,299,,false,,Mikko Rantanen,,
base,300,,false,,Tyson Barrie,,
base,301,,false,,Philipp Grubauer,,
base,302,,false,,Ian Cole,,
base,303,,false,,Oliver Bjorkstrand,,
base,304,,false,,Zach Werenski,,
base,305,,false,,Artemi Panarin,,
base,306,,false,,Alexander Wennberg,,
base,307,,false,,Ryan Murray,,
base,308,,false,,Boone Jenner,,
base,309,,false,,Mattias Janmark,,
base,310,,false,,Tyler Seguin,,
base,311,,false,,Alexander Radulov,,
base,312,,false,,Marc Methot,,
base,313,,false,,Valeri Nichushkin,,
base,314,,false,,Connor Carrick,,
base,315,,false,,Dylan Larkin,,
base,316,,false,,Andreas Athanasiou,,
base,317,,false,,Jonathan Bernier,,
base,318,,false,,Mike Green,,
base,319,,false,,Niklas Kronwall,,
base,320,,false,,Gustav Nyquist,,
base,321,,false,,Frans Nielsen,,
base,322,,false,,Milan Lucic,,
base,323,,false,,Adam Larsson,,
