category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Ronald Jones II Concourse,,
base,2,,false,,Quenton Nelson Concourse,,
base,3,,false,,Nyheim Hines Concourse,,
base,4,,false,,Andrew Luck Concourse,,
base,5,,false,,Darius Leonard Concourse,,
base,6,,false,,Deon Cain Concourse,,
base,7,,false,,Jordan Wilkins Concourse,,
base,8,,false,,James Washington Concourse,,
base,9,,false,,Jaylen Samuels Concourse,,
base,10,,false,,Antonio Brown Concourse,,
base,11,,false,,Ben Roethlisberger Concourse,,
base,12,,false,,Mason Rudolph Concourse,,
base,13,,false,,Kerryon Johnson Concourse,,
base,14,,false,,Kyle Lauletta Concourse,,
base,15,,false,,Lorenzo Carter Concourse,,
base,16,,false,,Odell Beckham Jr. Concourse,,
base,17,,false,,Saquon Barkley Concourse,,
base,18,,false,,Sam Darnold Concourse,,
base,19,,false,,Adrian Peterson Concourse,,
base,20,,false,,Derrius Guice Concourse,,
base,21,,false,,Dallas Goedert Concourse,,
base,22,,false,,Carson Wentz Concourse,,
base,23,,false,,Josh Adams Concourse,,
base,24,,false,,Josh Allen Concourse,,
base,25,,false,,LeSean McCoy Concourse,,
base,26,,false,,Tremaine Edmunds Concourse,,
base,27,,false,,Todd Gurley II Concourse,,
base,28,,false,,Jared Goff Concourse,,
base,29,,false,,Antonio Callaway Concourse,,
base,30,,false,,Baker Mayfield Concourse,,
base,31,,false,,Denzel Ward Concourse,,
base,32,,false,,Myles Garrett Concourse,,
base,33,,false,,Nick Chubb Concourse,,
base,34,,false,,Dante Pettis Concourse,,
base,35,,false,,Fred Warner Concourse,,
base,36,,false,,Jimmy Garoppolo Concourse,,
base,37,,false,,Khalil Mack Concourse,,
base,38,,false,,Anthony Miller Concourse,,
base,39,,false,,Roquan Smith Concourse,,
base,40,,false,,Tre'Quan Smith Concourse,,
base,41,,false,,Michael Thomas Concourse,,
base,42,,false,,Alvin Kamara Concourse,,
base,43,,false,,Drew Brees Concourse,,
base,44,,false,,Rashaad Penny Concourse,,
base,45,,false,,Will Dissly Concourse,,
base,46,,false,,Russell Wilson Concourse,,
base,47,,false,,Derek Carr Concourse,,
base,48,,false,,Jason Sanders Concourse,,
base,49,,false,,Kalen Ballage Concourse,,
base,50,,false,,Ryan Tannehill Concourse,,
base,51,,false,,Minkah Fitzpatrick Concourse,,
base,52,,false,,Mike Gesicki Concourse,,
base,53,,false,,Kirk Cousins Concourse,,
base,54,,false,,Julio Jones Concourse,,
base,55,,false,,Ito Smith Concourse,,
base,56,,false,,Devonta Freeman Concourse,,
base,57,,false,,Calvin Ridley Concourse,,
base,58,,false,,Matt Ryan Concourse,,
base,59,,false,,Ronnie Harrison Concourse,,
base,60,,false,,DJ Chark Jr. Concourse,,
base,61,,false,,Jalen Ramsey Concourse,,
base,62,,false,,Josh Rosen Concourse,,
base,63,,false,,David Johnson Concourse,,
base,64,,false,,Chase Edmonds Concourse,,
base,65,,false,,Christian Kirk Concourse,,
base,66,,false,,Patrick Mahomes II Concourse,,
base,67,,false,,Jaleel Scott Concourse,,
base,68,,false,,Hayden Hurst Concourse,,
base,69,,false,,Kenny Young Concourse,,
base,70,,false,,Lamar Jackson Concourse,,
base,71,,false,,Mark Andrews Concourse,,
base,72,,false,,Jordan Thomas Concourse,,
base,73,,false,,Keke Coutee Concourse,,
base,74,,false,,Deshaun Watson Concourse,,
base,75,,false,,Brennan Scarlett Concourse,,
base,76,,false,,Courtland Sutton Concourse,,
base,77,,false,,DaeSean Hamilton Concourse,,
base,78,,false,,Bradley Chubb Concourse,,
base,79,,false,,Phillip Lindsay Concourse,,
base,80,,false,,Royce Freeman Concourse,,
base,81,,false,,Von Miller Concourse,,
base,82,,false,,Cam Newton Concourse,,
base,83,,false,,Christian McCaffrey Concourse,,
base,84,,false,,DJ Moore Concourse,,
base,85,,false,,Donte Jackson Concourse,,
base,86,,false,,Tom Brady Concourse,,
base,87,,false,,Sony Michel Concourse,,
base,88,,false,,Andy Dalton Concourse,,
base,89,,false,,Jessie Bates Concourse,,
base,90,,false,,Mark Walton Concourse,,
base,91,,false,,Marcus Mariota Concourse,,
base,92,,false,,Leighton Vander Esch Concourse,,
base,93,,false,,Ezekiel Elliott Concourse,,
base,94,,false,,Michael Gallup Concourse,,
base,95,,false,,Mike White Concourse,,
base,96,,false,,J'Mon Moore Concourse,,
base,97,,false,,Marquez Valdes-Scantling Concourse,,
base,98,,false,,Aaron Rodgers Concourse,,
base,99,,false,,Derwin James Concourse,,
base,100,,false,,Philip Rivers Concourse,,
base,101,,false,,Shaquem Griffin Premier Level,,
base,102,,false,,Terrell Edmunds Premier Level,,
base,103,,false,,Von Miller Premier Level,,
base,104,,false,,Patrick Mahomes II Premier Level,,
base,105,,false,,Saquon Barkley Premier Level,,
base,106,,false,,Drew Brees Premier Level,,
base,107,,false,,Sam Darnold Premier Level,,
base,108,,false,,Tyreek Hill Premier Level,,
base,109,,false,,Carson Wentz Premier Level,,
base,110,,false,,James Conner Premier Level,,
base,111,,false,,Aaron Donald Premier Level,,
base,112,,false,,Matt Ryan Premier Level,,
base,113,,false,,Khalil Mack Premier Level,,
base,114,,false,,Derek Carr Premier Level,,
base,115,,false,,Melvin Gordon III Premier Level,,
base,116,,false,,Julio Jones Premier Level,,
base,117,,false,,Adam Thielen Premier Level,,
base,118,,false,,Harrison Smith Premier Level,,
base,119,,false,,J.J. Watt Premier Level,,
base,120,,false,,Christian McCaffrey Premier Level,,
base,121,,false,,Ito Smith Premier Level,,
base,122,,false,,Jerry Rice Premier Level,,
base,123,,false,,Alvin Kamara Premier Level,,
