category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Trae Young
base,2,,false,,John Collins
base,3,,false,,Kevin Huerter
base,4,,false,,Vince Carter
base,5,,false,,Allen Crabbe
base,6,,false,,Dewayne Dedmon
base,7,,false,,Alex Len
base,8,,false,,Jaylen Brown
base,9,,false,,Gordon Hayward
base,10,,false,,Al Horford
base,11,,false,,Kyrie Irving
base,12,,false,,Terry Rozier
base,13,,false,,Marcus Smart
base,14,,false,,Jayson Tatum
base,15,,false,,Robert Williams III
base,16,,false,,Jarrett Allen
base,17,,false,,DeMarre Carroll
base,18,,false,,Taurean Prince
base,19,,false,,Spencer Dinwiddie
base,20,,false,,Joe Harris
base,21,,false,,D'Angelo Russell
base,22,,false,,Caris LeVert
base,23,,false,,Dwayne Bacon
base,24,,false,,Nicolas Batum
base,25,,false,,Miles Bridges
base,26,,false,,Kemba Walker
base,27,,false,,Malik Monk
base,28,,false,,Michael Kidd-Gilchrist
base,29,,false,,Marvin Williams
base,30,,false,,Wendell Carter Jr.
base,31,,false,,Chandler Hutchison
base,32,,false,,Kris Dunn
base,33,,false,,Zach LaVine
base,34,,false,,Robin Lopez
base,35,,false,,Lauri Markkanen
base,36,,false,,Otto Porter Jr.
base,37,,false,,Jordan Clarkson
base,38,,false,,Matthew Dellavedova
base,39,,false,,Kevin Love
base,40,,false,,Larry Nance Jr.
base,41,,false,,Collin Sexton
base,42,,false,,JR Smith
base,43,,false,,Tristan Thompson
base,44,,false,,T.J. Warren
base,45,,false,,Jalen Brunson
base,46,,false,,Luka Doncic
base,47,,false,,Tim Hardaway Jr.
base,48,,false,,Justin Jackson
base,49,,false,,Kristaps Porzingis
base,50,,false,,Courtney Lee
base,51,,false,,Will Barton
base,52,,false,,Malik Beasley
base,53,,false,,Torrey Craig
base,54,,false,,Gary Harris
base,55,,false,,Nikola Jokic
base,56,,false,,Jamal Murray
base,57,,false,,Michael Porter Jr.
base,58,,false,,Andre Drummond
base,59,,false,,Blake Griffin
base,60,,false,,Luke Kennard
base,61,,false,,Thon Maker
base,62,,false,,Seth Curry
base,63,,false,,Reggie Jackson
base,64,,false,,Stephen Curry
base,65,,false,,DeMarcus Cousins
base,66,,false,,Kevin Durant
base,67,,false,,Alfonzo McKinnie
base,68,,false,,Quinn Cook
base,69,,false,,Draymond Green
base,70,,false,,Andre Iguodala
base,71,,false,,Klay Thompson
base,72,,false,,Kevon Looney
base,73,,false,,Clint Capela
base,74,,false,,Eric Gordon
base,75,,false,,Jeff Green
base,76,,false,,James Harden
base,77,,false,,Chris Paul
base,78,,false,,P.J. Tucker
base,79,,false,,Bojan Bogdanovic
base,80,,false,,Anthony Davis
base,81,,false,,Aaron Holiday
base,82,,false,,Victor Oladipo
base,83,,false,,Domantas Sabonis
base,84,,false,,Myles Turner
base,85,,false,,Thaddeus Young
base,86,,false,,Shai Gilgeous-Alexander
base,87,,false,,Danilo Gallinari
base,88,,false,,Montrezl Harrell
base,89,,false,,Landry Shamet
base,90,,false,,Lou Williams
base,91,,false,,Ivica Zubac
base,92,,false,,Kentavious Caldwell-Pope
base,93,,false,,Trevor Ariza
base,94,,false,,LeBron James
base,95,,false,,Kyle Kuzma
base,96,,false,,Rajon Rondo
base,97,,false,,Mike Conley
base,98,,false,,Avery Bradley
base,99,,false,,Jae Crowder
base,100,,false,,Bruno Caboclo
base,101,,false,,Jeremy Lamb
base,102,,false,,Jaren Jackson Jr.
base,103,,false,,Jonas Valanciunas
base,104,,false,,Chandler Parsons
base,105,,false,,Kyle Anderson
base,106,,false,,Bam Adebayo
base,107,,false,,Goran Dragic
base,108,,false,,Derrick Jones Jr.
base,109,,false,,Josh Richardson
base,110,,false,,Hassan Whiteside
base,111,,false,,Justise Winslow
base,112,,false,,Dion Waiters
base,113,,false,,Giannis Antetokounmpo
base,114,,false,,Eric Bledsoe
base,115,,false,,Pau Gasol
base,116,,false,,Malcolm Brogdon
base,117,,false,,Khris Middleton
base,118,,false,,Brook Lopez
base,119,,false,,Nerlens Noel
base,120,,false,,Josh Okogie
base,121,,false,,Derrick Rose
base,122,,false,,Jeff Teague
base,123,,false,,Karl-Anthony Towns
base,124,,false,,Andrew Wiggins
base,125,,false,,Robert Covington
base,126,,false,,Lonzo Ball
base,127,,false,,Brandon Ingram
base,128,,false,,Josh Hart
base,129,,false,,Jrue Holiday
base,130,,false,,Jahlil Okafor
base,131,,false,,Julius Randle
base,132,,false,,Elfrid Payton
base,133,,false,,Mario Hezonja
base,134,,false,,DeAndre Jordan
base,135,,false,,Kevin Knox II
base,136,,false,,Frank Ntilikina
base,137,,false,,Mitchell Robinson
base,138,,false,,Allonzo Trier
base,139,,false,,Steven Adams
base,140,,false,,Hamidou Diallo
base,141,,false,,Paul George
base,142,,false,,Russell Westbrook
base,143,,false,,Andre Roberson
base,144,,false,,Terrance Ferguson
base,145,,false,,Mo Bamba
base,146,,false,,Evan Fournier
base,147,,false,,D.J. Augustin
base,148,,false,,Markelle Fultz
base,149,,false,,Aaron Gordon
base,150,,false,,Jonathan Isaac
base,151,,false,,Nikola Vucevic
base,152,,false,,Jimmy Butler
base,153,,false,,Joel Embiid
base,154,,false,,Tobias Harris
base,155,,false,,Ben Simmons
base,156,,false,,JJ Redick
base,157,,false,,Zhaire Smith
base,158,,false,,Deandre Ayton
base,159,,false,,Devin Booker
base,160,,false,,Tyler Johnson
base,161,,false,,Josh Jackson
base,162,,false,,Kelly Oubre Jr.
base,163,,false,,Damian Lillard
base,164,,false,,CJ McCollum
base,165,,false,,Jusuf Nurkic
base,166,,false,,Evan Turner
base,167,,false,,Enes Kanter
base,168,,false,,Rodney Hood
base,169,,false,,Marvin Bagley III
base,170,,false,,Harrison Barnes
base,171,,false,,Bogdan Bogdanovic
base,172,,false,,Willie Cauley-Stein
base,173,,false,,De'Aaron Fox
base,174,,false,,Harry Giles
base,175,,false,,Buddy Hield
base,176,,false,,LaMarcus Aldridge
base,177,,false,,DeMar DeRozan
base,178,,false,,Rudy Gay
base,179,,false,,Patty Mills
base,180,,false,,Dejounte Murray
base,181,,false,,Lonnie Walker IV
base,182,,false,,Derrick White
base,183,,false,,OG Anunoby
base,184,,false,,Marc Gasol
base,185,,false,,Danny Green
base,186,,false,,Serge Ibaka
base,187,,false,,Kawhi Leonard
base,188,,false,,Kyle Lowry
base,189,,false,,Pascal Siakam
base,190,,false,,Fred VanVleet
base,191,,false,,Rudy Gobert
base,192,,false,,Derrick Favors
base,193,,false,,Donovan Mitchell
base,194,,false,,Ricky Rubio
base,195,,false,,Bradley Beal
base,196,,false,,Troy Brown Jr.
base,197,,false,,Thomas Bryant
base,198,,false,,Isaiah Thomas
base,199,,false,,Jabari Parker
base,200,,false,,John Wall
base,1,Black Infinite,false,/1,Trae Young
base,2,Black Infinite,false,/1,John Collins
base,3,Black Infinite,false,/1,Kevin Huerter
base,4,Black Infinite,false,/1,Vince Carter
base,5,Black Infinite,false,/1,Allen Crabbe
base,6,Black Infinite,false,/1,Dewayne Dedmon
base,7,Black Infinite,false,/1,Alex Len
base,8,Black Infinite,false,/1,Jaylen Brown
base,9,Black Infinite,false,/1,Gordon Hayward
base,10,Black Infinite,false,/1,Al Horford
base,11,Black Infinite,false,/1,Kyrie Irving
base,12,Black Infinite,false,/1,Terry Rozier
base,13,Black Infinite,false,/1,Marcus Smart
base,14,Black Infinite,false,/1,Jayson Tatum
base,15,Black Infinite,false,/1,Robert Williams III
base,16,Black Infinite,false,/1,Jarrett Allen
base,17,Black Infinite,false,/1,DeMarre Carroll
base,18,Black Infinite,false,/1,Taurean Prince
base,19,Black Infinite,false,/1,Spencer Dinwiddie
base,20,Black Infinite,false,/1,Joe Harris
base,21,Black Infinite,false,/1,D'Angelo Russell
base,22,Black Infinite,false,/1,Caris LeVert
base,23,Black Infinite,false,/1,Dwayne Bacon
base,24,Black Infinite,false,/1,Nicolas Batum
base,25,Black Infinite,false,/1,Miles Bridges
base,26,Black Infinite,false,/1,Kemba Walker
base,27,Black Infinite,false,/1,Malik Monk
base,28,Black Infinite,false,/1,Michael Kidd-Gilchrist
base,29,Black Infinite,false,/1,Marvin Williams
base,30,Black Infinite,false,/1,Wendell Carter Jr.
base,31,Black Infinite,false,/1,Chandler Hutchison
base,32,Black Infinite,false,/1,Kris Dunn
base,33,Black Infinite,false,/1,Zach LaVine
base,34,Black Infinite,false,/1,Robin Lopez
base,35,Black Infinite,false,/1,Lauri Markkanen
base,36,Black Infinite,false,/1,Otto Porter Jr.
base,37,Black Infinite,false,/1,Jordan Clarkson
base,38,Black Infinite,false,/1,Matthew Dellavedova
base,39,Black Infinite,false,/1,Kevin Love
base,40,Black Infinite,false,/1,Larry Nance Jr.
base,41,Black Infinite,false,/1,Collin Sexton
base,42,Black Infinite,false,/1,JR Smith
base,43,Black Infinite,false,/1,Tristan Thompson
base,44,Black Infinite,false,/1,T.J. Warren
base,45,Black Infinite,false,/1,Jalen Brunson
base,46,Black Infinite,false,/1,Luka Doncic
base,47,Black Infinite,false,/1,Tim Hardaway Jr.
base,48,Black Infinite,false,/1,Justin Jackson
base,49,Black Infinite,false,/1,Kristaps Porzingis
base,50,Black Infinite,false,/1,Courtney Lee
base,51,Black Infinite,false,/1,Will Barton
base,52,Black Infinite,false,/1,Malik Beasley
base,53,Black Infinite,false,/1,Torrey Craig
base,54,Black Infinite,false,/1,Gary Harris
base,55,Black Infinite,false,/1,Nikola Jokic
base,56,Black Infinite,false,/1,Jamal Murray
base,57,Black Infinite,false,/1,Michael Porter Jr.
base,58,Black Infinite,false,/1,Andre Drummond
base,59,Black Infinite,false,/1,Blake Griffin
base,60,Black Infinite,false,/1,Luke Kennard
base,61,Black Infinite,false,/1,Thon Maker
base,62,Black Infinite,false,/1,Seth Curry
base,63,Black Infinite,false,/1,Reggie Jackson
base,64,Black Infinite,false,/1,Stephen Curry
base,65,Black Infinite,false,/1,DeMarcus Cousins
base,66,Black Infinite,false,/1,Kevin Durant
base,67,Black Infinite,false,/1,Alfonzo McKinnie
base,68,Black Infinite,false,/1,Quinn Cook
base,69,Black Infinite,false,/1,Draymond Green
base,70,Black Infinite,false,/1,Andre Iguodala
base,71,Black Infinite,false,/1,Klay Thompson
base,72,Black Infinite,false,/1,Kevon Looney
base,73,Black Infinite,false,/1,Clint Capela
base,74,Black Infinite,false,/1,Eric Gordon
base,75,Black Infinite,false,/1,Jeff Green
base,76,Black Infinite,false,/1,James Harden
base,77,Black Infinite,false,/1,Chris Paul
base,78,Black Infinite,false,/1,P.J. Tucker
base,79,Black Infinite,false,/1,Bojan Bogdanovic
