category,cardNumber,parallel,isAuto,printRun,player
autographs-fast-break,1,,true,,Mfiondu Kabengele
autographs-fast-break,2,,true,,De'Aaron Fox
autographs-fast-break,3,,true,,Jaren Jackson Jr.
autographs-fast-break,4,,true,,Charles Barkley
autographs-fast-break,5,,true,,Larry Johnson
autographs-fast-break,6,,true,,Damian Lillard
autographs-fast-break,7,,true,,PJ Washington Jr.
autographs-fast-break,8,,true,,Karl-Anthony Towns
autographs-fast-break,9,,true,,Darius Bazley
autographs-fast-break,10,,true,,Chris Bosh
autographs-fast-break,11,,true,,Jordan Poole
autographs-fast-break,12,,true,,Gary Payton
autographs-fast-break,13,,true,,Kevin Knox II
autographs-fast-break,14,,true,,Hakeem Olajuwon
autographs-fast-break,15,,true,,Dave Cowens
autographs-fast-break,16,,true,,Larry Bird
autographs-fast-break,17,,true,,Bol Bol
autographs-fast-break,18,,true,,Ja Morant
autographs-fast-break,19,,true,,Goga Bitadze
autographs-fast-break,20,,true,,Clyde Drexler
autographs-fast-break,21,,true,,Kevin Porter Jr.
autographs-fast-break,22,,true,,Deandre Ayton
autographs-fast-break,23,,true,,Jarrett Culver
autographs-fast-break,24,,true,,Stephen Curry
autographs-fast-break,25,,true,,Bill Walton
autographs-fast-break,26,,true,,Anthony Davis
autographs-fast-break,27,,true,,Tyler Herro
autographs-fast-break,28,,true,,Andrew Wiggins
autographs-fast-break,29,,true,,Luka Samanic
autographs-fast-break,30,,true,,Grant Hill
autographs-fast-break,31,,true,,KZ Okpala
autographs-fast-break,32,,true,,James Worthy
autographs-fast-break,33,,true,,Cam Reddish
autographs-fast-break,34,,true,,Zion Williamson
autographs-fast-break,35,,true,,Gail Goodrich
autographs-fast-break,36,,true,,John Stockton
autographs-fast-break,37,,true,,Romeo Langford
autographs-fast-break,38,,true,,Magic Johnson
autographs-fast-break,39,,true,,Keldon Johnson
autographs-fast-break,40,,true,,Kevin McHale
autographs-fast-break,41,,true,,Eric Paschall
autographs-fast-break,42,,true,,Lauri Markkanen
autographs-fast-break,43,,true,,Coby White
autographs-fast-break,44,,true,,Shaquille O'Neal
autographs-fast-break,45,,true,,Malcolm Brogdon
autographs-fast-break,46,,true,,Julius Erving
autographs-fast-break,47,,true,,Matisse Thybulle
autographs-fast-break,48,,true,,RJ Barrett
autographs-fast-break,49,,true,,Carsen Edwards
autographs-fast-break,50,,true,,Rui Hachimura
autographs-fast-break,51,,true,,Talen Horton-Tucker
autographs-fast-break,52,,true,,Nikola Jokic
autographs-fast-break,53,,true,,Eric Bledsoe
autographs-fast-break,54,,true,,Kevin Durant
autographs-fast-break,55,,true,,Collin Sexton
autographs-fast-break,56,,true,,Kevin Garnett
autographs-fast-break,57,,true,,Nassir Little
autographs-fast-break,58,,true,,David Robinson
autographs-fast-break,59,,true,,Grant Williams
autographs-fast-break,60,,true,,Dennis Rodman
autographs-fast-break,61,,true,,Kendrick Nunn
autographs-fast-break,63,,true,,Derek Fisher
autographs-fast-break,64,,true,,Giannis Antetokounmpo
autographs-fast-break,65,,true,,Myles Turner
autographs-fast-break,66,,true,,Kareem Abdul-Jabbar
autographs-fast-break,67,,true,,Sekou Doumbouya
autographs-fast-break,68,,true,,Trae Young
autographs-fast-break,69,,true,,Ty Jerome
autographs-fast-break,70,,true,,Tony Parker
autographs-fast-break,71,,true,,Cody Martin
autographs-fast-break,72,,true,,De'Andre Hunter
autographs-fast-break,73,,true,,George Gervin
autographs-fast-break,74,,true,,Allen Iverson
autographs-fast-break,76,,true,,John Wall
autographs-fast-break,78,,true,,Jerry West
autographs-fast-break,79,,true,,Bruno Fernando
autographs-fast-break,80,,true,,Elgin Baylor
autographs-fast-break,81,,true,,Isaiah Roby
autographs-fast-break,82,,true,,Steve Kerr
autographs-fast-break,83,,true,,Kevin Johnson
autographs-fast-break,84,,true,,Karl Malone
autographs-fast-break,86,,true,,Oscar Robertson
autographs-fast-break,87,,true,,Nickeil Alexander-Walker
autographs-fast-break,88,,true,,Jason Kidd
autographs-fast-break,89,,true,,Admiral Schofield
autographs-fast-break,90,,true,,CJ McCollum
autographs-fast-break,92,,true,,Dwight Howard
autographs-fast-break,93,,true,,Latrell Sprewell
autographs-fast-break,94,,true,,Dwyane Wade
autographs-fast-break,95,,true,,Cameron Johnson
autographs-fast-break,96,,true,,Kawhi Leonard
autographs-fast-break,97,,true,,Brandon Clarke
autographs-fast-break,98,,true,,DeMarcus Cousins
autographs-fast-break,99,,true,,Dylan Windler
autographs-fast-break,100,,true,,Stephon Marbury
autographs-fast-break,1,Black,true,/1,Mfiondu Kabengele
autographs-fast-break,2,Black,true,/1,De'Aaron Fox
autographs-fast-break,3,Black,true,/1,Jaren Jackson Jr.
autographs-fast-break,4,Black,true,/1,Charles Barkley
autographs-fast-break,5,Black,true,/1,Larry Johnson
autographs-fast-break,6,Black,true,/1,Damian Lillard
autographs-fast-break,7,Black,true,/1,PJ Washington Jr.
autographs-fast-break,8,Black,true,/1,Karl-Anthony Towns
autographs-fast-break,9,Black,true,/1,Darius Bazley
autographs-fast-break,10,Black,true,/1,Chris Bosh
autographs-fast-break,11,Black,true,/1,Jordan Poole
autographs-fast-break,12,Black,true,/1,Gary Payton
autographs-fast-break,13,Black,true,/1,Kevin Knox II
autographs-fast-break,14,Black,true,/1,Hakeem Olajuwon
autographs-fast-break,15,Black,true,/1,Dave Cowens
autographs-fast-break,16,Black,true,/1,Larry Bird
autographs-fast-break,17,Black,true,/1,Bol Bol
autographs-fast-break,18,Black,true,/1,Ja Morant
autographs-fast-break,19,Black,true,/1,Goga Bitadze
autographs-fast-break,20,Black,true,/1,Clyde Drexler
autographs-fast-break,21,Black,true,/1,Kevin Porter Jr.
autographs-fast-break,22,Black,true,/1,Deandre Ayton
autographs-fast-break,23,Black,true,/1,Jarrett Culver
autographs-fast-break,24,Black,true,/1,Stephen Curry
autographs-fast-break,25,Black,true,/1,Bill Walton
autographs-fast-break,26,Black,true,/1,Anthony Davis
autographs-fast-break,27,Black,true,/1,Tyler Herro
autographs-fast-break,28,Black,true,/1,Andrew Wiggins
autographs-fast-break,29,Black,true,/1,Luka Samanic
autographs-fast-break,30,Black,true,/1,Grant Hill
autographs-fast-break,31,Black,true,/1,KZ Okpala
autographs-fast-break,32,Black,true,/1,James Worthy
autographs-fast-break,33,Black,true,/1,Cam Reddish
autographs-fast-break,34,Black,true,/1,Zion Williamson
autographs-fast-break,35,Black,true,/1,Gail Goodrich
autographs-fast-break,36,Black,true,/1,John Stockton
autographs-fast-break,37,Black,true,/1,Romeo Langford
autographs-fast-break,38,Black,true,/1,Magic Johnson
autographs-fast-break,39,Black,true,/1,Keldon Johnson
autographs-fast-break,40,Black,true,/1,Kevin McHale
autographs-fast-break,41,Black,true,/1,Eric Paschall
autographs-fast-break,42,Black,true,/1,Lauri Markkanen
autographs-fast-break,43,Black,true,/1,Coby White
autographs-fast-break,44,Black,true,/1,Shaquille O'Neal
autographs-fast-break,45,Black,true,/1,Malcolm Brogdon
autographs-fast-break,46,Black,true,/1,Julius Erving
autographs-fast-break,47,Black,true,/1,Matisse Thybulle
autographs-fast-break,48,Black,true,/1,RJ Barrett
autographs-fast-break,49,Black,true,/1,Carsen Edwards
autographs-fast-break,50,Black,true,/1,Rui Hachimura
autographs-fast-break,51,Black,true,/1,Talen Horton-Tucker
autographs-fast-break,52,Black,true,/1,Nikola Jokic
autographs-fast-break,53,Black,true,/1,Eric Bledsoe
autographs-fast-break,54,Black,true,/1,Kevin Durant
autographs-fast-break,55,Black,true,/1,Collin Sexton
autographs-fast-break,56,Black,true,/1,Kevin Garnett
autographs-fast-break,57,Black,true,/1,Nassir Little
autographs-fast-break,58,Black,true,/1,David Robinson
autographs-fast-break,59,Black,true,/1,Grant Williams
autographs-fast-break,60,Black,true,/1,Dennis Rodman
autographs-fast-break,61,Black,true,/1,Kendrick Nunn
autographs-fast-break,62,Black,true,/1,DeAndre Jordan
autographs-fast-break,63,Black,true,/1,Derek Fisher
autographs-fast-break,64,Black,true,/1,Giannis Antetokounmpo
autographs-fast-break,65,Black,true,/1,Myles Turner
autographs-fast-break,66,Black,true,/1,Kareem Abdul-Jabbar
autographs-fast-break,67,Black,true,/1,Sekou Doumbouya
autographs-fast-break,68,Black,true,/1,Trae Young
autographs-fast-break,69,Black,true,/1,Ty Jerome
autographs-fast-break,70,Black,true,/1,Tony Parker
autographs-fast-break,71,Black,true,/1,Cody Martin
autographs-fast-break,72,Black,true,/1,De'Andre Hunter
autographs-fast-break,73,Black,true,/1,George Gervin
autographs-fast-break,74,Black,true,/1,Allen Iverson
autographs-fast-break,76,Black,true,/1,John Wall
autographs-fast-break,77,Black,true,/1,Chuma Okeke
autographs-fast-break,78,Black,true,/1,Jerry West
autographs-fast-break,79,Black,true,/1,Bruno Fernando
autographs-fast-break,80,Black,true,/1,Elgin Baylor
autographs-fast-break,81,Black,true,/1,Isaiah Roby
autographs-fast-break,82,Black,true,/1,Steve Kerr
autographs-fast-break,83,Black,true,/1,Kevin Johnson
autographs-fast-break,84,Black,true,/1,Karl Malone
autographs-fast-break,86,Black,true,/1,Oscar Robertson
autographs-fast-break,87,Black,true,/1,Nickeil Alexander-Walker
autographs-fast-break,88,Black,true,/1,Jason Kidd
autographs-fast-break,89,Black,true,/1,Admiral Schofield
autographs-fast-break,90,Black,true,/1,CJ McCollum
autographs-fast-break,91,Black,true,/1,Jaylen Nowell
autographs-fast-break,92,Black,true,/1,Dwight Howard
autographs-fast-break,93,Black,true,/1,Latrell Sprewell
autographs-fast-break,94,Black,true,/1,Dwyane Wade
autographs-fast-break,95,Black,true,/1,Cameron Johnson
autographs-fast-break,96,Black,true,/1,Kawhi Leonard
autographs-fast-break,97,Black,true,/1,Brandon Clarke
autographs-fast-break,98,Black,true,/1,DeMarcus Cousins
autographs-fast-break,99,Black,true,/1,Dylan Windler
autographs-fast-break,100,Black,true,/1,Stephon Marbury
autographs-fast-break,1,Gold,true,/10,Mfiondu Kabengele
autographs-fast-break,2,Gold,true,/10,De'Aaron Fox
autographs-fast-break,3,Gold,true,/10,Jaren Jackson Jr.
autographs-fast-break,4,Gold,true,/10,Charles Barkley
autographs-fast-break,5,Gold,true,/10,Larry Johnson
autographs-fast-break,6,Gold,true,/10,Damian Lillard
autographs-fast-break,7,Gold,true,/10,PJ Washington Jr.
autographs-fast-break,8,Gold,true,/10,Karl-Anthony Towns
autographs-fast-break,9,Gold,true,/10,Darius Bazley
autographs-fast-break,10,Gold,true,/10,Chris Bosh
autographs-fast-break,11,Gold,true,/10,Jordan Poole
autographs-fast-break,12,Gold,true,/10,Gary Payton
autographs-fast-break,13,Gold,true,/10,Kevin Knox II
autographs-fast-break,14,Gold,true,/10,Hakeem Olajuwon
autographs-fast-break,15,Gold,true,/10,Dave Cowens
autographs-fast-break,16,Gold,true,/10,Larry Bird
autographs-fast-break,17,Gold,true,/10,Bol Bol
autographs-fast-break,18,Gold,true,/10,Ja Morant
autographs-fast-break,19,Gold,true,/10,Goga Bitadze
autographs-fast-break,20,Gold,true,/10,Clyde Drexler
autographs-fast-break,21,Gold,true,/10,Kevin Porter Jr.
autographs-fast-break,22,Gold,true,/10,Deandre Ayton
autographs-fast-break,23,Gold,true,/10,Jarrett Culver
autographs-fast-break,24,Gold,true,/10,Stephen Curry
autographs-fast-break,25,Gold,true,/10,Bill Walton
autographs-fast-break,26,Gold,true,/10,Anthony Davis
autographs-fast-break,27,Gold,true,/10,Tyler Herro
autographs-fast-break,28,Gold,true,/10,Andrew Wiggins
autographs-fast-break,29,Gold,true,/10,Luka Samanic
autographs-fast-break,30,Gold,true,/10,Grant Hill
autographs-fast-break,31,Gold,true,/10,KZ Okpala
autographs-fast-break,32,Gold,true,/10,James Worthy
autographs-fast-break,33,Gold,true,/10,Cam Reddish
autographs-fast-break,34,Gold,true,/10,Zion Williamson
autographs-fast-break,35,Gold,true,/10,Gail Goodrich
autographs-fast-break,36,Gold,true,/10,John Stockton
autographs-fast-break,37,Gold,true,/10,Romeo Langford
autographs-fast-break,38,Gold,true,/10,Magic Johnson
autographs-fast-break,39,Gold,true,/10,Keldon Johnson
autographs-fast-break,40,Gold,true,/10,Kevin McHale
autographs-fast-break,41,Gold,true,/10,Eric Paschall
autographs-fast-break,42,Gold,true,/10,Lauri Markkanen
autographs-fast-break,43,Gold,true,/10,Coby White
autographs-fast-break,44,Gold,true,/10,Shaquille O'Neal
autographs-fast-break,45,Gold,true,/10,Malcolm Brogdon
autographs-fast-break,46,Gold,true,/10,Julius Erving
autographs-fast-break,47,Gold,true,/10,Matisse Thybulle
autographs-fast-break,48,Gold,true,/10,RJ Barrett
autographs-fast-break,49,Gold,true,/10,Carsen Edwards
autographs-fast-break,50,Gold,true,/10,Rui Hachimura
autographs-fast-break,51,Gold,true,/10,Talen Horton-Tucker
autographs-fast-break,52,Gold,true,/10,Nikola Jokic
autographs-fast-break,53,Gold,true,/10,Eric Bledsoe
autographs-fast-break,54,Gold,true,/10,Kevin Durant
autographs-fast-break,55,Gold,true,/10,Collin Sexton
autographs-fast-break,56,Gold,true,/10,Kevin Garnett
autographs-fast-break,57,Gold,true,/10,Nassir Little
autographs-fast-break,58,Gold,true,/10,David Robinson
autographs-fast-break,59,Gold,true,/10,Grant Williams
autographs-fast-break,60,Gold,true,/10,Dennis Rodman
autographs-fast-break,61,Gold,true,/10,Kendrick Nunn
autographs-fast-break,63,Gold,true,/10,Derek Fisher
autographs-fast-break,64,Gold,true,/10,Giannis Antetokounmpo
autographs-fast-break,65,Gold,true,/10,Myles Turner
autographs-fast-break,66,Gold,true,/10,Kareem Abdul-Jabbar
autographs-fast-break,67,Gold,true,/10,Sekou Doumbouya
autographs-fast-break,68,Gold,true,/10,Trae Young
autographs-fast-break,69,Gold,true,/10,Ty Jerome
autographs-fast-break,70,Gold,true,/10,Tony Parker
autographs-fast-break,71,Gold,true,/10,Cody Martin
autographs-fast-break,72,Gold,true,/10,De'Andre Hunter
autographs-fast-break,73,Gold,true,/10,George Gervin
autographs-fast-break,74,Gold,true,/10,Allen Iverson
autographs-fast-break,76,Gold,true,/10,John Wall
autographs-fast-break,77,Gold,true,/10,Chuma Okeke
autographs-fast-break,78,Gold,true,/10,Jerry West
autographs-fast-break,79,Gold,true,/10,Bruno Fernando
autographs-fast-break,80,Gold,true,/10,Elgin Baylor
autographs-fast-break,81,Gold,true,/10,Isaiah Roby
autographs-fast-break,82,Gold,true,/10,Steve Kerr
autographs-fast-break,83,Gold,true,/10,Kevin Johnson
autographs-fast-break,84,Gold,true,/10,Karl Malone
autographs-fast-break,86,Gold,true,/10,Oscar Robertson
autographs-fast-break,87,Gold,true,/10,Nickeil Alexander-Walker
autographs-fast-break,88,Gold,true,/10,Jason Kidd
autographs-fast-break,89,Gold,true,/10,Admiral Schofield
autographs-fast-break,90,Gold,true,/10,CJ McCollum
