category,cardNumber,parallel,isAuto,printRun,player
action-all-pros,1,,false,,Lamar Jackson
action-all-pros,2,,false,,Christian McCaffrey
action-all-pros,3,,false,,Michael Thomas
action-all-pros,4,,false,,Jason Kelce
action-all-pros,5,,false,,T.J. Watt
action-all-pros,6,,false,,Aaron Donald
action-all-pros,7,,false,,Eric Kendricks
action-all-pros,8,,false,,Tre'Davious White
action-all-pros,9,,false,,Minkah Fitzpatrick
action-all-pros,10,,false,,Tyrann Mathieu
action-all-pros,11,,false,,Bobby Wagner
action-all-pros,12,,false,,Stephon Gilmore
action-all-pros,13,,false,,Chandler Jones
action-all-pros,14,,false,,Quenton Nelson
action-all-pros,15,,false,,Demario Davis
action-all-pros,16,,false,,Zack Martin
action-all-pros,17,,false,,DeAndre Hopkins
action-all-pros,18,,false,,George Kittle
action-all-pros,2,Autograph,true,/25,Christian McCaffrey
action-all-pros,4,Autograph,true,/25,Jason Kelce
action-all-pros,5,Autograph,true,/25,T.J. Watt
action-all-pros,7,Autograph,true,/25,Eric Kendricks
action-all-pros,8,Autograph,true,/25,Tre'Davious White
action-all-pros,10,Autograph,true,/25,Tyrann Mathieu
action-all-pros,14,Autograph,true,/25,Quenton Nelson
action-all-pros,15,Autograph,true,/25,Demario Davis
action-all-pros,16,Autograph,true,/25,Zack Martin
action-all-pros,17,Autograph,true,/10,DeAndre Hopkins
action-all-pros,18,Autograph,true,/25,George Kittle
all-pro-kings,1,,false,/299,Christian McCaffrey
all-pro-kings,2,,false,/299,Adam Thielen
all-pro-kings,3,,false,/299,Derwin James Jr.
all-pro-kings,4,,false,/299,Byron Jones
all-pro-kings,6,,false,/299,Tyreek Hill
all-pro-kings,7,,false,/299,Justin Tucker
all-pro-kings,8,,false,/299,Tarik Cohen
all-pro-kings,9,,false,/299,Jason Kelce
all-pro-kings,10,,false,/299,Jamal Adams
all-pro-kings,11,,false,/299,Joey Bosa
all-pro-kings,12,,false,/299,Dalvin Cook
all-pro-kings,13,,false,/299,Stephon Gilmore
all-pro-kings,14,,false,/299,Mecole Hardman Jr.
all-pro-kings,15,,false,/299,George Kittle
all-pro-kings,16,,false,/299,Leighton Vander Esch
all-pro-kings,17,,false,/299,Russell Wilson
all-pro-kings,18,,false,/299,Derrick Henry
all-pro-kings,20,,false,/299,Patrick Mahomes II
all-pro-kings,1,Autograph,true,/10,Christian McCaffrey
all-pro-kings,2,Autograph,true,/10,Adam Thielen
all-pro-kings,3,Autograph,true,/10,Derwin James Jr.
all-pro-kings,4,Autograph,true,/10,Byron Jones
all-pro-kings,5,Autograph,true,/10,T.J. Watt
all-pro-kings,6,Autograph,true,/10,Tyreek Hill
all-pro-kings,7,Autograph,true,/10,Justin Tucker
all-pro-kings,8,Autograph,true,/10,Tarik Cohen
all-pro-kings,9,Autograph,true,/10,Jason Kelce
all-pro-kings,11,Autograph,true,/10,Joey Bosa
all-pro-kings,12,Autograph,true,/10,Dalvin Cook
all-pro-kings,14,Autograph,true,/10,Mecole Hardman Jr.
all-pro-kings,15,Autograph,true,/10,George Kittle
all-pro-kings,16,Autograph,true,/10,Leighton Vander Esch
all-pro-kings,17,Autograph,true,/5,Russell Wilson
all-pro-kings,18,Autograph,true,/10,Derrick Henry
all-pro-kings,19,Autograph,true,/10,Darius Leonard
all-pro-kings,20,Autograph,true,/5,Patrick Mahomes II
all-pro-kings,1,Studio Serie,false,/100,Christian McCaffrey
all-pro-kings,2,Studio Serie,false,/100,Adam Thielen
all-pro-kings,3,Studio Serie,false,/100,Derwin James Jr.
all-pro-kings,4,Studio Serie,false,/100,Byron Jones
all-pro-kings,7,Studio Serie,false,/10,Justin Tucker
all-pro-kings,8,Studio Serie,false,/100,Tarik Cohen
all-pro-kings,9,Studio Serie,false,/100,Jason Kelce
all-pro-kings,10,Studio Serie,false,/100,Jamal Adams
all-pro-kings,11,Studio Serie,false,/100,Joey Bosa
all-pro-kings,12,Studio Serie,false,/100,Dalvin Cook
all-pro-kings,14,Studio Serie,false,/100,Mecole Hardman Jr.
all-pro-kings,16,Studio Serie,false,/100,Leighton Vander Esch
all-pro-kings,17,Studio Serie,false,/25,Russell Wilson
all-pro-kings,18,Studio Serie,false,/100,Derrick Henry
all-pro-kings,19,Studio Serie,false,/100,Darius Leonard
all-pro-kings,20,Studio Serie,false,/100,Patrick Mahomes II
all-time-gridiron-kings,1,,false,,Joe Montana
all-time-gridiron-kings,2,,false,,LaDainian Tomlinson
all-time-gridiron-kings,3,,false,,Barry Sanders
all-time-gridiron-kings,4,,false,,Peyton Manning
all-time-gridiron-kings,5,,false,,Troy Polamalu
all-time-gridiron-kings,6,,false,,Terry Bradshaw
all-time-gridiron-kings,7,,false,,Brett Favre
all-time-gridiron-kings,8,,false,,Willie Lanier
all-time-gridiron-kings,9,,false,,Jared Allen
all-time-gridiron-kings,10,,false,,John Randle
all-time-gridiron-kings,11,,false,,Jonathan Ogden
all-time-gridiron-kings,12,,false,,Lance Alworth
all-time-gridiron-kings,13,,false,,Jerry Rice
all-time-gridiron-kings,14,,false,,Roger Staubach
all-time-gridiron-kings,15,,false,,John Elway
all-time-gridiron-kings,1,Autograph,true,/5,Joe Montana
all-time-gridiron-kings,2,Autograph,true,/25,LaDainian Tomlinson
all-time-gridiron-kings,3,Autograph,true,/5,Barry Sanders
all-time-gridiron-kings,4,Autograph,true,/5,Peyton Manning
