category,cardNumber,parallel,isAuto,printRun,player
base-set,1,,false,,Nicolas Deslauriers
base-set,2,,false,,Cam Fowler
base-set,3,,false,,John Gibson
base-set,4,,false,,Adam Henrique
base-set,5,,false,,Jakob Silfverberg
base-set,6,,false,,Troy Terry
base-set,7,,false,,Michael Bunting
base-set,8,,false,,Jakob Chychrun
base-set,9,,false,,Oliver Ekman-Larsson
base-set,10,,false,,Niklas Hjalmarsson
base-set,11,,false,,Clayton Keller
base-set,12,,false,,Nick Schmaltz
base-set,13,,false,,Patrice Bergeron
base-set,14,,false,,Charlie Coyle
base-set,15,,false,,Jake DeBrusk
base-set,16,,false,,Matt Grzelcyk
base-set,17,,false,,Brad Marchand
base-set,18,,false,,Charlie McAvoy
base-set,19,,false,,Craig Smith
base-set,20,,false,,Dylan Cozens
base-set,21,,false,,Rasmus Dahlin
base-set,22,,false,,Jack Eichel
base-set,23,,false,,Rasmus Ristolainen
base-set,24,,false,,Jeff Skinner
base-set,25,,false,,Tage Thompson
base-set,26,,false,,Rasmus Andersson
base-set,27,,false,,Johnny Gaudreau
base-set,28,,false,,Noah Hanifin
base-set,29,,false,,Milan Lucic
base-set,30,,false,,Sean Monahan
base-set,31,,false,,Matthew Tkachuk
base-set,32,,false,,Sebastian Aho
base-set,33,,false,,Martin Necas
base-set,34,,false,,Alex Nedeljkovic
base-set,35,,false,,Brett Pesce
base-set,36,,false,,Jaccob Slavin
base-set,37,,false,,Jordan Staal
base-set,38,,false,,Adam Boqvist
base-set,39,,false,,Alex DeBrincat
base-set,40,,false,,Duncan Keith
base-set,41,,false,,Dominik Kubalik
base-set,42,,false,,Philipp Kurashev
base-set,43,,false,,Kevin Lankinen
base-set,44,,false,,Dylan Strome
base-set,45,,false,,J.T. Compher
base-set,46,,false,,Joonas Donskoi
base-set,47,,false,,Samuel Girard
base-set,48,,false,,Nazem Kadri
base-set,49,,false,,Gabriel Landeskog
base-set,50,,false,,Cale Makar
base-set,51,,false,,Devon Toews
base-set,52,,false,,Max Domi
base-set,53,,false,,Seth Jones
base-set,54,,false,,Elvis Merzlikins
base-set,55,,false,,Eric Robinson
base-set,56,,false,,Jack Roslovic
base-set,57,,false,,Zach Werenski
base-set,58,,false,,Miro Heiskanen
base-set,59,,false,,Denis Gurianov
base-set,60,,false,,Anton Khudobin
base-set,61,,false,,Alexander Radulov
base-set,62,,false,,Jason Robertson
base-set,63,,false,,Tyler Seguin
base-set,64,,false,,Danny DeKeyser
base-set,65,,false,,Thomas Greiss
base-set,66,,false,,Vladislav Namestnikov
base-set,67,,false,,Richard Panik
base-set,68,,false,,Jakub Vrana
base-set,69,,false,,Filip Zadina
base-set,70,,false,,Josh Archibald
base-set,71,,false,,Ethan Bear
base-set,72,,false,,Mikko Koskinen
base-set,73,,false,,Connor McDavid
base-set,74,,false,,Darnell Nurse
base-set,75,,false,,Jesse Puljujarvi
base-set,76,,false,,Sergei Bobrovsky
base-set,77,,false,,Patric Hornqvist
base-set,78,,false,,Jonathan Huberdeau
base-set,79,,false,,Carter Verhaeghe
base-set,80,,false,,MacKenzie Weegar
base-set,81,,false,,Keith Yandle
base-set,82,,false,,Drew Doughty
base-set,83,,false,,Alex Iafallo
base-set,84,,false,,Adrian Kempe
base-set,85,,false,,Trevor Moore
base-set,86,,false,,Cal Petersen
base-set,87,,false,,Sean Walker
base-set,88,,false,,Marcus Foligno
base-set,89,,false,,Jordan Greenway
base-set,90,,false,,Kirill Kaprizov
base-set,91,,false,,Zach Parise
base-set,92,,false,,Jared Spurgeon
base-set,93,,false,,Mats Zuccarello
base-set,94,,false,,Jake Allen
base-set,95,,false,,Josh Anderson
base-set,96,,false,,Joel Edmundson
base-set,97,,false,,Brendan Gallagher
base-set,98,,false,,Jeff Petry
base-set,99,,false,,Tyler Toffoli
base-set,100,,false,,Shea Weber
base-set,101,,false,,Viktor Arvidsson
base-set,102,,false,,Mattias Ekholm
base-set,103,,false,,Filip Forsberg
base-set,104,,false,,Roman Josi
base-set,105,,false,,Juuse Saros
base-set,106,,false,,Eeli Tolvanen
base-set,107,,false,,Mackenzie Blackwood
base-set,108,,false,,Jesper Bratt
base-set,109,,false,,Nico Hischier
base-set,110,,false,,Jack Hughes
base-set,111,,false,,Ty Smith
base-set,112,,false,,Miles Wood
base-set,113,,false,,Josh Bailey
base-set,114,,false,,Jordan Eberle
base-set,115,,false,,Nick Leddy
base-set,116,,false,,Anders Lee
base-set,117,,false,,Jean-Gabriel Pageau
base-set,118,,false,,Ryan Pulock
base-set,119,,false,,Semyon Varlamov
base-set,120,,false,,Adam Fox
base-set,121,,false,,Kaapo Kakko
base-set,122,,false,,Chris Kreider
