category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Cal Ripken Jr.
base,2,,false,,Paul Molitor
base,3,,false,,Roberto Clemente
base,4,,false,,Cy Young
base,5,,false,,Tris Speaker
base,6,,false,,Lou Brock
base,7,,false,,Fred Lynn
base,8,,false,,Harmon Killebrew
base,9,,false,,Ted Williams
base,10,,false,,Dave Winfield
base,11,,false,,Orlando Cepeda
base,12,,false,,Johnny Mize
base,13,,false,,Walter Johnson
base,14,,false,,Roy Campanella
base,15,,false,,George Sisler
base,16,,false,,Bo Jackson
base,17,,false,,Rollie Fingers
base,18,,false,,Brooks Robinson
base,19,,false,,Billy Williams
base,20,,false,,Maury Wills
base,21,,false,,Jimmy Foxx
base,22,,false,,Alan Trammell
base,23,,false,,Roger Hornsby
base,24,,false,,Don Drysdale
base,25,,false,,Bob Feller
base,26,,false,,Jackie Robinson
base,27,,false,,Whitey Ford
base,28,,false,,Enos Slaughter
base,29,,false,,Rod Carew
base,30,,false,,Eddie Mathews
base,31,,false,,Ron Cey
base,32,,false,,Thurman Munson
base,33,,false,,Ty Cobb
base,34,,false,,Rocky Colavito
base,35,,false,,Satchel Paige
base,36,,false,,Andre Dawson
base,37,,false,,Phil Rizzuto
base,38,,false,,Roger Maris
base,39,,false,,Earl Weaver
base,40,,false,,Joe Carter
base,41,,false,,Christy Mathewson
base,42,,false,,Tony Lazzeri
base,43,,false,,Gil Hodges
base,44,,false,,Gaylord Perry
base,45,,false,,Steve Carlton
base,46,,false,,George Kell
base,47,,false,,Mickey Cochrane
base,48,,false,,Joe Morgan
base,49,,false,,Steve Garvey
base,50,,false,,Bob Gibson
base,51,,false,,Lefty Grove
base,52,,false,,Warren Spahn
base,53,,false,,Willie McCovey
base,54,,false,,Frank Robinson
base,55,,false,,Rich Gossage
base,56,,false,,Hank Bauer
base,57,,false,,Hoyt Wilhelm
base,58,,false,,Mel Ott
base,59,,false,,Preacher Roe
base,60,,false,,Yogi Berra
base,61,,false,,Nolan Ryan
base,62,,false,,Dizzy Dean
base,63,,false,,Ryne Sandberg
base,64,,false,,Frank Howard
base,65,,false,,Hack Wilson
base,66,,false,,Robin Yount
base,67,,false,,Al Kaline
base,68,,false,,Mike Schmidt
base,69,,false,,Vida Blue
base,70,,false,,George Brett
base,71,,false,,Sparky Anderson
base,72,,false,,Tom Seaver
base,73,,false,,Bill Skowron
base,74,,false,,Don Mattingly
base,75,,false,,Carl Yastrzemski
base,76,,false,,Eddie Murray
base,77,,false,,Jim Palmer
base,78,,false,,Bill Dickey
base,79,,false,,Ozzie Smith
base,80,,false,,Dale Murphy
base,81,,false,,Nap Lajoie
base,82,,false,,Jim Hunter
base,83,,false,,Duke Snider
base,84,,false,,Luis Aparicio
base,85,,false,,Reggie Jackson
base,86,,false,,Honus Wagner
base,87,,false,,Johnny Bench
base,88,,false,,Stan Musial
base,89,,false,,Carlton Fisk
base,90,,false,,Tony Oliva
base,91,,false,,Wade Boggs
base,92,,false,,Jim Rice
base,93,,false,,Bill Mazeroski
base,94,,false,,Ralph Kiner
base,95,,false,,Tony Perez
base,96,,false,,Kirby Puckett
base,97,,false,,Bobby Bonds
base,98,,false,,Bill Terry
base,99,,false,,Juan Marichal
base,100,,false,,Hank Greenberg
