category,cardNumber,parallel,isAuto,printRun,player
base,1,Base Refractor,false,,Drew Thorpe
base,2,Base Refractor,false,,Chase Petty
base,3,Base Refractor,false,,Kumar Rocker
base,4,Base Refractor,false,,Ben Rice
base,5,Base Refractor,false,,Caden Dana
base,6,Base Refractor,false,,Pete Crow-Armstrong
base,7,Base Refractor,false,,Ozzie Albies
base,8,Base Refractor,false,,James Wood
base,9,Base Refractor,false,,Nic Enright
base,10,Base Refractor,false,,Nacho Alvarez Jr.
base,11,Base Refractor,false,,Shane Bieber
base,12,Base Refractor,false,,Garrett Crochet
base,13,Base Refractor,false,,Brooks Lee
base,14,Base Refractor,false,,Cal Ripken Jr.
base,15,Base Refractor,false,,Max Muncy
base,16,Base Refractor,false,,Joe Morgan
base,17,Base Refractor,false,,Spencer Schwellenbach
base,18,Base Refractor,false,,Josh Naylor
base,19,Base Refractor,false,,Adael Amador
base,20,Base Refractor,false,,Luisangel Acuña
base,21,Base Refractor,false,,Justyn-Henry Malloy
base,22,Base Refractor,false,,Rece Hinds
base,23,Base Refractor,false,,Brooks Robinson
base,24,Base Refractor,false,,Trey Sweeney
base,25,Base Refractor,false,,Angel Martínez
base,26,Base Refractor,false,,Kyle Tucker
base,27,Base Refractor,false,,Spencer Strider
base,28,Base Refractor,false,,Nomar Garciaparra
base,29,Base Refractor,false,,Jackson Jobe
base,30,Base Refractor,false,,Tyler Locklear
base,31,Base Refractor,false,,Gunnar Henderson
base,32,Base Refractor,false,,Adley Rutschman
base,33,Base Refractor,false,,Seiya Suzuki
base,34,Base Refractor,false,,Randy Johnson
base,35,Base Refractor,false,,Jarren Duran
base,36,Base Refractor,false,,Richard Fitts
base,37,Base Refractor,false,,Kyle Manzardo
base,38,Base Refractor,false,,Dylan Crews
base,39,Base Refractor,false,,Ian Happ
base,40,Base Refractor,false,,Chase Meidroth
base,41,Base Refractor,false,,Walker Buehler
base,42,Base Refractor,false,,Frank Thomas
base,43,Base Refractor,false,,Noelvi Marte
base,44,Base Refractor,false,,Ceddanne Rafaela
base,45,Base Refractor,false,,River Ryan
base,46,Base Refractor,false,,Shota Imanaga
base,47,Base Refractor,false,,Chipper Jones
base,48,Base Refractor,false,,Thomas Saggese
base,49,Base Refractor,false,,Edgar Quero
base,50,Base Refractor,false,,Elly De La Cruz
base,51,Base Refractor,false,,Denzel Clarke
base,52,Base Refractor,false,,Steven Kwan
base,53,Base Refractor,false,,Chris Sale
base,54,Base Refractor,false,,Corbin Carroll
base,55,Base Refractor,false,,Corbin Burnes
base,56,Base Refractor,false,,Rhett Lowder
base,57,Base Refractor,false,,Coby Mayo
base,58,Base Refractor,false,,Alejandro Osuna
base,59,Base Refractor,false,,Jordan Lawlar
base,60,Base Refractor,false,,Jordan Westburg
base,61,Base Refractor,false,,Bo Jackson
base,62,Base Refractor,false,,Luis Robert Jr.
base,63,Base Refractor,false,,Nico Hoerner
base,64,Base Refractor,false,,Jacob Wilson
base,65,Base Refractor,false,,Kevin Alcántara
base,66,Base Refractor,false,,Colton Cowser
base,67,Base Refractor,false,,Manny Ramirez
