category,cardNumber,parallel,isAuto,printRun,player
first-draft-pick,1,,false,,Mark Aguirre
first-draft-pick,2,,false,,James Worthy
first-draft-pick,3,,false,,Ralph Sampson
first-draft-pick,4,,false,,Hakeem Olajuwon
first-draft-pick,5,,false,,Patrick Ewing
first-draft-pick,6,,false,,Brad Daugherty
first-draft-pick,7,,false,,David Robinson
first-draft-pick,8,,false,,Danny Manning
first-draft-pick,9,,false,,Pervis Ellison UER
first-draft-pick,10,,false,,Derrick Coleman
first-draft-pick,11,,false,,Larry Johnson
base,12,,false,,Mark Aguirre
base,13,,false,,Danny Ainge
base,14,,false,,Rolando Blackman
base,15,,false,,Tom Chambers
base,16,,false,,Eddie Johnson
base,17,,false,,Alton Lister
base,18,,false,,Larry Nance
base,19,,false,,Kurt Rambis
base,20,,false,,Isiah Thomas
base,21,,false,,Buck Williams
base,22,,false,,Orlando Woolridge
base,23,,false,,John Bagley
base,24,,false,,Terry Cummings
base,25,,false,,Mark Eaton
base,26,,false,,Sleepy Floyd
base,27,,false,,Lafayette Lever
base,28,,false,,Ricky Pierce
base,29,,false,,Trent Tucker
base,30,,false,,Dominique Wilkins
base,31,,false,,James Worthy
base,32,,false,,Thurl Bailey
base,33,,false,,Clyde Drexler
base,34,,false,,Dale Ellis
base,35,,false,,Sidney Green
base,36,,false,,Derek Harper
base,37,,false,,Jeff Malone
base,38,,false,,Rodney McCray
base,39,,false,,John Paxson
base,40,,false,,Doc Rivers
base,41,,false,,Byron Scott
base,42,,false,,Sedale Threatt
base,43,,false,,Ron Anderson
base,44,,false,,Charles Barkley
base,45,,false,,Sam Bowie
base,46,,false,,Michael Cage
base,47,,false,,Tony Campbell
base,48,,false,,Antoine Carr
base,49,,false,,Craig Ehlo
base,50,,false,,Vern Fleming
base,51,,false,,Jay Humphries
base,52,,false,,Michael Jordan
base,53,,false,,Jerome Kersey
base,54,,false,,Hakeem Olajuwon
base,55,,false,,Sam Perkins
base,56,,false,,Alvin Robertson
base,57,,false,,John Stockton
base,58,,false,,Otis Thorpe
base,59,,false,,Kevin Willis
base,60,,false,,Michael Adams
base,61,,false,,Benoit Benjamin
base,62,,false,,Terry Catledge
base,63,,false,,Joe Dumars
base,64,,false,,Patrick Ewing
base,65,,false,,A.C. Green
base,66,,false,,Karl Malone
base,67,,false,,Reggie Miller
base,68,,false,,Chris Mullin
base,69,,false,,Xavier McDaniel
base,70,,false,,Charles Oakley
base,71,,false,,Terry Porter
base,72,,false,,Jerry Reynolds
base,73,,false,,Detlef Schrempf
base,74,,false,,Wayman Tisdale
base,75,,false,,Spud Webb
base,76,,false,,Gerald Wilkins
base,77,,false,,Dell Curry
base,78,,false,,Brad Daugherty
base,79,,false,,Johnny Dawkins
base,80,,false,,Kevin Duckworth
base,81,,false,,Ron Harper
base,82,,false,,Jeff Hornacek
base,83,,false,,Johnny Newman
base,84,,false,,Chuck Person
base,85,,false,,Mark Price
base,86,,false,,Dennis Rodman
base,87,,false,,John Salley
base,88,,false,,Scott Skiles
base,89,,false,,Muggsy Bogues
base,90,,false,,Armon Gilliam
base,91,,false,,Horace Grant
base,92,,false,,Mark Jackson
base,93,,false,,Kevin Johnson
base,94,,false,,Reggie Lewis
base,95,,false,,Derrick McKey
base,96,,false,,Ken Norman
base,97,,false,,Scottie Pippen
base,98,,false,,Olden Polynice
base,99,,false,,Kenny Smith
base,100,,false,,John Williams
base,101,,false,,Willie Anderson
base,102,,false,,Rex Chapman
base,103,,false,,Harvey Grant
base,104,,false,,Hersey Hawkins
base,105,,false,,Dan Majerle
base,106,,false,,Danny Manning
base,107,,false,,Vernon Maxwell
base,108,,false,,Chris Morris
base,109,,false,,Mitch Richmond
base,110,,false,,Rony Seikaly
base,111,,false,,Brian Shaw
base,112,,false,,Charles Smith
base,113,,false,,Rod Strickland
base,114,,false,,Micheal Williams
base,115,,false,,Nick Anderson
base,116,,false,,B.J. Armstrong
base,117,,false,,Mookie Blaylock
base,118,,false,,Vlade Divac
base,119,,false,,Sherman Douglas
base,120,,false,,Blue Edwards
base,121,,false,,Sean Elliott
base,122,,false,,Pervis Ellison
base,123,,false,,Tim Hardaway
base,124,,false,,Sarunas Marciulionis
base,125,,false,,Drazen Petrovic
base,126,,false,,J.R. Reid
base,127,,false,,Glen Rice
base,128,,false,,Pooh Richardson
base,129,,false,,Cliff Robinson
base,130,,false,,David Robinson
base,131,,false,,Dee Brown
base,132,,false,,Cedric Ceballos
base,133,,false,,Derrick Coleman
base,134,,false,,Kendall Gill
base,135,,false,,Chris Jackson
base,136,,false,,Shawn Kemp
base,137,,false,,Gary Payton
base,138,,false,,Dennis Scott
base,139,,false,,Lionel Simmons
base,140,,false,,Kenny Anderson
base,141,,false,,Greg Anthony
base,142,,false,,Stacey Augmon
base,143,,false,,Rick Fox
base,144,,false,,Larry Johnson
base,145,,false,,Luc Longley
base,146,,false,,Dikembe Mutombo
base,147,,false,,Billy Owens
base,148,,false,,Steve Smith
base,149,,false,,Checklist 1-75
base,150,,false,,Checklist 76-150
