category,cardNumber,parallel,isAuto,printRun,player
insert-abracadabra,1,Abracadabra,,,Patrick Mahomes II
insert-abracadabra,2,Abracadabra,,,Trevor Lawrence
insert-abracadabra,3,Abracadabra,,,Jalen Hurts
insert-abracadabra,4,Abracadabra,,,Dak Prescott
insert-abracadabra,5,Abracadabra,,,Brock Purdy
insert-abracadabra,6,Abracadabra,,,Tua Tagovailoa
insert-abracadabra,7,Abracadabra,,,Jared Goff
insert-abracadabra,8,Abracadabra,,,Josh Allen
insert-abracadabra,9,Abracadabra,,,Christian McCaffrey
insert-abracadabra,10,Abracadabra,,,Derrick Henry
insert-abracadabra,11,Abracadabra,,,Kyren Williams
insert-abracadabra,12,Abracadabra,,,Tyreek Hill
insert-abracadabra,13,Abracadabra,,,Amon-Ra St. Brown
insert-abracadabra,14,Abracadabra,,,CeeDee Lamb
insert-abracadabra,15,Abracadabra,,,Justin Jefferson
insert-abracadabra,16,Abracadabra,,,Ja'Marr Chase
insert-abracadabra,17,Abracadabra,,,Josh Jacobs
insert-abracadabra,18,Abracadabra,,,George Kittle
insert-abracadabra,19,Abracadabra,,,Travis Kelce
insert-abracadabra,20,Abracadabra,,,Micah Parsons
insert-abracadabra-black,1,Abracadabra Black,,1,Patrick Mahomes II
insert-abracadabra-black,2,Abracadabra Black,,1,Trevor Lawrence
insert-abracadabra-black,3,Abracadabra Black,,1,Jalen Hurts
insert-abracadabra-black,4,Abracadabra Black,,1,Dak Prescott
insert-abracadabra-black,5,Abracadabra Black,,1,Brock Purdy
insert-abracadabra-black,6,Abracadabra Black,,1,Tua Tagovailoa
insert-abracadabra-black,7,Abracadabra Black,,1,Jared Goff
insert-abracadabra-black,8,Abracadabra Black,,1,Josh Allen
insert-abracadabra-black,9,Abracadabra Black,,1,Christian McCaffrey
insert-abracadabra-black,10,Abracadabra Black,,1,Derrick Henry
insert-abracadabra-black,11,Abracadabra Black,,1,Kyren Williams
insert-abracadabra-black,12,Abracadabra Black,,1,Tyreek Hill
insert-abracadabra-black,13,Abracadabra Black,,1,Amon-Ra St. Brown
insert-abracadabra-black,14,Abracadabra Black,,1,CeeDee Lamb
insert-abracadabra-black,15,Abracadabra Black,,1,Justin Jefferson
insert-abracadabra-black,16,Abracadabra Black,,1,Ja'Marr Chase
insert-abracadabra-black,17,Abracadabra Black,,1,Josh Jacobs
