category,cardNumber,parallel,isAuto,printRun,player
insert-2025-xrc-black-prizm,501,,,1,Cam Ward
insert-2025-xrc-black-prizm,502,,,1,Jaxson Dart
insert-2025-xrc-black-prizm,503,,,1,Tyler Shough
insert-2025-xrc-black-prizm,504,,,1,Jalen Milroe
insert-2025-xrc-black-prizm,505,,,1,Shedeur Sanders
insert-2025-xrc-black-prizm,506,,,1,Ashton Jeanty
insert-2025-xrc-black-prizm,507,,,1,Omarion Hampton
insert-2025-xrc-black-prizm,508,,,1,Quinshon Judkins
insert-2025-xrc-black-prizm,509,,,1,TreVeyon Henderson
insert-2025-xrc-black-prizm,510,,,1,RJ Harvey
insert-2025-xrc-black-prizm,511,,,1,Travis Hunter
insert-2025-xrc-black-prizm,512,,,1,Tetairoa McMillan
insert-2025-xrc-black-prizm,513,,,1,Emeka Egbuka
insert-2025-xrc-black-prizm,514,,,1,Matthew Golden
insert-2025-xrc-black-prizm,515,,,1,Jayden Higgins
insert-2025-xrc-black-prizm,516,,,1,Colston Loveland
insert-2025-xrc-black-prizm,517,,,1,Tyler Warren
insert-2025-xrc-black-prizm,518,,,1,Travis Hunter
insert-2025-xrc-black-prizm,519,,,1,Abdul Carter
insert-2025-xrc-black-prizm,520,,,1,Mason Graham
insert-2025-xrc-black-prizm-redemption,501,Redemption,,1,QB1
insert-2025-xrc-black-prizm-redemption,502,Redemption,,1,QB2
insert-2025-xrc-black-prizm-redemption,503,Redemption,,1,QB3
insert-2025-xrc-black-prizm-redemption,504,Redemption,,1,QB4
insert-2025-xrc-black-prizm-redemption,505,Redemption,,1,QB5
insert-2025-xrc-black-prizm-redemption,506,Redemption,,1,RB1
insert-2025-xrc-black-prizm-redemption,507,Redemption,,1,RB2
insert-2025-xrc-black-prizm-redemption,508,Redemption,,1,RB3
insert-2025-xrc-black-prizm-redemption,509,Redemption,,1,RB4
insert-2025-xrc-black-prizm-redemption,510,Redemption,,1,RB5
insert-2025-xrc-black-prizm-redemption,511,Redemption,,1,WR1
insert-2025-xrc-black-prizm-redemption,512,Redemption,,1,WR2
insert-2025-xrc-black-prizm-redemption,513,Redemption,,1,WR3
insert-2025-xrc-black-prizm-redemption,514,Redemption,,1,WR4
insert-2025-xrc-black-prizm-redemption,515,Redemption,,1,WR5
insert-2025-xrc-black-prizm-redemption,516,Redemption,,1,TE1
insert-2025-xrc-black-prizm-redemption,517,Redemption,,1,TE2
insert-2025-xrc-black-prizm-redemption,518,Redemption,,1,DEF1
insert-2025-xrc-black-prizm-redemption,519,Redemption,,1,DEF2
insert-2025-xrc-black-prizm-redemption,520,Redemption,,1,DEF3
insert-2025-xrc-gold-prizm,501,,,10,Cam Ward
insert-2025-xrc-gold-prizm,502,,,10,Jaxson Dart
insert-2025-xrc-gold-prizm,503,,,10,Tyler Shough
insert-2025-xrc-gold-prizm,504,,,10,Jalen Milroe
insert-2025-xrc-gold-prizm,505,,,10,Shedeur Sanders
insert-2025-xrc-gold-prizm,506,,,10,Ashton Jeanty
insert-2025-xrc-gold-prizm,507,,,10,Omarion Hampton
insert-2025-xrc-gold-prizm,508,,,10,Quinshon Judkins
insert-2025-xrc-gold-prizm,509,,,10,TreVeyon Henderson
insert-2025-xrc-gold-prizm,510,,,10,RJ Harvey
insert-2025-xrc-gold-prizm,511,,,10,Travis Hunter
insert-2025-xrc-gold-prizm,512,,,10,Tetairoa McMillan
insert-2025-xrc-gold-prizm,513,,,10,Emeka Egbuka
insert-2025-xrc-gold-prizm,514,,,10,Matthew Golden
insert-2025-xrc-gold-prizm,515,,,10,Jayden Higgins
insert-2025-xrc-gold-prizm,516,,,10,Colston Loveland
insert-2025-xrc-gold-prizm,517,,,10,Tyler Warren
insert-2025-xrc-gold-prizm,518,,,10,Travis Hunter
