category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Mike Trout
base,2,,false,,Gunnar Henderson
base,3,,false,,Bryce Harper
base,4,,false,,Adrian Del Castillo
base,5,,false,,Freddie Freeman
base,6,,false,,Rhett Lowder
base,7,,false,,Bobby Witt Jr.
base,8,,false,,Drew Thorpe
base,9,,false,,Jacob Wilson
base,10,,false,,Rafael Devers
base,11,,false,,Jackson Chourio
base,12,,false,,Roki Sasaki
base,13,,false,,Junior Caminero
base,14,,false,,Lawrence Butler
base,15,,false,,Emmanuel Clase
base,16,,false,,Mookie Betts
base,17,,false,,Shohei Ohtani
base,18,,false,,Yoshinobu Yamamoto
base,19,,false,,Randy Arozarena
base,20,,false,,Tarik Skubal
base,21,,false,,Ronald Acuña Jr.
base,22,,false,,Juan Soto
base,23,,false,,Fernando Tatis Jr.
base,24,,false,,Marcus Semien
base,25,,false,,Yordan Alvarez
base,26,,false,,Manny Machado
base,27,,false,,Vladimir Guerrero Jr.
base,28,,false,,Jacob deGrom
base,29,,false,,James Wood
base,30,,false,,Paul Skenes
base,31,,false,,Adael Amador
base,32,,false,,Austin Riley
base,33,,false,,Wyatt Langford
base,34,,false,,Salvador Perez
base,35,,false,,Adley Rutschman
base,36,,false,,Triston Casas
base,37,,false,,Coby Mayo
base,38,,false,,Corey Seager
base,39,,false,,Eury Pérez
base,40,,false,,Cole Ragans
base,41,,false,,Tomoyuki Sugano
base,42,,false,,Dylan Crews
base,43,,false,,Kyle Tucker
base,44,,false,,Elly De La Cruz
base,45,,false,,Zack Wheeler
base,46,,false,,Connor Norby
base,47,,false,,Shay Whitcomb
base,48,,false,,Shane McClanahan
base,49,,false,,CJ Abrams
base,50,,false,,Jackson Jobe
base,51,,false,,Shota Imanaga
base,52,,false,,Cody Bellinger
base,53,,false,,Ceddanne Rafaela
base,54,,false,,David Festa
base,55,,false,,Zach Neto
base,56,,false,,Pete Alonso
base,57,,false,,Thomas Saggese
base,58,,false,,Riley Greene
base,59,,false,,Jace Jung
base,60,,false,,Willy Adames
base,61,,false,,Hurston Waldrep
base,62,,false,,Will Smith
base,63,,false,,Jose Altuve
base,64,,false,,Jackson Merrill
base,65,,false,,Trea Turner
base,66,,false,,Bryan Reynolds
base,67,,false,,Christian Yelich
base,68,,false,,Nolan Arenado
base,69,,false,,River Ryan
base,70,,false,,William Contreras
base,71,,false,,Ozzie Albies
base,72,,false,,Brooks Lee
base,73,,false,,Carlos Correa
base,74,,false,,Matt Chapman
base,75,,false,,Orelvis Martinez
base,76,,false,,Ketel Marte
base,77,,false,,Jackson Holliday
base,78,,false,,Spencer Schwellenbach
base,79,,false,,Julio Rodríguez
base,80,,false,,Kumar Rocker
base,81,,false,,Jhonkensy Noel
base,82,,false,,Chris Sale
base,83,,false,,Luisangel Acuña
base,84,,false,,Ezequiel Tovar
base,85,,false,,Ben Rice
base,86,,false,,Francisco Lindor
base,87,,false,,Logan Gilbert
base,88,,false,,Luis Robert Jr.
base,89,,false,,José Ramírez
