category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Jacob Wilson
base,2,,false,,Hyeseong Kim
base,3,,false,,Dylan Crews
base,4,,false,,Matt Olson
base,5,,false,,Yusei Kikuchi
base,6,,false,,Manny Machado
base,7,,false,,Bobby Witt Jr.
base,8,,false,,Fernando Tatis Jr.
base,9,,false,,Logan Gilbert
base,10,,false,,Cade Horton
base,11,,false,,Mick Abel
base,12,,false,,Roki Sasaki
base,13,,false,,Ronald Acuña Jr.
base,14,,false,,Willy Adames
base,15,,false,,Alex Bregman
base,16,,false,,Jackson Holliday
base,17,,false,,Shohei Ohtani
base,18,,false,,Chandler Simpson
base,19,,false,,Shota Imanaga
base,20,,false,,CJ Abrams
base,21,,false,,José Ramírez
base,22,,false,,Juan Soto
base,23,,false,,Salvador Perez
base,24,,false,,Andrew McCutchen
base,25,,false,,Trey Sweeney
base,26,,false,,Mookie Betts
base,27,,false,,Mike Trout
base,28,,false,,Chad Patrick
base,29,,false,,James Wood
base,30,,false,,Paul Skenes
base,31,,false,,Blake Snell
base,32,,false,,Luisangel Acuña
base,33,,false,,Freddie Freeman
base,34,,false,,Jazz Chisholm Jr.
base,35,,false,,Randy Arozarena
base,36,,false,,Wyatt Langford
base,37,,false,,Bryce Harper
base,38,,false,,Jackson Merrill
base,39,,false,,Marcelo Mayer
base,40,,false,,Jackson Chourio
base,41,,false,,Dillon Dingler
base,42,,false,,Moisés Ballesteros
base,43,,false,,Yandy Díaz
base,44,,false,,Kevin Alcántara
base,45,,false,,Corey Seager
base,46,,false,,Matt Shaw
base,47,,false,,Jacob deGrom
base,48,,false,,Sandy Alcantara
base,49,,false,,Matt Chapman
base,50,,false,,Jake Mangum
base,51,,false,,Ketel Marte
base,52,,false,,Shane Smith
base,53,,false,,Walker Buehler
base,54,,false,,Carlos Correa
base,55,,false,,Zach Neto
base,56,,false,,Bo Bichette
base,57,,false,,Kyle Tucker
base,58,,false,,Kristian Campbell
base,59,,false,,Francisco Lindor
base,60,,false,,Seiya Suzuki
base,61,,false,,Luke Keaschall
base,62,,false,,Chase Dollander
base,63,,false,,Hayden Birdsong
base,64,,false,,Masyn Winn
base,65,,false,,Lawrence Butler
base,66,,false,,Julio Rodríguez
base,67,,false,,Noah Cameron
base,68,,false,,Angel Martínez
base,69,,false,,Zac Veen
base,70,,false,,Christian Yelich
base,71,,false,,Chase Meidroth
base,72,,false,,Zack Wheeler
base,73,,false,,Sean Burke
base,74,,false,,Vladimir Guerrero Jr.
base,75,,false,,Drake Baldwin
base,76,,false,,Yoshinobu Yamamoto
base,77,,false,,Cam Smith
base,78,,false,,Cody Bellinger
base,79,,false,,Will Warren
base,80,,false,,Junior Caminero
base,81,,false,,Yordan Alvarez
base,82,,false,,Trea Turner
base,83,,false,,Coby Mayo
base,84,,false,,Spencer Schwellenbach
base,85,,false,,Corbin Carroll
base,86,,false,,Tsung-Che Cheng
base,87,,false,,Ezequiel Tovar
base,88,,false,,Edgar Quero
base,89,,false,,Elly De La Cruz
base,90,,false,,Max Muncy
base,91,,false,,Agustín Ramírez
base,92,,false,,Logan Henderson
base,93,,false,,Nick Kurtz
base,94,,false,,Corbin Burnes
base,95,,false,,Tarik Skubal
base,96,,false,,Gunnar Henderson
base,97,,false,,Royce Lewis
base,98,,false,,Kumar Rocker
base,99,,false,,Aaron Judge
base,100,,false,,Dalton Rushing
base,1,Rookie Red RC Variation,false,,Jacob Wilson
base,2,Rookie Red RC Variation,false,,Hyeseong Kim
base,3,Rookie Red RC Variation,false,,Dylan Crews
base,10,Rookie Red RC Variation,false,,Cade Horton
base,11,Rookie Red RC Variation,false,,Mick Abel
base,12,Rookie Red RC Variation,false,,Roki Sasaki
base,18,Rookie Red RC Variation,false,,Chandler Simpson
base,25,Rookie Red RC Variation,false,,Trey Sweeney
base,28,Rookie Red RC Variation,false,,Chad Patrick
base,29,Rookie Red RC Variation,false,,James Wood
base,32,Rookie Red RC Variation,false,,Luisangel Acuña
base,39,Rookie Red RC Variation,false,,Marcelo Mayer
base,41,Rookie Red RC Variation,false,,Dillon Dingler
base,42,Rookie Red RC Variation,false,,Moisés Ballesteros
base,44,Rookie Red RC Variation,false,,Kevin Alcántara
base,46,Rookie Red RC Variation,false,,Matt Shaw
base,50,Rookie Red RC Variation,false,,Jake Mangum
base,52,Rookie Red RC Variation,false,,Shane Smith
base,58,Rookie Red RC Variation,false,,Kristian Campbell
base,61,Rookie Red RC Variation,false,,Luke Keaschall
base,62,Rookie Red RC Variation,false,,Chase Dollander
base,63,Rookie Red RC Variation,false,,Hayden Birdsong
base,67,Rookie Red RC Variation,false,,Noah Cameron
base,68,Rookie Red RC Variation,false,,Angel Martínez
base,69,Rookie Red RC Variation,false,,Zac Veen
base,71,Rookie Red RC Variation,false,,Chase Meidroth
base,73,Rookie Red RC Variation,false,,Sean Burke
base,75,Rookie Red RC Variation,false,,Drake Baldwin
base,77,Rookie Red RC Variation,false,,Cam Smith
base,79,Rookie Red RC Variation,false,,Will Warren
base,83,Rookie Red RC Variation,false,,Coby Mayo
base,84,Rookie Red RC Variation,false,,Spencer Schwellenbach
base,86,Rookie Red RC Variation,false,,Tsung-Che Cheng
base,88,Rookie Red RC Variation,false,,Edgar Quero
base,90,Rookie Red RC Variation,false,,Max Muncy
base,91,Rookie Red RC Variation,false,,Agustín Ramírez
base,92,Rookie Red RC Variation,false,,Logan Henderson
base,93,Rookie Red RC Variation,false,,Nick Kurtz
base,98,Rookie Red RC Variation,false,,Kumar Rocker
base,100,Rookie Red RC Variation,false,,Dalton Rushing
base,BCP-153,,false,,Josuar Gonzalez
base,BCP-154,,false,,Jac Caglianone
base,BCP-155,,false,,Elian Peña
base,BCP-156,,false,,Andrew Salas
base,BCP-157,,false,,Jakob Christian
base,BCP-158,,false,,Devin Fitz-Gerald
base,BCP-159,,false,,Kendry Martínez
base,BCP-160,,false,,Jirvin Morillo
base,BCP-161,,false,,Haritzon Castillo
base,BCP-162,,false,,Cristopher Polanco
base,BCP-163,,false,,Johan De Los Santos
base,BCP-164,,false,,George Lombard Jr.
base,BCP-165,,false,,Spencer Giesting
base,BCP-166,,false,,Cam Schlittler
base,BCP-167,,false,,Roman Anthony
base,BCP-168,,false,,Enry Torres
base,BCP-169,,false,,Ethan Salas
base,BCP-170,,false,,Shotaro Morii
base,BCP-171,,false,,Bubba Chandler
base,BCP-172,,false,,John Gil
base,BCP-173,,false,,Deivid Coronil
base,BCP-174,,false,,Liberts Aponte
base,BCP-175,,false,,Raymer Medina
base,BCP-176,,false,,Cristopher Acosta
base,BCP-177,,false,,Noah Schultz
base,BCP-178,,false,,Gabriel Davalillo
base,BCP-179,,false,,Will Taylor
base,BCP-180,,false,,Bryce Eldridge
base,BCP-181,,false,,RJ Schreck
base,BCP-182,,false,,Kai Roberts
base,BCP-183,,false,,Marco Dinges
base,BCP-184,,false,,Nate George
base,BCP-185,,false,,Warren Calcaño
base,BCP-186,,false,,Elorky Rodriguez
base,BCP-187,,false,,Ramcell Medina
base,BCP-188,,false,,Teilon Serrano
base,BCP-189,,false,,Stiven Marinez
base,BCP-190,,false,,Kenny Fenelon
base,BCP-191,,false,,Christopher Suero
base,BCP-192,,false,,Nathan Church
base,BCP-193,,false,,Jose Anderson
base,BCP-194,,false,,Yorger Bautista
base,BCP-195,,false,,David Sandlin
base,BCP-196,,false,,Hiverson López
base,BCP-197,,false,,Ayden Johnson
base,BCP-198,,false,,Alirio Ferrebus
base,BCP-199,,false,,Mani Cedeno
base,BCP-200,,false,,Rainiel Rodriguez
base,BCP-201,,false,,Anyelo Marquez
base,BCP-202,,false,,Carlos Lagrange
base,BCP-203,,false,,Heins Brito
base,BCP-204,,false,,Leo De Vries
base,BCP-205,,false,,Kevin Defrank
base,BCP-206,,false,,Bo Davidson
base,BCP-207,,false,,Juan Cabada
base,BCP-208,,false,,Jordan Sanchez
