category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Konnor Griffin
base,5,,false,,Bobby Witt Jr.
base,6,,false,,Kevin McGonigle
base,12,,false,,Alex Bregman
base,16,,false,,Bo Bichette
base,17,,false,,Francisco Lindor
base,18,,false,,Nick Kurtz
base,23,,false,,Fernando Tatis Jr.
base,24,,false,,Chase DeLauter
base,25,,false,,Cole Young
base,27,,false,,Chase Burns
base,28,,false,,Tatsuya Imai
base,29,,false,,Cam Schlittler
base,31,,false,,Alex Freeland
base,37,,false,,Owen Caissie
base,38,,false,,Bubba Chandler
base,43,,false,,Roman Anthony
base,46,,false,,Kyle Tucker
base,48,,false,,Sal Stewart
base,52,,false,,JJ Wetherholt
base,54,,false,,Justin Crawford
base,55,,false,,Travis Bazzana
base,56,,false,,Wyatt Langford
base,57,,false,,Ronald Acuña Jr.
base,60,,false,,Paul Skenes
base,61,,false,,Samuel Basallo
base,63,,false,,Bryce Harper
base,65,,false,,Jacob Misiorowski
base,66,,false,,Aaron Judge
base,67,,false,,Juan Soto
base,70,,false,,Colson Montgomery
base,72,,false,,Tarik Skubal
base,75,,false,,Mike Trout
base,76,,false,,Munetaka Murakami
base,78,,false,,Bryce Eldridge
base,79,,false,,Jac Caglianone
base,80,,false,,Nolan McLean
base,83,,false,,Corbin Carroll
base,84,,false,,Yoshinobu Yamamoto
base,85,,false,,Gunnar Henderson
base,86,,false,,Cal Raleigh
base,91,,false,,Pete Crow-Armstrong
base,93,,false,,Trey Yesavage
base,94,,false,,Kazuma Okamoto
base,95,,false,,Carter Jensen
base,96,,false,,Carson Benge
base,97,,false,,Elly De La Cruz
base,98,,false,,Junior Caminero
base,99,,false,,Pete Alonso
base,100,,false,,Shohei Ohtani
base,BCP-151,,false,,Slater de Brun
base,BCP-152,,false,,Wandy Asigen
base,BCP-153,,false,,Alex Lodise
base,BCP-155,,false,,John Gil
base,BCP-160,,false,,Johenssy Colome
base,BCP-161,,false,,Diego Frontado
base,BCP-163,,false,,Francisco Renteria
base,BCP-164,,false,,JoJo Parker
