category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Austin Ekeler
base,1,Silver Press Proof,false,100,Austin Ekeler
base,1,Silver Press Proof Die-Cut,false,75,Austin Ekeler
base,1,Gold Press Proof,false,50,Austin Ekeler
base,1,Gold Press Proof Die-Cut,false,25,Austin Ekeler
base,1,Black Press Proof,false,10,Austin Ekeler
base,1,Black Press Proof Die-Cut,false,1,Austin Ekeler
base,2,,false,,Josh Hines-Allen
base,2,Silver Press Proof,false,100,Josh Hines-Allen
base,2,Silver Press Proof Die-Cut,false,75,Josh Hines-Allen
base,2,Gold Press Proof,false,50,Josh Hines-Allen
base,2,Gold Press Proof Die-Cut,false,25,Josh Hines-Allen
base,2,Black Press Proof,false,10,Josh Hines-Allen
base,2,Black Press Proof Die-Cut,false,1,Josh Hines-Allen
base,3,,false,,Jerry Jeudy
base,3,Silver Press Proof,false,100,Jerry Jeudy
base,3,Silver Press Proof Die-Cut,false,75,Jerry Jeudy
base,3,Gold Press Proof,false,50,Jerry Jeudy
base,3,Gold Press Proof Die-Cut,false,25,Jerry Jeudy
base,3,Black Press Proof,false,10,Jerry Jeudy
base,3,Black Press Proof Die-Cut,false,1,Jerry Jeudy
base,4,,false,,Dawson Knox
base,4,Silver Press Proof,false,100,Dawson Knox
base,4,Silver Press Proof Die-Cut,false,75,Dawson Knox
base,4,Gold Press Proof,false,50,Dawson Knox
base,4,Gold Press Proof Die-Cut,false,25,Dawson Knox
base,4,Black Press Proof,false,10,Dawson Knox
base,4,Black Press Proof Die-Cut,false,1,Dawson Knox
base,5,,false,,Daron Payne
base,5,Silver Press Proof,false,100,Daron Payne
base,5,Silver Press Proof Die-Cut,false,75,Daron Payne
base,5,Gold Press Proof,false,50,Daron Payne
base,5,Gold Press Proof Die-Cut,false,25,Daron Payne
base,5,Black Press Proof,false,10,Daron Payne
base,5,Black Press Proof Die-Cut,false,1,Daron Payne
base,6,,false,,Christian Kirk
base,6,Silver Press Proof,false,100,Christian Kirk
base,6,Silver Press Proof Die-Cut,false,75,Christian Kirk
base,6,Gold Press Proof,false,50,Christian Kirk
base,6,Gold Press Proof Die-Cut,false,25,Christian Kirk
base,6,Black Press Proof,false,10,Christian Kirk
base,6,Black Press Proof Die-Cut,false,1,Christian Kirk
base,7,,false,,Calvin Ridley
base,7,Silver Press Proof,false,100,Calvin Ridley
base,7,Silver Press Proof Die-Cut,false,75,Calvin Ridley
base,7,Gold Press Proof,false,50,Calvin Ridley
base,7,Gold Press Proof Die-Cut,false,25,Calvin Ridley
base,7,Black Press Proof,false,10,Calvin Ridley
base,7,Black Press Proof Die-Cut,false,1,Calvin Ridley
base,8,,false,,Breece Hall
base,8,Silver Press Proof,false,100,Breece Hall
base,8,Silver Press Proof Die-Cut,false,75,Breece Hall
base,8,Gold Press Proof,false,50,Breece Hall
base,8,Gold Press Proof Die-Cut,false,25,Breece Hall
base,8,Black Press Proof,false,10,Breece Hall
base,8,Black Press Proof Die-Cut,false,1,Breece Hall
base,9,,false,,Khalil Mack
base,9,Silver Press Proof,false,100,Khalil Mack
base,9,Silver Press Proof Die-Cut,false,75,Khalil Mack
base,9,Gold Press Proof,false,50,Khalil Mack
base,9,Gold Press Proof Die-Cut,false,25,Khalil Mack
base,9,Black Press Proof,false,10,Khalil Mack
base,9,Black Press Proof Die-Cut,false,1,Khalil Mack
base,10,,false,,Joe Burrow
base,10,Silver Press Proof,false,100,Joe Burrow
base,10,Silver Press Proof Die-Cut,false,75,Joe Burrow
base,10,Gold Press Proof,false,50,Joe Burrow
base,10,Gold Press Proof Die-Cut,false,25,Joe Burrow
base,10,Black Press Proof,false,10,Joe Burrow
