category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Kyler Murray
base,1,Mirrored Trophy Collection,false,499,Kyler Murray
base,1,Cubic Trophy Collection,false,399,Kyler Murray
base,1,Pink Trophy Collection,false,299,Kyler Murray
base,1,Light Blue Trophy Collection,false,249,Kyler Murray
base,1,Red Trophy Collection,false,175,Kyler Murray
base,1,Teal Trophy Collection,false,175,Kyler Murray
base,1,Blue Trophy Collection,false,125,Kyler Murray
base,1,Ruby Trophy Collection,false,125,Kyler Murray
base,1,Purple Trophy Collection,false,99,Kyler Murray
base,1,Bronze Trophy Collection,false,75,Kyler Murray
base,1,Sapphire Trophy Collection,false,75,Kyler Murray
base,1,Diamond Trophy Collection,false,50,Kyler Murray
base,1,Gold Trophy Collection,false,25,Kyler Murray
base,1,Green Trophy Collection,false,15,Kyler Murray
base,1,Platinum Trophy Collection,false,5,Kyler Murray
base,1,Black Ice Trophy Collection,false,1,Kyler Murray
base,2,,false,,James Conner
base,2,Mirrored Trophy Collection,false,499,James Conner
base,2,Cubic Trophy Collection,false,399,James Conner
base,2,Pink Trophy Collection,false,299,James Conner
base,2,Light Blue Trophy Collection,false,249,James Conner
base,2,Red Trophy Collection,false,175,James Conner
base,2,Teal Trophy Collection,false,175,James Conner
base,2,Blue Trophy Collection,false,125,James Conner
base,2,Ruby Trophy Collection,false,125,James Conner
base,2,Purple Trophy Collection,false,99,James Conner
base,2,Bronze Trophy Collection,false,75,James Conner
base,2,Sapphire Trophy Collection,false,75,James Conner
base,2,Diamond Trophy Collection,false,50,James Conner
base,2,Gold Trophy Collection,false,25,James Conner
base,2,Green Trophy Collection,false,15,James Conner
base,2,Platinum Trophy Collection,false,5,James Conner
base,2,Black Ice Trophy Collection,false,1,James Conner
base,3,,false,,Marvin Harrison Jr.
base,3,Mirrored Trophy Collection,false,499,Marvin Harrison Jr.
base,3,Cubic Trophy Collection,false,399,Marvin Harrison Jr.
base,3,Pink Trophy Collection,false,299,Marvin Harrison Jr.
base,3,Light Blue Trophy Collection,false,249,Marvin Harrison Jr.
base,3,Red Trophy Collection,false,175,Marvin Harrison Jr.
base,3,Teal Trophy Collection,false,175,Marvin Harrison Jr.
base,3,Blue Trophy Collection,false,125,Marvin Harrison Jr.
base,3,Ruby Trophy Collection,false,125,Marvin Harrison Jr.
base,3,Purple Trophy Collection,false,99,Marvin Harrison Jr.
base,3,Bronze Trophy Collection,false,75,Marvin Harrison Jr.
base,3,Sapphire Trophy Collection,false,75,Marvin Harrison Jr.
base,3,Diamond Trophy Collection,false,50,Marvin Harrison Jr.
base,3,Gold Trophy Collection,false,25,Marvin Harrison Jr.
base,3,Green Trophy Collection,false,15,Marvin Harrison Jr.
base,3,Platinum Trophy Collection,false,5,Marvin Harrison Jr.
base,3,Black Ice Trophy Collection,false,1,Marvin Harrison Jr.
base,4,,false,,Michael Penix Jr.
base,4,Mirrored Trophy Collection,false,499,Michael Penix Jr.
base,4,Cubic Trophy Collection,false,399,Michael Penix Jr.
base,4,Pink Trophy Collection,false,299,Michael Penix Jr.
base,4,Light Blue Trophy Collection,false,249,Michael Penix Jr.
base,4,Red Trophy Collection,false,175,Michael Penix Jr.
base,4,Teal Trophy Collection,false,175,Michael Penix Jr.
base,4,Blue Trophy Collection,false,125,Michael Penix Jr.
base,4,Ruby Trophy Collection,false,125,Michael Penix Jr.
base,4,Purple Trophy Collection,false,99,Michael Penix Jr.
base,4,Bronze Trophy Collection,false,75,Michael Penix Jr.
base,4,Sapphire Trophy Collection,false,75,Michael Penix Jr.
base,4,Diamond Trophy Collection,false,50,Michael Penix Jr.
base,4,Gold Trophy Collection,false,25,Michael Penix Jr.
base,4,Green Trophy Collection,false,15,Michael Penix Jr.
base,4,Platinum Trophy Collection,false,5,Michael Penix Jr.
base,4,Black Ice Trophy Collection,false,1,Michael Penix Jr.
base,5,,false,,Bijan Robinson
base,5,Mirrored Trophy Collection,false,499,Bijan Robinson
base,5,Cubic Trophy Collection,false,399,Bijan Robinson
base,5,Pink Trophy Collection,false,299,Bijan Robinson
base,5,Light Blue Trophy Collection,false,249,Bijan Robinson
base,5,Red Trophy Collection,false,175,Bijan Robinson
base,5,Teal Trophy Collection,false,175,Bijan Robinson
base,5,Blue Trophy Collection,false,125,Bijan Robinson
base,5,Ruby Trophy Collection,false,125,Bijan Robinson
base,5,Purple Trophy Collection,false,99,Bijan Robinson
base,5,Bronze Trophy Collection,false,75,Bijan Robinson
base,5,Sapphire Trophy Collection,false,75,Bijan Robinson
base,5,Diamond Trophy Collection,false,50,Bijan Robinson
base,5,Gold Trophy Collection,false,25,Bijan Robinson
base,5,Green Trophy Collection,false,15,Bijan Robinson
base,5,Platinum Trophy Collection,false,5,Bijan Robinson
base,5,Black Ice Trophy Collection,false,1,Bijan Robinson
base,6,,false,,Kirk Cousins
base,6,Mirrored Trophy Collection,false,499,Kirk Cousins
base,6,Cubic Trophy Collection,false,399,Kirk Cousins
base,6,Pink Trophy Collection,false,299,Kirk Cousins
base,6,Light Blue Trophy Collection,false,249,Kirk Cousins
base,6,Red Trophy Collection,false,175,Kirk Cousins
base,6,Teal Trophy Collection,false,175,Kirk Cousins
