category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Kyler Murray
base,1,Red Sparkle,false,,Kyler Murray
base,1,White Sparkle,false,,Kyler Murray
base,1,Orange Mosaic,false,199,Kyler Murray
base,1,Blue Mosaic,false,99,Kyler Murray
base,1,Blue Sparkle,false,96,Kyler Murray
base,1,Fusion Red and Yellow Choice Mosaic,false,80,Kyler Murray
base,1,No Huddle Blue Mosaic,false,75,Kyler Murray
base,1,No Huddle Purple Mosaic,false,50,Kyler Murray
base,1,Purple Mosaic,false,49,Kyler Murray
base,1,Orange Fluorescent Mosaic,false,25,Kyler Murray
base,1,White Mosaic,false,25,Kyler Murray
base,1,Gold Sparkle,false,24,Kyler Murray
base,1,No Huddle Pink Mosaic,false,20,Kyler Murray
base,1,Gold Wave Mosaic,false,17,Kyler Murray
base,1,Blue Fluorescent Mosaic,false,15,Kyler Murray
base,1,Tessellation Mosaic,false,15,Kyler Murray
base,1,Green Swirl Mosaic,false,13,Kyler Murray
base,1,Pink Swirl Mosaic,false,13,Kyler Murray
base,1,Gold Mosaic,false,10,Kyler Murray
base,1,Green Fluorescent Mosaic,false,10,Kyler Murray
base,1,No Huddle Gold Mosaic,false,10,Kyler Murray
base,1,Pink Fluorescent Mosaic,false,10,Kyler Murray
base,1,Red Wave Mosaic,false,9,Kyler Murray
base,1,Black Gold Choice Mosaic,false,8,Kyler Murray
base,1,Green Sparkle,false,8,Kyler Murray
base,1,Black Mosaic,false,1,Kyler Murray
base,1,Nebula Choice Mosaic,false,1,Kyler Murray
base,1,No Huddle Black Mosaic,false,1,Kyler Murray
base,2,,false,,James Conner
base,2,Red Sparkle,false,,James Conner
base,2,White Sparkle,false,,James Conner
base,2,Orange Mosaic,false,199,James Conner
base,2,Blue Mosaic,false,99,James Conner
base,2,Blue Sparkle,false,96,James Conner
base,2,Fusion Red and Yellow Choice Mosaic,false,80,James Conner
base,2,No Huddle Blue Mosaic,false,75,James Conner
base,2,No Huddle Purple Mosaic,false,50,James Conner
