category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Ja'Marr Chase
base,1,Silver,false,175,Ja'Marr Chase
base,1,Blue,false,99,Ja'Marr Chase
base,1,Purple,false,75,Ja'Marr Chase
base,1,Red,false,49,Ja'Marr Chase
base,1,Orange,false,25,Ja'Marr Chase
base,1,Pink,false,15,Ja'Marr Chase
base,1,Gold,false,5,Ja'Marr Chase
base,1,Black,false,1,Ja'Marr Chase
base,2,,false,,Isaiah Likely
base,2,Silver,false,175,Isaiah Likely
base,2,Blue,false,99,Isaiah Likely
base,2,Purple,false,75,Isaiah Likely
base,2,Red,false,49,Isaiah Likely
base,2,Orange,false,25,Isaiah Likely
base,2,Pink,false,15,Isaiah Likely
base,2,Gold,false,5,Isaiah Likely
base,2,Black,false,1,Isaiah Likely
base,3,,false,,Josh Hines-Allen
base,3,Silver,false,175,Josh Hines-Allen
base,3,Blue,false,99,Josh Hines-Allen
base,3,Purple,false,75,Josh Hines-Allen
base,3,Red,false,49,Josh Hines-Allen
base,3,Orange,false,25,Josh Hines-Allen
base,3,Pink,false,15,Josh Hines-Allen
base,3,Gold,false,5,Josh Hines-Allen
base,3,Black,false,1,Josh Hines-Allen
base,4,,false,,Kenneth Walker III
base,4,Silver,false,175,Kenneth Walker III
base,4,Blue,false,99,Kenneth Walker III
base,4,Purple,false,75,Kenneth Walker III
base,4,Red,false,49,Kenneth Walker III
base,4,Orange,false,25,Kenneth Walker III
base,4,Pink,false,15,Kenneth Walker III
base,4,Gold,false,5,Kenneth Walker III
base,4,Black,false,1,Kenneth Walker III
base,5,,false,,Lamar Jackson
base,5,Silver,false,175,Lamar Jackson
base,5,Blue,false,99,Lamar Jackson
base,5,Purple,false,75,Lamar Jackson
base,5,Red,false,49,Lamar Jackson
base,5,Orange,false,25,Lamar Jackson
base,5,Pink,false,15,Lamar Jackson
base,5,Gold,false,5,Lamar Jackson
base,5,Black,false,1,Lamar Jackson
base,6,,false,,Jonathan Mingo
base,6,Silver,false,175,Jonathan Mingo
base,6,Blue,false,99,Jonathan Mingo
base,6,Purple,false,75,Jonathan Mingo
base,6,Red,false,49,Jonathan Mingo
base,6,Orange,false,25,Jonathan Mingo
base,6,Pink,false,15,Jonathan Mingo
base,6,Gold,false,5,Jonathan Mingo
base,6,Black,false,1,Jonathan Mingo
base,7,,false,,Ben Coates
base,7,Silver,false,175,Ben Coates
base,7,Blue,false,99,Ben Coates
base,7,Purple,false,75,Ben Coates
base,7,Red,false,49,Ben Coates
base,7,Orange,false,25,Ben Coates
base,7,Pink,false,15,Ben Coates
base,7,Gold,false,5,Ben Coates
base,7,Black,false,1,Ben Coates
base,8,,false,,Kayvon Thibodeaux
base,8,Silver,false,175,Kayvon Thibodeaux
base,8,Blue,false,99,Kayvon Thibodeaux
base,8,Purple,false,75,Kayvon Thibodeaux
base,8,Red,false,49,Kayvon Thibodeaux
base,8,Orange,false,25,Kayvon Thibodeaux
base,8,Pink,false,15,Kayvon Thibodeaux
base,8,Gold,false,5,Kayvon Thibodeaux
base,8,Black,false,1,Kayvon Thibodeaux
base,9,,false,,Puka Nacua
base,9,Silver,false,175,Puka Nacua
base,9,Blue,false,99,Puka Nacua
base,9,Purple,false,75,Puka Nacua
base,9,Red,false,49,Puka Nacua
base,9,Orange,false,25,Puka Nacua
base,9,Pink,false,15,Puka Nacua
base,9,Gold,false,5,Puka Nacua
base,9,Black,false,1,Puka Nacua
base,10,,false,,Will Levis
base,10,Silver,false,175,Will Levis
base,10,Blue,false,99,Will Levis
base,10,Purple,false,75,Will Levis
base,10,Red,false,49,Will Levis
base,10,Orange,false,25,Will Levis
base,10,Pink,false,15,Will Levis
base,10,Gold,false,5,Will Levis
base,10,Black,false,1,Will Levis
base,11,,false,,Nick Chubb
base,11,Silver,false,175,Nick Chubb
base,11,Blue,false,99,Nick Chubb
base,11,Purple,false,75,Nick Chubb
base,11,Red,false,49,Nick Chubb
base,11,Orange,false,25,Nick Chubb
base,11,Pink,false,15,Nick Chubb
base,11,Gold,false,5,Nick Chubb
base,11,Black,false,1,Nick Chubb
base,12,,false,,Sam LaPorta
base,12,Silver,false,175,Sam LaPorta
base,12,Blue,false,99,Sam LaPorta
base,12,Purple,false,75,Sam LaPorta
base,12,Red,false,49,Sam LaPorta
base,12,Orange,false,25,Sam LaPorta
base,12,Pink,false,15,Sam LaPorta
base,12,Gold,false,5,Sam LaPorta
base,12,Black,false,1,Sam LaPorta
base,13,,false,,Michael Pittman Jr.
base,13,Silver,false,175,Michael Pittman Jr.
base,13,Blue,false,99,Michael Pittman Jr.
base,13,Purple,false,75,Michael Pittman Jr.
base,13,Red,false,49,Michael Pittman Jr.
base,13,Orange,false,25,Michael Pittman Jr.
base,13,Pink,false,15,Michael Pittman Jr.
base,13,Gold,false,5,Michael Pittman Jr.
base,13,Black,false,1,Michael Pittman Jr.
base,14,,false,,Jordan Davis
base,14,Silver,false,175,Jordan Davis
base,14,Blue,false,99,Jordan Davis
base,14,Purple,false,75,Jordan Davis
base,14,Red,false,49,Jordan Davis
base,14,Orange,false,25,Jordan Davis
base,14,Pink,false,15,Jordan Davis
base,14,Gold,false,5,Jordan Davis
base,14,Black,false,1,Jordan Davis
base,15,,false,,Jared Goff
base,15,Silver,false,175,Jared Goff
base,15,Blue,false,99,Jared Goff
base,15,Purple,false,75,Jared Goff
base,15,Red,false,49,Jared Goff
base,15,Orange,false,25,Jared Goff
base,15,Pink,false,15,Jared Goff
base,15,Gold,false,5,Jared Goff
base,15,Black,false,1,Jared Goff
base,16,,false,,Khalil Shakir
base,16,Silver,false,175,Khalil Shakir
base,16,Blue,false,99,Khalil Shakir
base,16,Purple,false,75,Khalil Shakir
base,16,Red,false,49,Khalil Shakir
base,16,Orange,false,25,Khalil Shakir
base,16,Pink,false,15,Khalil Shakir
base,16,Gold,false,5,Khalil Shakir
base,16,Black,false,1,Khalil Shakir
base,17,,false,,Will Anderson Jr.
base,17,Silver,false,175,Will Anderson Jr.
base,17,Blue,false,99,Will Anderson Jr.
base,17,Purple,false,75,Will Anderson Jr.
base,17,Red,false,49,Will Anderson Jr.
base,17,Orange,false,25,Will Anderson Jr.
base,17,Pink,false,15,Will Anderson Jr.
base,17,Gold,false,5,Will Anderson Jr.
base,17,Black,false,1,Will Anderson Jr.
base,18,,false,,Garrett Wilson
base,18,Silver,false,175,Garrett Wilson
base,18,Blue,false,99,Garrett Wilson
base,18,Purple,false,75,Garrett Wilson
base,18,Red,false,49,Garrett Wilson
base,18,Orange,false,25,Garrett Wilson
base,18,Pink,false,15,Garrett Wilson
base,18,Gold,false,5,Garrett Wilson
base,18,Black,false,1,Garrett Wilson
base,19,,false,,Derius Davis
base,19,Silver,false,175,Derius Davis
base,19,Blue,false,99,Derius Davis
base,19,Purple,false,75,Derius Davis
base,19,Red,false,49,Derius Davis
base,19,Orange,false,25,Derius Davis
base,19,Pink,false,15,Derius Davis
base,19,Gold,false,5,Derius Davis
base,19,Black,false,1,Derius Davis
base,20,,false,,Patrick Mahomes II
base,20,Silver,false,175,Patrick Mahomes II
base,20,Blue,false,99,Patrick Mahomes II
base,20,Purple,false,75,Patrick Mahomes II
base,20,Red,false,49,Patrick Mahomes II
base,20,Orange,false,25,Patrick Mahomes II
base,20,Pink,false,15,Patrick Mahomes II
base,20,Gold,false,5,Patrick Mahomes II
base,20,Black,false,1,Patrick Mahomes II
base,21,,false,,Terrell Suggs
base,21,Silver,false,175,Terrell Suggs
base,21,Blue,false,99,Terrell Suggs
base,21,Purple,false,75,Terrell Suggs
base,21,Red,false,49,Terrell Suggs
base,21,Orange,false,25,Terrell Suggs
base,21,Pink,false,15,Terrell Suggs
base,21,Gold,false,5,Terrell Suggs
base,21,Black,false,1,Terrell Suggs
base,22,,false,,Christian McCaffrey
base,22,Silver,false,175,Christian McCaffrey
base,22,Blue,false,99,Christian McCaffrey
base,22,Purple,false,75,Christian McCaffrey
base,22,Red,false,49,Christian McCaffrey
base,22,Orange,false,25,Christian McCaffrey
base,22,Pink,false,15,Christian McCaffrey
base,22,Gold,false,5,Christian McCaffrey
base,22,Black,false,1,Christian McCaffrey
base,23,,false,,Devon Witherspoon
base,23,Silver,false,175,Devon Witherspoon
base,23,Blue,false,99,Devon Witherspoon
base,23,Purple,false,75,Devon Witherspoon
base,23,Red,false,49,Devon Witherspoon
base,23,Orange,false,25,Devon Witherspoon
base,23,Pink,false,15,Devon Witherspoon
base,23,Gold,false,5,Devon Witherspoon
base,23,Black,false,1,Devon Witherspoon
base,24,,false,,Justin Jefferson
base,24,Silver,false,175,Justin Jefferson
base,24,Blue,false,99,Justin Jefferson
base,24,Purple,false,75,Justin Jefferson
base,24,Red,false,49,Justin Jefferson
base,24,Orange,false,25,Justin Jefferson
base,24,Pink,false,15,Justin Jefferson
base,24,Gold,false,5,Justin Jefferson
base,24,Black,false,1,Justin Jefferson
base,25,,false,,Bryce Young
base,25,Silver,false,175,Bryce Young
base,25,Blue,false,99,Bryce Young
base,25,Purple,false,75,Bryce Young
base,25,Red,false,49,Bryce Young
base,25,Orange,false,25,Bryce Young
base,25,Pink,false,15,Bryce Young
base,25,Gold,false,5,Bryce Young
base,25,Black,false,1,Bryce Young
base,26,,false,,Drake London
base,26,Silver,false,175,Drake London
base,26,Blue,false,99,Drake London
base,26,Purple,false,75,Drake London
base,26,Red,false,49,Drake London
base,26,Orange,false,25,Drake London
base,26,Pink,false,15,Drake London
base,26,Gold,false,5,Drake London
base,26,Black,false,1,Drake London
base,27,,false,,Luke Musgrave
base,27,Silver,false,175,Luke Musgrave
base,27,Blue,false,99,Luke Musgrave
base,27,Purple,false,75,Luke Musgrave
base,27,Red,false,49,Luke Musgrave
base,27,Orange,false,25,Luke Musgrave
base,27,Pink,false,15,Luke Musgrave
base,27,Gold,false,5,Luke Musgrave
base,27,Black,false,1,Luke Musgrave
base,28,,false,,Mike Evans
base,28,Silver,false,175,Mike Evans
base,28,Blue,false,99,Mike Evans
base,28,Purple,false,75,Mike Evans
base,28,Red,false,49,Mike Evans
base,28,Orange,false,25,Mike Evans
base,28,Pink,false,15,Mike Evans
base,28,Gold,false,5,Mike Evans
base,28,Black,false,1,Mike Evans
base,29,,false,,Patrick Surtain II
base,29,Silver,false,175,Patrick Surtain II
base,29,Blue,false,99,Patrick Surtain II
base,29,Purple,false,75,Patrick Surtain II
base,29,Red,false,49,Patrick Surtain II
base,29,Orange,false,25,Patrick Surtain II
base,29,Pink,false,15,Patrick Surtain II
base,29,Gold,false,5,Patrick Surtain II
base,29,Black,false,1,Patrick Surtain II
base,30,,false,,Brock Purdy
base,30,Silver,false,175,Brock Purdy
base,30,Blue,false,99,Brock Purdy
base,30,Purple,false,75,Brock Purdy
base,30,Red,false,49,Brock Purdy
base,30,Orange,false,25,Brock Purdy
base,30,Pink,false,15,Brock Purdy
base,30,Gold,false,5,Brock Purdy
base,30,Black,false,1,Brock Purdy
base,31,,false,,Cameron Jordan
base,31,Silver,false,175,Cameron Jordan
base,31,Blue,false,99,Cameron Jordan
base,31,Purple,false,75,Cameron Jordan
base,31,Red,false,49,Cameron Jordan
base,31,Orange,false,25,Cameron Jordan
base,31,Pink,false,15,Cameron Jordan
base,31,Gold,false,5,Cameron Jordan
base,31,Black,false,1,Cameron Jordan
base,32,,false,,CeeDee Lamb
base,32,Silver,false,175,CeeDee Lamb
base,32,Blue,false,99,CeeDee Lamb
base,32,Purple,false,75,CeeDee Lamb
base,32,Red,false,49,CeeDee Lamb
base,32,Orange,false,25,CeeDee Lamb
base,32,Pink,false,15,CeeDee Lamb
base,32,Gold,false,5,CeeDee Lamb
base,32,Black,false,1,CeeDee Lamb
base,33,,false,,Nolan Cromwell
base,33,Silver,false,175,Nolan Cromwell
base,33,Blue,false,99,Nolan Cromwell
base,33,Purple,false,75,Nolan Cromwell
base,33,Red,false,49,Nolan Cromwell
base,33,Orange,false,25,Nolan Cromwell
base,33,Pink,false,15,Nolan Cromwell
base,33,Gold,false,5,Nolan Cromwell
base,33,Black,false,1,Nolan Cromwell
base,34,,false,,Brandon Aiyuk
base,34,Silver,false,175,Brandon Aiyuk
base,34,Blue,false,99,Brandon Aiyuk
base,34,Purple,false,75,Brandon Aiyuk
base,34,Red,false,49,Brandon Aiyuk
base,34,Orange,false,25,Brandon Aiyuk
base,34,Pink,false,15,Brandon Aiyuk
base,34,Gold,false,5,Brandon Aiyuk
