category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Dejounte Murray
base,1,Black White Prizms,false,,Dejounte Murray
base,1,China Variation,false,,Dejounte Murray
base,1,"Choice Blue, Yellow and Green Prizms",false,,Dejounte Murray
base,1,Choice Tiger Stripe Prizms,false,,Dejounte Murray
base,1,Fast Break Prizms,false,,Dejounte Murray
base,1,Glitter Prizms,false,,Dejounte Murray
base,1,Green Ice Prizms,false,,Dejounte Murray
base,1,Green Wave Prizms,false,,Dejounte Murray
base,1,Hyper Prizms,false,,Dejounte Murray
base,1,Ice Prizms,false,,Dejounte Murray
base,1,Orange Ice Prizms,false,,Dejounte Murray
base,1,Pink Ice Prizms,false,,Dejounte Murray
base,1,Pulsar Prizms,false,,Dejounte Murray
base,1,Red Ice Prizms,false,,Dejounte Murray
base,1,Red Sparkle Prizms,false,,Dejounte Murray
base,1,"Red, White and Blue Prizms",false,,Dejounte Murray
base,1,Ruby Wave Prizms,false,,Dejounte Murray
base,1,Silver Prizms,false,,Dejounte Murray
base,1,Snakeskin Prizms,false,,Dejounte Murray
base,1,Wave Prizms,false,,Dejounte Murray
base,1,White Sparkle Prizms,false,,Dejounte Murray
base,1,White Tiger Stripe Prizms,false,,Dejounte Murray
base,1,Red Prizms,false,299,Dejounte Murray
base,1,Red Seismic Prizms,false,299,Dejounte Murray
base,1,White Lazer Prizms,false,275,Dejounte Murray
base,1,Pink Prizms,false,249,Dejounte Murray
base,1,Skewed Prizms,false,249,Dejounte Murray
base,1,Basketball Prizms,false,225,Dejounte Murray
base,1,Teal Ice Prizms,false,225,Dejounte Murray
base,1,Blue Prizms,false,199,Dejounte Murray
base,1,Orange Seismic Prizms,false,199,Dejounte Murray
base,1,White Prizms,false,175,Dejounte Murray
base,1,Fast Break Blue Prizms,false,150,Dejounte Murray
base,1,Premium Factory Set Prizms,false,150,Dejounte Murray
base,1,Purple Ice Prizms,false,149,Dejounte Murray
base,1,Blue Sparkle Prizms,false,144,Dejounte Murray
base,1,Blue Ice Prizms,false,125,Dejounte Murray
base,1,Fast Break Orange Prizms,false,125,Dejounte Murray
base,1,Wave Blue Prizms,false,125,Dejounte Murray
base,1,Fast Break Red Prizms,false,100,Dejounte Murray
base,1,Blue Pulsar Prizms,false,99,Dejounte Murray
base,1,Blue Seismic Prizms,false,99,Dejounte Murray
base,1,Purple Prizms,false,99,Dejounte Murray
base,1,Choice Red Prizms,false,88,Dejounte Murray
base,1,Dragon Year Prizms,false,88,Dejounte Murray
base,1,Multi Wave Prizms,false,88,Dejounte Murray
base,1,Fast Break Purple Prizms,false,75,Dejounte Murray
base,1,Red Power Prizms,false,75,Dejounte Murray
base,1,Red Pulsar Prizms,false,75,Dejounte Murray
base,1,Wave Orange Prizms,false,60,Dejounte Murray
base,1,Fast Break Pink Prizms,false,50,Dejounte Murray
base,1,Choice Blue Prizms,false,49,Dejounte Murray
base,1,Orange Prizms,false,49,Dejounte Murray
base,1,Jade Dragon Scale Prizms,false,48,Dejounte Murray
base,1,Pink Pulsar Prizms,false,42,Dejounte Murray
base,1,White Wave Prizms,false,38,Dejounte Murray
base,1,Blue Shimmer Prizms FOTL,false,35,Dejounte Murray
base,1,Purple Pulsar Prizms,false,35,Dejounte Murray
base,1,Red Lazer Prizms,false,35,Dejounte Murray
base,1,White Ice Prizms,false,35,Dejounte Murray
base,1,Green Pulsar Prizms,false,25,Dejounte Murray
base,1,Mojo Prizms,false,25,Dejounte Murray
base,1,Gold Sparkle Prizms,false,24,Dejounte Murray
base,1,Choice Cherry Blossom Prizms,false,20,Dejounte Murray
base,1,Fast Break Bronze Prizms,false,20,Dejounte Murray
base,1,Lotus Flower Prizms,false,18,Dejounte Murray
base,1,Gold Prizms,false,10,Dejounte Murray
base,1,Gold Shimmer Prizms FOTL,false,10,Dejounte Murray
base,1,Ice GoldPrizms,false,10,Dejounte Murray
base,1,Lazer Gold Prizms,false,10,Dejounte Murray
base,1,Wave Gold Prizms,false,10,Dejounte Murray
base,1,Choice Green Prizms,false,8,Dejounte Murray
base,1,Green Sparkle Prizms,false,8,Dejounte Murray
base,1,Lucky Envelopes Prizms,false,8,Dejounte Murray
base,1,Plum Blossom Prizms,false,8,Dejounte Murray
base,1,Black Gold Prizms,false,5,Dejounte Murray
base,1,Fast Break Neon Green Prizms,false,5,Dejounte Murray
base,1,Green Shimmer Prizms FOTL,false,5,Dejounte Murray
base,1,Black Prizms,false,1,Dejounte Murray
base,1,Black Shimmer Prizms FOTL,false,1,Dejounte Murray
base,1,Choice Nebula Prizms,false,1,Dejounte Murray
base,2,,false,,Jamal Murray
base,2,Black White Prizms,false,,Jamal Murray
base,2,China Variation,false,,Jamal Murray
base,2,"Choice Blue, Yellow and Green Prizms",false,,Jamal Murray
base,2,Choice Tiger Stripe Prizms,false,,Jamal Murray
base,2,Fast Break Prizms,false,,Jamal Murray
base,2,Glitter Prizms,false,,Jamal Murray
base,2,Green Ice Prizms,false,,Jamal Murray
base,2,Green Wave Prizms,false,,Jamal Murray
base,2,Hyper Prizms,false,,Jamal Murray
base,2,Ice Prizms,false,,Jamal Murray
base,2,Orange Ice Prizms,false,,Jamal Murray
base,2,Pink Ice Prizms,false,,Jamal Murray
base,2,Pulsar Prizms,false,,Jamal Murray
base,2,Red Ice Prizms,false,,Jamal Murray
base,2,Red Sparkle Prizms,false,,Jamal Murray
base,2,"Red, White and Blue Prizms",false,,Jamal Murray
base,2,Ruby Wave Prizms,false,,Jamal Murray
base,2,Silver Prizms,false,,Jamal Murray
base,2,Snakeskin Prizms,false,,Jamal Murray
base,2,Wave Prizms,false,,Jamal Murray
base,2,White Sparkle Prizms,false,,Jamal Murray
base,2,White Tiger Stripe Prizms,false,,Jamal Murray
base,2,Red Prizms,false,299,Jamal Murray
base,2,Red Seismic Prizms,false,299,Jamal Murray
base,2,White Lazer Prizms,false,275,Jamal Murray
base,2,Pink Prizms,false,249,Jamal Murray
base,2,Skewed Prizms,false,249,Jamal Murray
base,2,Basketball Prizms,false,225,Jamal Murray
base,2,Teal Ice Prizms,false,225,Jamal Murray
base,2,Blue Prizms,false,199,Jamal Murray
base,2,Orange Seismic Prizms,false,199,Jamal Murray
base,2,White Prizms,false,175,Jamal Murray
base,2,Fast Break Blue Prizms,false,150,Jamal Murray
base,2,Premium Factory Set Prizms,false,150,Jamal Murray
base,2,Purple Ice Prizms,false,149,Jamal Murray
base,2,Blue Sparkle Prizms,false,144,Jamal Murray
base,2,Blue Ice Prizms,false,125,Jamal Murray
base,2,Fast Break Orange Prizms,false,125,Jamal Murray
base,2,Wave Blue Prizms,false,125,Jamal Murray
base,2,Fast Break Red Prizms,false,100,Jamal Murray
base,2,Blue Pulsar Prizms,false,99,Jamal Murray
base,2,Blue Seismic Prizms,false,99,Jamal Murray
base,2,Purple Prizms,false,99,Jamal Murray
base,2,Choice Red Prizms,false,88,Jamal Murray
base,2,Dragon Year Prizms,false,88,Jamal Murray
base,2,Multi Wave Prizms,false,88,Jamal Murray
