category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Aaron Judge
base,1,Refractors,false,,Aaron Judge
base,1,X-Fractors,false,,Aaron Judge
base,1,Topps Refractors,false,499,Aaron Judge
base,1,Blue Mini-Diamond Refractors,false,199,Aaron Judge
base,1,Speckle Refractors,false,150,Aaron Judge
base,1,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Aaron Judge
base,1,Green Wave Refractors,false,99,Aaron Judge
base,1,Platinum Toile White/Green Refractors,false,99,Aaron Judge
base,1,Platinum Toile Cream/Rose Gold Refractors,false,75,Aaron Judge
base,1,Rose Gold Refractors,false,75,Aaron Judge
base,1,Rose Gold Mini-Diamond Refractors,false,75,Aaron Judge
base,1,Gold Refractors,false,50,Aaron Judge
base,1,Gold Wave Refractors,false,50,Aaron Judge
base,1,Platinum Toile Cream/Gold Refractors,false,50,Aaron Judge
base,1,Platinum Toil Gold/Rose Refractors,false,50,Aaron Judge
base,1,Orange Refractors,false,25,Aaron Judge
base,1,Orange Wave Refractors,false,25,Aaron Judge
base,1,Platinum Toile White/Orange Refractors,false,25,Aaron Judge
base,1,Black Refractors,false,10,Aaron Judge
base,1,Platinum Toile Cream/Black Refractors,false,10,Aaron Judge
base,1,Platinum Toile Cream/Red Refractors,false,5,Aaron Judge
base,1,Red Refractors,false,5,Aaron Judge
base,1,Red Lava Refractors,false,5,Aaron Judge
base,1,Superfractors,false,1,Aaron Judge
base,2,,false,,Brett Baty
base,2,Refractors,false,,Brett Baty
base,2,X-Fractors,false,,Brett Baty
base,2,Topps Refractors,false,499,Brett Baty
base,2,Blue Mini-Diamond Refractors,false,199,Brett Baty
base,2,Speckle Refractors,false,150,Brett Baty
base,2,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Brett Baty
base,2,Green Wave Refractors,false,99,Brett Baty
base,2,Platinum Toile White/Green Refractors,false,99,Brett Baty
base,2,Platinum Toile Cream/Rose Gold Refractors,false,75,Brett Baty
base,2,Rose Gold Refractors,false,75,Brett Baty
base,2,Rose Gold Mini-Diamond Refractors,false,75,Brett Baty
base,2,Gold Refractors,false,50,Brett Baty
base,2,Gold Wave Refractors,false,50,Brett Baty
base,2,Platinum Toile Cream/Gold Refractors,false,50,Brett Baty
base,2,Platinum Toil Gold/Rose Refractors,false,50,Brett Baty
base,2,Orange Refractors,false,25,Brett Baty
base,2,Orange Wave Refractors,false,25,Brett Baty
base,2,Platinum Toile White/Orange Refractors,false,25,Brett Baty
base,2,Black Refractors,false,10,Brett Baty
base,2,Platinum Toile Cream/Black Refractors,false,10,Brett Baty
base,2,Platinum Toile Cream/Red Refractors,false,5,Brett Baty
base,2,Red Refractors,false,5,Brett Baty
base,2,Red Lava Refractors,false,5,Brett Baty
base,2,Superfractors,false,1,Brett Baty
base,3,,false,,Max Muncy
base,3,Refractors,false,,Max Muncy
base,3,X-Fractors,false,,Max Muncy
base,3,Topps Refractors,false,499,Max Muncy
base,3,Blue Mini-Diamond Refractors,false,199,Max Muncy
base,3,Speckle Refractors,false,150,Max Muncy
base,3,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Max Muncy
base,3,Green Wave Refractors,false,99,Max Muncy
base,3,Platinum Toile White/Green Refractors,false,99,Max Muncy
base,3,Platinum Toile Cream/Rose Gold Refractors,false,75,Max Muncy
base,3,Rose Gold Refractors,false,75,Max Muncy
base,3,Rose Gold Mini-Diamond Refractors,false,75,Max Muncy
base,3,Gold Refractors,false,50,Max Muncy
base,3,Gold Wave Refractors,false,50,Max Muncy
base,3,Platinum Toile Cream/Gold Refractors,false,50,Max Muncy
base,3,Platinum Toil Gold/Rose Refractors,false,50,Max Muncy
base,3,Orange Refractors,false,25,Max Muncy
base,3,Orange Wave Refractors,false,25,Max Muncy
base,3,Platinum Toile White/Orange Refractors,false,25,Max Muncy
base,3,Black Refractors,false,10,Max Muncy
base,3,Platinum Toile Cream/Black Refractors,false,10,Max Muncy
base,3,Platinum Toile Cream/Red Refractors,false,5,Max Muncy
base,3,Red Refractors,false,5,Max Muncy
base,3,Red Lava Refractors,false,5,Max Muncy
base,3,Superfractors,false,1,Max Muncy
base,4,,false,,Garrett Mitchell
base,4,Refractors,false,,Garrett Mitchell
base,4,X-Fractors,false,,Garrett Mitchell
base,4,Topps Refractors,false,499,Garrett Mitchell
base,4,Blue Mini-Diamond Refractors,false,199,Garrett Mitchell
base,4,Speckle Refractors,false,150,Garrett Mitchell
base,4,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Garrett Mitchell
base,4,Green Wave Refractors,false,99,Garrett Mitchell
base,4,Platinum Toile White/Green Refractors,false,99,Garrett Mitchell
base,4,Platinum Toile Cream/Rose Gold Refractors,false,75,Garrett Mitchell
base,4,Rose Gold Refractors,false,75,Garrett Mitchell
base,4,Rose Gold Mini-Diamond Refractors,false,75,Garrett Mitchell
base,4,Gold Refractors,false,50,Garrett Mitchell
base,4,Gold Wave Refractors,false,50,Garrett Mitchell
base,4,Platinum Toile Cream/Gold Refractors,false,50,Garrett Mitchell
base,4,Platinum Toil Gold/Rose Refractors,false,50,Garrett Mitchell
base,4,Orange Refractors,false,25,Garrett Mitchell
base,4,Orange Wave Refractors,false,25,Garrett Mitchell
base,4,Platinum Toile White/Orange Refractors,false,25,Garrett Mitchell
base,4,Black Refractors,false,10,Garrett Mitchell
base,4,Platinum Toile Cream/Black Refractors,false,10,Garrett Mitchell
base,4,Platinum Toile Cream/Red Refractors,false,5,Garrett Mitchell
base,4,Red Refractors,false,5,Garrett Mitchell
base,4,Red Lava Refractors,false,5,Garrett Mitchell
base,4,Superfractors,false,1,Garrett Mitchell
base,5,,false,,Shea Langeliers
base,5,Refractors,false,,Shea Langeliers
base,5,X-Fractors,false,,Shea Langeliers
base,5,Topps Refractors,false,499,Shea Langeliers
base,5,Blue Mini-Diamond Refractors,false,199,Shea Langeliers
base,5,Speckle Refractors,false,150,Shea Langeliers
base,5,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Shea Langeliers
base,5,Green Wave Refractors,false,99,Shea Langeliers
base,5,Platinum Toile White/Green Refractors,false,99,Shea Langeliers
base,5,Platinum Toile Cream/Rose Gold Refractors,false,75,Shea Langeliers
base,5,Rose Gold Refractors,false,75,Shea Langeliers
base,5,Rose Gold Mini-Diamond Refractors,false,75,Shea Langeliers
base,5,Gold Refractors,false,50,Shea Langeliers
base,5,Gold Wave Refractors,false,50,Shea Langeliers
base,5,Platinum Toile Cream/Gold Refractors,false,50,Shea Langeliers
base,5,Platinum Toil Gold/Rose Refractors,false,50,Shea Langeliers
base,5,Orange Refractors,false,25,Shea Langeliers
base,5,Orange Wave Refractors,false,25,Shea Langeliers
base,5,Platinum Toile White/Orange Refractors,false,25,Shea Langeliers
base,5,Black Refractors,false,10,Shea Langeliers
base,5,Platinum Toile Cream/Black Refractors,false,10,Shea Langeliers
base,5,Platinum Toile Cream/Red Refractors,false,5,Shea Langeliers
base,5,Red Refractors,false,5,Shea Langeliers
base,5,Red Lava Refractors,false,5,Shea Langeliers
base,5,Superfractors,false,1,Shea Langeliers
base,6,,false,,Joey Wiemer
base,6,Refractors,false,,Joey Wiemer
base,6,X-Fractors,false,,Joey Wiemer
base,6,Topps Refractors,false,499,Joey Wiemer
base,6,Blue Mini-Diamond Refractors,false,199,Joey Wiemer
base,6,Speckle Refractors,false,150,Joey Wiemer
base,6,Platinum Toile Cream/Fuchsia Lava Refractors,false,100,Joey Wiemer
base,6,Green Wave Refractors,false,99,Joey Wiemer
base,6,Platinum Toile White/Green Refractors,false,99,Joey Wiemer
base,6,Platinum Toile Cream/Rose Gold Refractors,false,75,Joey Wiemer
base,6,Rose Gold Refractors,false,75,Joey Wiemer
base,6,Rose Gold Mini-Diamond Refractors,false,75,Joey Wiemer
base,6,Gold Refractors,false,50,Joey Wiemer
base,6,Gold Wave Refractors,false,50,Joey Wiemer
base,6,Platinum Toile Cream/Gold Refractors,false,50,Joey Wiemer
base,6,Platinum Toil Gold/Rose Refractors,false,50,Joey Wiemer
base,6,Orange Refractors,false,25,Joey Wiemer
base,6,Orange Wave Refractors,false,25,Joey Wiemer
base,6,Platinum Toile White/Orange Refractors,false,25,Joey Wiemer
base,6,Black Refractors,false,10,Joey Wiemer
base,6,Platinum Toile Cream/Black Refractors,false,10,Joey Wiemer
base,6,Platinum Toile Cream/Red Refractors,false,5,Joey Wiemer
base,6,Red Refractors,false,5,Joey Wiemer
base,6,Red Lava Refractors,false,5,Joey Wiemer
base,6,Superfractors,false,1,Joey Wiemer
base,7,,false,,Masataka Yoshida
base,7,Refractors,false,,Masataka Yoshida
base,7,X-Fractors,false,,Masataka Yoshida
base,7,Topps Refractors,false,499,Masataka Yoshida
base,7,Blue Mini-Diamond Refractors,false,199,Masataka Yoshida
base,7,Speckle Refractors,false,150,Masataka Yoshida
