category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Aaron Judge
base,2,,false,,Daulton Varsho
base,3,,false,,Luke Keaschall
base,4,,false,,Jonah Tong
base,5,,false,,Nico Hoerner
base,6,,false,,Blaze Alexander
base,7,,false,,Patrick Bailey
base,8,,false,,Heliot Ramos
base,9,,false,,Nick Pivetta
base,10,,false,,Jacob Misiorowski
base,11,,false,,Pete Alonso
base,11,,false,,Kyle Schwarber
base,11,,false,,Juan Soto
base,12,,false,,Jordan Beck
base,13,,false,,Dylan Smith
base,14,,false,,MacKenzie Gore
base,15,,false,,Payton Tolle
base,16,,false,,Casey Mize
base,17,,false,,Nick Castellanos
base,18,,false,,Ryan Ritter
base,19,,false,,Dean Kremer
base,20,,false,,Vladimir Guerrero Jr.
base,21,,false,,Kyle Backhus
base,22,,false,,Clayton Kershaw
base,23,,false,,Zach McKinstry
base,24,,false,,Nathan Church
base,25,,false,,Carson Williams
base,26,,false,,Brendan Donovan
base,27,,false,,Matt Shaw
base,28,,false,,Elias Díaz
base,29,,false,,Landen Roupp
base,30,,false,,Sean Murphy
base,31,,false,,Bailey Ober
base,32,,false,,Shinnosuke Ogasawara
base,33,,false,,Xander Bogaerts
base,34,,false,,Kansas City Royals
base,35,,false,,C.J. Kayfus
base,36,,false,,Andry Lara
base,37,,false,,Jakob Marsee
base,38,,false,,Aaron Judge
base,38,,false,,Junior Caminero
base,38,,false,,Cal Raleigh
base,39,,false,,Matt Olson
base,40,,false,,Sonny Gray
base,41,,false,,Mookie Betts
base,42,,false,,Bradgley Rodriguez
base,43,,false,,Nolan Schanuel
base,44,,false,,Shane Smith
base,45,,false,,Brandon Pfaadt
base,46,,false,,Gunnar Henderson
base,47,,false,,Arizona Diamondbacks
base,48,,false,,Stephen Kolek
base,49,,false,,Grant Taylor
base,50,,false,,Ronald Acuña Jr.
base,51,,false,,Matthew Boyd
base,52,,false,,Francisco Lindor
base,53,,false,,Garrett Crochet
base,54,,false,,Joe Ryan
base,55,,false,,Warming Bernabel
base,56,,false,,Lenyn Sosa
base,57,,false,,Casey Schmitt
base,58,,false,,Kris Bubic
base,59,,false,,Daniel Schneemann
base,60,,false,,Rhett Lowder
base,61,,false,,Kerry Carpenter
base,62,,false,,Bryan Woo
base,63,,false,,Jesús Luzardo
base,64,,false,,Drew Rasmussen
base,65,,false,,Masataka Yoshida
base,66,,false,,Roki Sasaki
base,67,,false,,Parker Messick
base,68,,false,,Trevor Larnach
base,69,,false,,Logan Webb
base,70,,false,,Bob Seymour
base,71,,false,,Gabriel Moreno
base,72,,false,,Coby Mayo
base,73,,false,,Jimmy Crooks
base,74,,false,,Alex Freeland
base,75,,false,,Camilo Doval
base,76,,false,,Jacob Lopez
base,77,,false,,Spencer Horwitz
base,78,,false,,Jonah Heim
base,79,,false,,Spencer Strider
base,80,,false,,Trevor Rogers
base,81,,false,,Matt McLain
base,82,,false,,Carlos Rodón
base,83,,false,,Jhoan Duran
base,84,,false,,Shohei Ohtani
base,84,,false,,Kyle Schwarber
base,84,,false,,Juan Soto
base,85,,false,,Kody Clemens
base,86,,false,,Dylan Crews
base,87,,false,,Jeffrey Springs
base,88,,false,,José Caballero
base,89,,false,,Houston Astros
base,90,,false,,Yoshinobu Yamamoto
base,91,,false,,Jurickson Profar
base,92,,false,,Jackson Holliday
base,93,,false,,Pavin Smith
base,94,,false,,Yu Darvish
base,95,,false,,César Prieto
base,96,,false,,Corey Seager
base,97,,false,,Nick Kurtz
base,98,,false,,Josh Jung
base,99,,false,,Jacob deGrom
base,100,,false,,Paul Skenes
base,101,,false,,Ceddanne Rafaela
base,102,,false,,Juan Burgos
base,103,,false,,Dalton Rushing
base,104,,false,,Samuel Basallo
base,105,,false,,Brice Turang
base,106,,false,,Kyle Freeland
base,107,,false,,Milwaukee Brewers
base,108,,false,,Sawyer Gipson-Long
base,109,,false,,Ben Lively
base,110,,false,,Evan Carter
base,111,,false,,Cam Schlittler
base,112,,false,,Carson Seymour
base,113,,false,,Toronto Blue Jays
base,114,,false,,Ryne Nelson
base,115,,false,,Royce Lewis
base,116,,false,,Yanquiel Fernández
base,117,,false,,Jesús Luzardo
base,117,,false,,Freddy Peralta
base,117,,false,,Logan Webb
base,118,,false,,Ronald Acuña Jr.
base,119,,false,,Nick Gonzales
base,120,,false,,Luinder Avila
base,121,,false,,Will Vest
base,122,,false,,Nick Kurtz
base,123,,false,,Francisco Lindor
base,124,,false,,Taylor Trammell
base,125,,false,,Kristian Campbell
base,126,,false,,Pete Crow-Armstrong
base,127,,false,,Ke'Bryan Hayes
base,128,,false,,Félix Bautista
base,129,,false,,Cole Young
base,130,,false,,Max Fried
base,130,,false,,Garrett Crochet
base,130,,false,,Carlos Rodón
base,131,,false,,Andrew McCutchen
base,132,,false,,Brice Matthews
base,133,,false,,Ben Rice
base,134,,false,,Joe Rock
base,135,,false,,Alex Bregman
base,136,,false,,Ezequiel Tovar
base,137,,false,,Sean Burke
base,138,,false,,Jac Caglianone
base,139,,false,,Jo Adell
base,140,,false,,Cal Raleigh
base,141,,false,,Trevor Megill
base,142,,false,,Luke Raley
base,143,,false,,Zach Maxwell
base,144,,false,,Javier Báez
base,145,,false,,Kenedy Corona
base,146,,false,,Julio Rodríguez
base,147,,false,,Christian Moore
base,148,,false,,Jacob Melton
base,149,,false,,Travis Adams
base,150,,false,,Elly De La Cruz
base,151,,false,,Nico Hoerner
base,151,,false,,Freddie Freeman
base,151,,false,,Trea Turner
base,152,,false,,CJ Abrams
base,153,,false,,J.T. Ginn
base,154,,false,,Christian Yelich
base,155,,false,,Drew Gilbert
base,156,,false,,Dominic Canzone
base,157,,false,,Colson Montgomery
base,158,,false,,Daniel Palencia
base,159,,false,,Ronny Mauricio
base,160,,false,,Victor Robles
base,161,,false,,Michael McGreevy
base,162,,false,,Jorge Soler
base,163,,false,,Brandyn Garcia
base,164,,false,,Brenton Doyle
base,165,,false,,Ian Seymour
base,166,,false,,Colton Cowser
base,167,,false,,Wikelman González
base,168,,false,,Julio Rodríguez
base,169,,false,,Josh Smith
base,170,,false,,Brady House
base,171,,false,,Will Benson
base,172,,false,,Maximo Acosta
base,173,,false,,Yusei Kikuchi
base,174,,false,,Tyler Stephenson
base,175,,false,,Eric Lauer
base,176,,false,,Will Warren
base,177,,false,,Brayan Bello
base,178,,false,,Shota Imanaga
base,179,,false,,Mason Miller
base,180,,false,,Willson Contreras
base,181,,false,,Adam Frazier
base,182,,false,,Grant Holmes
base,183,,false,,Josh Lowe
base,184,,false,,Carson Whisenhunt
base,185,,false,,Tomoyuki Sugano
base,186,,false,,Quinn Priester
base,187,,false,,Otto Kemp
base,188,,false,,Bo Naylor
base,189,,false,,Roman Anthony
base,190,,false,,Michael Wacha
base,191,,false,,Mauricio Dubón
base,192,,false,,William Contreras
base,193,,false,,Nolan Arenado
base,194,,false,,Otto Lopez
base,195,,false,,Mickey Moniak
base,196,,false,,Pete Crow-Armstrong
base,197,,false,,Bryce Harper
base,198,,false,,Boston Red Sox
base,199,,false,,Tyler Freeman
base,200,,false,,Shohei Ohtani
base,201,,false,,Kyle Teel
base,202,,false,,Isaac Collins
base,203,,false,,Yoshinobu Yamamoto
base,203,,false,,Paul Skenes
base,203,,false,,Cristopher Sánchez
base,204,,false,,Jacob Wilson
base,204,,false,,Aaron Judge
base,204,,false,,Bo Bichette
base,205,,false,,Bobby Witt Jr.
base,206,,false,,Jack Perkins
base,207,,false,,Joey Bart
base,208,,false,,Jack Leiter
base,209,,false,,Riley Greene
base,210,,false,,Jacob Young
base,211,,false,,Vinnie Pasquantino
base,211,,false,,Cal Raleigh
base,211,,false,,Aaron Judge
base,212,,false,,Troy Melton
base,213,,false,,Colby Thomas
base,214,,false,,Nolan McLean
base,215,,false,,David Peterson
base,216,,false,,Gavin Sheets
base,217,,false,,Chad Patrick
base,218,,false,,Andrew Abbott
base,219,,false,,Rafael Devers
base,220,,false,,Austin Wells
base,221,,false,,Victor Scott II
base,222,,false,,Tommy Edman
base,223,,false,,Vinnie Pasquantino
base,224,,false,,Cody Freeman
base,225,,false,,Max Schuemann
base,226,,false,,Ben Williamson
base,227,,false,,Brandon Walter
base,228,,false,,David Bednar
base,229,,false,,Jackson Merrill
base,230,,false,,Zach Neto
base,231,,false,,Bryan Abreu
base,232,,false,,Chad Stevens
base,233,,false,,Owen Caissie
base,234,,false,,Carlos Estévez
base,235,,false,,Logan Gilbert
base,236,,false,,Jac Caglianone
base,237,,false,,Jonathan India
base,238,,false,,Austin Riley
base,239,,false,,Devin Williams
base,240,,false,,Jacob Wilson
base,241,,false,,Addison Barger
base,242,,false,,Mike Yastrzemski
base,243,,false,,Didier Fuentes
base,244,,false,,Angel Martínez
base,245,,false,,Keibert Ruiz
base,246,,false,,Oneil Cruz
base,247,,false,,Will Banfield
base,248,,false,,Ryan McMahon
base,249,,false,,Carlos Cortes
base,250,,false,,Bryce Harper
base,251,,false,,Teoscar Hernández
base,252,,false,,Max Muncy
base,253,,false,,Lucas Giolito
base,254,,false,,Gavin Williams
