category,cardNumber,parallel,isAuto,printRun,player
insert-a-different-view,1,A Different View,,,Jalen Hurts
insert-a-different-view,2,A Different View,,,Justin Herbert
insert-a-different-view,3,A Different View,,,Christian McCaffrey
insert-a-different-view,4,A Different View,,,Myles Garrett
insert-a-different-view,5,A Different View,,,Tyreek Hill
insert-a-different-view,6,A Different View,,,Anthony Richardson
insert-a-different-view,7,A Different View,,,Roquan Smith
insert-a-different-view,8,A Different View,,,Kyler Murray
insert-a-different-view,9,A Different View,,,Matthew Stafford
insert-a-different-view,10,A Different View,,,Bryce Young
insert-a-different-view-black,1,A Different View Black,,1,Jalen Hurts
insert-a-different-view-black,2,A Different View Black,,1,Justin Herbert
insert-a-different-view-black,3,A Different View Black,,1,Christian McCaffrey
insert-a-different-view-black,4,A Different View Black,,1,Myles Garrett
insert-a-different-view-black,5,A Different View Black,,1,Tyreek Hill
insert-a-different-view-black,6,A Different View Black,,1,Anthony Richardson
insert-a-different-view-black,7,A Different View Black,,1,Roquan Smith
insert-a-different-view-black,8,A Different View Black,,1,Kyler Murray
insert-a-different-view-black,9,A Different View Black,,1,Matthew Stafford
insert-a-different-view-black,10,A Different View Black,,1,Bryce Young
insert-a-different-view-blue,1,A Different View Blue,,99,Jalen Hurts
insert-a-different-view-blue,2,A Different View Blue,,99,Justin Herbert
insert-a-different-view-blue,3,A Different View Blue,,99,Christian McCaffrey
insert-a-different-view-blue,4,A Different View Blue,,99,Myles Garrett
insert-a-different-view-blue,5,A Different View Blue,,99,Tyreek Hill
insert-a-different-view-blue,6,A Different View Blue,,99,Anthony Richardson
insert-a-different-view-blue,7,A Different View Blue,,99,Roquan Smith
insert-a-different-view-blue,8,A Different View Blue,,99,Kyler Murray
insert-a-different-view-blue,9,A Different View Blue,,99,Matthew Stafford
insert-a-different-view-blue,10,A Different View Blue,,99,Bryce Young
insert-a-different-view-gold,1,A Different View Gold,,5,Jalen Hurts
insert-a-different-view-gold,2,A Different View Gold,,5,Justin Herbert
insert-a-different-view-gold,3,A Different View Gold,,5,Christian McCaffrey
insert-a-different-view-gold,4,A Different View Gold,,5,Myles Garrett
insert-a-different-view-gold,5,A Different View Gold,,5,Tyreek Hill
insert-a-different-view-gold,6,A Different View Gold,,5,Anthony Richardson
insert-a-different-view-gold,7,A Different View Gold,,5,Roquan Smith
insert-a-different-view-gold,8,A Different View Gold,,5,Kyler Murray
insert-a-different-view-gold,9,A Different View Gold,,5,Matthew Stafford
insert-a-different-view-gold,10,A Different View Gold,,5,Bryce Young
insert-a-different-view-orange,1,A Different View Orange,,25,Jalen Hurts
insert-a-different-view-orange,2,A Different View Orange,,25,Justin Herbert
insert-a-different-view-orange,3,A Different View Orange,,25,Christian McCaffrey
insert-a-different-view-orange,4,A Different View Orange,,25,Myles Garrett
insert-a-different-view-orange,5,A Different View Orange,,25,Tyreek Hill
insert-a-different-view-orange,6,A Different View Orange,,25,Anthony Richardson
insert-a-different-view-orange,7,A Different View Orange,,25,Roquan Smith
insert-a-different-view-orange,8,A Different View Orange,,25,Kyler Murray
insert-a-different-view-orange,9,A Different View Orange,,25,Matthew Stafford
insert-a-different-view-orange,10,A Different View Orange,,25,Bryce Young
insert-a-different-view-pink,1,A Different View Pink,,15,Jalen Hurts
insert-a-different-view-pink,2,A Different View Pink,,15,Justin Herbert
insert-a-different-view-pink,3,A Different View Pink,,15,Christian McCaffrey
insert-a-different-view-pink,4,A Different View Pink,,15,Myles Garrett
insert-a-different-view-pink,5,A Different View Pink,,15,Tyreek Hill
insert-a-different-view-pink,6,A Different View Pink,,15,Anthony Richardson
insert-a-different-view-pink,7,A Different View Pink,,15,Roquan Smith
insert-a-different-view-pink,8,A Different View Pink,,15,Kyler Murray
insert-a-different-view-pink,9,A Different View Pink,,15,Matthew Stafford
insert-a-different-view-pink,10,A Different View Pink,,15,Bryce Young
insert-a-different-view-purple,1,A Different View Purple,,75,Jalen Hurts
insert-a-different-view-purple,2,A Different View Purple,,75,Justin Herbert
insert-a-different-view-purple,3,A Different View Purple,,75,Christian McCaffrey
insert-a-different-view-purple,4,A Different View Purple,,75,Myles Garrett
insert-a-different-view-purple,5,A Different View Purple,,75,Tyreek Hill
insert-a-different-view-purple,6,A Different View Purple,,75,Anthony Richardson
insert-a-different-view-purple,7,A Different View Purple,,75,Roquan Smith
insert-a-different-view-purple,8,A Different View Purple,,75,Kyler Murray
insert-a-different-view-purple,9,A Different View Purple,,75,Matthew Stafford
insert-a-different-view-purple,10,A Different View Purple,,75,Bryce Young
insert-a-different-view-red,1,A Different View Red,,49,Jalen Hurts
insert-a-different-view-red,2,A Different View Red,,49,Justin Herbert
insert-a-different-view-red,3,A Different View Red,,49,Christian McCaffrey
insert-a-different-view-red,4,A Different View Red,,49,Myles Garrett
insert-a-different-view-red,5,A Different View Red,,49,Tyreek Hill
insert-a-different-view-red,6,A Different View Red,,49,Anthony Richardson
insert-a-different-view-red,7,A Different View Red,,49,Roquan Smith
insert-a-different-view-red,8,A Different View Red,,49,Kyler Murray
insert-a-different-view-red,9,A Different View Red,,49,Matthew Stafford
insert-a-different-view-red,10,A Different View Red,,49,Bryce Young
insert-a-different-view-silver,1,A Different View Silver,,150,Jalen Hurts
insert-a-different-view-silver,2,A Different View Silver,,150,Justin Herbert
insert-a-different-view-silver,3,A Different View Silver,,150,Christian McCaffrey
insert-a-different-view-silver,4,A Different View Silver,,150,Myles Garrett
insert-a-different-view-silver,5,A Different View Silver,,150,Tyreek Hill
insert-a-different-view-silver,6,A Different View Silver,,150,Anthony Richardson
insert-a-different-view-silver,7,A Different View Silver,,150,Roquan Smith
insert-a-different-view-silver,8,A Different View Silver,,150,Kyler Murray
insert-a-different-view-silver,9,A Different View Silver,,150,Matthew Stafford
insert-a-different-view-silver,10,A Different View Silver,,150,Bryce Young
insert-avatars,1,Avatar,,,C.J. Stroud
insert-avatars,2,Avatar,,,Travis Kelce
insert-avatars,3,Avatar,,,Joe Burrow
insert-avatars,4,Avatar,,,Puka Nacua
insert-avatars,5,Avatar,,,Josh Allen
insert-avatars,6,Avatar,,,Bryce Young
insert-avatars,7,Avatar,,,Justin Jefferson
insert-avatars,8,Avatar,,,Terry McLaurin
insert-avatars,9,Avatar,,,Trevor Lawrence
insert-avatars,10,Avatar,,,Davante Adams
insert-avatars,11,Avatar,,,Derrick Henry
insert-avatars,12,Avatar,,,Aaron Rodgers
insert-avatars,13,Avatar,,,Bijan Robinson
insert-avatars,14,Avatar,,,Brock Purdy
insert-avatars,15,Avatar,,,Jared Goff
insert-avatars,16,Avatar,,,CeeDee Lamb
insert-avatars,17,Avatar,,,Jonathan Taylor
insert-avatars,18,Avatar,,,Minkah Fitzpatrick
insert-avatars,19,Avatar,,,"Ahmad ""Sauce"" Gardner"
insert-avatars,20,Avatar,,,A.J. Brown
base,1,,,,Ja'Marr Chase
base,1,Silver,,175,Ja'Marr Chase
base,1,Blue,,99,Ja'Marr Chase
base,1,Purple,,75,Ja'Marr Chase
base,1,Red,,49,Ja'Marr Chase
base,1,Orange,,25,Ja'Marr Chase
base,1,Pink,,15,Ja'Marr Chase
base,1,Gold,,5,Ja'Marr Chase
base,1,Black,,1,Ja'Marr Chase
base,2,,,,Isaiah Likely
base,2,Silver,,175,Isaiah Likely
base,2,Blue,,99,Isaiah Likely
base,2,Purple,,75,Isaiah Likely
base,2,Red,,49,Isaiah Likely
base,2,Orange,,25,Isaiah Likely
base,2,Pink,,15,Isaiah Likely
base,2,Gold,,5,Isaiah Likely
base,2,Black,,1,Isaiah Likely
base,3,,,,Josh Hines-Allen
base,3,Silver,,175,Josh Hines-Allen
base,3,Blue,,99,Josh Hines-Allen
base,3,Purple,,75,Josh Hines-Allen
base,3,Red,,49,Josh Hines-Allen
base,3,Orange,,25,Josh Hines-Allen
base,3,Pink,,15,Josh Hines-Allen
base,3,Gold,,5,Josh Hines-Allen
base,3,Black,,1,Josh Hines-Allen
base,4,,,,Kenneth Walker III
base,4,Silver,,175,Kenneth Walker III
base,4,Blue,,99,Kenneth Walker III
base,4,Purple,,75,Kenneth Walker III
base,4,Red,,49,Kenneth Walker III
base,4,Orange,,25,Kenneth Walker III
base,4,Pink,,15,Kenneth Walker III
base,4,Gold,,5,Kenneth Walker III
base,4,Black,,1,Kenneth Walker III
base,5,,,,Lamar Jackson
base,5,Silver,,175,Lamar Jackson
base,5,Blue,,99,Lamar Jackson
base,5,Purple,,75,Lamar Jackson
base,5,Red,,49,Lamar Jackson
base,5,Orange,,25,Lamar Jackson
base,5,Pink,,15,Lamar Jackson
base,5,Gold,,5,Lamar Jackson
base,5,Black,,1,Lamar Jackson
base,6,,,,Jonathan Mingo
