category,cardNumber,parallel,isAuto,printRun,player
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-FT,,true,,Fernando Tatis Jr.
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-PA,,true,,Pete Alonso
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-JR,,true,,Julio Rodriguez
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-AJ,,true,,Aaron Judge
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-VG,,true,,Vladimir Guerrero Jr.
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-BH,,true,,Bryce Harper
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-JS,,true,,Juan Soto
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-CM,,true,,Christopher Morel
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-PG,,true,,Paul Goldschmidt
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-NG,,true,,Nolan Gorman
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-RA,,true,,Ronald Acuña Jr.
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-AR,,true,,Adley Rutschman
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-SO,,true,,Shohei Ohtani
auto-patchwork-of-the-past-commemorative-patch-cards-autographs-2,PPA-AR,,true,,Austin Riley
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-AB,,true,,Alex Bregman
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-TA,,true,,Tim Anderson
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-YA,,true,,Yordan Alvarez
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-JA,,true,,Jose Altuve
auto-patchwork-of-the-past-commemorative-patch-cards-autographs,PPA-MT,,true,,Mike Trout
auto-postseason-performance-autographs,PPA-AN,,true,,Aaron Nola
auto-postseason-performance-autographs,PPA-AN,Platinum,true,1,Aaron Nola
auto-postseason-performance-autographs,PPA-AR,,true,,Anthony Rizzo
auto-postseason-performance-autographs,PPA-AR,Platinum,true,1,Anthony Rizzo
auto-postseason-performance-autographs,PPA-BH,,true,,Bryce Harper
auto-postseason-performance-autographs,PPA-BH,Platinum,true,1,Bryce Harper
auto-postseason-performance-autographs,PPA-FF,,true,,Freddie Freeman
auto-postseason-performance-autographs,PPA-FF,Platinum,true,1,Freddie Freeman
auto-postseason-performance-autographs,PPA-HK,,true,,Ha-Seong Kim
auto-postseason-performance-autographs,PPA-HK,Platinum,true,1,Ha-Seong Kim
auto-postseason-performance-autographs,PPA-JA,,true,,Jose Altuve
auto-postseason-performance-autographs,PPA-JA,Platinum,true,1,Jose Altuve
auto-postseason-performance-autographs,PPA-JR,,true,,José Ramírez
auto-postseason-performance-autographs,PPA-JR,Platinum,true,1,José Ramírez
auto-postseason-performance-autographs,PPA-JROD,,true,,Julio Rodríguez
auto-postseason-performance-autographs,PPA-JROD,Platinum,true,1,Julio Rodríguez
auto-postseason-performance-autographs,PPA-JS,,true,,Juan Soto
auto-postseason-performance-autographs,PPA-JS,Platinum,true,1,Juan Soto
auto-postseason-performance-autographs,PPA-JU,,true,,Julio Urías
auto-postseason-performance-autographs,PPA-JU,Platinum,true,1,Julio Urías
auto-postseason-performance-autographs,PPA-MMA,,true,,Manny Machado
auto-postseason-performance-autographs,PPA-MMA,Platinum,true,1,Manny Machado
auto-postseason-performance-autographs,PPA-MO,,true,,Matt Olson
auto-postseason-performance-autographs,PPA-MO,Platinum,true,1,Matt Olson
auto-postseason-performance-autographs,PPA-OGO,,true,,Oscar Gonzalez
auto-postseason-performance-autographs,PPA-OGO,Platinum,true,1,Oscar Gonzalez
auto-postseason-performance-autographs,PPA-RHO,,true,,Rhys Hoskins
auto-postseason-performance-autographs,PPA-RHO,Platinum,true,1,Rhys Hoskins
auto-postseason-performance-autographs,PPA-YA,,true,,Yordan Alvarez
auto-postseason-performance-autographs,PPA-YA,Platinum,true,1,Yordan Alvarez
