category,cardNumber,parallel,isAuto,printRun,player
insert-social-media-follow-back-redemptions,SMFB-OC,,false,,Oswaldo Cabrera
insert-social-media-follow-back-redemptions,SMFB-MHII,,false,,Michael Harris II
insert-social-media-follow-back-redemptions,SMFB-MV,,false,,Mark Vientos
insert-social-media-follow-back-redemptions,SMFB-LA,,false,,Luis Arraez
insert-social-media-follow-back-redemptions,SMFB-TF,,false,,Tyler Freeman
insert-social-media-follow-back-redemptions,SMFB-WB,,false,,Walker Buehler
insert-social-media-follow-back-redemptions,SMFB-AJ,,false,,Aaron Judge
insert-social-media-follow-back-redemptions,SMFB-JS,,false,,Juan Soto
insert-social-media-follow-back-redemptions,SMFB-ZW,,false,,Zack Wheeler
insert-social-media-follow-back-redemptions,SMFB-XB,,false,,Xander Bogaerts
insert-social-media-follow-back-redemptions,SMFB-KT,,false,,Kyle Tucker
insert-social-media-follow-back-redemptions,SMFB-KL,,false,,Kenny Lofton
insert-social-media-follow-back-redemptions,SMFB-DM,,false,,Dale Murphy
insert-social-media-follow-back-redemptions,SMFB-CS,,false,,Corey Seager
insert-social-media-follow-back-redemptions,SMFB-CF,,false,,Cecil Fielder
insert-social-media-follow-back-redemptions,SMFB-CC,,false,,Carlos Correa
insert-social-media-follow-back-redemptions,SMFB-DS,,false,,Dansby Swanson
insert-social-media-follow-back-redemptions,SMFB-DH,,false,,Darick Hall
insert-social-media-follow-back-redemptions,SMFB-KH,,false,,Keith Hernandez
insert-social-media-follow-back-redemptions,SMFB-JD,,false,,Jeter Downs
insert-social-media-follow-back-redemptions,SMFB-JM,,false,,Jeff McNeil
insert-social-media-follow-back-redemptions-2,SMFB-DS,,false,,Darryl Strawberry
insert-social-media-follow-back-redemptions,SMFB-AN,,false,,Aaron Nola
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-1,,false,,Kodai Senga
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-2,,false,,Yu Darvish
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-3,,false,,Bo Naylor
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-4,,false,,Mike Trout
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-5,,false,,Willson Contreras
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-6,,false,,Seiya Suzuki
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-7,,false,,Jeff Bagwell
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-8,,false,,Jerar Encarnación
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-9,,false,,Kyle Tucker
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-10,,false,,Kyle Schwarber
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-11,,false,,Austin Riley
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-12,,false,,Ryan Mountcastle
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-13,,false,,Derek Jeter
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-14,,false,,Mark Vientos
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-15,,false,,Masataka Yoshida
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-16,,false,,Mariano Rivera
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-17,,false,,Sandy Alcantara
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-18,,false,,Gerrit Cole
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-19,,false,,Corey Seager
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-20,,false,,Max Scherzer
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-21,,false,,Yadier Molina
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-22,,false,,Luis Castillo
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-23,,false,,Ichiro
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-24,,false,,Andre Dawson
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-25,,false,,Shohei Ohtani
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-26,,false,,Drew Waters
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-27,,false,,Sonny Gray
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-28,,false,,Gunnar Henderson
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-29,,false,,Hunter Brown
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-30,,false,,Julio Urías
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-31,,false,,Randy Arozarena
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-32,,false,,Max Muncy
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-33,,false,,Ozzie Albies
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-34,,false,,Jonathan India
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-35,,false,,Greg Maddux
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-36,,false,,Logan O'Hoppe
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-37,,false,,Jordan Díaz
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-38,,false,,Jeremy Peña
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-39,,false,,Nestor Cortes
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-40,,false,,Simeon Woods Richardson
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-41,,false,,Eddie Murray
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-42,,false,,Mike Yastrzemski
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-43,,false,,Shane McClanahan
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-44,,false,,Dylan Cease
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-45,,false,,Garrett Mitchell
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-46,,false,,Joe Musgrove
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-47,,false,,Eloy Jiménez
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-48,,false,,Francisco Álvarez
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-49,,false,,Ken Waldichuk
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-50,,false,,Tony Gonsolin
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-51,,false,,Xander Bogaerts
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-52,,false,,Jose Atluve
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-53,,false,,Kirby Puckett
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-54,,false,,Ryan Kreidler
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-55,,false,,Oneil Cruz
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-56,,false,,David Ortiz
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-57,,false,,Nolan Ryan
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-58,,false,,Mike Piazza
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-59,,false,,Triston Casas
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-60,,false,,Aaron Nola
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-61,,false,,Dale Murphy
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-62,,false,,Oswald Peraza
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-63,,false,,Ezequiel Tovar
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-64,,false,,David Villar
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-65,,false,,George Springer
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-66,,false,,Hunter Greene
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-67,,false,,Michael Toglia
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-68,,false,,Triston McKenzie
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-69,,false,,Jonathan Aranda
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-70,,false,,David Wright
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-71,,false,,Matt Wallner
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-72,,false,,Eguy Rosario
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-73,,false,,Will Smith
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-74,,false,,Michael Massey
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-75,,false,,Michael Grove
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-76,,false,,Albert Pujols
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-77,,false,,Carlos Rodón
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-78,,false,,Alek Manoah
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-79,,false,,Adrian Beltre
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-80,,false,,Alec Burleson
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-81,,false,,Kerry Carpenter
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-82,,false,,Spencer Steer
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-83,,false,,David Hensley
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-84,,false,,Jordan Groshans
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-85,,false,,Paul Molitor
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-86,,false,,Mark Appel
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-87,,false,,Corbin Burnes
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-88,,false,,Josh Jung
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-89,,false,,Trea Turner
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-90,,false,,Esteury Ruiz
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-91,,false,,Iván Herrera
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-92,,false,,Logan Webb
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-93,,false,,Cade Cavalli
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-94,,false,,Will Brennan
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-95,,false,,Hank Aaron
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-96,,false,,Dansby Swanson
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-97,,false,,Roberto Clemente
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-98,,false,,Manny Machado
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-99,,false,,Lenyn Sosa
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-100,,false,,Roger Clemens
insert-1988-topps-baseball-chrome-silver-packs-checklist-2,2T88C-52,,false,,Jose Altuve
insert-1988-topps-baseball-chrome-silver-packs-checklist,2T88C-79,,false,,Adrián Beltré
