category,cardNumber,parallel,isAuto,printRun,player
insert-golden-mirror-legend-variations,351,,false,,Al Kaline
insert-golden-mirror-legend-variations,352,,false,,Miguel Cabrera
insert-golden-mirror-legend-variations,358,,false,,Josh Gibson
insert-golden-mirror-legend-variations,365,,false,,Johnny Bench
insert-golden-mirror-legend-variations,371,,false,,Mark McGwire
insert-golden-mirror-legend-variations,393,,false,,Alex Rodriguez
insert-golden-mirror-legend-variations,396,,false,,Warren Spahn
insert-golden-mirror-legend-variations,414,,false,,Mike Piazza
insert-golden-mirror-legend-variations,415,,false,,Christy Mathewson
insert-golden-mirror-legend-variations,423,,false,,Tim Raines
insert-golden-mirror-legend-variations,425,,false,,Yogi Berra
insert-golden-mirror-legend-variations,427,,false,,Tom Glavine
insert-golden-mirror-legend-variations,431,,false,,Ichiro
insert-golden-mirror-legend-variations,441,,false,,Johnny Mize
insert-golden-mirror-legend-variations,450,,false,,Nolan Ryan
insert-golden-mirror-legend-variations,460,,false,,Carlton Fisk
insert-golden-mirror-legend-variations,463,,false,,Steve Carlton
insert-golden-mirror-legend-variations,465,,false,,Luis Gonzalez
insert-golden-mirror-legend-variations,468,,false,,Craig Biggio
insert-golden-mirror-legend-variations,483,,false,,Rod Carew
insert-golden-mirror-legend-variations,489,,false,,Harmon Killebrew
insert-golden-mirror-legend-variations,493,,false,,Randy Johnson
insert-golden-mirror-legend-variations,500,,false,,Honus Wagner
insert-golden-mirror-legend-variations,504,,false,,Tris Speaker
insert-golden-mirror-legend-variations,532,,false,,Walter Johnson
insert-golden-mirror-legend-variations,533,,false,,Reggie Jackson
insert-golden-mirror-legend-variations,536,,false,,Wade Boggs
insert-golden-mirror-legend-variations,542,,false,,Paul Molitor
insert-golden-mirror-legend-variations,549,,false,,Rickey Henderson
insert-golden-mirror-legend-variations,560,,false,,Ted Williams
insert-golden-mirror-legend-variations,561,,false,,Will Clark
insert-golden-mirror-legend-variations,562,,false,,Chase Utley
insert-golden-mirror-legend-variations,569,,false,,Roger Clemens
insert-golden-mirror-legend-variations,573,,false,,Albert Pujols
insert-golden-mirror-legend-variations,587,,false,,Rogers Hornsby
insert-golden-mirror-legend-variations,597,,false,,Lou Gehrig
insert-golden-mirror-legend-variations,613,,false,,Brooks Robinson
insert-golden-mirror-legend-variations,618,,false,,Bob Feller
insert-golden-mirror-legend-variations,620,,false,,Bob Gibson
insert-golden-mirror-legend-variations,629,,false,,Sandy Koufax
insert-golden-mirror-legend-variations,631,,false,,Duke Snider
insert-golden-mirror-legend-variations,632,,false,,Greg Maddux
insert-golden-mirror-legend-variations,633,,false,,George Brett
insert-golden-mirror-legend-variations,646,,false,,Darryl Strawberry
insert-golden-mirror-legend-variations,656,,false,,Pedro Martinez
insert-golden-mirror-legend-variations,670,,false,,Jimmie Foxx
insert-golden-mirror-legend-variations,673,,false,,John Smoltz
insert-golden-mirror-legend-variations,677,,false,,Manny Ramirez
insert-golden-mirror-legend-variations,685,,false,,Sammy Sosa
insert-golden-mirror-legend-variations,692,,false,,Dale Murphy
insert-through-the-years-golden-mirror-rookie-cards,98,,false,,Derek Jeter
insert-through-the-years-golden-mirror-rookie-cards,164,,false,,Roberto Clemente
insert-through-the-years-golden-mirror-rookie-cards,312,,false,,Jackie Robinson
insert-through-the-years-golden-mirror-rookie-cards,482,,false,,Rickey Henderson
insert-through-the-years-golden-mirror-rookie-cards,US175,,false,,Mike Trout
auto-flagship-real-one-autographs,5,,true,,Nico Hoerner
auto-flagship-real-one-autographs,22,,true,,Clayton Kershaw
auto-flagship-real-one-autographs,39,,true,,Matt Olson
auto-flagship-real-one-autographs,46,,true,,Gunnar Henderson
auto-flagship-real-one-autographs,53,,true,,Garrett Crochet
auto-flagship-real-one-autographs,60,,true,,Rhett Lowder
auto-flagship-real-one-autographs,67,,true,,Parker Messick
auto-flagship-real-one-autographs,90,,true,,Yoshinobu Yamamoto
auto-flagship-real-one-autographs,98,,true,,Josh Jung
auto-flagship-real-one-autographs,115,,true,,Royce Lewis
auto-flagship-real-one-autographs,129,,true,,Cole Young
auto-flagship-real-one-autographs,143,,true,,Zach Maxwell
auto-flagship-real-one-autographs,154,,true,,Christian Yelich
auto-flagship-real-one-autographs,178,,true,,Shota Imanaga
auto-flagship-real-one-autographs,184,,true,,Carson Whisenhunt
auto-flagship-real-one-autographs,205,,true,,Bobby Witt Jr.
auto-flagship-real-one-autographs,212,,true,,Troy Melton
auto-flagship-real-one-autographs,213,,true,,Colby Thomas
auto-flagship-real-one-autographs,214,,true,,Nolan McLean
auto-flagship-real-one-autographs,219,,true,,Rafael Devers
auto-flagship-real-one-autographs,224,,true,,Cody Freeman
auto-flagship-real-one-autographs,229,,true,,Jackson Merrill
auto-flagship-real-one-autographs,238,,true,,Austin Riley
auto-flagship-real-one-autographs,240,,true,,Jacob Wilson
auto-flagship-real-one-autographs,250,,true,,Bryce Harper
auto-flagship-real-one-autographs,255,,true,,Byron Buxton
auto-flagship-real-one-autographs,259,,true,,Luis Morales
auto-flagship-real-one-autographs,261,,true,,Zack Wheeler
