category,cardNumber,parallel,isAuto,printRun,player
base,351,,false,,Clayton Kershaw
base,351,Yellow,false,,Clayton Kershaw
base,351,Aqua,false,,Clayton Kershaw
base,351,Gold Foil,false,,Clayton Kershaw
base,351,Silver Crackle Foilboard,false,,Clayton Kershaw
base,351,Rainbow Foil,false,,Clayton Kershaw
base,351,Yellow Foil,false,,Clayton Kershaw
base,351,Royal Blue,false,,Clayton Kershaw
base,351,Yellow Crackle Foilboard,false,,Clayton Kershaw
base,351,Gold,false,2024,Clayton Kershaw
base,351,Blue Foilboard,false,999,Clayton Kershaw
base,351,Purple Foilboard,false,799,Clayton Kershaw
base,351,Green Crackle Foilboard,false,499,Clayton Kershaw
base,351,Aqua Crackle Foilboard,false,399,Clayton Kershaw
base,351,Orange Crackle Foilboard,false,299,Clayton Kershaw
base,351,Red Crackle Foilboard,false,199,Clayton Kershaw
base,351,Vintage Stock,false,99,Clayton Kershaw
base,351,Independence Day,false,76,Clayton Kershaw
base,351,Black,false,73,Clayton Kershaw
base,351,Mother's Day Hot Pink,false,50,Clayton Kershaw
base,351,Father's Day Powder Blue,false,50,Clayton Kershaw
base,351,Yellow Crackle,false,50,Clayton Kershaw
base,351,Memorial Day Camo,false,25,Clayton Kershaw
base,351,First Card,false,1,Clayton Kershaw
base,351,Platinum,false,1,Clayton Kershaw
base,351,Printing Plates,false,1,Clayton Kershaw
base,352,,false,,Trea Turner
base,352,Yellow,false,,Trea Turner
base,352,Aqua,false,,Trea Turner
base,352,Gold Foil,false,,Trea Turner
base,352,Silver Crackle Foilboard,false,,Trea Turner
base,352,Rainbow Foil,false,,Trea Turner
base,352,Yellow Foil,false,,Trea Turner
base,352,Royal Blue,false,,Trea Turner
base,352,Yellow Crackle Foilboard,false,,Trea Turner
base,352,Gold,false,2024,Trea Turner
base,352,Blue Foilboard,false,999,Trea Turner
base,352,Purple Foilboard,false,799,Trea Turner
base,352,Green Crackle Foilboard,false,499,Trea Turner
base,352,Aqua Crackle Foilboard,false,399,Trea Turner
base,352,Orange Crackle Foilboard,false,299,Trea Turner
base,352,Red Crackle Foilboard,false,199,Trea Turner
base,352,Vintage Stock,false,99,Trea Turner
base,352,Independence Day,false,76,Trea Turner
base,352,Black,false,73,Trea Turner
base,352,Mother's Day Hot Pink,false,50,Trea Turner
base,352,Father's Day Powder Blue,false,50,Trea Turner
base,352,Yellow Crackle,false,50,Trea Turner
base,352,Memorial Day Camo,false,25,Trea Turner
base,352,First Card,false,1,Trea Turner
base,352,Platinum,false,1,Trea Turner
base,352,Printing Plates,false,1,Trea Turner
base,353,,false,,Tyler Freeman
base,353,Yellow,false,,Tyler Freeman
base,353,Aqua,false,,Tyler Freeman
base,353,Gold Foil,false,,Tyler Freeman
base,353,Silver Crackle Foilboard,false,,Tyler Freeman
base,353,Rainbow Foil,false,,Tyler Freeman
base,353,Yellow Foil,false,,Tyler Freeman
base,353,Royal Blue,false,,Tyler Freeman
base,353,Yellow Crackle Foilboard,false,,Tyler Freeman
base,353,Gold,false,2024,Tyler Freeman
base,353,Blue Foilboard,false,999,Tyler Freeman
base,353,Purple Foilboard,false,799,Tyler Freeman
base,353,Green Crackle Foilboard,false,499,Tyler Freeman
base,353,Aqua Crackle Foilboard,false,399,Tyler Freeman
base,353,Orange Crackle Foilboard,false,299,Tyler Freeman
base,353,Red Crackle Foilboard,false,199,Tyler Freeman
base,353,Vintage Stock,false,99,Tyler Freeman
base,353,Independence Day,false,76,Tyler Freeman
base,353,Black,false,73,Tyler Freeman
base,353,Mother's Day Hot Pink,false,50,Tyler Freeman
base,353,Father's Day Powder Blue,false,50,Tyler Freeman
base,353,Yellow Crackle,false,50,Tyler Freeman
