category,cardNumber,parallel,isAuto,printRun,player
base,US1,,false,,Kristian Campbell
base,US1,Diamante Foil,false,,Kristian Campbell
base,US1,Holo Foil,false,,Kristian Campbell
base,US1,Pink Diamante Foil,false,,Kristian Campbell
base,US1,Sandglitter,false,,Kristian Campbell
base,US1,Silver Crackle Foil,false,,Kristian Campbell
base,US1,Topps Pattern Foil,false,,Kristian Campbell
base,US1,Gold Border,false,2025,Kristian Campbell
base,US1,Rainbow Foil,false,,Kristian Campbell
base,US1,Aqua Rainbow Foil,false,,Kristian Campbell
base,US1,Aqua Holo Foil,false,,Kristian Campbell
base,US1,Pink Holo Foil,false,800,Kristian Campbell
base,US1,Purple Holo Foil,false,250,Kristian Campbell
base,US1,Purple Rainbow Foil,false,250,Kristian Campbell
base,US1,Blue Holo Foil,false,150,Kristian Campbell
base,US1,Blue Rainbow Foil,false,150,Kristian Campbell
base,US1,Green Holo Foil,false,99,Kristian Campbell
base,US1,Green Rainbow Foil,false,99,Kristian Campbell
base,US1,Vintage Stock,false,99,Kristian Campbell
base,US1,Independence Day,false,76,Kristian Campbell
base,US1,Gold Diamante Foil,false,50,Kristian Campbell
base,US1,Gold Holo Foil,false,50,Kristian Campbell
base,US1,Gold Rainbow Foil,false,50,Kristian Campbell
base,US1,Canvas Parallel,false,50,Kristian Campbell
base,US1,Memorial Day Camo,false,25,Kristian Campbell
base,US1,Orange Diamante Foil,false,25,Kristian Campbell
base,US1,Orange Holo Foil,false,25,Kristian Campbell
base,US1,Orange Rainbow Foil,false,25,Kristian Campbell
base,US1,Wood,false,25,Kristian Campbell
base,US1,Black Diamante Foil,false,10,Kristian Campbell
base,US1,Black Holo Foil,false,10,Kristian Campbell
base,US1,Black Rainbow Foil,false,10,Kristian Campbell
base,US1,Clear Variation,false,10,Kristian Campbell
base,US1,Red Diamante Foil,false,5,Kristian Campbell
base,US1,Red Holo Foil,false,5,Kristian Campbell
base,US1,Red Rainbow Foil,false,5,Kristian Campbell
base,US1,Platinum Holo Foil,false,1,Kristian Campbell
base,US1,First Card,false,1,Kristian Campbell
base,US1,FoilFractor,false,1,Kristian Campbell
base,US1,Printing Plates,false,1,Kristian Campbell
base,US2,,false,,Zac Veen
base,US2,Diamante Foil,false,,Zac Veen
base,US2,Holo Foil,false,,Zac Veen
base,US2,Pink Diamante Foil,false,,Zac Veen
base,US2,Sandglitter,false,,Zac Veen
base,US2,Silver Crackle Foil,false,,Zac Veen
base,US2,Topps Pattern Foil,false,,Zac Veen
base,US2,Gold Border,false,2025,Zac Veen
base,US2,Rainbow Foil,false,,Zac Veen
base,US2,Aqua Rainbow Foil,false,,Zac Veen
base,US2,Aqua Holo Foil,false,,Zac Veen
base,US2,Pink Holo Foil,false,800,Zac Veen
base,US2,Purple Holo Foil,false,250,Zac Veen
base,US2,Purple Rainbow Foil,false,250,Zac Veen
base,US2,Blue Holo Foil,false,150,Zac Veen
base,US2,Blue Rainbow Foil,false,150,Zac Veen
base,US2,Green Holo Foil,false,99,Zac Veen
base,US2,Green Rainbow Foil,false,99,Zac Veen
base,US2,Vintage Stock,false,99,Zac Veen
base,US2,Independence Day,false,76,Zac Veen
base,US2,Gold Diamante Foil,false,50,Zac Veen
base,US2,Gold Holo Foil,false,50,Zac Veen
base,US2,Gold Rainbow Foil,false,50,Zac Veen
base,US2,Canvas Parallel,false,50,Zac Veen
base,US2,Memorial Day Camo,false,25,Zac Veen
base,US2,Orange Diamante Foil,false,25,Zac Veen
base,US2,Orange Holo Foil,false,25,Zac Veen
base,US2,Orange Rainbow Foil,false,25,Zac Veen
base,US2,Wood,false,25,Zac Veen
base,US2,Black Diamante Foil,false,10,Zac Veen
base,US2,Black Holo Foil,false,10,Zac Veen
base,US2,Black Rainbow Foil,false,10,Zac Veen
base,US2,Clear Variation,false,10,Zac Veen
base,US2,Red Diamante Foil,false,5,Zac Veen
base,US2,Red Holo Foil,false,5,Zac Veen
base,US2,Red Rainbow Foil,false,5,Zac Veen
base,US2,Platinum Holo Foil,false,1,Zac Veen
base,US2,First Card,false,1,Zac Veen
base,US2,FoilFractor,false,1,Zac Veen
base,US2,Printing Plates,false,1,Zac Veen
base,US3,,false,,Jamie Westbrook
base,US3,Diamante Foil,false,,Jamie Westbrook
base,US3,Holo Foil,false,,Jamie Westbrook
base,US3,Pink Diamante Foil,false,,Jamie Westbrook
base,US3,Sandglitter,false,,Jamie Westbrook
base,US3,Silver Crackle Foil,false,,Jamie Westbrook
base,US3,Topps Pattern Foil,false,,Jamie Westbrook
base,US3,Gold Border,false,2025,Jamie Westbrook
base,US3,Rainbow Foil,false,,Jamie Westbrook
base,US3,Aqua Rainbow Foil,false,,Jamie Westbrook
base,US3,Aqua Holo Foil,false,,Jamie Westbrook
base,US3,Pink Holo Foil,false,800,Jamie Westbrook
base,US3,Purple Holo Foil,false,250,Jamie Westbrook
base,US3,Purple Rainbow Foil,false,250,Jamie Westbrook
base,US3,Blue Holo Foil,false,150,Jamie Westbrook
base,US3,Blue Rainbow Foil,false,150,Jamie Westbrook
base,US3,Green Holo Foil,false,99,Jamie Westbrook
base,US3,Green Rainbow Foil,false,99,Jamie Westbrook
base,US3,Vintage Stock,false,99,Jamie Westbrook
base,US3,Independence Day,false,76,Jamie Westbrook
base,US3,Gold Diamante Foil,false,50,Jamie Westbrook
base,US3,Gold Holo Foil,false,50,Jamie Westbrook
base,US3,Gold Rainbow Foil,false,50,Jamie Westbrook
base,US3,Canvas Parallel,false,50,Jamie Westbrook
base,US3,Memorial Day Camo,false,25,Jamie Westbrook
base,US3,Orange Diamante Foil,false,25,Jamie Westbrook
base,US3,Orange Holo Foil,false,25,Jamie Westbrook
base,US3,Orange Rainbow Foil,false,25,Jamie Westbrook
base,US3,Wood,false,25,Jamie Westbrook
base,US3,Black Diamante Foil,false,10,Jamie Westbrook
base,US3,Black Holo Foil,false,10,Jamie Westbrook
base,US3,Black Rainbow Foil,false,10,Jamie Westbrook
base,US3,Clear Variation,false,10,Jamie Westbrook
base,US3,Red Diamante Foil,false,5,Jamie Westbrook
base,US3,Red Holo Foil,false,5,Jamie Westbrook
base,US3,Red Rainbow Foil,false,5,Jamie Westbrook
base,US3,Platinum Holo Foil,false,1,Jamie Westbrook
base,US3,First Card,false,1,Jamie Westbrook
base,US3,FoilFractor,false,1,Jamie Westbrook
base,US3,Printing Plates,false,1,Jamie Westbrook
base,US4,,false,,Alex Verdugo
base,US4,Diamante Foil,false,,Alex Verdugo
base,US4,Holo Foil,false,,Alex Verdugo
base,US4,Pink Diamante Foil,false,,Alex Verdugo
base,US4,Sandglitter,false,,Alex Verdugo
base,US4,Silver Crackle Foil,false,,Alex Verdugo
base,US4,Topps Pattern Foil,false,,Alex Verdugo
base,US4,Gold Border,false,2025,Alex Verdugo
base,US4,Rainbow Foil,false,,Alex Verdugo
base,US4,Aqua Rainbow Foil,false,,Alex Verdugo
base,US4,Aqua Holo Foil,false,,Alex Verdugo
base,US4,Pink Holo Foil,false,800,Alex Verdugo
base,US4,Purple Holo Foil,false,250,Alex Verdugo
base,US4,Purple Rainbow Foil,false,250,Alex Verdugo
base,US4,Blue Holo Foil,false,150,Alex Verdugo
base,US4,Blue Rainbow Foil,false,150,Alex Verdugo
base,US4,Green Holo Foil,false,99,Alex Verdugo
base,US4,Green Rainbow Foil,false,99,Alex Verdugo
base,US4,Vintage Stock,false,99,Alex Verdugo
base,US4,Independence Day,false,76,Alex Verdugo
base,US4,Gold Diamante Foil,false,50,Alex Verdugo
base,US4,Gold Holo Foil,false,50,Alex Verdugo
base,US4,Gold Rainbow Foil,false,50,Alex Verdugo
base,US4,Canvas Parallel,false,50,Alex Verdugo
base,US4,Memorial Day Camo,false,25,Alex Verdugo
base,US4,Orange Diamante Foil,false,25,Alex Verdugo
base,US4,Orange Holo Foil,false,25,Alex Verdugo
base,US4,Orange Rainbow Foil,false,25,Alex Verdugo
base,US4,Wood,false,25,Alex Verdugo
base,US4,Black Diamante Foil,false,10,Alex Verdugo
base,US4,Black Holo Foil,false,10,Alex Verdugo
base,US4,Black Rainbow Foil,false,10,Alex Verdugo
base,US4,Clear Variation,false,10,Alex Verdugo
base,US4,Red Diamante Foil,false,5,Alex Verdugo
base,US4,Red Holo Foil,false,5,Alex Verdugo
base,US4,Red Rainbow Foil,false,5,Alex Verdugo
