category,cardNumber,parallel,isAuto,printRun,player
base-set,516,Photo,false,,Tuukka Rask
base-set,533,Photo,false,,Frederik Andersen
base-set,540,Photo,false,,Marc-Andre Fleury
base-set,542,Photo,false,,Seth Jones
base-set,554,Photo,false,,Jakub Voracek
base-set,559,Photo,false,,Ryan Suter
base-set,569,Photo,false,,Duncan Keith
base-set,574,Photo,false,,Joe Thornton
base-set,597,Photo,false,,Zdeno Chara
base-set,600,Photo,false,,Zach Parise
base-set,610,Photo,false,,Cam Atkinson
base-set,616,Photo,false,,Keith Yandle
base-set,634,Photo,false,,Pavel Buchnevich
base-set,648,Photo,false,,Oliver Ekman-Larsson
base-set,656,Photo,false,,Jack Eichel
base-set,689,Photo,false,,Jordan Eberle
base-set,691,Photo,false,,Mark Giordano
base-set,695,Photo,false,,Philipp Grubauer
base-set,501,,false,,Sam Carrick
base-set,502,,false,,Isac Lundestrom
base-set,503,,false,,Sonny Milano
base-set,504,,false,,Greg Pateryn
base-set,505,,false,,Ryan Dzingel
base-set,506,,false,,Loui Eriksson
base-set,507,,false,,Shayne Gostisbehere
base-set,508,,false,,Andrew Ladd
base-set,509,,false,,Antoine Roussel
base-set,510,,false,,Anton Stralman
base-set,511,,false,,Scott Wedgewood
base-set,512,,false,,Nick Foligno
base-set,513,,false,,Derek Forbort
base-set,514,,false,,Erik Haula
base-set,515,,false,,Tomas Nosek
base-set,516,,false,,Tuukka Rask
base-set,517,,false,,Linus Ullmark
base-set,518,,false,,Craig Anderson
base-set,519,,false,,Will Butcher
base-set,520,,false,,Robert Hagg
base-set,521,,false,,Vincent Hinostroza
base-set,522,,false,,Peyton Krebs
base-set,523,,false,,Mark Pysyk
base-set,524,,false,,Tage Thompson
base-set,525,,false,,Alex Tuch
base-set,526,,false,,Blake Coleman
base-set,527,,false,,Erik Gudbranson
base-set,528,,false,,Trevor Lewis
base-set,529,,false,,Tyler Pitlick
base-set,530,,false,,Brad Richardson
base-set,531,,false,,Dan Vladar
base-set,532,,false,,Nikita Zadorov
base-set,533,,false,,Frederik Andersen
base-set,534,,false,,Ethan Bear
base-set,535,,false,,Ian Cole
base-set,536,,false,,Tony DeAngelo
base-set,537,,false,,Jesperi Kotkaniemi
base-set,538,,false,,Antti Raanta
base-set,539,,false,,Derek Stepan
base-set,540,,false,,Marc-Andre Fleury
base-set,541,,false,,Caleb Jones
base-set,542,,false,,Seth Jones
base-set,543,,false,,Jujhar Khaira
base-set,544,,false,,Sam Lafferty
base-set,545,,false,,Jake McCabe
base-set,546,,false,,Darren Helm
base-set,547,,false,,Darcy Kuemper
base-set,548,,false,,Kurtis MacDermid
base-set,549,,false,,Ryan Murray
base-set,550,,false,,Logan O'Connor
base-set,551,,false,,Jake Bean
base-set,552,,false,,Adam Boqvist
base-set,553,,false,,Sean Kuraly
base-set,554,,false,,Jakub Voracek
base-set,555,,false,,Jani Hakanpaa
base-set,556,,false,,Braden Holtby
base-set,557,,false,,Luke Glendening
base-set,558,,false,,Michael Raffl
base-set,559,,false,,Ryan Suter
base-set,560,,false,,Nick Leddy
base-set,561,,false,,Alex Nedeljkovic
base-set,562,,false,,Carter Rowney
base-set,563,,false,,Pius Suter
base-set,564,,false,,Evan Bouchard
base-set,565,,false,,Cody Ceci
base-set,566,,false,,Warren Foegele
base-set,567,,false,,Zach Hyman
base-set,568,,false,,Evander Kane
base-set,569,,false,,Duncan Keith
base-set,570,,false,,Gustav Forsling
base-set,571,,false,,Mason Marchment
base-set,572,,false,,Brandon Montour
base-set,573,,false,,Sam Reinhart
base-set,574,,false,,Joe Thornton
base-set,575,,false,,Viktor Arvidsson
base-set,576,,false,,Phillip Danault
base-set,577,,false,,Arthur Kaliyev
base-set,578,,false,,Matt Roy
base-set,579,,false,,Frederick Gaudreau
base-set,580,,false,,Alex Goligoski
base-set,581,,false,,Dmitry Kulikov
base-set,582,,false,,Jon Merrill
base-set,583,,false,,Christian Dvorak
base-set,584,,false,,Mike Hoffman
base-set,585,,false,,Samuel Montembeault
base-set,586,,false,,Mathieu Perreault
base-set,587,,false,,David Savard
base-set,588,,false,,Alexandre Carrier
base-set,589,,false,,Luke Kunin
base-set,590,,false,,David Rittich
base-set,591,,false,,Yakov Trenin
base-set,592,,false,,Ryan Graves
base-set,593,,false,,Dougie Hamilton
base-set,594,,false,,Andreas Johnsson
base-set,595,,false,,Tomas Tatar
base-set,596,,false,,Jimmy Vesey
base-set,597,,false,,Zdeno Chara
base-set,598,,false,,Cal Clutterbuck
base-set,599,,false,,Noah Dobson
base-set,600,,false,,Zach Parise
base-set,601,,false,,Sammy Blais
base-set,602,,false,,Barclay Goodrow
base-set,603,,false,,Dryden Hunt
base-set,604,,false,,Patrik Nemeth
base-set,605,,false,,Ryan Reaves
base-set,606,,false,,Alex Formenton
base-set,607,,false,,Anton Forsberg
base-set,608,,false,,Nick Holden
base-set,609,,false,,Zach Sanford
base-set,610,,false,,Cam Atkinson
base-set,611,,false,,Derick Brassard
base-set,612,,false,,Ryan Ellis
base-set,613,,false,,Martin Jones
base-set,614,,false,,Rasmus Ristolainen
base-set,615,,false,,Nate Thompson
base-set,616,,false,,Keith Yandle
base-set,617,,false,,Teddy Blueger
base-set,618,,false,,Danton Heinen
base-set,619,,false,,Mike Matheson
base-set,620,,false,,Brock McGinn
base-set,621,,false,,Evan Rodrigues
base-set,622,,false,,Nick Bonino
base-set,623,,false,,Andrew Cogliano
base-set,624,,false,,Adin Hill
base-set,625,,false,,Jacob Middleton
base-set,626,,false,,James Reimer
base-set,627,,false,,Colin Blackwell
base-set,628,,false,,Yanni Gourde
base-set,629,,false,,Calle Jarnkrok
base-set,630,,false,,Carson Soucy
base-set,631,,false,,Alexander True
base-set,632,,false,,Tyler Bozak
base-set,633,,false,,Logan Brown
base-set,634,,false,,Pavel Buchnevich
base-set,635,,false,,Brandon Saad
base-set,636,,false,,Pierre-Edouard Bellemare
base-set,637,,false,,Zach Bogosian
base-set,638,,false,,Brian Elliott
base-set,639,,false,,Mathieu Joseph
base-set,640,,false,,Corey Perry
base-set,641,,false,,Michael Bunting
base-set,642,,false,,David Kampf
base-set,643,,false,,Ondrej Kase
base-set,644,,false,,Petr Mrazek
base-set,645,,false,,Nick Ritchie
base-set,646,,false,,Alex Chiasson
base-set,647,,false,,Jason Dickinson
base-set,648,,false,,Oliver Ekman-Larsson
base-set,649,,false,,Conor Garland
base-set,650,,false,,Jaroslav Halak
base-set,651,,false,,Juho Lammikko
base-set,652,,false,,Tucker Poolman
base-set,653,,false,,Sven Baertschi
base-set,654,,false,,Laurent Brossoit
base-set,655,,false,,Evgenii Dadonov
base-set,656,,false,,Jack Eichel
base-set,657,,false,,Brett Howden
base-set,658,,false,,Mattias Janmark
base-set,659,,false,,Nolan Patrick
base-set,660,,false,,Nic Dowd
base-set,661,,false,,Garnet Hathaway
base-set,662,,false,,Connor McMichael
base-set,663,,false,,Brenden Dillon
base-set,664,,false,,Nate Schmidt
base-set,665,,false,,Logan Stanley
base-set,666,,false,,Evgeny Svechnikov
base-set,667,,false,,Brad Marchand
base-set,668,,false,,Connor McDavid
base-set,669,,false,,Mitch Marner
base-set,670,,false,,Adam Fox
base-set,671,,false,,Cale Makar
base-set,672,,false,,Andrei Vasilevskiy
base-set,673,,false,,Jonathan Huberdeau
base-set,674,,false,,Auston Matthews
base-set,675,,false,,Mikko Rantanen
base-set,676,,false,,Dougie Hamilton
base-set,677,,false,,Victor Hedman
base-set,678,,false,,Marc-Andre Fleury
base-set,679,,false,,Adam Larsson
base-set,680,,false,,Alexander Wennberg
base-set,681,,false,,Brandon Tanev
base-set,682,,false,,Chris Driedger
base-set,683,,false,,Haydn Fleury
base-set,684,,false,,Jaden Schwartz
base-set,685,,false,,Jamie Oleksiak
base-set,686,,false,,Jared McCann
base-set,687,,false,,Jeremy Lauzon
base-set,688,,false,,Joonas Donskoi
base-set,689,,false,,Jordan Eberle
base-set,690,,false,,Marcus Johansson
base-set,691,,false,,Mark Giordano
base-set,692,,false,,Mason Appleton
base-set,693,,false,,Morgan Geekie
base-set,694,,false,,Nathan Bastian
base-set,695,,false,,Philipp Grubauer
base-set,696,,false,,Riley Sheahan
