category,cardNumber,parallel,isAuto,printRun,player
base-set-young-guns,451,Oversized,false,,Macklin Celebrini
base-set-young-guns,459,Oversized,false,,Ethan Cardwell
base-set-young-guns,461,Oversized,false,,Oliver Kapanen
base-set-young-guns,474,Oversized,false,,Rutger McGroarty
base-set-young-guns,475,Oversized,false,,Albert Johansson
base-set-young-guns,477,Oversized,false,,Calum Ritchie
base-set-young-guns,478,Oversized,false,,Conor Geekie
base-set-young-guns,480,Oversized,false,,Zachary L'Heureux
base-set-young-guns,483,Oversized,false,,Joel Blomqvist
base-set-young-guns,484,Oversized,false,,Jett Luchanko
base-set-young-guns,485,Oversized,false,,Samuel Honzek
base-set-young-guns,489,Oversized,false,,Seamus Casey
base-set-young-guns,491,Oversized,false,,Nolan Allan
base-set-young-guns,492,Oversized,false,,Matvei Michkov
base-set,259,Snow Spray Auto,true,,John Beecher
base-set,266,Snow Spray Auto,true,,MacKenzie Weegar
base-set,278,Snow Spray Auto,true,,Jalen Chatfield
base-set,326,Snow Spray Auto,true,,Alex Turcotte
base-set,336,Snow Spray Auto,true,,Jared Spurgeon
base-set,368,Snow Spray Auto,true,,Brady Tkachuk
base-set,374,Snow Spray Auto,true,,Bobby Brink
base-set,410,Snow Spray Auto,true,,Darren Raddysh
base-set,448,Snow Spray Auto,true,,Nino Niederreiter
base-set,258,Swagnificent,false,,David Pastrnak
base-set,274,Swagnificent,false,,Jaccob Slavin
base-set,285,Swagnificent,false,,Nathan MacKinnon
base-set,297,Swagnificent,false,,Matt Duchene
base-set,313,Swagnificent,false,,Leon Draisaitl
base-set,319,Swagnificent,false,,Matthew Tkachuk
base-set,328,Swagnificent,false,,Quinton Byfield
base-set,337,Swagnificent,false,,Nick Suzuki
base-set,346,Swagnificent,false,,Juuse Saros
base-set,380,Swagnificent,false,,Sidney Crosby
base-set,386,Swagnificent,false,,William Eklund
base-set,391,Swagnificent,false,,Matty Beniers
base-set,395,Swagnificent,false,,Joey Daccord
base-set,399,Swagnificent,false,,Robert Thomas
base-set,411,Swagnificent,false,,Auston Matthews
base-set,427,Swagnificent,false,,Brock Boeser
base-set,435,Swagnificent,false,,Tomas Hertl
base-set,251,,false,,Trevor Zegras
base-set,252,,false,,Radko Gudas
base-set,253,,false,,Leo Carlsson
base-set,254,,false,,John Gibson
base-set,255,,false,,Hampus Lindholm
base-set,256,,false,,Jeremy Swayman
base-set,257,,false,,Mason Lohrei
base-set,258,,false,,David Pastrnak
base-set,259,,false,,John Beecher
base-set,260,,false,,Owen Power
base-set,261,,false,,Tage Thompson
base-set,262,,false,,Peyton Krebs
base-set,263,,false,,Dylan Cozens
base-set,264,,false,,Jordan Greenway
base-set,265,,false,,Mattias Samuelsson
base-set,266,,false,,MacKenzie Weegar
base-set,267,,false,,Martin Pospisil
base-set,268,,false,,Rasmus Andersson
base-set,269,,false,,Dan Vladar
base-set,270,,false,,Walker Duehr
base-set,271,,false,,Nazem Kadri
base-set,272,,false,,Sebastian Aho
base-set,273,,false,,Frederik Andersen
base-set,274,,false,,Jaccob Slavin
base-set,275,,false,,Jordan Staal
base-set,276,,false,,Jesperi Kotkaniemi
base-set,277,,false,,Jack Drury
base-set,278,,false,,Jalen Chatfield
base-set,279,,false,,Ryan Donato
base-set,280,,false,,Taylor Hall
base-set,281,,false,,Petr Mrazek
base-set,282,,false,,Lukas Reichel
base-set,283,,false,,Connor Murphy
base-set,284,,false,,Andreas Athanasiou
base-set,285,,false,,Nathan MacKinnon
base-set,286,,false,,Valeri Nichushkin
base-set,287,,false,,Devon Toews
base-set,288,,false,,Logan O'Connor
base-set,289,,false,,Casey Mittelstadt
base-set,290,,false,,Jonathan Drouin
base-set,291,,false,,Sean Kuraly
base-set,292,,false,,Justin Danforth
