category,cardNumber,parallel,isAuto,printRun,player
insert-paper-prospects,BP-8,Sky Blue Border,false,499,Anderson Araujo
insert-paper-prospects,BP-8,Neon Green Border,false,399,Anderson Araujo
insert-paper-prospects,BP-8,Fuchsia Border,false,299,Anderson Araujo
insert-paper-prospects,BP-8,Purple Border,false,250,Anderson Araujo
insert-paper-prospects,BP-8,Purple Pattern,false,250,Anderson Araujo
insert-paper-prospects,BP-8,Pink Border,false,175,Anderson Araujo
insert-paper-prospects,BP-8,Blue Border,false,150,Anderson Araujo
insert-paper-prospects,BP-8,Blue Pattern,false,150,Anderson Araujo
insert-paper-prospects,BP-8,Green Border,false,99,Anderson Araujo
insert-paper-prospects,BP-8,Green Border Pattern,false,99,Anderson Araujo
insert-paper-prospects,BP-8,Yellow Pattern,false,75,Anderson Araujo
insert-paper-prospects,BP-8,Gold Border,false,50,Anderson Araujo
insert-paper-prospects,BP-8,Gold Border Pattern,false,50,Anderson Araujo
insert-paper-prospects,BP-8,Orange Border,false,25,Anderson Araujo
insert-paper-prospects,BP-8,Orange Border Pattern,false,25,Anderson Araujo
insert-paper-prospects,BP-8,Black Border,false,25,Anderson Araujo
insert-paper-prospects,BP-8,Red Border,false,5,Anderson Araujo
insert-paper-prospects,BP-8,Platinum Border,false,1,Anderson Araujo
insert-paper-prospects,BP-44,Sky Blue Border,false,499,Billy Carlson
insert-paper-prospects,BP-44,Neon Green Border,false,399,Billy Carlson
insert-paper-prospects,BP-44,Purple Border,false,250,Billy Carlson
insert-paper-prospects,BP-44,Purple Pattern,false,250,Billy Carlson
insert-paper-prospects,BP-44,Pink Border,false,175,Billy Carlson
insert-paper-prospects,BP-44,Blue Pattern,false,150,Billy Carlson
insert-paper-prospects,BP-44,Green Border,false,99,Billy Carlson
insert-paper-prospects,BP-44,Green Border Pattern,false,99,Billy Carlson
insert-paper-prospects,BP-44,Yellow Border,false,75,Billy Carlson
insert-paper-prospects,BP-44,Gold Border,false,50,Billy Carlson
insert-paper-prospects,BP-44,Gold Border Pattern,false,50,Billy Carlson
insert-paper-prospects,BP-44,Orange Border,false,25,Billy Carlson
insert-paper-prospects,BP-44,Orange Border Pattern,false,25,Billy Carlson
insert-paper-prospects,BP-44,Black Border,false,25,Billy Carlson
insert-paper-prospects,BP-44,Black Border Pattern,false,25,Billy Carlson
insert-paper-prospects,BP-44,Red Border,false,5,Billy Carlson
insert-paper-prospects,BP-44,Platinum Border,false,1,Billy Carlson
insert-paper-prospects,BP-33,Sky Blue Border,false,499,Coy James
insert-paper-prospects,BP-33,Neon Green Border,false,399,Coy James
insert-paper-prospects,BP-33,Fuchsia Border,false,299,Coy James
insert-paper-prospects,BP-33,Purple Border,false,250,Coy James
insert-paper-prospects,BP-33,Purple Pattern,false,250,Coy James
insert-paper-prospects,BP-33,Pink Border,false,175,Coy James
insert-paper-prospects,BP-33,Blue Border,false,150,Coy James
insert-paper-prospects,BP-33,Blue Pattern,false,150,Coy James
insert-paper-prospects,BP-33,Green Border,false,99,Coy James
insert-paper-prospects,BP-33,Green Border Pattern,false,99,Coy James
insert-paper-prospects,BP-33,Yellow Border,false,75,Coy James
insert-paper-prospects,BP-33,Yellow Pattern,false,75,Coy James
insert-paper-prospects,BP-33,Gold Border,false,50,Coy James
insert-paper-prospects,BP-33,Gold Border Pattern,false,50,Coy James
insert-paper-prospects,BP-33,Orange Border,false,25,Coy James
insert-paper-prospects,BP-33,Orange Border Pattern,false,25,Coy James
insert-paper-prospects,BP-33,Black Border,false,25,Coy James
insert-paper-prospects,BP-33,Black Border Pattern,false,25,Coy James
insert-paper-prospects,BP-33,Red Border,false,5,Coy James
insert-paper-prospects,BP-33,Platinum Border,false,1,Coy James
insert-paper-prospects,BP-132,Sky Blue Border,false,499,Keyner Martinez
insert-paper-prospects,BP-132,Fuchsia Border,false,299,Keyner Martinez
insert-paper-prospects,BP-132,Purple Border,false,250,Keyner Martinez
