category,cardNumber,parallel,isAuto,printRun,player
base,BDC-1,Yellow Sapphire,false,75,Eli Willits
base,BDC-1,Gold Sapphire,false,50,Eli Willits
base,BDC-1,Orange Sapphire,false,25,Eli Willits
base,BDC-1,Black Sapphire,false,10,Eli Willits
base,BDC-1,Red Sapphire,false,5,Eli Willits
base,BDC-1,Padparadscha Sapphire,false,1,Eli Willits
base,BDC-2,Yellow Sapphire,false,75,Xavier Neyens
base,BDC-2,Gold Sapphire,false,50,Xavier Neyens
base,BDC-2,Orange Sapphire,false,25,Xavier Neyens
base,BDC-2,Black Sapphire,false,10,Xavier Neyens
base,BDC-2,Red Sapphire,false,5,Xavier Neyens
base,BDC-2,Padparadscha Sapphire,false,1,Xavier Neyens
base,BDC-3,Yellow Sapphire,false,75,Kade Anderson
base,BDC-3,Gold Sapphire,false,50,Kade Anderson
base,BDC-3,Orange Sapphire,false,25,Kade Anderson
base,BDC-3,Black Sapphire,false,10,Kade Anderson
base,BDC-3,Red Sapphire,false,5,Kade Anderson
base,BDC-3,Padparadscha Sapphire,false,1,Kade Anderson
base,BDC-4,Yellow Sapphire,false,75,Gage Wood
base,BDC-4,Gold Sapphire,false,50,Gage Wood
base,BDC-4,Orange Sapphire,false,25,Gage Wood
base,BDC-4,Black Sapphire,false,10,Gage Wood
base,BDC-4,Red Sapphire,false,5,Gage Wood
base,BDC-4,Padparadscha Sapphire,false,1,Gage Wood
base,BDC-5,Yellow Sapphire,false,75,Max Belyeu
base,BDC-5,Gold Sapphire,false,50,Max Belyeu
base,BDC-5,Orange Sapphire,false,25,Max Belyeu
base,BDC-5,Black Sapphire,false,10,Max Belyeu
base,BDC-5,Red Sapphire,false,5,Max Belyeu
base,BDC-5,Padparadscha Sapphire,false,1,Max Belyeu
base,BDC-6,Yellow Sapphire,false,75,Aidan West
base,BDC-6,Gold Sapphire,false,50,Aidan West
base,BDC-6,Orange Sapphire,false,25,Aidan West
base,BDC-6,Black Sapphire,false,10,Aidan West
base,BDC-6,Red Sapphire,false,5,Aidan West
base,BDC-6,Padparadscha Sapphire,false,1,Aidan West
base,BDC-7,Yellow Sapphire,false,75,Taitn Gray
base,BDC-7,Gold Sapphire,false,50,Taitn Gray
base,BDC-7,Orange Sapphire,false,25,Taitn Gray
base,BDC-7,Black Sapphire,false,10,Taitn Gray
base,BDC-7,Red Sapphire,false,5,Taitn Gray
base,BDC-7,Padparadscha Sapphire,false,1,Taitn Gray
base,BDC-8,Yellow Sapphire,false,75,JoJo Parker
base,BDC-8,Gold Sapphire,false,50,JoJo Parker
base,BDC-8,Orange Sapphire,false,25,JoJo Parker
base,BDC-8,Black Sapphire,false,10,JoJo Parker
base,BDC-8,Red Sapphire,false,5,JoJo Parker
base,BDC-8,Padparadscha Sapphire,false,1,JoJo Parker
base,BDC-9,Yellow Sapphire,false,75,Spencer Jones
base,BDC-9,Gold Sapphire,false,50,Spencer Jones
base,BDC-9,Orange Sapphire,false,25,Spencer Jones
base,BDC-9,Black Sapphire,false,10,Spencer Jones
base,BDC-9,Red Sapphire,false,5,Spencer Jones
base,BDC-9,Padparadscha Sapphire,false,1,Spencer Jones
base,BDC-10,Yellow Sapphire,false,75,Billy Carlson
base,BDC-10,Gold Sapphire,false,50,Billy Carlson
base,BDC-10,Orange Sapphire,false,25,Billy Carlson
base,BDC-10,Black Sapphire,false,10,Billy Carlson
base,BDC-10,Red Sapphire,false,5,Billy Carlson
base,BDC-10,Padparadscha Sapphire,false,1,Billy Carlson
base,BDC-11,Yellow Sapphire,false,75,Mike Sirota
base,BDC-11,Gold Sapphire,false,50,Mike Sirota
base,BDC-11,Orange Sapphire,false,25,Mike Sirota
base,BDC-11,Black Sapphire,false,10,Mike Sirota
base,BDC-11,Red Sapphire,false,5,Mike Sirota
base,BDC-11,Padparadscha Sapphire,false,1,Mike Sirota
base,BDC-12,Yellow Sapphire,false,75,Liam Doyle
base,BDC-12,Gold Sapphire,false,50,Liam Doyle
base,BDC-12,Orange Sapphire,false,25,Liam Doyle
base,BDC-12,Black Sapphire,false,10,Liam Doyle
base,BDC-12,Red Sapphire,false,5,Liam Doyle
base,BDC-12,Padparadscha Sapphire,false,1,Liam Doyle
base,BDC-13,Yellow Sapphire,false,75,Franklin Arias
base,BDC-13,Gold Sapphire,false,50,Franklin Arias
base,BDC-13,Orange Sapphire,false,25,Franklin Arias
base,BDC-13,Black Sapphire,false,10,Franklin Arias
base,BDC-13,Red Sapphire,false,5,Franklin Arias
base,BDC-13,Padparadscha Sapphire,false,1,Franklin Arias
base,BDC-14,Yellow Sapphire,false,75,J.D. Thompson
base,BDC-14,Gold Sapphire,false,50,J.D. Thompson
base,BDC-14,Orange Sapphire,false,25,J.D. Thompson
base,BDC-14,Black Sapphire,false,10,J.D. Thompson
base,BDC-14,Red Sapphire,false,5,J.D. Thompson
base,BDC-14,Padparadscha Sapphire,false,1,J.D. Thompson
base,BDC-15,Yellow Sapphire,false,75,Gavin Fien
base,BDC-15,Gold Sapphire,false,50,Gavin Fien
base,BDC-15,Orange Sapphire,false,25,Gavin Fien
base,BDC-15,Black Sapphire,false,10,Gavin Fien
base,BDC-15,Red Sapphire,false,5,Gavin Fien
base,BDC-15,Padparadscha Sapphire,false,1,Gavin Fien
base,BDC-16,Yellow Sapphire,false,75,Ike Irish
base,BDC-16,Gold Sapphire,false,50,Ike Irish
base,BDC-16,Orange Sapphire,false,25,Ike Irish
base,BDC-16,Black Sapphire,false,10,Ike Irish
base,BDC-16,Red Sapphire,false,5,Ike Irish
base,BDC-16,Padparadscha Sapphire,false,1,Ike Irish
base,BDC-17,Yellow Sapphire,false,75,Ethan Conrad
