category,cardNumber,parallel,isAuto,printRun,player
insert-bowman-prospects-mega-autographs,BMA-AC,Purple Mojo Refractor,true,199,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Green Mojo Refractor,true,99,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Gold Mojo Refractor,true,50,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Orange Mojo Refractor,true,25,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Black & White Mojo Refractor,true,15,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Black Mojo Refractor,true,10,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AC,Rose Gold Mojo Refractor,true,1,Angel Cepeda
insert-bowman-prospects-mega-autographs,BMA-AS,Blue Mojo Refractor,true,150,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Aqua Mojo Refractor,true,125,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Green Mojo Refractor,true,99,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Gold Mojo Refractor,true,50,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Orange Mojo Refractor,true,25,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Black & White Mojo Refractor,true,15,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Black Mojo Refractor,true,10,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Red Mojo Refractor,true,5,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-AS,Rose Gold Mojo Refractor,true,1,Andrew Salas
insert-bowman-prospects-mega-autographs,BMA-ASE,Blue Mojo Refractor,true,150,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Aqua Mojo Refractor,true,125,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Green Mojo Refractor,true,99,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Gold Mojo Refractor,true,50,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Orange Mojo Refractor,true,25,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Black Mojo Refractor,true,10,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Red Mojo Refractor,true,5,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-ASE,Rose Gold Mojo Refractor,true,1,Adam Serwinowski
insert-bowman-prospects-mega-autographs,BMA-BC,Purple Mojo Refractor,true,199,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Blue Mojo Refractor,true,150,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Aqua Mojo Refractor,true,125,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Green Mojo Refractor,true,99,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Gold Mojo Refractor,true,50,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Orange Mojo Refractor,true,25,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Black Mojo Refractor,true,10,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Red Mojo Refractor,true,5,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BC,Rose Gold Mojo Refractor,true,1,Billy Carlson
insert-bowman-prospects-mega-autographs,BMA-BD,Purple Mojo Refractor,true,199,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Aqua Mojo Refractor,true,125,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Green Mojo Refractor,true,99,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Gold Mojo Refractor,true,50,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Orange Mojo Refractor,true,25,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Black & White Mojo Refractor,true,15,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Black Mojo Refractor,true,10,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Red Mojo Refractor,true,5,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BD,Rose Gold Mojo Refractor,true,1,Bo Davidson
insert-bowman-prospects-mega-autographs,BMA-BM,Aqua Mojo Refractor,true,125,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-BM,Green Mojo Refractor,true,99,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-BM,Gold Mojo Refractor,true,50,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-BM,Orange Mojo Refractor,true,25,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-BM,Black Mojo Refractor,true,10,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-BM,Rose Gold Mojo Refractor,true,1,Braden Montgomery
insert-bowman-prospects-mega-autographs,BMA-CA,Blue Mojo Refractor,true,150,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Aqua Mojo Refractor,true,125,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Green Mojo Refractor,true,99,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Gold Mojo Refractor,true,50,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Orange Mojo Refractor,true,25,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Black & White Mojo Refractor,true,15,Cristian Arguelles
insert-bowman-prospects-mega-autographs,BMA-CA,Black Mojo Refractor,true,10,Cristian Arguelles
