category,cardNumber,parallel,isAuto,printRun,player
auto-chrome-update-autographs,AC-AB,,true,,Alex Bregman
auto-chrome-update-autographs,AC-AB,Refractor,true,499,Alex Bregman
auto-chrome-update-autographs,AC-AB,Purple Speckle Refractor,true,299,Alex Bregman
auto-chrome-update-autographs,AC-AB,Purple Refractor,true,250,Alex Bregman
auto-chrome-update-autographs,AC-AB,Aqua Wave Refractor,true,199,Alex Bregman
auto-chrome-update-autographs,AC-AB,Blue Refractor,true,150,Alex Bregman
auto-chrome-update-autographs,AC-AB,Blue RayWave Refractor,true,150,Alex Bregman
auto-chrome-update-autographs,AC-AB,Green Refractor,true,99,Alex Bregman
auto-chrome-update-autographs,AC-AB,Gold Refractor,true,50,Alex Bregman
auto-chrome-update-autographs,AC-AB,Gold Wave Refractor,true,50,Alex Bregman
auto-chrome-update-autographs,AC-AB,Orange Refractor,true,25,Alex Bregman
auto-chrome-update-autographs,AC-AB,Orange Wave Refractor,true,25,Alex Bregman
auto-chrome-update-autographs,AC-AB,Black Refractor,true,10,Alex Bregman
auto-chrome-update-autographs,AC-AB,Red Refractor,true,5,Alex Bregman
auto-chrome-update-autographs,AC-AB,Red Wave Refractor,true,5,Alex Bregman
auto-chrome-update-autographs,AC-AB,SuperFractor,true,1,Alex Bregman
auto-chrome-update-autographs,AC-ABU,,true,,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Refractor,true,499,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Purple Speckle Refractor,true,299,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Purple Refractor,true,250,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Aqua Wave Refractor,true,199,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Blue Refractor,true,150,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Blue RayWave Refractor,true,150,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Green Refractor,true,99,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Gold Refractor,true,50,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Gold Wave Refractor,true,50,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Orange Refractor,true,25,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Orange Wave Refractor,true,25,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Black Refractor,true,10,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Red Refractor,true,5,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,Red Wave Refractor,true,5,AJ Blubaugh
auto-chrome-update-autographs,AC-ABU,SuperFractor,true,1,AJ Blubaugh
auto-chrome-update-autographs,AC-AG,,true,,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Refractor,true,499,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Purple Speckle Refractor,true,299,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Purple Refractor,true,250,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Aqua Wave Refractor,true,199,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Blue Refractor,true,150,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Blue RayWave Refractor,true,150,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Green Refractor,true,99,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Gold Refractor,true,50,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Gold Wave Refractor,true,50,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Orange Refractor,true,25,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Orange Wave Refractor,true,25,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Black Refractor,true,10,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Red Refractor,true,5,Andrés Giménez
auto-chrome-update-autographs,AC-AG,Red Wave Refractor,true,5,Andrés Giménez
auto-chrome-update-autographs,AC-AG,SuperFractor,true,1,Andrés Giménez
auto-chrome-update-autographs,AC-AH,,true,,Austin Hays
auto-chrome-update-autographs,AC-AH,Refractor,true,499,Austin Hays
auto-chrome-update-autographs,AC-AH,Purple Speckle Refractor,true,299,Austin Hays
auto-chrome-update-autographs,AC-AH,Purple Refractor,true,250,Austin Hays
auto-chrome-update-autographs,AC-AH,Aqua Wave Refractor,true,199,Austin Hays
auto-chrome-update-autographs,AC-AH,Blue Refractor,true,150,Austin Hays
auto-chrome-update-autographs,AC-AH,Blue RayWave Refractor,true,150,Austin Hays
auto-chrome-update-autographs,AC-AH,Green Refractor,true,99,Austin Hays
auto-chrome-update-autographs,AC-AH,Gold Refractor,true,50,Austin Hays
auto-chrome-update-autographs,AC-AH,Gold Wave Refractor,true,50,Austin Hays
auto-chrome-update-autographs,AC-AH,Orange Refractor,true,25,Austin Hays
auto-chrome-update-autographs,AC-AH,Orange Wave Refractor,true,25,Austin Hays
auto-chrome-update-autographs,AC-AH,Black Refractor,true,10,Austin Hays
auto-chrome-update-autographs,AC-AH,Red Refractor,true,5,Austin Hays
auto-chrome-update-autographs,AC-AH,Red Wave Refractor,true,5,Austin Hays
auto-chrome-update-autographs,AC-AH,SuperFractor,true,1,Austin Hays
auto-chrome-update-autographs,AC-AO,,true,,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Refractor,true,499,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Purple Speckle Refractor,true,299,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Purple Refractor,true,250,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Aqua Wave Refractor,true,199,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Blue Refractor,true,150,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Blue RayWave Refractor,true,150,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Green Refractor,true,99,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Gold Refractor,true,50,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Gold Wave Refractor,true,50,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Orange Refractor,true,25,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Orange Wave Refractor,true,25,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Black Refractor,true,10,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Red Refractor,true,5,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,Red Wave Refractor,true,5,Alejandro Osuna
auto-chrome-update-autographs,AC-AO,SuperFractor,true,1,Alejandro Osuna
auto-chrome-update-autographs,AC-AR,,true,,Alan Roden
auto-chrome-update-autographs,AC-AR,Refractor,true,499,Alan Roden
auto-chrome-update-autographs,AC-AR,Purple Speckle Refractor,true,299,Alan Roden
auto-chrome-update-autographs,AC-AR,Purple Refractor,true,250,Alan Roden
auto-chrome-update-autographs,AC-AR,Aqua Wave Refractor,true,199,Alan Roden
auto-chrome-update-autographs,AC-AR,Blue Refractor,true,150,Alan Roden
auto-chrome-update-autographs,AC-AR,Blue RayWave Refractor,true,150,Alan Roden
auto-chrome-update-autographs,AC-AR,Green Refractor,true,99,Alan Roden
auto-chrome-update-autographs,AC-AR,Gold Refractor,true,50,Alan Roden
auto-chrome-update-autographs,AC-AR,Gold Wave Refractor,true,50,Alan Roden
auto-chrome-update-autographs,AC-AR,Orange Refractor,true,25,Alan Roden
auto-chrome-update-autographs,AC-AR,Orange Wave Refractor,true,25,Alan Roden
auto-chrome-update-autographs,AC-AR,Black Refractor,true,10,Alan Roden
auto-chrome-update-autographs,AC-AR,Red Refractor,true,5,Alan Roden
auto-chrome-update-autographs,AC-AR,Red Wave Refractor,true,5,Alan Roden
auto-chrome-update-autographs,AC-AR,SuperFractor,true,1,Alan Roden
auto-chrome-update-autographs,AC-BD,,true,,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Refractor,true,499,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Purple Speckle Refractor,true,299,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Purple Refractor,true,250,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Aqua Wave Refractor,true,199,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Blue Refractor,true,150,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Blue RayWave Refractor,true,150,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Green Refractor,true,99,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Gold Refractor,true,50,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Gold Wave Refractor,true,50,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Orange Refractor,true,25,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Orange Wave Refractor,true,25,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Black Refractor,true,10,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Red Refractor,true,5,Brendan Donovan
auto-chrome-update-autographs,AC-BD,Red Wave Refractor,true,5,Brendan Donovan
auto-chrome-update-autographs,AC-BD,SuperFractor,true,1,Brendan Donovan
auto-chrome-update-autographs,AC-BF,,true,,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Refractor,true,499,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Purple Speckle Refractor,true,299,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Purple Refractor,true,250,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Aqua Wave Refractor,true,199,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Blue Refractor,true,150,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Blue RayWave Refractor,true,150,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Green Refractor,true,99,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Gold Refractor,true,50,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Gold Wave Refractor,true,50,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Orange Refractor,true,25,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Orange Wave Refractor,true,25,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Black Refractor,true,10,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Red Refractor,true,5,Braxton Fulford
auto-chrome-update-autographs,AC-BF,Red Wave Refractor,true,5,Braxton Fulford
auto-chrome-update-autographs,AC-BF,SuperFractor,true,1,Braxton Fulford
