category,cardNumber,parallel,isAuto,printRun,player
auto-baseball-stars-autographs,BSA-AA,Blue,true,150,Adael Amador
auto-baseball-stars-autographs,BSA-AA,Gold,true,50,Adael Amador
auto-baseball-stars-autographs,BSA-AA,Orange,true,25,Adael Amador
auto-baseball-stars-autographs,BSA-AA,Black,true,10,Adael Amador
auto-baseball-stars-autographs,BSA-AA,Red,true,5,Adael Amador
auto-baseball-stars-autographs,BSA-AA,Platinum,true,1,Adael Amador
auto-baseball-stars-autographs,BSA-AB,Blue,true,150,Alec Burleson
auto-baseball-stars-autographs,BSA-AB,Gold,true,50,Alec Burleson
auto-baseball-stars-autographs,BSA-AB,Orange,true,25,Alec Burleson
auto-baseball-stars-autographs,BSA-AB,Black,true,10,Alec Burleson
auto-baseball-stars-autographs,BSA-AB,Red,true,5,Alec Burleson
auto-baseball-stars-autographs,BSA-AB,Platinum,true,1,Alec Burleson
auto-baseball-stars-autographs,BSA-ADI,Blue,true,150,Alexis Díaz
auto-baseball-stars-autographs,BSA-ADI,Gold,true,50,Alexis Díaz
auto-baseball-stars-autographs,BSA-ADI,Orange,true,25,Alexis Díaz
auto-baseball-stars-autographs,BSA-ADI,Black,true,10,Alexis Díaz
auto-baseball-stars-autographs,BSA-ADI,Red,true,5,Alexis Díaz
auto-baseball-stars-autographs,BSA-ADI,Platinum,true,1,Alexis Díaz
auto-baseball-stars-autographs,BSA-AG,Blue,true,150,Andrés Giménez
auto-baseball-stars-autographs,BSA-AG,Gold,true,50,Andrés Giménez
auto-baseball-stars-autographs,BSA-AG,Orange,true,25,Andrés Giménez
auto-baseball-stars-autographs,BSA-AG,Black,true,10,Andrés Giménez
auto-baseball-stars-autographs,BSA-AG,Red,true,5,Andrés Giménez
auto-baseball-stars-autographs,BSA-AG,Platinum,true,1,Andrés Giménez
auto-baseball-stars-autographs,BSA-AJ,Blue,true,150,Andruw Jones
auto-baseball-stars-autographs,BSA-AJ,Gold,true,50,Andruw Jones
auto-baseball-stars-autographs,BSA-AJ,Orange,true,25,Andruw Jones
auto-baseball-stars-autographs,BSA-AJ,Black,true,10,Andruw Jones
auto-baseball-stars-autographs,BSA-AJ,Red,true,5,Andruw Jones
auto-baseball-stars-autographs,BSA-AJ,Platinum,true,1,Andruw Jones
auto-baseball-stars-autographs,BSA-AMA,Blue,true,150,Adam Mazur
auto-baseball-stars-autographs,BSA-AMA,Gold,true,50,Adam Mazur
auto-baseball-stars-autographs,BSA-AMA,Orange,true,25,Adam Mazur
auto-baseball-stars-autographs,BSA-AMA,Black,true,10,Adam Mazur
auto-baseball-stars-autographs,BSA-AMA,Red,true,5,Adam Mazur
auto-baseball-stars-autographs,BSA-AMA,Platinum,true,1,Adam Mazur
auto-baseball-stars-autographs,BSA-BB,Blue,true,150,Byron Buxton
auto-baseball-stars-autographs,BSA-BB,Gold,true,50,Byron Buxton
auto-baseball-stars-autographs,BSA-BB,Orange,true,25,Byron Buxton
auto-baseball-stars-autographs,BSA-BB,Black,true,10,Byron Buxton
