category,cardNumber,parallel,isAuto,printRun,player
insert,BCP-151,Black Wave,false,10,"Slater de Brun - Tampa Bay Rays"
insert,BCP-152,Black Wave,false,10,"Wandy Asigen - New York Mets"
insert,BCP-152,Lazer Refractor,false,,"Wandy Asigen - New York Mets"
insert,BCP-153,Black Wave,false,10,"Alex Lodise - Atlanta Braves"
insert,BCP-153,Lazer Refractor,false,,"Alex Lodise - Atlanta Braves"
insert,BCP-154,Black Wave,false,10,"Colt Emerson - Seattle Mariners"
insert,BCP-154,Lazer Refractor,false,,"Colt Emerson - Seattle Mariners"
insert,BCP-155,Black Wave,false,10,"John Gil - Atlanta Braves"
insert,BCP-155,Lazer Refractor,false,,"John Gil - Atlanta Braves"
insert,BCP-156,Black Wave,false,10,"Isaias Castillo - New York Yankees"
insert,BCP-156,Lazer Refractor,false,,"Isaias Castillo - New York Yankees"
insert,BCP-157,Black Wave,false,10,"Rubel Arias - Los Angeles Dodgers"
insert,BCP-157,Lazer Refractor,false,,"Rubel Arias - Los Angeles Dodgers"
insert,BCP-158,Black Wave,false,10,"Fabricio Blanco - Tampa Bay Rays"
insert,BCP-158,Lazer Refractor,false,,"Fabricio Blanco - Tampa Bay Rays"
insert,BCP-159,Black Wave,false,10,"Christian Zazueta - Los Angeles Dodgers"
insert,BCP-159,Lazer Refractor,false,,"Christian Zazueta - Los Angeles Dodgers"
insert,BCP-160,Black Wave,false,10,"Johenssy Colome - Athletics"
insert,BCP-160,Lazer Refractor,false,,"Johenssy Colome - Athletics"
insert,BCP-161,Black Wave,false,10,"Diego Frontado - Milwaukee Brewers"
insert,BCP-161,Lazer Refractor,false,,"Diego Frontado - Milwaukee Brewers"
insert,BCP-162,Black Wave,false,10,"Talon Haley - Los Angeles Angels"
insert,BCP-162,Lazer Refractor,false,,"Talon Haley - Los Angeles Angels"
insert,BCP-163,Black Wave,false,10,"Francisco Renteria - Philadelphia Phillies"
insert,BCP-163,Lazer Refractor,false,,"Francisco Renteria - Philadelphia Phillies"
insert,BCP-164,Black Wave,false,10,"JoJo Parker - Toronto Blue Jays"
insert,BCP-164,Lazer Refractor,false,,"JoJo Parker - Toronto Blue Jays"
insert,BCP-165,Black Wave,false,10,"Darell Morel - Pittsburgh Pirates"
