category,cardNumber,parallel,isAuto,printRun,player
insert,91A-ABB,Blue,true,150,"Jim Abbott - California Angels"
insert,91A-ABB,Green,true,99,"Jim Abbott - California Angels"
insert,91A-ABB,Gold,true,50,"Jim Abbott - California Angels"
insert,91A-ABB,Orange,true,25,"Jim Abbott - California Angels"
insert,91A-ABB,Black,true,10,"Jim Abbott - California Angels"
insert,91A-ABB,Red,true,5,"Jim Abbott - California Angels"
insert,91A-AV,Blue,true,150,"Anthony Volpe - New York Yankees"
insert,91A-AV,Green,true,99,"Anthony Volpe - New York Yankees"
insert,91A-AV,Gold,true,50,"Anthony Volpe - New York Yankees"
insert,91A-AV,Orange,true,25,"Anthony Volpe - New York Yankees"
insert,91A-AV,Black,true,10,"Anthony Volpe - New York Yankees"
insert,91A-AV,Red,true,5,"Anthony Volpe - New York Yankees"
insert,91A-AVS,Blue,true,150,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AVS,Green,true,99,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AVS,Gold,true,50,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AVS,Orange,true,25,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AVS,Black,true,10,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AVS,Red,true,5,"Andy Van Slyke - Pittsburgh Pirates"
insert,91A-AW,Blue,true,150,"Austin Wells - New York Yankees"
insert,91A-AW,Green,true,99,"Austin Wells - New York Yankees"
insert,91A-AW,Gold,true,50,"Austin Wells - New York Yankees"
insert,91A-AW,Orange,true,25,"Austin Wells - New York Yankees"
insert,91A-AW,Black,true,10,"Austin Wells - New York Yankees"
insert,91A-AW,Red,true,5,"Austin Wells - New York Yankees"
insert,91A-BER,Blue,true,150,"Bernie Williams - New York Yankees"
insert,91A-BER,Green,true,99,"Bernie Williams - New York Yankees"
insert,91A-BER,Gold,true,50,"Bernie Williams - New York Yankees"
insert,91A-BER,Orange,true,25,"Bernie Williams - New York Yankees"
insert,91A-BER,Black,true,10,"Bernie Williams - New York Yankees"
insert,91A-BER,Red,true,5,"Bernie Williams - New York Yankees"
insert,91A-BLY,Blue,true,150,"Bert Blyleven - California Angels"
insert,91A-BLY,Green,true,99,"Bert Blyleven - California Angels"
insert,91A-BLY,Gold,true,50,"Bert Blyleven - California Angels"
insert,91A-BLY,Orange,true,25,"Bert Blyleven - California Angels"
insert,91A-BLY,Black,true,10,"Bert Blyleven - California Angels"
insert,91A-BLY,Red,true,5,"Bert Blyleven - California Angels"
insert,91A-BR,Blue,true,150,"Billy Ripken - Baltimore Orioles"
insert,91A-BR,Green,true,99,"Billy Ripken - Baltimore Orioles"
insert,91A-BR,Gold,true,50,"Billy Ripken - Baltimore Orioles"
insert,91A-BR,Orange,true,25,"Billy Ripken - Baltimore Orioles"
insert,91A-BR,Black,true,10,"Billy Ripken - Baltimore Orioles"
insert,91A-BR,Red,true,5,"Billy Ripken - Baltimore Orioles"
insert,91A-BRE,Blue,true,150,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRE,Green,true,99,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRE,Gold,true,50,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRE,Orange,true,25,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRE,Black,true,10,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRE,Red,true,5,"Bryan Reynolds - Pittsburgh Pirates"
insert,91A-BRO,Blue,true,150,"Brent Rooker - Athletics"
insert,91A-BRO,Green,true,99,"Brent Rooker - Athletics"
insert,91A-BRO,Gold,true,50,"Brent Rooker - Athletics"
insert,91A-BRO,Orange,true,25,"Brent Rooker - Athletics"
insert,91A-BRO,Black,true,10,"Brent Rooker - Athletics"
insert,91A-BRO,Red,true,5,"Brent Rooker - Athletics"
insert,91A-BS,Blue,true,150,"Bryson Stott - Philadelphia Phillies"
insert,91A-BS,Green,true,99,"Bryson Stott - Philadelphia Phillies"
insert,91A-BS,Gold,true,50,"Bryson Stott - Philadelphia Phillies"
insert,91A-BS,Orange,true,25,"Bryson Stott - Philadelphia Phillies"
insert,91A-BS,Black,true,10,"Bryson Stott - Philadelphia Phillies"
insert,91A-BS,Red,true,5,"Bryson Stott - Philadelphia Phillies"
insert,91A-BSN,Blue,true,150,"Blake Snell - Los Angeles Dodgers"
insert,91A-BSN,Green,true,99,"Blake Snell - Los Angeles Dodgers"
insert,91A-BSN,Gold,true,50,"Blake Snell - Los Angeles Dodgers"
insert,91A-BSN,Orange,true,25,"Blake Snell - Los Angeles Dodgers"
insert,91A-BSN,Black,true,10,"Blake Snell - Los Angeles Dodgers"
insert,91A-BSN,Red,true,5,"Blake Snell - Los Angeles Dodgers"
insert,91A-BUE,Blue,true,150,"Mark Buehrle - Chicago White Sox"
insert,91A-BUE,Green,true,99,"Mark Buehrle - Chicago White Sox"
insert,91A-BUE,Gold,true,50,"Mark Buehrle - Chicago White Sox"
insert,91A-BUE,Orange,true,25,"Mark Buehrle - Chicago White Sox"
insert,91A-BUE,Black,true,10,"Mark Buehrle - Chicago White Sox"
insert,91A-BUE,Red,true,5,"Mark Buehrle - Chicago White Sox"
insert,91A-BWI,Blue,true,150,"Brian Wilson - San Francisco Giants"
insert,91A-BWI,Green,true,99,"Brian Wilson - San Francisco Giants"
insert,91A-BWI,Gold,true,50,"Brian Wilson - San Francisco Giants"
insert,91A-BWI,Orange,true,25,"Brian Wilson - San Francisco Giants"
insert,91A-BWI,Black,true,10,"Brian Wilson - San Francisco Giants"
insert,91A-BWI,Red,true,5,"Brian Wilson - San Francisco Giants"
insert,91A-CAM,Blue,true,150,"Cam Smith - Houston Astros"
insert,91A-CAM,Green,true,99,"Cam Smith - Houston Astros"
insert,91A-CAM,Gold,true,50,"Cam Smith - Houston Astros"
insert,91A-CAM,Orange,true,25,"Cam Smith - Houston Astros"
insert,91A-CAM,Black,true,10,"Cam Smith - Houston Astros"
insert,91A-CAM,Red,true,5,"Cam Smith - Houston Astros"
insert,91A-CEC,Blue,true,150,"Cecil Fielder - Detroit Tigers"
insert,91A-CEC,Green,true,99,"Cecil Fielder - Detroit Tigers"
insert,91A-CEC,Gold,true,50,"Cecil Fielder - Detroit Tigers"
insert,91A-CEC,Orange,true,25,"Cecil Fielder - Detroit Tigers"
insert,91A-CEC,Black,true,10,"Cecil Fielder - Detroit Tigers"
insert,91A-CEC,Red,true,5,"Cecil Fielder - Detroit Tigers"
insert,91A-COW,Blue,true,150,"Colton Cowser - Baltimore Orioles"
insert,91A-COW,Green,true,99,"Colton Cowser - Baltimore Orioles"
insert,91A-COW,Gold,true,50,"Colton Cowser - Baltimore Orioles"
insert,91A-COW,Orange,true,25,"Colton Cowser - Baltimore Orioles"
insert,91A-COW,Black,true,10,"Colton Cowser - Baltimore Orioles"
insert,91A-COW,Red,true,5,"Colton Cowser - Baltimore Orioles"
insert,91A-DAV,Blue,true,150,"Eric Davis - Cincinnati Reds"
insert,91A-DAV,Green,true,99,"Eric Davis - Cincinnati Reds"
insert,91A-DAV,Gold,true,50,"Eric Davis - Cincinnati Reds"
insert,91A-DAV,Orange,true,25,"Eric Davis - Cincinnati Reds"
insert,91A-DAV,Black,true,10,"Eric Davis - Cincinnati Reds"
insert,91A-DAV,Red,true,5,"Eric Davis - Cincinnati Reds"
insert,91A-DRU,Blue,true,150,"Andruw Jones - Atlanta Braves"
insert,91A-DRU,Green,true,99,"Andruw Jones - Atlanta Braves"
insert,91A-DRU,Gold,true,50,"Andruw Jones - Atlanta Braves"
insert,91A-DRU,Orange,true,25,"Andruw Jones - Atlanta Braves"
insert,91A-DRU,Black,true,10,"Andruw Jones - Atlanta Braves"
insert,91A-DRU,Red,true,5,"Andruw Jones - Atlanta Braves"
insert,91A-DST,Blue,true,150,"Darryl Strawberry - New York Mets"
insert,91A-DST,Green,true,99,"Darryl Strawberry - New York Mets"
insert,91A-DST,Gold,true,50,"Darryl Strawberry - New York Mets"
insert,91A-DST,Orange,true,25,"Darryl Strawberry - New York Mets"
insert,91A-DST,Black,true,10,"Darryl Strawberry - New York Mets"
insert,91A-DST,Red,true,5,"Darryl Strawberry - New York Mets"
insert,91A-EG,Blue,true,150,"Eric Gagne - Los Angeles Dodgers"
insert,91A-EG,Green,true,99,"Eric Gagne - Los Angeles Dodgers"
insert,91A-EG,Gold,true,50,"Eric Gagne - Los Angeles Dodgers"
insert,91A-EG,Orange,true,25,"Eric Gagne - Los Angeles Dodgers"
insert,91A-EG,Black,true,10,"Eric Gagne - Los Angeles Dodgers"
insert,91A-EG,Red,true,5,"Eric Gagne - Los Angeles Dodgers"
insert,91A-FJ,Blue,true,150,"Fergie Jenkins - Chicago Cubs"
insert,91A-FJ,Green,true,99,"Fergie Jenkins - Chicago Cubs"
insert,91A-FJ,Gold,true,50,"Fergie Jenkins - Chicago Cubs"
insert,91A-FJ,Orange,true,25,"Fergie Jenkins - Chicago Cubs"
insert,91A-FJ,Black,true,10,"Fergie Jenkins - Chicago Cubs"
insert,91A-FJ,Red,true,5,"Fergie Jenkins - Chicago Cubs"
insert,91A-FM,Blue,true,150,"Fred McGriff - Atlanta Braves"
insert,91A-FM,Green,true,99,"Fred McGriff - Atlanta Braves"
insert,91A-FM,Gold,true,50,"Fred McGriff - Atlanta Braves"
insert,91A-FM,Orange,true,25,"Fred McGriff - Atlanta Braves"
insert,91A-FM,Black,true,10,"Fred McGriff - Atlanta Braves"
insert,91A-FM,Red,true,5,"Fred McGriff - Atlanta Braves"
insert,91A-GK,Blue,true,150,"George Kirby - Seattle Mariners"
insert,91A-GK,Green,true,99,"George Kirby - Seattle Mariners"
insert,91A-GK,Gold,true,50,"George Kirby - Seattle Mariners"
insert,91A-GK,Orange,true,25,"George Kirby - Seattle Mariners"
insert,91A-GK,Black,true,10,"George Kirby - Seattle Mariners"
insert,91A-GK,Red,true,5,"George Kirby - Seattle Mariners"
insert,91A-GS,Blue,true,150,"Gary Sheffield - New York Yankees"
