category,cardNumber,parallel,isAuto,printRun,player
insert,T91-1,Pink Foil,false,,"Mike Trout - Los Angeles Angels"
insert,T91-1,Blue Foil,false,150,"Mike Trout - Los Angeles Angels"
insert,T91-1,Green Foil,false,99,"Mike Trout - Los Angeles Angels"
insert,T91-1,Gold Foil,false,50,"Mike Trout - Los Angeles Angels"
insert,T91-1,Orange Foil,false,25,"Mike Trout - Los Angeles Angels"
insert,T91-1,Black Foil,false,10,"Mike Trout - Los Angeles Angels"
insert,T91-1,Red Foil,false,5,"Mike Trout - Los Angeles Angels"
insert,T91-2,Pink Foil,false,,"Riley Greene - Detroit Tigers"
insert,T91-2,Blue Foil,false,150,"Riley Greene - Detroit Tigers"
insert,T91-2,Green Foil,false,99,"Riley Greene - Detroit Tigers"
insert,T91-2,Gold Foil,false,50,"Riley Greene - Detroit Tigers"
insert,T91-2,Orange Foil,false,25,"Riley Greene - Detroit Tigers"
insert,T91-2,Black Foil,false,10,"Riley Greene - Detroit Tigers"
insert,T91-2,Red Foil,false,5,"Riley Greene - Detroit Tigers"
insert,T91-3,Pink Foil,false,,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Blue Foil,false,150,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Green Foil,false,99,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Gold Foil,false,50,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Orange Foil,false,25,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Black Foil,false,10,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-3,Red Foil,false,5,"Bobby Witt Jr. - Kansas City Royals"
insert,T91-4,Pink Foil,false,,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Blue Foil,false,150,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Green Foil,false,99,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Gold Foil,false,50,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Orange Foil,false,25,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Black Foil,false,10,"Colson Montgomery - Chicago White Sox"
insert,T91-4,Red Foil,false,5,"Colson Montgomery - Chicago White Sox"
insert,T91-5,Pink Foil,false,,"Kyle Schwarber - Philadelphia Phillies"
insert,T91-5,Blue Foil,false,150,"Kyle Schwarber - Philadelphia Phillies"
insert,T91-5,Green Foil,false,99,"Kyle Schwarber - Philadelphia Phillies"
