category,cardNumber,parallel,isAuto,printRun,player
insert-2024-first-pitch,FP-1,Pink,false,,Jason Kelce
insert-2024-first-pitch,FP-1,Blue,false,150,Jason Kelce
insert-2024-first-pitch,FP-1,Green,false,99,Jason Kelce
insert-2024-first-pitch,FP-1,Gold,false,50,Jason Kelce
insert-2024-first-pitch,FP-1,Orange,false,25,Jason Kelce
insert-2024-first-pitch,FP-1,Black,false,10,Jason Kelce
insert-2024-first-pitch,FP-1,Red,false,5,Jason Kelce
insert-2024-first-pitch,FP-1,FoilFractor,false,1,Jason Kelce
insert-2024-first-pitch,FP-2,Pink,false,,Masanori Murakami
insert-2024-first-pitch,FP-2,Blue,false,150,Masanori Murakami
insert-2024-first-pitch,FP-2,Green,false,99,Masanori Murakami
insert-2024-first-pitch,FP-2,Gold,false,50,Masanori Murakami
insert-2024-first-pitch,FP-2,Orange,false,25,Masanori Murakami
insert-2024-first-pitch,FP-2,Black,false,10,Masanori Murakami
insert-2024-first-pitch,FP-2,Red,false,5,Masanori Murakami
insert-2024-first-pitch,FP-2,FoilFractor,false,1,Masanori Murakami
insert-2024-first-pitch,FP-3,Pink,false,,Juju Watkins
insert-2024-first-pitch,FP-3,Blue,false,150,Juju Watkins
insert-2024-first-pitch,FP-3,Green,false,99,Juju Watkins
insert-2024-first-pitch,FP-3,Gold,false,50,Juju Watkins
insert-2024-first-pitch,FP-3,Orange,false,25,Juju Watkins
insert-2024-first-pitch,FP-3,Black,false,10,Juju Watkins
insert-2024-first-pitch,FP-3,Red,false,5,Juju Watkins
insert-2024-first-pitch,FP-3,FoilFractor,false,1,Juju Watkins
insert-2024-first-pitch,FP-4,Pink,false,,Coach Al
insert-2024-first-pitch,FP-4,Blue,false,150,Coach Al
insert-2024-first-pitch,FP-4,Green,false,99,Coach Al
insert-2024-first-pitch,FP-4,Gold,false,50,Coach Al
insert-2024-first-pitch,FP-4,Orange,false,25,Coach Al
insert-2024-first-pitch,FP-4,Black,false,10,Coach Al
insert-2024-first-pitch,FP-4,Red,false,5,Coach Al
insert-2024-first-pitch,FP-4,FoilFractor,false,1,Coach Al
insert-2024-first-pitch,FP-5,Pink,false,,Jayson Tatum
insert-2024-first-pitch,FP-5,Blue,false,150,Jayson Tatum
insert-2024-first-pitch,FP-5,Green,false,99,Jayson Tatum
insert-2024-first-pitch,FP-5,Gold,false,50,Jayson Tatum
insert-2024-first-pitch,FP-5,Orange,false,25,Jayson Tatum
insert-2024-first-pitch,FP-5,Black,false,10,Jayson Tatum
insert-2024-first-pitch,FP-5,Red,false,5,Jayson Tatum
insert-2024-first-pitch,FP-5,FoilFractor,false,1,Jayson Tatum
insert-2024-first-pitch,FP-6,Pink,false,,Carl Radke
insert-2024-first-pitch,FP-6,Blue,false,150,Carl Radke
insert-2024-first-pitch,FP-6,Green,false,99,Carl Radke
insert-2024-first-pitch,FP-6,Gold,false,50,Carl Radke
insert-2024-first-pitch,FP-6,Orange,false,25,Carl Radke
insert-2024-first-pitch,FP-6,Black,false,10,Carl Radke
insert-2024-first-pitch,FP-6,Red,false,5,Carl Radke
insert-2024-first-pitch,FP-6,FoilFractor,false,1,Carl Radke
insert-2024-first-pitch,FP-7,Pink,false,,Chipper Jones
insert-2024-first-pitch,FP-7,Blue,false,150,Chipper Jones
insert-2024-first-pitch,FP-7,Green,false,99,Chipper Jones
insert-2024-first-pitch,FP-7,Gold,false,50,Chipper Jones
insert-2024-first-pitch,FP-7,Orange,false,25,Chipper Jones
insert-2024-first-pitch,FP-7,Black,false,10,Chipper Jones
insert-2024-first-pitch,FP-7,Red,false,5,Chipper Jones
insert-2024-first-pitch,FP-7,FoilFractor,false,1,Chipper Jones
insert-2024-first-pitch,FP-8,Pink,false,,Adrían Beltré
insert-2024-first-pitch,FP-8,Blue,false,150,Adrían Beltré
insert-2024-first-pitch,FP-8,Green,false,99,Adrían Beltré
insert-2024-first-pitch,FP-8,Gold,false,50,Adrían Beltré
insert-2024-first-pitch,FP-8,Orange,false,25,Adrían Beltré
insert-2024-first-pitch,FP-8,Black,false,10,Adrían Beltré
insert-2024-first-pitch,FP-8,Red,false,5,Adrían Beltré
insert-2024-first-pitch,FP-8,FoilFractor,false,1,Adrían Beltré
insert-2024-first-pitch,FP-9,Pink,false,,Lauren Alaina
insert-2024-first-pitch,FP-9,Blue,false,150,Lauren Alaina
insert-2024-first-pitch,FP-9,Green,false,99,Lauren Alaina
insert-2024-first-pitch,FP-9,Gold,false,50,Lauren Alaina
insert-2024-first-pitch,FP-9,Orange,false,25,Lauren Alaina
insert-2024-first-pitch,FP-9,Black,false,10,Lauren Alaina
insert-2024-first-pitch,FP-9,Red,false,5,Lauren Alaina
insert-2024-first-pitch,FP-9,FoilFractor,false,1,Lauren Alaina
insert-2024-first-pitch,FP-10,Pink,false,,C.J. Stroud
insert-2024-first-pitch,FP-10,Blue,false,150,C.J. Stroud
insert-2024-first-pitch,FP-10,Green,false,99,C.J. Stroud
insert-2024-first-pitch,FP-10,Gold,false,50,C.J. Stroud
insert-2024-first-pitch,FP-10,Orange,false,25,C.J. Stroud
insert-2024-first-pitch,FP-10,Black,false,10,C.J. Stroud
insert-2024-first-pitch,FP-10,Red,false,5,C.J. Stroud
insert-2024-first-pitch,FP-10,FoilFractor,false,1,C.J. Stroud
insert-2024-first-pitch,FP2-1,Pink,false,,Joey Graziadei
insert-2024-first-pitch,FP2-1,Blue,false,150,Joey Graziadei
insert-2024-first-pitch,FP2-1,Green,false,99,Joey Graziadei
insert-2024-first-pitch,FP2-1,Gold,false,50,Joey Graziadei
insert-2024-first-pitch,FP2-1,Orange,false,25,Joey Graziadei
insert-2024-first-pitch,FP2-1,Black,false,10,Joey Graziadei
insert-2024-first-pitch,FP2-1,Red,false,5,Joey Graziadei
insert-2024-first-pitch,FP2-2,Pink,false,,The Miz
insert-2024-first-pitch,FP2-2,Blue,false,150,The Miz
insert-2024-first-pitch,FP2-2,Green,false,99,The Miz
insert-2024-first-pitch,FP2-2,Gold,false,50,The Miz
insert-2024-first-pitch,FP2-2,Orange,false,25,The Miz
insert-2024-first-pitch,FP2-2,Black,false,10,The Miz
insert-2024-first-pitch,FP2-2,Red,false,5,The Miz
insert-2024-first-pitch,FP2-3,Pink,false,,Rickey Henderson
insert-2024-first-pitch,FP2-3,Blue,false,150,Rickey Henderson
insert-2024-first-pitch,FP2-3,Green,false,99,Rickey Henderson
insert-2024-first-pitch,FP2-3,Gold,false,50,Rickey Henderson
insert-2024-first-pitch,FP2-3,Orange,false,25,Rickey Henderson
insert-2024-first-pitch,FP2-3,Black,false,10,Rickey Henderson
insert-2024-first-pitch,FP2-3,Red,false,5,Rickey Henderson
insert-2024-first-pitch,FP2-4,Pink,false,,Jenn Tran
insert-2024-first-pitch,FP2-4,Blue,false,150,Jenn Tran
insert-2024-first-pitch,FP2-4,Green,false,99,Jenn Tran
insert-2024-first-pitch,FP2-4,Gold,false,50,Jenn Tran
insert-2024-first-pitch,FP2-4,Orange,false,25,Jenn Tran
insert-2024-first-pitch,FP2-4,Black,false,10,Jenn Tran
insert-2024-first-pitch,FP2-4,Red,false,5,Jenn Tran
insert-2024-first-pitch,FP2-5,Pink,false,,Mark Long
insert-2024-first-pitch,FP2-5,Blue,false,150,Mark Long
insert-2024-first-pitch,FP2-5,Green,false,99,Mark Long
insert-2024-first-pitch,FP2-5,Gold,false,50,Mark Long
insert-2024-first-pitch,FP2-5,Orange,false,25,Mark Long
insert-2024-first-pitch,FP2-5,Black,false,10,Mark Long
insert-2024-first-pitch,FP2-5,Red,false,5,Mark Long
