category,cardNumber,parallel,isAuto,printRun,player
insert-major-league-material,MLM-AB,Blue,false,150,Alec Burleson
insert-major-league-material,MLM-AB,Gold,false,50,Alec Burleson
insert-major-league-material,MLM-AB,Orange,false,25,Alec Burleson
insert-major-league-material,MLM-AB,Black,false,10,Alec Burleson
insert-major-league-material,MLM-AB,Red,false,5,Alec Burleson
insert-major-league-material,MLM-AB,Platinum,false,1,Alec Burleson
insert-major-league-material,MLM-AJ,Blue,false,150,Aaron Judge
insert-major-league-material,MLM-AJ,Gold,false,50,Aaron Judge
insert-major-league-material,MLM-AJ,Orange,false,25,Aaron Judge
insert-major-league-material,MLM-AJ,Black,false,10,Aaron Judge
insert-major-league-material,MLM-AJ,Red,false,5,Aaron Judge
insert-major-league-material,MLM-AJ,Platinum,false,1,Aaron Judge
insert-major-league-material,MLM-AM,Gold,false,50,Angel Martínez
insert-major-league-material,MLM-AM,Orange,false,25,Angel Martínez
insert-major-league-material,MLM-AM,Black,false,10,Angel Martínez
insert-major-league-material,MLM-AM,Red,false,5,Angel Martínez
insert-major-league-material,MLM-AM,Platinum,false,1,Angel Martínez
insert-major-league-material,MLM-AR,Blue,false,150,Anthony Rizzo
insert-major-league-material,MLM-AR,Orange,false,25,Anthony Rizzo
insert-major-league-material,MLM-AR,Black,false,10,Anthony Rizzo
insert-major-league-material,MLM-AR,Red,false,5,Anthony Rizzo
insert-major-league-material,MLM-AR,Platinum,false,1,Anthony Rizzo
insert-major-league-material,MLM-AVO,Blue,false,150,Anthony Volpe
insert-major-league-material,MLM-AVO,Gold,false,50,Anthony Volpe
insert-major-league-material,MLM-AVO,Orange,false,25,Anthony Volpe
insert-major-league-material,MLM-AVO,Black,false,10,Anthony Volpe
insert-major-league-material,MLM-AVO,Red,false,5,Anthony Volpe
insert-major-league-material,MLM-AVO,Platinum,false,1,Anthony Volpe
insert-major-league-material,MLM-BH,Blue,false,150,Bryce Harper
insert-major-league-material,MLM-BH,Gold,false,50,Bryce Harper
insert-major-league-material,MLM-BH,Orange,false,25,Bryce Harper
insert-major-league-material,MLM-BH,Black,false,10,Bryce Harper
insert-major-league-material,MLM-BH,Red,false,5,Bryce Harper
insert-major-league-material,MLM-BH,Platinum,false,1,Bryce Harper
insert-major-league-material,MLM-BL,Blue,false,150,Brooks Lee
insert-major-league-material,MLM-BL,Orange,false,25,Brooks Lee
insert-major-league-material,MLM-BL,Black,false,10,Brooks Lee
insert-major-league-material,MLM-BL,Red,false,5,Brooks Lee
insert-major-league-material,MLM-BL,Platinum,false,1,Brooks Lee
insert-major-league-material,MLM-BR,Gold,false,50,Ben Rice
insert-major-league-material,MLM-BR,Orange,false,25,Ben Rice
insert-major-league-material,MLM-BR,Black,false,10,Ben Rice
insert-major-league-material,MLM-BR,Red,false,5,Ben Rice
insert-major-league-material,MLM-BR,Platinum,false,1,Ben Rice
insert-major-league-material,MLM-BRE,Blue,false,150,Bryan Reynolds
insert-major-league-material,MLM-BRE,Gold,false,50,Bryan Reynolds
insert-major-league-material,MLM-BRE,Orange,false,25,Bryan Reynolds
insert-major-league-material,MLM-BRE,Black,false,10,Bryan Reynolds
insert-major-league-material,MLM-BRE,Red,false,5,Bryan Reynolds
insert-major-league-material,MLM-BRE,Platinum,false,1,Bryan Reynolds
insert-major-league-material,MLM-CC,Blue,false,150,Carlos Correa
insert-major-league-material,MLM-CC,Orange,false,25,Carlos Correa
insert-major-league-material,MLM-CC,Black,false,10,Carlos Correa
insert-major-league-material,MLM-CC,Red,false,5,Carlos Correa
insert-major-league-material,MLM-CC,Platinum,false,1,Carlos Correa
insert-major-league-material,MLM-CCO,Blue,false,150,Colton Cowser
insert-major-league-material,MLM-CCO,Gold,false,50,Colton Cowser
insert-major-league-material,MLM-CCO,Orange,false,25,Colton Cowser
insert-major-league-material,MLM-CCO,Black,false,10,Colton Cowser
insert-major-league-material,MLM-CCO,Red,false,5,Colton Cowser
insert-major-league-material,MLM-CCO,Platinum,false,1,Colton Cowser
insert-major-league-material,MLM-CMA,Blue,false,150,Coby Mayo
insert-major-league-material,MLM-CMA,Gold,false,50,Coby Mayo
insert-major-league-material,MLM-CMA,Black,false,10,Coby Mayo
insert-major-league-material,MLM-CMA,Red,false,5,Coby Mayo
insert-major-league-material,MLM-CMA,Platinum,false,1,Coby Mayo
insert-major-league-material,MLM-CR,Gold,false,50,Ceddanne Rafaela
insert-major-league-material,MLM-CR,Orange,false,25,Ceddanne Rafaela
